Date, Open, High, Low, Close, Volume,ticker
12/24/20,48.595,48.84,47.85,48.48,415282,PFG
12/23/20,47.91,48.95,47.89,48.54,914476,PFG
12/22/20,47.48,48.11,47.32,47.4,1571404,PFG
12/21/20,48.19,48.19,46.81,47.5,1674229,PFG
12/18/20,48.24,48.83,47.37,47.95,4847943,PFG
12/17/20,48.52,48.59,47.71,48.4,1617859,PFG
12/16/20,48.27,48.43,47.46,48.22,1558903,PFG
12/15/20,48.4,48.7,47.75,48.34,1652716,PFG
12/14/20,49.69,49.98,47.6,47.82,2074673,PFG
12/11/20,48.76,49.53,48.37,48.77,1485054,PFG
12/10/20,49.117,50.07,49.0,49.82,1848631,PFG
12/09/20,51.19,51.37,50.01,50.05,1764639,PFG
12/08/20,50.04,51.07,50.04,50.77,1444757,PFG
12/07/20,51.65,51.7,50.34,50.71,1377558,PFG
12/04/20,51.92,52.7,51.85,52.28,1111363,PFG
12/03/20,50.54,51.8403,50.54,51.36,1374983,PFG
12/02/20,49.29,51.09,49.08,50.86,1398041,PFG
12/01/20,50.027,50.15,49.07,49.62,2550954,PFG
11/30/20,51.16,51.58,49.61,49.79,2464787,PFG
11/27/20,51.78,52.19,51.4,51.4,602679,PFG
11/25/20,51.99,52.19,51.09,52.0,711922,PFG
11/24/20,51.27,52.67,51.26,52.6,1584143,PFG
11/23/20,49.67,50.83,49.46,50.64,1540298,PFG
11/20/20,48.78,49.14,48.37,49.0,1099714,PFG
11/19/20,48.51,49.01,48.0,48.93,1556936,PFG
11/18/20,49.2,50.2,48.89,48.99,1425007,PFG
11/17/20,47.91,49.05,47.38,48.99,1491607,PFG
11/16/20,48.0,48.47,47.26,48.32,1374188,PFG
11/13/20,44.98,46.515,44.72,46.3,765050,PFG
11/12/20,44.91,45.05,43.97,44.59,2588715,PFG
11/11/20,47.28,47.38,44.91,45.55,1878824,PFG
11/10/20,47.63,47.71,46.41,47.24,2611015,PFG
11/09/20,44.54,48.96,44.53,47.64,3426945,PFG
11/06/20,43.38,43.49,41.13,41.37,1858103,PFG
11/05/20,41.73,43.125,41.6,43.01,1813235,PFG
11/04/20,40.84,42.58,39.855,41.72,2680793,PFG
11/03/20,40.74,41.97,40.58,41.8,1584554,PFG
11/02/20,40.07,40.1,39.11,39.71,1204874,PFG
10/30/20,38.7,39.5,38.53,39.22,1130374,PFG
10/29/20,37.96,39.46,37.5,39.12,1674352,PFG
10/28/20,38.2,39.08,37.8,38.25,2462553,PFG
10/27/20,40.66,41.2,39.3,39.35,3035103,PFG
10/26/20,42.84,42.92,41.49,41.99,1299732,PFG
10/23/20,43.51,43.985,43.13,43.52,1420589,PFG
10/22/20,40.99,43.12,40.87,42.94,1291182,PFG
10/21/20,41.24,41.42,40.96,41.085,707427,PFG
10/20/20,41.5,42.03,41.12,41.215,852738,PFG
10/19/20,41.3,41.93,40.8,40.87,786957,PFG
10/16/20,41.7,41.87,40.86,41.2,857031,PFG
10/15/20,40.73,41.57,40.51,41.56,986005,PFG
10/14/20,41.21,41.895,41.21,41.24,1148339,PFG
10/13/20,42.32,42.59,41.095,41.25,887274,PFG
10/12/20,42.68,43.0,42.3,42.8,1048556,PFG
10/09/20,43.71,43.93,42.405,42.47,1269268,PFG
10/08/20,43.43,43.75,42.95,43.45,897588,PFG
10/07/20,42.17,43.19,42.17,43.09,1050097,PFG
10/06/20,42.25,43.15,41.59,41.73,1476392,PFG
10/05/20,41.52,42.4,41.5,41.88,826306,PFG
10/02/20,39.72,41.34,39.72,41.05,810744,PFG
10/01/20,40.37,40.81,39.85,40.36,1356384,PFG
09/30/20,40.26,40.87,39.835,40.27,1541460,PFG
09/29/20,39.75,40.1424,39.18,40.06,1520282,PFG
09/28/20,39.57,40.37,39.37,40.1,1626870,PFG
09/25/20,37.73,38.91,37.4819,38.63,1209007,PFG
09/24/20,37.94,38.69,37.03,38.23,1159778,PFG
09/23/20,39.05,39.82,37.73,37.79,1190562,PFG
09/22/20,39.09,39.64,38.33,38.82,1101630,PFG
09/21/20,38.96,39.49,38.28,39.0,1596072,PFG
