Date, Open, High, Low, Close, Volume,ticker
12/24/20,97.4,98.46,97.265,98.31,724657,PGR
12/23/20,98.68,98.85,97.33,97.51,3062721,PGR
12/22/20,97.7,98.66,97.54,97.99,1751030,PGR
12/21/20,96.84,98.07,95.68,97.94,2486158,PGR
12/18/20,96.36,97.26,95.66,96.95,5330301,PGR
12/17/20,96.66,98.56,96.12,96.31,3615392,PGR
12/16/20,97.17,98.03,95.64,96.36,2446175,PGR
12/15/20,94.61,96.71,94.5,96.69,2876953,PGR
12/14/20,94.63,96.06,94.09,94.1,2608082,PGR
12/11/20,93.84,95.06,93.84,94.39,1968103,PGR
12/10/20,93.57,94.62,92.72,94.2,3402719,PGR
12/09/20,92.32,93.93,92.12,93.6,2833617,PGR
12/08/20,88.91,94.4,88.7,92.84,4211786,PGR
12/07/20,90.51,91.32,89.44,90.25,3141846,PGR
12/04/20,88.29,89.6,87.545,89.52,2229099,PGR
12/03/20,88.61,89.3,87.78,88.3,3240665,PGR
12/02/20,89.95,90.94,88.78,89.2,2524509,PGR
12/01/20,87.85,89.21,87.63,89.16,3097981,PGR
11/30/20,88.5,88.66,86.22,87.11,4022304,PGR
11/27/20,88.89,89.465,87.21,88.43,1113468,PGR
11/25/20,88.75,89.46,88.03,89.4,2250170,PGR
11/24/20,91.08,91.5,87.46,88.63,5955151,PGR
11/23/20,93.13,93.49,92.03,92.93,2492601,PGR
11/20/20,94.5,95.03,92.84,93.14,2562339,PGR
11/19/20,93.56,94.89,93.01,94.27,2129648,PGR
11/18/20,94.69,95.45,93.88,94.45,1942011,PGR
11/17/20,95.1,95.64,93.75,94.93,2272625,PGR
11/16/20,94.96,96.24,94.96,95.9,2291244,PGR
11/13/20,95.0,95.96,94.53,95.66,2018875,PGR
11/12/20,93.09,94.83,92.33,94.68,2740321,PGR
11/11/20,93.2,94.18,92.09,92.72,2612707,PGR
11/10/20,90.82,93.37,88.67,92.65,4402526,PGR
11/09/20,99.82,100.34,90.37,90.39,5748834,PGR
11/06/20,97.91,98.48,96.53,97.91,1976843,PGR
11/05/20,96.82,98.04,96.02,97.29,2268511,PGR
11/04/20,94.01,97.54,94.01,95.86,2979399,PGR
11/03/20,94.68,96.18,94.16,94.47,2678690,PGR
11/02/20,93.09,94.66,92.58,94.4,1913922,PGR
10/30/20,90.97,92.09,90.11,91.9,2205577,PGR
10/29/20,91.52,91.98,90.08,91.06,2176823,PGR
10/28/20,92.5,93.49,91.14,91.57,1978500,PGR
10/27/20,93.92,94.8,93.55,93.8,1505476,PGR
10/26/20,93.88,94.51,92.58,93.84,1699973,PGR
10/23/20,94.56,95.17,94.315,94.62,1562571,PGR
10/22/20,93.35,95.215,92.87,94.39,1918242,PGR
10/21/20,94.85,95.78,93.33,93.6,2098530,PGR
10/20/20,96.42,96.73,94.23,94.59,1934682,PGR
10/19/20,97.45,97.8,95.48,95.78,1459949,PGR
10/16/20,98.18,98.18,96.17,96.52,2815676,PGR
10/15/20,96.14,99.06,96.0135,97.51,2740769,PGR
10/14/20,100.57,102.0,99.56,99.65,2107837,PGR
10/13/20,101.35,102.05,99.96,100.27,2206865,PGR
10/12/20,99.99,101.51,99.48,101.38,2081191,PGR
10/09/20,98.04,99.9,97.68,99.88,1919552,PGR
10/08/20,96.79,98.02,96.31,97.97,1392953,PGR
10/07/20,95.25,97.0,95.25,96.41,2305569,PGR
10/06/20,96.1,96.38,94.45,95.12,1971317,PGR
10/05/20,95.18,96.075,94.28,95.98,1325172,PGR
10/02/20,92.87,95.3,92.4,94.21,1586944,PGR
10/01/20,95.08,95.44,92.72,93.46,2006342,PGR
09/30/20,94.375,94.99,93.49,94.67,3119620,PGR
09/29/20,94.13,94.77,93.59,94.15,1744740,PGR
09/28/20,93.56,94.965,93.25,93.98,1826941,PGR
09/25/20,91.32,92.82,91.2,92.6,1676776,PGR
09/24/20,91.73,92.91,90.89,92.2,1810422,PGR
09/23/20,94.44,94.7,91.14,91.19,2881259,PGR
09/22/20,96.71,97.81,93.48,94.42,2923131,PGR
09/21/20,95.69,97.38,95.36,97.36,2740777,PGR
09/18/20,95.12,97.52,94.94,96.86,3894584,PGR
09/17/20,94.39,95.99,93.81,95.43,2322295,PGR
09/16/20,95.89,96.25,95.05,95.08,1808456,PGR
09/15/20,96.37,96.9,94.94,95.08,1764153,PGR
09/14/20,95.68,96.58,95.37,96.26,1838728,PGR
09/11/20,94.3,95.67,94.18,94.98,1494686,PGR
09/10/20,94.47,95.59,94.15,94.35,1912046,PGR
09/09/20,92.34,95.4096,92.34,94.67,1826886,PGR
09/08/20,93.09,93.09,90.625,91.81,2398180,PGR
09/04/20,93.99,95.05,92.425,92.94,2059469,PGR
09/03/20,95.59,96.2,92.66,93.29,2378030,PGR
09/02/20,94.11,95.365,93.2501,95.0,1774056,PGR
09/01/20,94.8,95.29,93.075,93.87,2426199,PGR
08/31/20,93.71,95.35,93.1,95.04,2169154,PGR
08/28/20,93.68,93.82,93.115,93.68,1425815,PGR
08/27/20,92.49,93.9,92.49,93.31,1407342,PGR
08/26/20,92.07,92.735,91.52,92.17,1603644,PGR
08/25/20,92.45,93.03,91.72,92.77,2443850,PGR
08/24/20,92.0,92.34,91.43,92.0,2535029,PGR
08/21/20,91.22,91.9941,90.81,91.82,2085578,PGR
08/20/20,90.28,91.05,90.09,90.84,1663186,PGR
08/19/20,90.16,91.02,89.95,90.41,2728041,PGR
08/18/20,88.96,89.96,88.9,89.74,1510248,PGR
08/17/20,88.55,89.78,88.47,88.83,1709131,PGR
08/14/20,89.0,89.5572,88.6,88.97,1731176,PGR
08/13/20,88.38,89.05,87.93,89.04,1994849,PGR
08/12/20,90.03,90.48,88.72,89.01,2058888,PGR
08/11/20,90.93,91.12,88.87,89.02,2468168,PGR
08/10/20,90.99,91.14,89.71,90.12,2410688,PGR
08/07/20,89.31,90.77,89.31,90.73,1735406,PGR
08/06/20,90.7,91.38,88.91,89.61,2514610,PGR
08/05/20,91.03,91.81,90.555,90.62,2446491,PGR
08/04/20,89.58,90.47,89.43,90.25,2198087,PGR
08/03/20,90.7,91.23,89.65,89.89,2134399,PGR
07/31/20,88.2,90.41,88.11,90.34,4016496,PGR
07/30/20,87.89,89.325,87.68,88.52,2119893,PGR
