Date, Open, High, Low, Close, Volume,ticker
12/24/20,136.27,136.39,134.645,136.1,158929,PKG
12/23/20,134.12,136.81,133.905,135.73,1024150,PKG
12/22/20,133.82,134.7,133.34,133.81,598702,PKG
12/21/20,133.32,134.58,130.5,133.77,454811,PKG
12/18/20,134.73,135.11,132.325,134.86,1175188,PKG
12/17/20,136.0,136.18,134.21,135.65,500483,PKG
12/16/20,134.8,136.18,134.51,135.61,550754,PKG
12/15/20,132.99,134.58,132.29,134.19,487109,PKG
12/14/20,136.66,137.0979,131.54,131.68,597192,PKG
12/11/20,135.03,136.81,134.23,135.58,559065,PKG
12/10/20,135.74,136.97,134.85,135.56,633972,PKG
12/09/20,137.01,138.95,135.35,136.32,646482,PKG
12/08/20,133.64,137.54,133.64,137.07,519788,PKG
12/07/20,134.13,135.02,132.18,134.93,745686,PKG
12/04/20,132.3,134.0,132.3,133.17,512013,PKG
12/03/20,132.16,133.55,131.17,131.54,469013,PKG
12/02/20,131.59,132.856,130.24,131.98,431564,PKG
12/01/20,132.53,133.75,131.08,131.94,607000,PKG
11/30/20,131.95,132.21,129.21,130.0,696809,PKG
11/27/20,131.36,133.01,130.86,132.77,220538,PKG
11/25/20,133.41,134.425,131.51,131.75,358768,PKG
11/24/20,133.42,134.93,131.93,134.6,443177,PKG
11/23/20,131.23,132.69,130.24,131.47,277135,PKG
11/20/20,129.9,130.79,127.64,129.8,579267,PKG
11/19/20,131.68,131.68,128.58,129.8,711982,PKG
11/18/20,135.57,135.97,131.82,131.89,655016,PKG
11/17/20,133.61,136.47,132.295,135.58,655794,PKG
11/16/20,132.23,135.005,130.82,134.36,512818,PKG
11/13/20,127.2,130.4,127.2,129.95,534992,PKG
11/12/20,126.62,126.9,125.115,126.87,421458,PKG
11/11/20,130.15,130.65,127.38,127.89,505220,PKG
11/10/20,126.93,129.94,126.05,129.94,478832,PKG
11/09/20,129.71,131.75,125.33,126.79,827166,PKG
11/06/20,122.65,124.735,121.346,123.21,704326,PKG
11/05/20,119.6,123.3,119.075,122.54,313366,PKG
11/04/20,121.71,121.71,118.12,118.42,392905,PKG
11/03/20,119.84,123.99,119.14,123.25,646101,PKG
11/02/20,115.73,117.98,115.32,117.87,540150,PKG
10/30/20,114.37,115.25,112.9929,114.49,361821,PKG
10/29/20,112.03,115.875,112.03,114.78,456478,PKG
10/28/20,111.94,112.92,110.87,111.93,565558,PKG
10/27/20,115.55,117.895,113.91,113.97,616008,PKG
10/26/20,118.23,118.31,115.19,115.78,436354,PKG
10/23/20,118.51,119.6,118.2,119.2,419323,PKG
10/22/20,117.59,118.62,116.53,118.19,283133,PKG
10/21/20,116.82,118.76,116.69,117.71,444498,PKG
10/20/20,118.4,118.7243,116.015,116.53,352669,PKG
