Date, Open, High, Low, Close, Volume,ticker
12/24/20,139.21,140.11,138.64,139.71,174116,PKI
12/23/20,139.98,140.39,137.58,139.32,375117,PKI
12/22/20,140.44,141.56,138.99,139.86,528856,PKI
12/21/20,141.04,141.41,137.4,140.62,831491,PKI
12/18/20,143.16,143.55,140.77,142.7,1484796,PKI
12/17/20,141.53,143.5999,141.07,143.42,928204,PKI
12/16/20,145.0,145.34,140.4,140.8,1089252,PKI
12/15/20,146.09,147.8,145.08,145.2,841578,PKI
12/14/20,146.5,149.95,145.28,145.32,560960,PKI
12/11/20,145.8,146.65,144.36,146.07,639150,PKI
12/10/20,143.46,146.67,143.09,145.91,800834,PKI
12/09/20,147.89,147.89,142.95,143.91,886282,PKI
12/08/20,143.5,148.39,143.45,147.91,1196797,PKI
12/07/20,141.5,144.17,141.5,143.89,904172,PKI
12/04/20,138.43,141.88,138.3,141.78,750263,PKI
12/03/20,139.06,139.32,137.62,138.02,699620,PKI
12/02/20,137.93,139.4,135.745,138.58,993232,PKI
12/01/20,132.89,137.45,131.94,137.2,1009808,PKI
11/30/20,129.61,133.19,129.445,133.0,1220502,PKI
11/27/20,127.96,129.32,127.615,129.26,283812,PKI
11/25/20,126.75,127.78,126.6,127.5,1268165,PKI
11/24/20,128.63,128.84,126.0,127.07,1341777,PKI
11/23/20,130.15,130.45,125.76,127.82,906055,PKI
11/20/20,131.0,131.2,129.87,130.19,1015200,PKI
11/19/20,128.75,131.3,128.09,130.81,767368,PKI
11/18/20,133.0,133.12,127.46,128.67,938127,PKI
11/17/20,132.75,134.0,132.04,133.0,1516623,PKI
11/16/20,132.28,134.33,131.14,133.32,832471,PKI
11/13/20,132.03,132.68,130.85,132.12,698447,PKI
11/12/20,129.21,131.89,129.15,130.64,634514,PKI
11/11/20,127.47,130.725,127.0,129.07,1155032,PKI
11/10/20,127.73,129.18,123.66,125.53,1649969,PKI
11/09/20,136.5,136.5,123.015,128.09,3100367,PKI
11/06/20,138.75,142.65,137.85,141.3,820673,PKI
11/05/20,137.21,139.78,136.5201,138.41,827184,PKI
11/04/20,134.57,136.34,133.2703,135.04,1080176,PKI
11/03/20,133.99,135.49,132.52,133.15,1031359,PKI
11/02/20,130.19,133.94,130.19,132.64,1505079,PKI
10/30/20,127.94,129.56,125.61,129.55,827173,PKI
10/29/20,126.91,132.505,124.4,128.79,1547036,PKI
10/28/20,124.64,125.91,123.37,124.4,1123217,PKI
10/27/20,124.0,128.2352,123.5035,127.08,1012966,PKI
10/26/20,123.03,124.63,122.1735,124.07,814036,PKI
10/23/20,125.58,125.58,122.82,124.45,558016,PKI
10/22/20,124.1,125.96,123.01,125.2,846664,PKI
10/21/20,123.65,124.84,123.25,123.38,548441,PKI
10/20/20,123.1,124.67,122.5,123.35,656581,PKI
10/19/20,123.79,125.15,122.0,122.3,1159429,PKI
10/16/20,124.18,125.695,123.69,124.02,576842,PKI
10/15/20,120.66,124.11,119.94,123.33,1003972,PKI
10/14/20,124.57,125.28,121.11,122.05,1449459,PKI
10/13/20,127.8,128.88,124.33,124.67,1240939,PKI
10/12/20,134.05,134.39,127.71,128.33,1334023,PKI
10/09/20,128.86,129.8,128.0,129.68,482188,PKI
10/08/20,128.51,129.1494,126.68,127.61,577283,PKI
10/07/20,127.3,129.29,127.3,128.24,707513,PKI
10/06/20,129.57,129.85,124.82,126.55,1117409,PKI
10/05/20,125.62,129.8,125.15,129.71,893291,PKI
10/02/20,123.18,125.14,122.41,124.56,627101,PKI
10/01/20,127.5,128.98,123.66,124.86,1149639,PKI
09/30/20,123.65,126.1,123.65,125.51,1304429,PKI
09/29/20,121.89,124.65899999999999,121.89,123.26,1266805,PKI
09/28/20,120.61,122.45,120.61,121.89,590548,PKI
09/25/20,117.27,120.62,116.76,119.8,593034,PKI
09/24/20,117.18,118.36,116.27,117.96,646828,PKI
09/23/20,119.66,120.49,117.48,117.58,367397,PKI
09/22/20,117.93,120.11,117.34,119.95,665886,PKI
09/21/20,116.59,118.47,114.75,118.25,774493,PKI
09/18/20,119.32,120.28,117.57,118.2,1162116,PKI
09/17/20,119.03,121.34,118.37,119.49,689000,PKI
09/16/20,119.54,120.63,119.0,120.31,762171,PKI
09/15/20,118.34,119.27,118.16,118.51,454778,PKI
09/14/20,118.57,118.93,117.0695,117.73,678673,PKI
09/11/20,116.14,119.57,115.54,117.69,1143978,PKI
09/10/20,114.85,116.48,113.14,113.46,601643,PKI
09/09/20,112.69,115.14,112.38,114.25,434948,PKI
09/08/20,112.8,113.4,111.5,112.01,593428,PKI
09/04/20,116.64,116.64,111.57,114.3,804947,PKI
09/03/20,121.33,121.33,114.72,116.04,944075,PKI
09/02/20,120.3,122.29,119.45,122.06,653189,PKI
09/01/20,118.73,119.525,117.73,119.39,841185,PKI
08/31/20,117.07,118.39,116.82,117.72,873007,PKI
08/28/20,114.82,116.94,114.685,116.91,683012,PKI
08/27/20,115.49,115.87,111.455,114.5,1546769,PKI
08/26/20,116.2,119.8,116.06,119.44,1064930,PKI
08/25/20,115.34,116.63,115.22,116.22,663047,PKI
08/24/20,117.73,118.255,114.75,115.22,703693,PKI
08/21/20,116.78,117.34,116.61,116.9,811236,PKI
08/20/20,117.0,117.3036,116.28,116.77,534159,PKI
08/19/20,118.62,118.905,117.28,117.69,888586,PKI
08/18/20,119.76,120.0,117.76,118.04,1115286,PKI
08/17/20,118.84,120.27,118.5901,119.67,993486,PKI
08/14/20,119.76,120.055,117.66,118.25,370667,PKI
08/13/20,119.87,120.55,119.0,120.0,760891,PKI
08/12/20,118.22,120.55,117.75,119.87,537265,PKI
08/11/20,118.46,119.21,117.49,117.71,593054,PKI
08/10/20,119.19,119.75,118.46,118.6,713086,PKI
08/07/20,119.03,119.88,118.655,119.33,768958,PKI
08/06/20,122.07,122.58,118.21,119.05,1140661,PKI
08/05/20,121.78,123.21,121.19,122.09,938187,PKI
08/04/20,121.27,122.33,119.935,120.82,869696,PKI
08/03/20,119.66,121.92,119.5,121.77,1329287,PKI
07/31/20,118.95,119.01,117.03,118.91,901776,PKI
07/30/20,118.84,119.93,118.29,118.81,771801,PKI
07/29/20,118.8,121.44,117.22,119.64,3076302,PKI
07/28/20,114.47,115.805,112.71,112.99,1281255,PKI
07/27/20,111.03,115.42,110.99,114.97,1295682,PKI
07/24/20,111.37,111.43,109.54,110.37,673429,PKI
