Date, Open, High, Low, Close, Volume,ticker
12/24/20,364.95,366.87,361.19,364.73,83228,POOL
12/23/20,371.46,371.685,363.02,365.52,139140,POOL
12/22/20,362.01,370.88,362.0,369.73,204385,POOL
12/21/20,360.43,365.0,352.79,362.01,309885,POOL
12/18/20,358.2,366.35,356.6078,364.37,637598,POOL
12/17/20,352.63,357.26,350.345,356.15,294766,POOL
12/16/20,348.09,355.55,347.19,352.94,288669,POOL
12/15/20,347.0,353.19,345.92,348.79,280629,POOL
12/14/20,339.46,348.22,338.31,346.58,354111,POOL
12/11/20,331.37,339.5161,330.28,337.79,292176,POOL
12/10/20,333.98,336.5,330.106,331.4,323973,POOL
12/09/20,337.97,342.29,334.18,334.9,307107,POOL
12/08/20,334.59,339.49,330.04,339.12,355032,POOL
12/07/20,325.28,335.02,324.42,332.59,344043,POOL
12/04/20,329.52,329.52,318.89,324.27,467838,POOL
12/03/20,337.07,340.42,328.55,330.24,486357,POOL
12/02/20,350.7,352.5,335.5996,339.13,413050,POOL
12/01/20,346.11,353.77,342.13,353.1,744307,POOL
11/30/20,343.99,346.82,337.5744,346.11,3029351,POOL
11/27/20,336.55,344.22,333.75,343.12,310762,POOL
11/25/20,330.37,337.68,329.5,333.59,449121,POOL
11/24/20,332.65,337.71,325.38,328.28,417650,POOL
11/23/20,339.22,343.82,333.21,334.13,541927,POOL
11/20/20,336.52,341.18,330.88,339.87,431915,POOL
11/19/20,326.43,340.36,326.43,338.65,546102,POOL
11/18/20,330.16,332.18,321.57,322.44,552349,POOL
11/17/20,341.72,344.62,327.15,329.45,420867,POOL
11/16/20,338.16,341.26,333.54,340.8,381079,POOL
11/13/20,340.41,344.785,338.24,340.63,265192,POOL
11/12/20,349.36,350.74,336.971,339.53,272486,POOL
11/11/20,340.58,349.72,336.03,346.07,496611,POOL
11/10/20,322.68,340.8,322.49,339.71,566133,POOL
11/09/20,373.17,376.5,320.92,322.3,975522,POOL
11/06/20,386.27,391.495,380.89,382.89,440075,POOL
11/05/20,380.95,391.11,379.4,383.92,326650,POOL
11/04/20,368.53,381.15,364.996,377.17,433034,POOL
11/03/20,360.18,367.71,357.92,364.18,255982,POOL
11/02/20,353.49,360.465,349.6317,357.29,337273,POOL
10/30/20,357.62,359.5,344.74,349.83,326466,POOL
10/29/20,361.11,367.375,359.75,360.64,350494,POOL
10/28/20,363.03,366.6,357.61,362.85,306822,POOL
10/27/20,367.0,370.12,361.985,366.99,333458,POOL
10/26/20,358.57,362.75,356.955,362.55,357759,POOL
10/23/20,353.52,362.96,353.01,361.71,314476,POOL
10/22/20,365.99,371.165,346.95,350.26,511499,POOL
10/21/20,358.89,360.0,353.91,355.97,411740,POOL
10/20/20,353.635,360.245,353.26,355.63,267295,POOL
10/19/20,360.21,361.7659,351.66,353.55,281521,POOL
10/16/20,361.05,363.98,356.71,359.44,291022,POOL
10/15/20,355.27,363.36,353.18,360.38,330495,POOL
10/14/20,353.15,363.44,352.445,360.31,382304,POOL
10/13/20,353.91,355.5,348.99,351.99,388985,POOL
10/12/20,349.99,353.47,347.0,352.69,281373,POOL
10/09/20,347.474,350.04,343.57,346.55,454129,POOL
10/08/20,333.01,342.8799,333.01,340.85,410426,POOL
10/07/20,329.05,334.0,327.75,331.64,547574,POOL
10/06/20,327.63,331.61,321.115,328.01,8139038,POOL
10/05/20,323.01,329.425,321.3,327.75,670610,POOL
10/02/20,319.88,327.29,319.08,322.79,729765,POOL
10/01/20,338.28,338.57,325.93,328.28,380641,POOL
09/30/20,328.56,338.88,328.56,334.54,336782,POOL
09/29/20,325.61,330.45,324.76,328.54,319212,POOL
09/28/20,320.67,325.965,315.485,325.2,308424,POOL
09/25/20,308.79,316.57,306.585,315.1,204056,POOL
09/24/20,306.22,313.74,304.43,310.1,231589,POOL
09/23/20,306.98,310.06,305.01,307.28,245176,POOL
09/22/20,303.29,309.59,301.81,307.9,286247,POOL
09/21/20,295.12,301.23,294.56,300.49,258222,POOL
09/18/20,303.39,305.715,297.37,301.26,534580,POOL
09/17/20,297.35,304.5,293.38,304.29,258555,POOL
09/16/20,309.79,311.71,300.09,300.22,262862,POOL
09/15/20,312.74,313.55,307.245,308.48,237401,POOL
09/14/20,303.51,309.74,300.885,308.38,361680,POOL
09/11/20,302.83,305.5,299.35,300.32,205970,POOL
09/10/20,303.94,305.2226,298.24,300.18,253854,POOL
09/09/20,297.46,304.55,296.87,302.42,271102,POOL
09/08/20,289.72,298.09,285.925,293.12,350905,POOL
09/04/20,308.27,313.825,291.37,295.0,667498,POOL
09/03/20,328.07,328.9,307.8811,309.68,316722,POOL
09/02/20,332.21,334.3,325.22,329.88,252032,POOL
09/01/20,329.71,331.91,328.55,329.92,314578,POOL
08/31/20,330.74,334.32,326.65,327.84,233879,POOL
08/28/20,337.35,338.75,329.23,330.9,185869,POOL
08/27/20,337.8,342.15,334.665,336.67,233613,POOL
08/26/20,335.96,337.875,333.785,335.85,177352,POOL
08/25/20,333.75,336.41,332.43,335.4,177040,POOL
08/24/20,335.71,336.55,332.98,334.72,265733,POOL
08/21/20,325.0,333.59,324.33,333.37,259404,POOL
08/20/20,325.4,328.63,323.7,325.5,228993,POOL
08/19/20,329.17,329.7,324.31,325.53,152025,POOL
08/18/20,328.13,332.17,324.41,328.05,255236,POOL
08/17/20,321.18,329.95,319.8,326.03,213853,POOL
08/14/20,319.87,322.7462,317.01,319.32,130095,POOL
08/13/20,322.77,329.5289,319.85,320.11,203351,POOL
08/12/20,317.74,325.855,314.78,324.36,337134,POOL
08/11/20,324.9,324.9,314.895,316.18,475477,POOL
08/10/20,329.78,329.78,321.61,325.49,197411,POOL
08/07/20,327.24,331.12,326.04,328.6,156849,POOL
08/06/20,327.73,329.16,324.325,328.55,130474,POOL
08/05/20,324.03,328.0,321.56,327.99,166359,POOL
08/04/20,321.49,326.185,320.21,324.81,230762,POOL
08/03/20,317.87,327.61,317.87,322.22,307233,POOL
07/31/20,315.73,316.77,312.1701,316.7,284065,POOL
07/30/20,310.85,316.72,310.24,314.94,371959,POOL
07/29/20,307.55,314.5893,307.55,313.95,317674,POOL
07/28/20,311.0,311.0,305.23,306.63,240594,POOL
07/27/20,306.67,311.48,305.09,310.33,286057,POOL
07/24/20,298.0,306.69,295.09,304.27,468244,POOL
07/23/20,312.0,318.71,297.165,300.58,826501,POOL
07/22/20,297.07,303.959,297.015,301.9,426814,POOL
07/21/20,304.63,304.6603,295.69,296.42,320300,POOL
07/20/20,295.84,302.585,292.1544,301.35,340541,POOL
07/17/20,286.09,294.94,283.74,294.39,311594,POOL
