Date, Open, High, Low, Close, Volume,ticker
12/24/20,143.8,145.31,143.15,145.0,300841,PPG
12/23/20,144.71,146.11,143.87,143.87,948369,PPG
12/22/20,146.51,146.52,143.89,144.7,1079700,PPG
12/21/20,143.67,146.81,142.33,146.1,900196,PPG
12/18/20,144.255,145.91,142.37,145.43,2417457,PPG
12/17/20,144.05,144.6,142.58,144.29,850716,PPG
12/16/20,144.86,145.34,142.18,142.89,1166139,PPG
12/15/20,143.19,144.69,142.43,144.12,1210007,PPG
12/14/20,143.8,144.01,141.365,141.76,995700,PPG
12/11/20,142.34,143.46,141.42,142.93,1223751,PPG
12/10/20,144.46,145.44,142.61,143.33,1115213,PPG
12/09/20,145.2,145.81,143.5176,145.39,959134,PPG
12/08/20,144.18,145.83,143.97,144.88,1024296,PPG
12/07/20,146.5,146.9,144.72,144.9,917061,PPG
12/04/20,146.28,147.74,146.025,146.93,1112557,PPG
12/03/20,147.16,148.03,145.16,145.43,992772,PPG
12/02/20,148.63,149.2999,146.86,147.11,801301,PPG
12/01/20,149.16,149.88,147.84,149.11,1253864,PPG
11/30/20,147.3,147.35,144.355,146.77,1414908,PPG
11/27/20,146.99,147.895,146.42,147.78,321946,PPG
11/25/20,147.5,147.83,145.83,146.69,779185,PPG
11/24/20,146.4,148.09,145.89,147.93,1480741,PPG
11/23/20,144.19,145.69,143.55,144.78,822626,PPG
11/20/20,142.96,143.9,141.33,143.04,915460,PPG
11/19/20,142.03,143.78,140.66,143.22,745278,PPG
11/18/20,144.08,144.87,142.69,142.8,873826,PPG
11/17/20,143.05,143.73,140.55,143.27,917060,PPG
11/16/20,145.0,145.67,142.895,144.27,1043756,PPG
11/13/20,141.23,143.23,140.7,142.82,748898,PPG
11/12/20,141.75,142.225,138.41,139.87,768169,PPG
11/11/20,143.77,143.77,141.29,142.65,1105347,PPG
11/10/20,142.11,143.97,140.895,142.82,1141455,PPG
11/09/20,146.41,149.34,139.915,141.87,1783823,PPG
11/06/20,138.46,139.6,137.04,138.76,809801,PPG
11/05/20,135.5,139.63,135.38,138.26,1176496,PPG
11/04/20,135.19,136.07,131.15,132.81,1866120,PPG
11/03/20,136.46,138.03,134.64,136.86,1479547,PPG
