Date, Open, High, Low, Close, Volume,ticker
12/24/20,26.75,26.92,26.454,26.89,1985581,PPL
12/23/20,26.46,27.015,26.38,26.78,4984217,PPL
12/22/20,26.65,26.68,26.23,26.33,7584111,PPL
12/21/20,26.56,26.73,26.15,26.71,8463913,PPL
12/18/20,27.35,27.58,26.74,26.95,12709240,PPL
12/17/20,27.41,27.81,27.35,27.35,8698149,PPL
12/16/20,28.01,28.19,27.29,27.32,7328509,PPL
12/15/20,27.81,28.0684,27.32,27.93,5551877,PPL
12/14/20,28.31,28.43,27.56,27.6,5661438,PPL
12/11/20,27.99,28.23,27.95,28.08,4838454,PPL
12/10/20,28.82,28.94,28.08,28.12,4218857,PPL
12/09/20,28.64,28.97,28.56,28.88,4465610,PPL
12/08/20,28.76,29.235,28.685,29.05,4722374,PPL
12/07/20,28.5,29.285,28.48,28.85,5592386,PPL
12/04/20,28.49,28.745,28.43,28.61,5082181,PPL
12/03/20,28.45,28.64,28.2584,28.46,3527431,PPL
12/02/20,28.25,28.62,27.7801,28.53,5594996,PPL
12/01/20,28.56,28.88,28.27,28.36,5316893,PPL
11/30/20,28.77,28.9997,28.38,28.42,7431898,PPL
11/27/20,29.45,29.489,28.95,29.11,2645521,PPL
11/25/20,30.55,30.6,28.72,29.39,9237295,PPL
11/24/20,30.31,30.805,30.212,30.68,4998224,PPL
11/23/20,29.25,30.07,29.1599,29.99,4245572,PPL
11/20/20,29.2,29.4653,29.1,29.15,3504525,PPL
11/19/20,29.2,29.36,28.98,29.23,3757572,PPL
11/18/20,29.73,30.1199,29.235,29.25,3943632,PPL
11/17/20,30.07,30.24,29.4,29.53,3690700,PPL
11/16/20,30.34,30.52,29.97,30.3,5334103,PPL
11/13/20,29.0,30.02,29.0,29.81,4260873,PPL
11/12/20,29.08,29.415,28.72,28.89,5705004,PPL
11/11/20,29.85,29.96,29.265,29.41,3957793,PPL
11/10/20,28.75,29.81,28.73,29.74,6276089,PPL
11/09/20,28.56,29.58,28.38,28.75,6560316,PPL
11/06/20,28.06,28.44,27.46,27.61,3371380,PPL
11/05/20,28.21,28.6064,27.82,28.06,2807582,PPL
11/04/20,28.57,28.87,27.92,27.92,4065107,PPL
11/03/20,28.47,28.97,28.41,28.84,5571113,PPL
11/02/20,27.76,28.21,27.51,28.11,4026010,PPL
10/30/20,27.33,27.715,27.225,27.5,3975432,PPL
10/29/20,27.14,27.96,26.73,27.59,3876515,PPL
10/28/20,27.96,28.34,27.25,27.3,5380115,PPL
10/27/20,28.91,28.98,28.52,28.54,3748849,PPL
10/26/20,28.35,28.93,28.28,28.92,4670769,PPL
10/23/20,28.68,28.755,28.275,28.67,3360676,PPL
10/22/20,27.83,28.45,27.5,28.43,3912238,PPL
10/21/20,27.99,28.19,27.745,27.9,4018932,PPL
10/20/20,27.95,28.2,27.8,28.07,3745819,PPL
10/19/20,28.63,28.7,27.72,27.77,4161559,PPL
10/16/20,28.6,28.71,28.35,28.59,3219150,PPL
10/15/20,28.25,28.6784,28.24,28.55,3072435,PPL
10/14/20,28.51,28.72,28.23,28.48,2395152,PPL
10/13/20,28.9,28.9,28.18,28.47,2890978,PPL
10/12/20,28.93,29.155,28.9,28.99,2604466,PPL
10/09/20,29.25,29.34,28.75,28.94,3635025,PPL
10/08/20,28.87,29.18,28.76,29.11,3177421,PPL
10/07/20,28.9,29.01,28.59,28.76,2863508,PPL
10/06/20,28.54,29.14,28.33,28.7,4021001,PPL
10/05/20,28.37,28.595,28.17,28.44,3361306,PPL
10/02/20,27.2,28.42,27.12,28.21,5297387,PPL
10/01/20,27.43,27.66,27.24,27.55,3904619,PPL
09/30/20,27.1,27.45,27.01,27.21,6601321,PPL
09/29/20,26.85,27.386,26.74,26.88,5496331,PPL
09/28/20,26.71,26.97,26.57,26.68,3559944,PPL
09/25/20,25.89,26.59,25.85,26.47,4280672,PPL
09/24/20,25.87,26.195,25.47,26.07,3755638,PPL
09/23/20,26.22,26.42,25.9,25.91,3627585,PPL
09/22/20,26.16,26.44,26.06,26.26,6707663,PPL
09/21/20,26.46,26.61,25.97,26.23,7228239,PPL
09/18/20,27.31,27.46,26.645,26.8,10507150,PPL
09/17/20,27.79,28.0,27.36,27.5,6795296,PPL
09/16/20,27.7,28.265,27.64,28.01,6347129,PPL
09/15/20,28.08,28.3,27.58,27.72,3732442,PPL
09/14/20,27.69,28.108,27.66,27.92,3891649,PPL
