Date, Open, High, Low, Close, Volume,ticker
12/24/20,69.19,69.28,68.04,68.73,1295243,PSX
12/23/20,68.38,69.973,68.01,69.36,2988063,PSX
12/22/20,66.52,68.18,66.15,67.51,3574303,PSX
12/21/20,64.76,67.26,63.8,66.49,3479152,PSX
12/18/20,67.09,67.52,66.06,66.85,8457011,PSX
12/17/20,67.86,67.87,66.4,67.17,3162471,PSX
12/16/20,68.45,68.5,66.92,67.29,3395174,PSX
12/15/20,67.16,68.69,66.25,68.25,3028539,PSX
12/14/20,69.71,70.55,66.865,67.19,2816386,PSX
12/11/20,70.2,70.4221,68.45,69.51,2557008,PSX
12/10/20,68.15,71.7,68.15,70.86,3352563,PSX
12/09/20,68.46,70.095,66.9832,68.77,3602172,PSX
12/08/20,66.06,69.08,66.06,67.39,3050808,PSX
12/07/20,68.32,68.81,66.32,67.05,3059542,PSX
12/04/20,66.74,69.92,66.52,69.32,4437462,PSX
12/03/20,64.75,66.9,63.84,65.02,2732736,PSX
12/02/20,61.2,65.28,61.0437,64.43,4410677,PSX
12/01/20,62.78,64.18,61.5316,61.88,4022000,PSX
11/30/20,64.26,64.5,60.3,60.58,6423021,PSX
11/27/20,65.62,66.25,64.695,65.23,1936013,PSX
11/25/20,66.88,67.23,65.77,66.26,3755886,PSX
11/24/20,68.15,68.7108,66.6,67.72,4208532,PSX
11/23/20,62.72,65.92,62.6009,65.84,4506466,PSX
11/20/20,61.3,62.49,61.01,61.59,2651716,PSX
11/19/20,60.0,61.815,59.53,61.45,2673663,PSX
11/18/20,64.76,64.85,60.72,60.75,4151026,PSX
11/17/20,61.25,64.43,60.25,64.34,5370214,PSX
11/16/20,61.19,63.135,59.1,62.62,6020348,PSX
11/13/20,55.57,59.5,55.5,58.76,5658371,PSX
11/12/20,57.68,58.53,54.6,54.85,5079940,PSX
11/11/20,58.9,58.99,57.685,58.98,4588526,PSX
11/10/20,58.69,58.78,55.7,58.14,5192434,PSX
11/09/20,52.42,58.2269,52.3,57.03,8912774,PSX
11/06/20,48.11,48.89,46.185,46.68,3617112,PSX
11/05/20,47.71,48.905,47.43,48.19,3211571,PSX
11/04/20,47.66,49.25,46.61,47.92,3709042,PSX
11/03/20,48.62,49.04,46.85,47.52,3287310,PSX
11/02/20,47.38,48.48,46.51,47.96,3732559,PSX
10/30/20,45.38,46.74,44.91,46.66,4579288,PSX
10/29/20,43.62,46.18,43.27,45.98,4436266,PSX
10/28/20,45.73,46.5,44.14,44.22,4911672,PSX
10/27/20,48.0,48.3744,47.02,47.07,3525708,PSX
10/26/20,49.64,49.6504,47.9,48.14,3215005,PSX
10/23/20,50.55,51.44,49.41,50.48,3291382,PSX
10/22/20,48.68,50.19,47.55,50.01,3408707,PSX
10/21/20,48.88,49.821000000000005,48.66,48.72,3798361,PSX
10/20/20,49.37,50.091,49.08,49.59,3471831,PSX
10/19/20,50.91,50.93,48.88,48.95,3683154,PSX
10/16/20,52.46,52.5,50.47,50.58,2939724,PSX
10/15/20,51.05,52.74,50.42,52.51,3502154,PSX
10/14/20,51.72,53.36,51.5301,52.08,2112867,PSX
10/13/20,52.87,53.46,51.115,51.27,2885576,PSX
10/12/20,52.66,54.36,51.925,53.46,2768995,PSX
10/09/20,54.04,54.5,52.55,53.04,3185968,PSX
10/08/20,52.12,53.66,52.06,53.64,2397977,PSX
10/07/20,51.45,52.18,50.65,51.93,2621494,PSX
10/06/20,53.49,53.49,50.935,51.06,2926513,PSX
10/05/20,51.83,53.125,51.72,52.55,2711639,PSX
10/02/20,48.96,51.7643,48.8205,51.06,3453476,PSX
10/01/20,51.19,51.6,49.7457,50.28,4047133,PSX
09/30/20,52.47,53.05,51.59,51.84,2670325,PSX
09/29/20,53.76,53.82,51.76,52.19,2464654,PSX
09/28/20,53.94,54.64,53.43,53.98,2126626,PSX
09/25/20,52.07,53.28,51.7,52.88,2824527,PSX
09/24/20,52.3,53.85,51.05,52.85,2980966,PSX
09/23/20,55.47,55.82,52.5622,52.63,3725292,PSX
09/22/20,55.71,56.8151,54.87,55.36,4135916,PSX
09/21/20,57.92,58.23,55.58,55.92,6187532,PSX
09/18/20,59.25,60.7201,58.93,59.82,7292385,PSX
09/17/20,58.82,60.42,58.76,60.35,4186969,PSX
09/16/20,58.75,61.73,58.11,60.51,5347858,PSX
09/15/20,58.25,59.54,57.71,58.05,3397667,PSX
09/14/20,57.52,58.92,57.43,58.37,2889682,PSX
09/11/20,55.69,57.42,54.88,57.07,3002097,PSX
09/10/20,58.16,58.26,55.35,55.36,3100885,PSX
09/09/20,58.04,58.63,57.16,57.87,3057108,PSX
09/08/20,58.32,59.63,57.87,57.96,4120005,PSX
09/04/20,60.0,60.6372,58.56,58.98,3420393,PSX
09/03/20,60.13,61.73,59.2,59.69,3365737,PSX
09/02/20,58.59,60.38,57.83,60.05,4491722,PSX
09/01/20,58.38,59.41,57.71,58.79,3195032,PSX
08/31/20,61.85,61.92,58.46,58.47,3656992,PSX
08/28/20,60.35,62.07,60.35,61.79,2470843,PSX
08/27/20,60.18,60.43,59.07,60.26,3160242,PSX
08/26/20,61.42,61.84,60.01,60.03,3003408,PSX
08/25/20,63.7,63.95,61.4167,61.63,2303863,PSX
08/24/20,61.25,63.68,60.675,63.65,3011164,PSX
08/21/20,61.0,61.78,60.57,60.97,3125231,PSX
08/20/20,60.76,61.59,60.62,60.97,2598679,PSX
08/19/20,61.5,62.0861,60.37,61.42,3100845,PSX
08/18/20,62.26,62.5,61.09,61.31,2658848,PSX
08/17/20,62.7,63.14,62.13,62.36,2816430,PSX
08/14/20,62.1,63.76,61.86,63.66,2638121,PSX
08/13/20,63.85,64.29,62.62,62.63,2875543,PSX
08/12/20,65.34,65.51,63.805,64.41,3442555,PSX
08/11/20,66.39,67.47,63.75,64.11,3544158,PSX
08/10/20,63.37,64.92,62.9,64.87,3387086,PSX
08/07/20,60.6,62.99,60.14,62.87,2913999,PSX
08/06/20,61.1,62.9499,60.6799,60.97,3187788,PSX
08/05/20,63.12,63.12,60.53,61.96,4595467,PSX
08/04/20,60.75,62.33,60.12,61.85,3412611,PSX
08/03/20,61.31,62.0,60.035,61.12,4331873,PSX
07/31/20,61.37,63.1,60.59,62.02,5835880,PSX
07/30/20,64.01,64.21,61.3,63.09,3118401,PSX
07/29/20,64.16,65.59,63.71,65.58,2449149,PSX
07/28/20,64.14,64.96,63.4,63.58,2428573,PSX
07/27/20,64.75,65.03,63.6,64.59,1826579,PSX
07/24/20,65.45,66.48,64.75,65.06,2040648,PSX
07/23/20,64.82,65.7,63.97,65.18,2104706,PSX
07/22/20,65.16,65.529,63.91,65.25,2585748,PSX
07/21/20,63.73,66.9,63.5,66.42,3242033,PSX
07/20/20,63.85,64.56,62.27,62.33,2079577,PSX
07/17/20,65.31,66.16,63.585,63.84,2123470,PSX
07/16/20,65.07,66.12,63.8729,64.87,1857268,PSX
07/15/20,63.97,65.72,62.7,65.46,3635513,PSX
07/14/20,59.63,62.21,59.4,61.96,3423297,PSX
07/13/20,61.34,61.77,59.5,60.27,3481437,PSX
07/10/20,58.73,61.12,58.72,61.06,4247860,PSX
07/09/20,64.0,64.33,58.92,58.98,6096188,PSX
07/08/20,64.68,65.562,63.64,63.98,3798034,PSX
07/07/20,67.19,67.25,64.48,64.61,3120815,PSX
07/06/20,69.61,69.95,66.28,68.09,3592368,PSX
07/02/20,70.27,70.98,68.28,68.42,2624126,PSX
07/01/20,71.77,73.35,68.83,69.11,2251711,PSX
06/30/20,68.02,72.35,67.26,71.9,3502936,PSX
06/29/20,68.84,69.76,67.82,68.66,2365292,PSX
06/26/20,69.73,69.75,67.96,68.07,3797733,PSX
06/25/20,69.42,71.459,68.89,70.07,2655162,PSX
06/24/20,73.5,73.72,69.32,69.99,3560170,PSX
06/23/20,74.75,75.455,74.17,74.7,2749912,PSX
06/22/20,74.1,74.84,72.9,74.4,2455728,PSX
06/19/20,78.0,78.41,74.605,74.7,7484416,PSX
06/18/20,72.51,76.67,72.1,76.24,3760186,PSX
06/17/20,77.04,77.265,72.84,72.88,3665501,PSX
06/16/20,78.9,78.95,75.18,77.04,3419649,PSX
06/15/20,73.43,76.59,72.6,75.6,4309403,PSX
06/12/20,77.73,79.66,75.315,77.26,3025939,PSX
06/11/20,78.01,79.85,74.96,75.0,4387240,PSX
06/10/20,85.05,87.02,83.41,84.33,3201673,PSX
06/09/20,86.56,86.91,85.13,85.67,3810238,PSX
06/08/20,88.56,89.79,87.39,89.73,3355900,PSX
06/05/20,86.77,88.46,86.15,87.4,3767337,PSX
06/04/20,82.56,83.64,81.6801,83.13,2586649,PSX
06/03/20,82.85,84.3616,82.64,83.73,2562417,PSX
06/02/20,79.64,81.73,79.08,81.57,3151882,PSX
06/01/20,78.03,78.97,76.31,78.83,2470640,PSX
05/29/20,78.33,79.3,77.08,78.26,4305494,PSX
05/28/20,81.92,82.03,78.2,78.56,4131089,PSX
05/27/20,80.0,81.92,79.11,81.73,3328408,PSX
05/26/20,79.16,79.92,78.4606,78.97,2747470,PSX
05/22/20,76.34,76.84,75.15,76.46,2036416,PSX
05/21/20,78.65,79.10300000000001,76.82,77.09,2299484,PSX
05/20/20,76.81,79.11,76.65,78.25,3501458,PSX
05/19/20,76.0,76.81,74.11,75.22,3736997,PSX
05/18/20,75.0,77.74,74.7422,76.28,4532558,PSX
05/15/20,70.47,71.9,69.13,70.93,2830592,PSX
05/14/20,69.6,72.79,67.87,71.75,3159700,PSX
05/13/20,73.0,73.36,70.52,71.03,3687456,PSX
05/12/20,77.12,77.37,73.49,73.53,3117400,PSX
05/11/20,76.16,77.735,75.85,76.67,3442156,PSX
05/08/20,74.63,77.44,73.78,77.06,3278985,PSX
05/07/20,73.79,75.63,72.53,73.31,3588376,PSX
05/06/20,75.82,76.29,71.82,71.91,5971967,PSX
05/05/20,75.5,76.77,73.91,75.2,6934417,PSX
05/04/20,66.01,74.41,65.7,73.48,7575846,PSX
05/01/20,70.55,71.37,65.26,66.36,6626638,PSX
04/30/20,73.51,75.6315,72.01,73.17,5993424,PSX
04/29/20,70.0,73.8,69.5,73.5,5191398,PSX
04/28/20,65.15,67.67,64.23,67.34,3851930,PSX
04/27/20,60.65,64.125,60.1704,63.49,3234507,PSX
04/24/20,61.0,61.615,59.5304,60.53,3400340,PSX
04/23/20,60.07,60.64,58.36,59.97,3419823,PSX
04/22/20,59.67,59.87,57.35,58.18,3073447,PSX
04/21/20,55.51,58.0,54.41,56.8,3287125,PSX
04/20/20,57.0,60.275,56.51,58.12,3468482,PSX
04/17/20,54.95,59.69,54.64,59.53,5601686,PSX
04/16/20,55.97,56.39,53.16,53.53,4363342,PSX
04/15/20,58.31,58.4,55.06,56.47,4093093,PSX
04/14/20,61.81,62.41,60.08,61.07,3496922,PSX
04/13/20,63.1,63.8,60.98,61.56,3438279,PSX
04/09/20,67.11,67.44,59.4,61.52,5316775,PSX
04/08/20,59.62,64.2,59.39,63.7,3754830,PSX
04/07/20,60.17,61.56,58.01,58.63,5281147,PSX
04/06/20,54.09,57.93,53.435,57.42,5328240,PSX
04/03/20,53.0,53.35,50.34,51.62,3587494,PSX
04/02/20,51.5,56.1,50.06,51.72,5169006,PSX
04/01/20,51.47,51.85,49.04,49.51,4143185,PSX
03/31/20,55.71,56.5,52.05,53.65,4743844,PSX
03/30/20,50.67,54.93,48.69,54.16,5207896,PSX
03/27/20,52.08,54.34,50.05,52.32,4191468,PSX
03/26/20,51.4,56.74,51.06,54.39,6014909,PSX
03/25/20,46.19,52.9,43.66,50.5,6516942,PSX
03/24/20,45.75,46.3181,42.4,45.58,5476034,PSX
03/23/20,47.69,48.0,41.41,42.09,6075837,PSX
03/20/20,47.19,50.96,45.3571,48.35,7605062,PSX
03/19/20,43.25,46.64,41.81,45.68,4936139,PSX
03/18/20,44.84,46.93,40.04,42.97,6970763,PSX
03/17/20,49.08,50.725,45.96,46.67,6274518,PSX
03/16/20,46.77,57.59,45.32,48.27,7192788,PSX
03/13/20,50.71,54.405,46.65,54.36,6997585,PSX
03/12/20,51.02,51.21,44.81,46.4,11492100,PSX
03/11/20,61.04,61.665,54.12,55.15,8448739,PSX
03/10/20,65.95,66.8695,60.29,63.36,7035372,PSX
03/09/20,62.65,69.1,60.2,62.09,7993839,PSX
03/06/20,70.0,71.16,68.02,69.3,6374474,PSX
03/05/20,72.15,73.82,71.525,71.98,5724919,PSX
03/04/20,74.02,74.77,72.42,74.63,4201827,PSX
03/03/20,75.46,77.58,72.1,72.86,5710315,PSX
03/02/20,75.27,75.4485,72.22,75.11,5279387,PSX
02/28/20,71.7,75.37,71.39,74.86,7138472,PSX
02/27/20,78.7,78.74,74.24,74.26,6900538,PSX
02/26/20,83.1,83.74,80.28,80.33,4159813,PSX
02/25/20,86.83,87.3,82.27,82.81,4212064,PSX
02/24/20,86.62,87.88,85.93,86.56,3732757,PSX
02/21/20,89.52,90.16,88.685,89.25,2406868,PSX
02/20/20,88.51,90.29,88.41,90.19,2905910,PSX
02/19/20,88.5,88.73,86.72,88.36,2441873,PSX
02/18/20,88.71,89.1,87.07,88.0,4543080,PSX
02/14/20,89.52,90.23,88.61,89.47,2254908,PSX
02/13/20,91.0,91.465,90.17,90.34,2727711,PSX
02/12/20,91.59,92.3,90.45,91.14,2361351,PSX
02/11/20,90.94,90.9796,89.55,90.27,2682937,PSX
02/10/20,89.86,91.04,89.62,90.26,2171395,PSX
02/07/20,89.97,90.49,89.26,90.33,2481483,PSX
02/06/20,92.99,93.07,90.05,90.22,2606346,PSX
02/05/20,90.37,93.29,90.3123,92.64,3100723,PSX
02/04/20,90.57,90.86,88.28,88.72,3427940,PSX
02/03/20,91.29,91.38,88.44,88.97,4307459,PSX
01/31/20,94.9,94.93,90.21,91.37,6451028,PSX
01/30/20,95.23,96.55,94.5,96.41,2610444,PSX
01/29/20,97.18,98.91,95.5509,95.8,2395608,PSX
01/28/20,97.45,97.9,96.61,96.69,2926859,PSX
01/27/20,98.27,98.35,96.615,96.92,2472985,PSX
01/24/20,101.9,101.99,99.37,100.32,2120500,PSX
01/23/20,101.49,102.13,100.0,102.08,3520509,PSX
01/22/20,102.8,102.99,101.565,101.86,2505423,PSX
01/21/20,102.5,102.99,101.91,102.34,2102017,PSX
01/17/20,103.79,103.95,102.52,103.31,2781995,PSX
01/16/20,105.56,105.67,103.65,103.79,2568201,PSX
01/15/20,105.57,105.71,104.12,104.89,2386282,PSX
01/14/20,105.27,106.66,104.988,106.38,2753817,PSX
01/13/20,104.92,106.02,104.54,105.3,2243088,PSX
01/10/20,105.64,106.75,104.81,104.87,1910747,PSX
