Date, Open, High, Low, Close, Volume,ticker
12/24/20,94.62,94.62,92.44,93.82,295683,PVH
12/23/20,92.29,95.16,92.29,94.58,670210,PVH
12/22/20,94.37,94.64,91.25,91.68,653182,PVH
12/21/20,93.66,95.76,91.67,94.64,901375,PVH
12/18/20,95.75,97.46,94.45,95.26,1447730,PVH
12/17/20,94.65,97.12,93.32,96.4,892206,PVH
12/16/20,95.04,96.01,92.91,94.36,977765,PVH
12/15/20,93.76,95.59,92.24,95.53,635584,PVH
12/14/20,96.0,96.35,93.35,93.6,1167653,PVH
12/11/20,96.29,96.7,92.945,94.33,909220,PVH
12/10/20,94.31,96.09,93.1277,94.64,1197453,PVH
12/09/20,92.12,94.49,90.52,93.66,1241048,PVH
12/08/20,90.44,92.78,90.32,91.68,1264053,PVH
12/07/20,90.84,92.68,89.72,92.26,1069248,PVH
12/04/20,88.74,91.75,87.58,91.53,2048050,PVH
12/03/20,83.34,90.95,82.5,88.14,2393463,PVH
12/02/20,80.54,84.1,79.45,83.29,1613883,PVH
12/01/20,82.35,84.07,80.53,81.8,1957660,PVH
11/30/20,84.57,84.76,79.45,79.49,1388109,PVH
11/27/20,85.0,85.02,83.14,83.87,633661,PVH
11/25/20,84.57,84.93,82.83,84.72,1130748,PVH
11/24/20,85.71,87.4,82.83,86.38,1496201,PVH
11/23/20,78.63,81.4,77.67,81.1,1112641,PVH
11/20/20,78.54,79.0,75.1,76.76,1065707,PVH
11/19/20,77.16,80.32,76.05,78.78,1104548,PVH
11/18/20,79.5,81.125,78.48,78.67,989162,PVH
11/17/20,74.29,79.45,73.82,78.94,1457744,PVH
11/16/20,74.0,75.825,72.43,75.52,1588297,PVH
11/13/20,66.62,70.685,66.59,70.09,779560,PVH
11/12/20,67.26,67.9,64.2,65.37,1145049,PVH
11/11/20,72.89,72.94,67.0287,67.64,1640621,PVH
11/10/20,71.3,73.36,70.7,71.9,1219504,PVH
11/09/20,66.16,73.24,66.15,70.84,2402442,PVH
11/06/20,61.97,62.99,58.8216,59.1,1370964,PVH
11/05/20,61.53,62.71,60.8,62.44,1188324,PVH
11/04/20,62.22,63.15,60.51,61.08,983655,PVH
11/03/20,60.76,63.91,60.53,63.2,1413816,PVH
11/02/20,59.33,61.29,58.67,59.77,1750377,PVH
10/30/20,61.19,61.299,57.35,58.29,1450286,PVH
10/29/20,58.46,61.745,57.57,61.12,2277691,PVH
10/28/20,59.0,60.29,58.37,58.51,986262,PVH
10/27/20,62.14,63.395,60.93,60.99,670021,PVH
10/26/20,64.55,64.56,61.01,62.28,1067336,PVH
10/23/20,65.88,65.88,63.765,64.94,943754,PVH
10/22/20,61.62,65.06,61.62,64.98,912171,PVH
10/21/20,61.29,62.79,60.64,61.42,848397,PVH
10/20/20,62.56,64.06,61.22,61.59,821168,PVH
10/19/20,62.85,64.33,61.99,62.05,1165891,PVH
10/16/20,64.21,64.63,62.09,62.16,1145355,PVH
10/15/20,61.19,63.96,60.61,63.86,1042748,PVH
10/14/20,62.55,63.78,61.88,62.21,730744,PVH
10/13/20,64.95,66.2,62.07,62.54,1555995,PVH
10/12/20,66.5,66.5,65.12,65.59,754133,PVH
10/09/20,68.1,68.4806,65.54,66.13,1113070,PVH
10/08/20,64.87,67.655,64.51,67.61,969468,PVH
10/07/20,62.5,64.83,62.12,64.44,1181625,PVH
10/06/20,64.68,65.32,61.35,61.64,884020,PVH
10/05/20,62.89,64.34,62.2,63.79,934435,PVH
10/02/20,58.57,62.24,58.3376,62.12,1117435,PVH
10/01/20,60.1,61.41,59.56,60.59,1255774,PVH
09/30/20,58.98,61.15,58.98,59.64,1708863,PVH
09/29/20,61.53,61.69,58.59,58.69,1134451,PVH
09/28/20,63.02,63.34,61.69,61.89,1338459,PVH
09/25/20,61.4,61.97,60.88,61.5,952074,PVH
09/24/20,61.8,62.58,59.68,61.88,1213085,PVH
09/23/20,65.5,66.27,61.95,62.08,958119,PVH
09/22/20,64.85,65.855,63.41,64.36,1402753,PVH
09/21/20,66.2,66.47,63.65,64.68,1450908,PVH
09/18/20,70.01,71.2,67.33,68.48,2609383,PVH
09/17/20,70.83,72.255,69.28,70.51,1080633,PVH
09/16/20,71.72,73.6,70.91,72.08,1516182,PVH
09/15/20,71.82,72.19,69.0,70.93,1491969,PVH
09/14/20,67.8,71.95,67.67,71.4,1560185,PVH
09/11/20,67.45,67.75,66.08,67.07,1182448,PVH
09/10/20,65.6,68.025,65.6,67.05,1408537,PVH
09/09/20,65.88,66.16,63.8341,65.03,1128627,PVH
09/08/20,61.84,67.81,61.72,66.04,2064024,PVH
09/04/20,62.73,63.925,60.96,63.42,1785880,PVH
09/03/20,61.65,64.71,60.83,61.45,3319611,PVH
09/02/20,58.58,60.6,58.24,59.51,2405358,PVH
09/01/20,55.47,57.665,54.12,57.65,1563644,PVH
08/31/20,56.78,57.13,55.42,55.76,1105391,PVH
08/28/20,55.32,57.34,54.795,57.24,956367,PVH
08/27/20,53.63,55.64,53.63,55.05,955916,PVH
08/26/20,54.29,54.65,53.0,53.02,825574,PVH
08/25/20,54.5,55.07,52.99,54.16,905860,PVH
08/24/20,49.96,53.7,49.96,53.66,1534294,PVH
08/21/20,50.27,50.7,49.6,50.13,616204,PVH
08/20/20,50.6,51.99,50.15,50.18,820301,PVH
08/19/20,51.71,53.0,50.78,51.04,890294,PVH
08/18/20,54.16,54.22,51.26,51.5,1081739,PVH
08/17/20,55.07,55.13,53.16,54.66,752239,PVH
08/14/20,53.02,56.0,52.95,55.36,945781,PVH
08/13/20,53.43,53.84,52.48,53.61,965295,PVH
08/12/20,55.09,55.09,52.0901,53.54,989317,PVH
08/11/20,56.05,56.85,54.08,54.2,1654842,PVH
08/10/20,52.45,54.19,51.99,54.03,1930926,PVH
