Date, Open, High, Low, Close, Volume,ticker
12/24/20,112.86,112.86,110.76,112.49,487802,PXD
12/23/20,109.78,114.88,109.44,113.12,1417336,PXD
12/22/20,111.5,111.63,108.195,108.44,1580358,PXD
12/21/20,108.95,113.64,107.96,110.89,1657955,PXD
12/18/20,114.56,115.195,112.62,114.36,3011135,PXD
12/17/20,117.58,117.77,113.545,114.38,1981771,PXD
12/16/20,118.0,119.42,115.76,116.89,2459503,PXD
12/15/20,114.5,117.77,112.4701,117.44,1856209,PXD
12/14/20,118.04,118.205,111.91,113.11,1965756,PXD
12/11/20,117.78,118.27,114.34,115.57,1729714,PXD
12/10/20,113.72,119.52,113.72,118.79,1991929,PXD
12/09/20,115.64,116.23,112.25,114.43,2038519,PXD
12/08/20,109.79,115.1,108.73,114.27,1952874,PXD
12/07/20,112.72,112.72,109.6501,110.28,2052782,PXD
12/04/20,107.6,114.28,107.5,114.06,2575964,PXD
12/03/20,101.95,106.735,100.72,105.35,1988851,PXD
12/02/20,99.19,104.94,98.59,101.53,1908826,PXD
12/01/20,103.54,103.8436,99.1,99.8,1751109,PXD
11/30/20,108.59,108.69,100.27,100.58,3450765,PXD
11/27/20,109.62,111.54,109.14,110.07,1109182,PXD
11/25/20,110.0,111.1871,108.33,109.96,1690847,PXD
11/24/20,108.31,111.43,107.65,111.35,3013178,PXD
11/23/20,97.5,104.53,97.3,104.5,2154745,PXD
11/20/20,96.24,97.25,94.87,95.81,1851500,PXD
11/19/20,93.9,96.8,93.0,96.63,1356436,PXD
11/18/20,96.58,98.96,94.57,94.61,1552949,PXD
11/17/20,93.07,96.09,92.03,95.91,1240173,PXD
11/16/20,94.5,95.15,92.425,94.71,1944060,PXD
11/13/20,87.24,91.16,87.24,90.67,1427373,PXD
11/12/20,89.27,91.03,85.68,86.27,1850311,PXD
11/11/20,93.36,93.46,89.8,90.64,1639815,PXD
11/10/20,90.24,92.19,86.98,91.75,2427818,PXD
11/09/20,86.19,90.58,84.22,88.37,4540118,PXD
11/06/20,79.93,81.37,77.1,77.34,2205206,PXD
11/05/20,81.71,85.0,79.47,79.58,2919720,PXD
11/04/20,82.73,85.93,80.12,83.5,1985044,PXD
11/03/20,84.49,84.86,81.2501,82.2,1779731,PXD
11/02/20,80.8,84.35,79.05,82.8,2503754,PXD
10/30/20,81.05,81.5,77.45,79.56,2677413,PXD
10/29/20,79.06,81.66,76.99,81.42,2347405,PXD
10/28/20,81.17,83.57,80.26,80.33,3865512,PXD
10/27/20,83.16,84.92,82.56,83.78,2668475,PXD
10/26/20,83.7,84.54,81.5682,82.8,3580646,PXD
10/23/20,83.8,86.27,83.18,85.54,2868152,PXD
10/22/20,78.47,83.5,76.58,83.0,5713380,PXD
10/21/20,82.5,83.4,78.12,78.44,4633441,PXD
10/20/20,82.75,84.824,81.39,83.53,4188248,PXD
10/19/20,90.76,91.14,86.98,87.05,2034421,PXD
10/16/20,91.99,92.3,90.22,90.26,1014010,PXD
10/15/20,88.26,92.37,87.32,92.22,854866,PXD
10/14/20,88.66,92.63,88.66,90.09,1627623,PXD
10/13/20,88.44,90.59,87.71,88.15,771749,PXD
10/12/20,88.29,89.21,86.56,88.68,890117,PXD
10/09/20,90.07,90.55,87.63,88.07,1094763,PXD
10/08/20,89.71,90.17,88.32,89.48,1188563,PXD
10/07/20,88.01,89.68,87.22,88.94,1050387,PXD
10/06/20,90.98,92.25,87.75,88.03,1437410,PXD
10/05/20,88.0,89.39,86.42,89.32,962927,PXD
10/02/20,82.06,87.555,81.86,86.54,1874310,PXD
10/01/20,84.83,86.22,83.99,84.57,1529938,PXD
09/30/20,87.09,87.45,85.43,85.99,1693025,PXD
09/29/20,87.56,87.73,83.9,86.4,1402546,PXD
09/28/20,88.05,89.2025,86.73,88.31,1749007,PXD
09/25/20,85.57,86.5,84.54,85.9,1219023,PXD
09/24/20,86.47,88.18,85.08,86.56,1653107,PXD
09/23/20,92.25,92.96,86.82,86.9,1444676,PXD
09/22/20,91.92,93.68,91.28,92.52,1578473,PXD
09/21/20,93.25,93.81,90.45,91.92,1804660,PXD
09/18/20,96.3,97.7,94.83,95.78,2393287,PXD
09/17/20,95.78,97.81,94.81,97.08,1796245,PXD
09/16/20,95.35,99.315,95.08,97.55,2134602,PXD
09/15/20,93.87,95.7,93.535,94.63,1287084,PXD
09/14/20,92.54,94.66,91.25,93.35,1655440,PXD
09/11/20,92.23,92.94,91.2,92.07,1810508,PXD
09/10/20,96.57,96.57,91.06,91.45,1630839,PXD
09/09/20,95.73,97.73,95.2,96.6,1146677,PXD
09/08/20,97.43,97.43,93.45,94.36,1664533,PXD
09/04/20,99.36,100.65,97.455,99.1,917024,PXD
09/03/20,100.31,101.58,97.87,98.38,1544615,PXD
09/02/20,102.79,102.79,100.6043,100.92,1299552,PXD
09/01/20,103.42,103.87,102.09,102.98,1281047,PXD
08/31/20,105.6,105.81,103.17,103.93,1439452,PXD
08/28/20,106.0,106.0,103.96,105.6,792256,PXD
08/27/20,105.01,105.84,104.1,105.38,811039,PXD
08/26/20,106.0,106.9,104.29,104.41,1045560,PXD
08/25/20,106.25,107.2816,105.09,106.92,1164649,PXD
08/24/20,102.84,105.9508,102.53,104.75,1492080,PXD
08/21/20,102.58,103.7,101.98,102.11,1360277,PXD
08/20/20,103.13,104.67,102.62,102.67,1082452,PXD
08/19/20,107.24,107.9,104.32,104.77,1386727,PXD
08/18/20,108.26,109.225,107.14,107.7,1334018,PXD
08/17/20,111.0,111.18,107.48,108.61,1272828,PXD
08/14/20,108.95,110.9,108.605,110.73,1032920,PXD
08/13/20,109.77,111.71,109.51,109.94,1719132,PXD
08/12/20,109.22,111.48,107.8,110.5,1463838,PXD
08/11/20,111.01,111.95,106.21,106.56,1603860,PXD
08/10/20,104.93,109.44,104.5445,108.99,1907262,PXD
08/07/20,101.25,104.62,99.31,104.28,1554990,PXD
08/06/20,101.89,103.8726,101.6816,102.36,1322261,PXD
08/05/20,101.65,103.99,99.6,102.65,2172633,PXD
08/04/20,97.59,100.38,97.21,99.52,1614689,PXD
08/03/20,97.9,99.3,96.16,97.84,1208339,PXD
07/31/20,94.84,97.04,94.5,96.92,1223747,PXD
07/30/20,96.03,97.07,93.93,95.85,1052595,PXD
07/29/20,96.79,98.55,96.08,98.54,1130580,PXD
07/28/20,97.63,98.68,96.19,96.55,846541,PXD
07/27/20,99.68,100.02,97.77,98.52,940518,PXD
07/24/20,101.11,102.42,99.11,99.68,855872,PXD
07/23/20,101.48,102.06,99.83,100.66,1198066,PXD
07/22/20,100.92,103.02,99.235,102.51,1581375,PXD
07/21/20,98.71,103.36,98.71,102.72,2062931,PXD
07/20/20,96.41,99.12,95.45,96.91,1439869,PXD
07/17/20,97.33,98.59,96.41,96.52,1089011,PXD
07/16/20,96.15,98.12,94.765,96.82,969076,PXD
07/15/20,96.95,98.21,95.63,96.59,1834523,PXD
07/14/20,90.27,95.98,90.02,95.66,1800980,PXD
07/13/20,93.34,93.54,90.2,91.0,1545302,PXD
07/10/20,91.08,92.72,90.395,92.44,2154506,PXD
07/09/20,96.18,97.12,91.4,91.48,1353979,PXD
07/08/20,96.65,97.82,95.07,96.59,1695329,PXD
07/07/20,97.4,98.64,95.91,96.07,1373275,PXD
07/06/20,98.79,100.39,97.72,98.72,1371323,PXD
07/02/20,98.0,98.86,96.22,96.8,1222377,PXD
07/01/20,98.0,99.28,94.33,95.5,1696011,PXD
06/30/20,93.32,98.13,93.27,97.7,1712401,PXD
06/29/20,94.21,95.32,93.39,94.44,1359698,PXD
06/26/20,96.54,97.17,93.535,94.11,3084003,PXD
06/25/20,91.41,97.79,91.02,97.7,1988831,PXD
06/24/20,94.95,95.865,91.72,92.16,2057859,PXD
06/23/20,96.4,98.95,95.26,96.76,2545460,PXD
06/22/20,92.81,96.07,92.08,95.1,2217742,PXD
06/19/20,96.78,97.35,92.92,93.58,3472326,PXD
06/18/20,93.19,94.995,92.775,94.54,2960606,PXD
06/17/20,97.0,97.07,94.0,94.24,2442431,PXD
06/16/20,100.52,100.58,95.66,97.06,4520590,PXD
06/15/20,93.86,96.76,91.38,95.55,4235818,PXD
06/12/20,101.8,102.66,95.07,98.23,2260336,PXD
06/11/20,95.0,101.52,93.51,96.64,4641153,PXD
06/10/20,106.51,106.8,102.72,102.73,4076297,PXD
06/09/20,109.89,110.37,104.94,108.53,3091196,PXD
06/08/20,116.22,116.81,111.27,116.78,3166813,PXD
06/05/20,109.92,111.47,106.8,110.89,3129797,PXD
06/04/20,99.95,104.085,98.29,103.55,3059317,PXD
06/03/20,98.89,100.97,96.61,100.77,2488640,PXD
06/02/20,94.6,96.35,93.36,96.16,2168869,PXD
06/01/20,91.6,93.67,90.495,92.91,2201876,PXD
05/29/20,91.64,92.47,89.84,91.6,1914964,PXD
05/28/20,93.87,96.66,91.91,92.54,1940302,PXD
05/27/20,95.43,95.65,91.255,94.19,2179066,PXD
05/26/20,96.73,96.73,93.35,93.72,1910633,PXD
05/22/20,91.85,92.97,91.08,92.42,1915996,PXD
05/21/20,93.0,93.69,91.78,92.93,2505797,PXD
05/20/20,91.47,92.86,90.9,92.43,2667562,PXD
05/19/20,93.66,94.47,89.555,89.65,2438812,PXD
05/18/20,88.16,94.23,87.52,93.38,3951637,PXD
05/15/20,81.58,85.16,81.58,82.86,1899588,PXD
05/14/20,77.57,84.0,76.48,82.21,2741543,PXD
05/13/20,83.91,84.44,78.47,79.38,3468939,PXD
05/12/20,84.5,86.56,83.5,84.03,5463040,PXD
05/11/20,88.22,88.75,84.44,84.44,3805659,PXD
05/08/20,89.02,91.49700000000001,87.3,89.99,2615892,PXD
05/07/20,85.01,91.42,85.01,87.02,2296914,PXD
05/06/20,82.95,84.44,80.9,81.83,1370913,PXD
05/05/20,88.04,89.3,82.0,82.48,2041033,PXD
05/04/20,81.2,83.15,80.56,83.06,3474845,PXD
05/01/20,86.64,88.47,81.7,82.92,1921974,PXD
04/30/20,91.22,91.43,85.961,89.31,2632138,PXD
04/29/20,86.01,90.13,84.06,89.8,2497624,PXD
04/28/20,83.76,85.4,81.2555,82.76,1953657,PXD
04/27/20,76.21,82.96,73.51,81.86,2612054,PXD
04/24/20,80.67,80.67,74.675,77.45,2983411,PXD
04/23/20,83.33,84.8,78.64,79.31,3135127,PXD
04/22/20,77.59,80.74,77.08,80.66,3361076,PXD
04/21/20,68.02,74.28,67.0,73.47,3700743,PXD
04/20/20,71.38,75.36,69.7702,71.28,3764093,PXD
04/17/20,72.75,77.32,72.085,76.63,2814607,PXD
04/16/20,73.88,73.94,69.99,71.11,3087294,PXD
04/15/20,72.53,76.48,71.53,74.92,2066923,PXD
04/14/20,77.05,80.0,76.49,77.37,2164378,PXD
04/13/20,79.03,79.6,75.4,78.55,2213555,PXD
04/09/20,83.0,84.12,72.58,75.48,4752523,PXD
04/08/20,77.48,81.615,74.84,80.29,3283831,PXD
04/07/20,81.29,84.26,74.79,75.31,2989279,PXD
04/06/20,76.1,76.8,72.8971,76.24,2275010,PXD
04/03/20,79.0,80.0,72.84,74.68,4925466,PXD
04/02/20,71.19,81.48,70.41,75.15,4907243,PXD
04/01/20,66.9,68.97,62.54,67.77,2571715,PXD
03/31/20,69.1,72.83,67.56,70.15,2658096,PXD
03/30/20,65.79,67.35,62.185,66.49,3132739,PXD
03/27/20,70.53,72.93,67.76,68.65,2940208,PXD
03/26/20,72.44,74.75,71.39,74.34,2894473,PXD
03/25/20,72.13,75.41,67.375,72.31,2979962,PXD
03/24/20,66.79,73.58,63.29,72.62,3901092,PXD
03/23/20,61.69,62.97,57.2,61.29,3062156,PXD
03/20/20,62.81,68.56,59.291000000000004,61.76,4374650,PXD
03/19/20,56.92,63.5,55.097,60.37,4247947,PXD
03/18/20,52.01,57.99,48.62,56.77,4272577,PXD
03/17/20,59.82,61.96,54.5,57.53,4181184,PXD
03/16/20,59.48,68.79,57.24,59.72,3589079,PXD
03/13/20,66.2,70.71,60.92,70.68,4543814,PXD
03/12/20,63.92,66.46,58.81,60.68,4695549,PXD
03/11/20,76.18,77.47,67.24,70.24,4412920,PXD
03/10/20,70.76,80.19,67.59,79.86,6749432,PXD
03/09/20,72.86,74.96,64.53,66.31,7675199,PXD
03/06/20,113.41,114.44,101.9,105.12,5181512,PXD
03/05/20,119.02,122.26,116.87,118.61,1907857,PXD
03/04/20,122.07,124.54,120.24,123.5,1788165,PXD
03/03/20,124.97,124.97,118.15,120.03,2113611,PXD
03/02/20,124.46,125.1294,119.27,124.32,3385281,PXD
02/28/20,117.7,122.89,117.65,122.78,3476424,PXD
02/27/20,120.73,127.57,117.3,122.67,2747566,PXD
02/26/20,130.79,131.8,125.35,125.49,2010236,PXD
02/25/20,136.78,137.195,129.15,130.09,1835797,PXD
02/24/20,135.69,137.33,133.88,135.97,1549654,PXD
02/21/20,141.09,142.89,139.49,142.25,1403446,PXD
02/20/20,144.0,147.24,139.82,142.53,2394358,PXD
02/19/20,136.24,142.005,135.92,141.17,2390592,PXD
02/18/20,137.0,137.95,133.79,135.56,1719439,PXD
02/14/20,140.6,141.015,137.57,139.23,936598,PXD
02/13/20,136.52,140.58,136.12,140.04,1399046,PXD
02/12/20,138.72,139.86,136.865,137.61,1170676,PXD
02/11/20,139.38,139.39,135.83700000000002,136.13,1654025,PXD
02/10/20,136.76,137.19,135.48,136.75,1193561,PXD
02/07/20,138.75,139.31,136.62,137.82,1041651,PXD
02/06/20,142.82,142.82,139.944,140.44,918319,PXD
02/05/20,138.95,142.97,138.59,142.19,1402693,PXD
02/04/20,135.85,138.99,134.96,135.9,2073400,PXD
02/03/20,135.26,136.09,132.29,132.57,1335555,PXD
01/31/20,135.03,135.84,133.5,135.0,1601157,PXD
01/30/20,136.9,139.475,134.7,137.53,1663137,PXD
01/29/20,141.78,142.6,138.84,138.92,1077176,PXD
01/28/20,137.17,141.83,136.4,140.97,2173374,PXD
01/27/20,138.37,138.865,134.97,135.39,1652396,PXD
01/24/20,140.1,142.255,139.11,142.03,1266261,PXD
01/23/20,143.09,143.2957,140.08,140.43,1974771,PXD
01/22/20,146.75,146.8299,144.09,144.63,1519190,PXD
01/21/20,147.91,149.54,146.64,147.35,1273269,PXD
01/17/20,147.83,148.88,146.88,148.79,1812774,PXD
01/16/20,146.39,149.31,146.07,146.99,1419394,PXD
01/15/20,146.04,146.4667,144.05,145.4,1249026,PXD
01/14/20,146.69,148.11,145.07,146.78,1583193,PXD
01/13/20,149.29,149.55,146.47,146.78,2104896,PXD
01/10/20,151.63,151.73,148.85,149.4,1976157,PXD
01/09/20,152.09,152.85,149.55,152.23,1516185,PXD
01/08/20,157.96,158.89,150.7,152.08,2125393,PXD
01/07/20,157.55,157.8,155.65,156.95,1347082,PXD
01/06/20,154.91,159.01,153.02,158.11,2126320,PXD
01/03/20,155.0,156.42,152.885,153.35,1782547,PXD
01/02/20,152.02,153.15,151.17,152.34,980388,PXD
12/31/19,150.0,151.57,149.16,151.37,981879,PXD
12/30/19,150.9,152.2,150.25,150.87,1228637,PXD
12/27/19,153.27,153.27,151.7,151.78,864701,PXD
12/26/19,152.58,153.4,151.76,152.08,927228,PXD
12/24/19,151.4,152.06,151.05,151.8,400259,PXD
12/23/19,147.76,151.29,147.3,150.93,1475154,PXD
12/20/19,148.83,148.83,146.29,147.6,2637696,PXD
12/19/19,145.5,147.5,144.86,147.21,1453976,PXD
12/18/19,143.78,147.01,143.71,145.87,1798675,PXD
12/17/19,143.36,145.17,142.8518,144.03,1409617,PXD
12/16/19,141.17,144.38,140.54,143.37,1899795,PXD
12/13/19,140.88,141.66,138.53,139.99,1603292,PXD
12/12/19,136.35,140.2,136.0101,139.55,1436053,PXD
12/11/19,134.49,136.63,133.89,136.19,1219580,PXD
12/10/19,133.26,134.99,132.04,134.55,1458164,PXD
12/09/19,132.14,134.1695,131.23,133.19,1512595,PXD
12/06/19,129.12,134.77,128.65,133.9,1558866,PXD
12/05/19,131.17,131.31,127.48,128.31,1326920,PXD
12/04/19,125.15,131.17,125.0,130.51,1836514,PXD
12/03/19,125.2,125.275,122.64,123.49,1937493,PXD
12/02/19,128.83,129.0,126.383,126.78,1356132,PXD
11/29/19,128.27,129.43,127.67,127.84,783947,PXD
11/27/19,127.97,130.39700000000002,127.32,130.18,1229926,PXD
11/26/19,131.42,131.42,127.45,127.68,1578929,PXD
11/25/19,129.43,131.1,128.275,131.08,1951087,PXD
11/22/19,131.29,131.9,129.39,129.56,1318369,PXD
11/21/19,131.48,131.48,128.53,130.74,1539651,PXD
11/20/19,129.72,132.89,128.54,130.47,1150276,PXD
11/19/19,133.2,133.2,129.18,129.62,1107267,PXD
11/18/19,133.01,133.36,131.6,133.2,905905,PXD
11/15/19,133.07,134.4,131.82,134.28,1056051,PXD
11/14/19,133.82,134.96,132.16,132.37,1146766,PXD
11/13/19,135.22,135.7,132.0,133.5,1038597,PXD
11/12/19,134.39,137.16,133.31,136.13,1143202,PXD
11/11/19,132.64,134.58,132.0,133.64,861818,PXD
11/08/19,135.78,135.99,133.26,134.99,1101183,PXD
11/07/19,135.81,137.34,134.64,136.57,1983132,PXD
11/06/19,134.67,136.29,131.52,133.57,1891810,PXD
11/05/19,139.0,142.94,134.83,135.86,2920745,PXD
11/04/19,129.95,136.99,129.94,136.06,3886390,PXD
11/01/19,124.34,128.68,123.41,127.56,1509330,PXD
10/31/19,122.12,123.31,119.0,123.02,1705830,PXD
10/30/19,127.59,128.21,122.22,122.55,1550137,PXD
10/29/19,124.53,128.31,124.04,127.12,1498327,PXD
10/28/19,130.74,131.81,125.16,125.55,1684376,PXD
10/25/19,129.25,131.48,128.41,129.83,927058,PXD
10/24/19,131.0,131.74,128.14,129.27,1183300,PXD
10/23/19,129.81,131.76,128.51,130.6,1422233,PXD
10/22/19,126.14,132.27,125.79,130.42,1727286,PXD
10/21/19,123.4,126.32,123.07,125.39,1754054,PXD
10/18/19,128.0,128.24,123.15,123.36,1700914,PXD
10/17/19,128.66,128.8673,126.4,127.7,1483137,PXD
10/16/19,130.04,131.4,128.34,128.41,914342,PXD
10/15/19,129.19,131.8,128.71,130.41,944421,PXD
10/14/19,130.04,131.9,128.51,129.89,1325789,PXD
10/11/19,131.4,133.89,129.78,132.51,1548766,PXD
10/10/19,128.09,131.055,127.56,129.35,1999301,PXD
10/09/19,125.0,127.25,124.9575,126.51,1679612,PXD
10/08/19,123.02,125.675,122.5,123.46,1629561,PXD
10/07/19,125.69,126.51,123.94,124.54,1625846,PXD
10/04/19,124.57,126.5,123.94,125.45,1842682,PXD
10/03/19,119.86,125.13,119.5,124.69,1853631,PXD
10/02/19,121.64,123.75,119.02,120.98,1752780,PXD
10/01/19,126.92,128.694,121.55,121.73,1930117,PXD
