Date, Open, High, Low, Close, Volume,ticker
12/24/20,240.36,242.12,238.09,238.64,3053752,PYPL
12/23/20,243.6,244.25,238.33,239.44,6421336,PYPL
12/22/20,240.165,243.68,238.09,243.49,6340935,PYPL
12/21/20,232.62,239.7514,232.2013,237.72,8156045,PYPL
12/18/20,236.66,237.17,232.28,236.45,11534720,PYPL
12/17/20,234.51,238.1,232.4,235.51,8914060,PYPL
12/16/20,224.8,231.15,224.61,230.2,10110030,PYPL
12/15/20,221.93,222.31,217.12,221.6,6508117,PYPL
12/14/20,215.95,223.16,215.0,220.79,9759424,PYPL
12/11/20,213.39,215.0,210.4203,214.06,4283354,PYPL
12/10/20,208.36,216.23,206.65,215.34,6556822,PYPL
12/09/20,217.0,218.94,209.25,210.8,7807532,PYPL
12/08/20,216.325,218.72,215.57,216.94,5419592,PYPL
12/07/20,217.39,219.32,216.31,217.93,5363365,PYPL
12/04/20,214.88,218.553,213.01,217.77,6214640,PYPL
12/03/20,213.33,216.93,213.11,214.54,7645193,PYPL
12/02/20,215.6,215.75,210.5,212.56,7537366,PYPL
12/01/20,217.15,220.57,214.3401,216.54,10146960,PYPL
11/30/20,212.51,215.83,207.09,214.12,12976150,PYPL
11/27/20,213.2,213.84,208.62,211.39,5363151,PYPL
11/25/20,206.29,216.07,206.23,214.46,13817470,PYPL
11/24/20,204.0,207.0791,198.86,206.0,14781560,PYPL
11/23/20,194.53,202.16,193.92,200.82,12019990,PYPL
11/20/20,192.47,194.73,190.96,192.67,11518660,PYPL
11/19/20,190.82,192.75,189.57,190.9,9391530,PYPL
11/18/20,192.59,192.95,189.54,190.12,8095357,PYPL
11/17/20,192.13,194.63,190.63,192.3,6448805,PYPL
11/16/20,185.19,192.38,183.54,191.94,10127760,PYPL
11/13/20,191.1069,191.7299,186.85,188.62,6020699,PYPL
11/12/20,193.95,194.9,188.43,189.1,7103620,PYPL
11/11/20,187.498,193.1,186.4,192.34,9151685,PYPL
11/10/20,184.98,186.71,178.6,183.36,13144320,PYPL
11/09/20,195.74,196.07,184.44,184.72,18986391,PYPL
11/06/20,204.6,204.92,198.55,202.73,8075064,PYPL
11/05/20,202.3,204.92,199.37,204.56,15188530,PYPL
