Date, Open, High, Low, Close, Volume,ticker
12/24/20,147.8,148.9,147.2,148.79,2120165,QCOM
12/23/20,147.63,151.54,146.87,146.96,5186736,QCOM
12/22/20,146.611,147.03,144.72,146.34,5753843,QCOM
12/21/20,145.005,147.36,144.41,146.8,7024570,QCOM
12/18/20,150.7947,150.7947,146.1238,147.42,13288320,QCOM
12/17/20,150.865,151.23,148.38,149.53,7039049,QCOM
12/16/20,149.14,150.44,146.71,149.74,6610887,QCOM
12/15/20,149.37,149.915,147.1,148.36,6619794,QCOM
12/14/20,144.9,147.75,143.33,146.29,12258490,QCOM
12/11/20,149.24,150.27,141.8901,144.28,25923150,QCOM
12/10/20,154.42,157.85,152.73,155.75,7522238,QCOM
12/09/20,158.6,161.07,155.55,156.02,7947152,QCOM
12/08/20,157.46,159.29,155.874,158.8,6088312,QCOM
12/07/20,158.55,158.97,156.71,158.02,7009334,QCOM
12/04/20,150.3,158.09,150.0,157.62,12759950,QCOM
12/03/20,151.04,152.7739,149.64,149.91,6355269,QCOM
12/02/20,150.51,151.49,149.62,149.98,7800326,QCOM
12/01/20,148.79,152.39,147.7943,151.26,11910500,QCOM
11/30/20,144.63,147.29,144.05,147.17,8712502,QCOM
11/27/20,145.49,146.43,143.7,143.83,3878048,QCOM
11/25/20,145.95,147.49,144.04,144.08,6398910,QCOM
11/24/20,143.39,146.33,141.11,145.93,10807320,QCOM
11/23/20,142.35,147.0,141.8801,143.82,11654920,QCOM
11/20/20,148.28,149.1,145.94,146.03,5555858,QCOM
11/19/20,146.561,149.3,145.46,147.53,7743707,QCOM
11/18/20,149.24,153.33,146.91,147.05,12124510,QCOM
11/17/20,149.02,149.85,147.1836,148.74,7438646,QCOM
11/16/20,145.2,149.25,144.55,149.07,7598487,QCOM
11/13/20,145.53799999999998,146.25,143.23,144.26,5902150,QCOM
11/12/20,147.57,148.51,143.07,143.91,8585640,QCOM
11/11/20,144.5,148.09,144.0,147.69,10222700,QCOM
11/10/20,140.148,143.17,138.53,140.11,12019880,QCOM
11/09/20,149.41,149.41,142.44,142.61,10666300,QCOM
11/06/20,146.01,146.232,143.96,145.01,7278458,QCOM
11/05/20,145.819,148.8,141.83,145.41,27910881,QCOM
11/04/20,129.325,129.57,126.07,128.97,12608900,QCOM
11/03/20,125.44,126.92,124.69,125.45,5832837,QCOM
11/02/20,124.5,126.17,122.41,123.97,5860276,QCOM
10/30/20,123.68,125.245,121.6,123.36,7814462,QCOM
10/29/20,122.06,127.69,121.89,126.44,7053259,QCOM
10/28/20,123.5,123.82,121.05,121.58,8234821,QCOM
