Date, Open, High, Low, Close, Volume,ticker
12/24/20,45.58,45.68,44.82,45.41,261285,REG
12/23/20,45.76,46.14,45.01,45.16,654387,REG
12/22/20,45.59,45.7599,44.69,45.24,1167188,REG
12/21/20,45.41,45.54,44.43,45.24,920139,REG
12/18/20,47.49,47.52,45.58,45.93,2603833,REG
12/17/20,47.31,47.61,46.75,47.49,1261549,REG
12/16/20,47.85,47.93,46.57,47.34,1204949,REG
12/15/20,46.25,47.95,46.1,47.88,1234450,REG
12/14/20,47.74,48.22,46.59,46.88,856633,REG
12/11/20,47.13,47.58,46.62,47.08,806552,REG
12/10/20,47.43,47.98,47.19,47.61,950384,REG
12/09/20,48.26,48.26,47.28,47.7,840803,REG
12/08/20,47.38,48.63,47.38,47.73,844284,REG
12/07/20,48.42,49.26,47.83,48.08,638037,REG
12/04/20,48.77,49.3799,48.71,49.08,932297,REG
12/03/20,47.99,49.05,47.61,48.36,1126687,REG
12/02/20,45.77,47.84,45.58,47.53,1233154,REG
12/01/20,46.34,47.61,46.02,46.55,1463263,REG
11/30/20,46.54,46.72,45.3,45.58,1689381,REG
11/27/20,47.37,47.86,46.68,46.89,369954,REG
11/25/20,48.3,48.3,47.0,47.59,1154599,REG
11/24/20,49.33,50.65,48.7,48.79,1680407,REG
11/23/20,47.78,49.58,47.25,48.46,1370645,REG
11/20/20,47.72,47.83,46.83,47.26,816386,REG
11/19/20,46.28,47.955,45.31,47.76,1030337,REG
11/18/20,48.06,49.825,47.04,47.12,1453936,REG
11/17/20,48.15,48.89,47.18,48.27,779114,REG
11/16/20,47.83,49.52,46.62,49.01,1537826,REG
11/13/20,44.47,45.99,43.92,45.73,922515,REG
11/12/20,46.91,46.91,42.95,43.9,1851010,REG
11/11/20,46.34,46.64,44.07,46.07,2857034,REG
11/10/20,45.95,48.12,45.75,46.75,2789186,REG
11/09/20,38.0,47.22,37.63,45.96,5281189,REG
11/06/20,36.58,36.71,33.29,34.05,2641846,REG
11/05/20,36.2,36.76,35.75,36.18,898850,REG
11/04/20,37.72,37.72,35.85,35.9,1099668,REG
11/03/20,36.88,37.72,36.37,37.43,1389337,REG
11/02/20,35.88,36.26,35.11,36.2,887084,REG
10/30/20,35.49,35.88,34.62,35.59,826477,REG
10/29/20,35.04,36.02,34.57,35.46,1113021,REG
10/28/20,35.58,35.94,35.04,35.36,834438,REG
10/27/20,37.34,37.79,36.22,36.22,715613,REG
10/26/20,37.86,38.29,37.12,37.55,753920,REG
10/23/20,38.47,38.92,37.82,38.29,731626,REG
10/22/20,37.16,38.28,37.06,38.18,684921,REG
10/21/20,37.31,37.42,36.77,37.14,520759,REG
10/20/20,37.41,37.84,37.25,37.5,587211,REG
10/19/20,37.8,37.8,36.92,37.0,830465,REG
10/16/20,38.61,38.61,37.2,37.54,648676,REG
10/15/20,37.36,38.69,37.28,38.54,675898,REG
10/14/20,38.4,38.72,37.44,37.66,722396,REG
10/13/20,39.26,39.52,37.94,38.24,890343,REG
10/12/20,39.52,40.01,39.0349,39.75,554999,REG
10/09/20,40.93,40.93,39.45,39.58,665742,REG
10/08/20,39.73,40.47,39.58,40.44,1953096,REG
10/07/20,40.24,40.34,39.165,39.43,679764,REG
10/06/20,40.48,40.85,39.75,39.95,898581,REG
10/05/20,40.62,40.8,39.455,40.11,882852,REG
10/02/20,38.57,40.38,38.22,40.2,1215806,REG
10/01/20,38.05,39.41,38.05,39.4,1139513,REG
09/30/20,38.14,38.78,37.575,38.02,1268900,REG
09/29/20,38.25,38.6399,37.0,37.77,785755,REG
09/28/20,38.59,39.07,38.19,38.56,940900,REG
09/25/20,36.59,37.57,36.42,37.42,844792,REG
09/24/20,36.55,37.46,35.99,36.78,974296,REG
09/23/20,37.22,37.73,36.15,36.525,1056136,REG
09/22/20,37.29,38.155,37.19,37.26,1804856,REG
09/21/20,39.42,39.42,36.83,37.21,2275204,REG
09/18/20,41.07,41.48,39.96,40.07,4732984,REG
09/17/20,41.03,41.49,40.6,41.29,1400405,REG
09/16/20,41.34,41.9,40.89,41.61,1603125,REG
09/15/20,40.52,41.53,40.22,41.21,1529207,REG
09/14/20,38.85,40.24,38.83,40.04,1772466,REG
09/11/20,39.23,39.435,37.88,38.6,1300106,REG
09/10/20,40.97,41.0,39.27,39.34,1750589,REG
09/09/20,41.18,41.62,40.29,40.87,1550723,REG
09/08/20,41.32,41.47,40.57,40.97,1712593,REG
09/04/20,41.43,42.36,41.25,41.53,903399,REG
09/03/20,41.12,42.23,40.71,41.23,1181076,REG
09/02/20,39.48,41.13,39.09,41.03,2427227,REG
09/01/20,39.33,39.62,38.88,39.4,1008315,REG
08/31/20,40.6,40.6,39.35,39.71,1382597,REG
08/28/20,40.66,40.66,39.565,40.44,1092367,REG
08/27/20,40.63,41.31,40.54,40.65,749906,REG
08/26/20,41.18,41.19,39.88,40.1,782444,REG
08/25/20,41.4,41.59,40.22,40.95,685650,REG
08/24/20,40.47,41.31,39.9,41.05,826520,REG
08/21/20,41.26,41.31,40.135,40.46,616358,REG
08/20/20,40.2,41.48,40.0,41.15,1158658,REG
08/19/20,41.25,41.7,40.15,40.2,753272,REG
08/18/20,42.9,42.9,41.28,41.82,583011,REG
08/17/20,42.42,43.02,42.14,42.72,488301,REG
08/14/20,42.4,43.48,42.03,42.88,921944,REG
08/13/20,42.92,43.34,42.21,42.49,1049225,REG
08/12/20,43.96,44.24,42.78,43.67,975604,REG
08/11/20,43.66,44.815,43.31,43.5,1281359,REG
08/10/20,41.55,43.735,41.51,42.87,1249309,REG
08/07/20,40.43,41.7,40.18,41.65,678580,REG
08/06/20,40.36,41.75,40.22,40.96,781897,REG
08/05/20,41.65,41.98,40.81,40.98,757809,REG
08/04/20,40.77,41.27,39.43,41.06,1457290,REG
08/03/20,40.57,40.91,39.74,40.59,1182621,REG
07/31/20,41.68,41.68,40.1,41.03,3933234,REG
07/30/20,41.14,42.06,40.33,41.81,896356,REG
07/29/20,42.24,42.47,41.08,42.11,1123000,REG
07/28/20,39.65,42.31,39.49,41.75,1384595,REG
07/27/20,39.16,40.03,38.48,39.91,1246434,REG
07/24/20,40.48,40.79,39.855,39.96,1157106,REG
07/23/20,41.05,41.46,39.85,40.43,930370,REG
07/22/20,40.46,41.55,40.05,41.37,1171089,REG
07/21/20,40.89,41.69,40.36,40.58,1453994,REG
07/20/20,41.65,41.89,40.67,41.17,1266879,REG
07/17/20,42.44,42.44,41.635,41.7,693741,REG
07/16/20,42.53,42.94,41.91,42.1,790838,REG
07/15/20,43.11,43.77,42.38,42.965,1356115,REG
07/14/20,43.17,43.19,41.72,42.07,1067589,REG
07/13/20,43.38,43.75,42.19,42.59,908478,REG
07/10/20,42.1,43.71,42.05,42.94,940123,REG
07/09/20,43.17,43.275,41.18,42.12,889536,REG
07/08/20,43.91,44.14,42.77,43.4,1198648,REG
07/07/20,45.33,45.33,43.8,44.09,734327,REG
07/06/20,46.95,47.83,45.48,45.98,1058166,REG
07/02/20,47.45,47.81,45.385,45.73,685754,REG
07/01/20,46.39,47.27,45.91,46.17,824922,REG
06/30/20,45.96,46.98,45.27,45.89,978107,REG
06/29/20,45.46,45.86,44.0,45.82,867671,REG
06/26/20,44.84,45.47,43.82,44.49,1191047,REG
06/25/20,43.96,45.29,43.6,45.075,937108,REG
06/24/20,45.31,45.3107,42.49,44.36,1193487,REG
06/23/20,46.46,46.87,45.2,46.13,1228040,REG
06/22/20,44.42,45.47,43.72,45.41,1489633,REG
06/19/20,46.52,47.9,44.14,44.635,3439106,REG
06/18/20,45.45,47.1,45.265,46.45,960551,REG
06/17/20,49.15,49.21,46.77,46.86,1034854,REG
06/16/20,49.86,50.77,48.11,49.07,1529972,REG
06/15/20,45.66,48.47,45.43,47.94,1221754,REG
06/12/20,47.78,48.05,45.75,47.89,1569109,REG
06/11/20,45.47,46.5,44.22,44.72,1864815,REG
06/10/20,50.01,50.1,47.01,48.16,1760309,REG
06/09/20,51.7,52.01,50.56,50.78,1254468,REG
06/08/20,50.56,54.26,50.56,53.7,1510298,REG
06/05/20,52.42,54.57,50.61,50.8,2260051,REG
06/04/20,48.81,50.33,47.79,49.81,1184039,REG
06/03/20,46.58,50.25,46.58,49.25,1424651,REG
06/02/20,45.9,46.405,45.325,45.79,1465991,REG
06/01/20,42.97,45.725,42.75,45.4,991375,REG
05/29/20,43.56,44.31,42.69,42.79,1725515,REG
05/28/20,46.71,46.71,44.15,44.69,1657956,REG
05/27/20,46.33,46.86,44.678999999999995,45.845,1743953,REG
05/26/20,43.26,45.26,43.02,45.12,1541007,REG
05/22/20,42.6,42.6,40.57,41.26,981287,REG
05/21/20,40.71,42.62,40.71,42.09,1652594,REG
05/20/20,41.65,42.22,40.66,41.37,1305199,REG
05/19/20,41.22,42.065,40.045,41.65,2108912,REG
05/18/20,38.48,41.77,38.48,41.315,1609931,REG
05/15/20,35.46,36.93,34.4107,36.81,3842408,REG
05/14/20,35.35,36.94,33.56,36.51,2250387,REG
05/13/20,38.05,38.09,35.86,36.07,1186816,REG
05/12/20,40.64,40.825,38.36,38.51,1638833,REG
05/11/20,41.47,41.99,39.82,40.58,1128894,REG
05/08/20,40.96,43.11,39.72,41.96,1482489,REG
05/07/20,38.65,40.22,38.52,39.12,1271038,REG
05/06/20,40.01,41.0,37.87,38.13,1057948,REG
05/05/20,40.9,41.97,40.08,40.32,1465386,REG
05/04/20,39.48,40.42,39.03,40.23,1057818,REG
05/01/20,42.48,43.14,40.57,40.92,1379988,REG
04/30/20,43.47,44.49,42.4701,43.91,2539125,REG
04/29/20,42.06,45.89,41.62,44.41,2762936,REG
04/28/20,38.97,42.0,38.7326,40.53,1596972,REG
04/27/20,35.21,37.815,35.0,37.44,1237311,REG
04/24/20,35.75,36.105,34.84,35.43,1568672,REG
04/23/20,35.8,36.99,35.08,35.62,2042648,REG
04/22/20,35.55,36.07,34.88,35.44,1614574,REG
04/21/20,35.77,36.74,35.21,35.59,1381521,REG
04/20/20,37.34,38.2,36.33,37.19,2301105,REG
04/17/20,39.01,39.745,38.22,38.66,1467264,REG
04/16/20,41.13,41.74,37.0,37.07,1604605,REG
04/15/20,41.56,42.83,40.0,41.31,1262792,REG
04/14/20,43.26,44.45,42.96,43.95,1636683,REG
04/13/20,44.0732,44.0732,42.12,43.13,1299760,REG
04/09/20,42.31,45.58,42.21,44.12,2800039,REG
04/08/20,37.49,41.03,36.67,40.89,1763535,REG
04/07/20,37.72,38.72,36.63,36.77,2760928,REG
04/06/20,36.09,37.43,34.48,35.15,2814760,REG
04/03/20,33.21,34.11,31.8,32.27,2190259,REG
04/02/20,34.94,36.38,32.2,33.2,1938141,REG
04/01/20,36.39,36.41,34.4,35.535,2015973,REG
03/31/20,39.57,40.42,37.43,38.43,2193506,REG
03/30/20,40.43,42.45,38.78,39.95,1944674,REG
03/27/20,40.64,41.53,39.72,40.49,1880153,REG
03/26/20,41.75,42.99,38.59,42.34,1909105,REG
03/25/20,41.52,43.81,38.96,41.24,1841406,REG
03/24/20,36.94,39.61,35.77,39.45,2582945,REG
03/23/20,35.32,35.78,32.84,34.88,2953880,REG
03/20/20,37.72,39.91,34.47,35.3,2502655,REG
03/19/20,37.76,40.53,35.21,37.53,1660458,REG
03/18/20,45.12,45.29,36.76,37.79,1820281,REG
03/17/20,46.16,48.32,42.34,47.68,2169609,REG
03/16/20,50.8,51.91,44.88,44.94,2230456,REG
03/13/20,53.77,55.48,51.45,55.25,2677870,REG
03/12/20,52.21,54.54,50.91,51.64,2390493,REG
03/11/20,56.52,56.81,54.47,55.35,2340283,REG
03/10/20,57.29,58.13,54.85,57.98,1435458,REG
03/09/20,57.18,57.9,55.8,56.2,1514076,REG
03/06/20,60.04,60.65,58.58,60.44,2133063,REG
03/05/20,60.71,61.74,59.86,61.71,1221609,REG
03/04/20,60.07,62.34,59.16,62.06,1555417,REG
03/03/20,60.17,61.42,58.67,58.92,1558233,REG
03/02/20,57.67,60.395,57.51,60.29,1555895,REG
02/28/20,57.74,57.76,55.45,57.44,2945335,REG
02/27/20,61.25,61.29,58.37,58.46,1796834,REG
02/26/20,61.91,63.74,61.4,61.45,2050053,REG
02/25/20,63.38,63.51,61.71,61.86,1801297,REG
02/24/20,63.32,64.06,63.03,63.42,868584,REG
02/21/20,63.32,64.11,63.1868,63.68,1069238,REG
02/20/20,63.37,64.13,63.34,64.06,949437,REG
02/19/20,64.23,64.29,63.08,63.34,718814,REG
02/18/20,64.12,64.65,63.7,64.24,749666,REG
02/14/20,63.13,64.09,62.44,64.02,1358698,REG
02/13/20,62.31,63.4,61.9,62.83,1595673,REG
02/12/20,62.69,62.955,62.18,62.31,1645823,REG
02/11/20,63.77,64.36,62.31,62.65,690253,REG
02/10/20,63.52,63.85,63.22,63.8,728789,REG
02/07/20,63.54,63.8,62.88,63.12,382816,REG
02/06/20,63.69,64.05,63.36,63.51,448023,REG
02/05/20,62.79,63.59,62.63,63.44,682727,REG
02/04/20,63.49,63.59,61.97,62.65,1312441,REG
02/03/20,62.39,62.75,61.82,61.92,1091798,REG
01/31/20,62.37,62.42,61.72,62.04,799343,REG
01/30/20,62.79,62.98,61.9,62.39,672468,REG
01/29/20,63.59,63.85,62.925,62.97,436228,REG
01/28/20,63.16,63.98,63.13,63.75,762520,REG
01/27/20,63.33,63.64,63.05,63.33,604276,REG
01/24/20,63.88,64.08,63.4,63.785,459777,REG
01/23/20,63.77,64.105,63.22,64.08,437053,REG
01/22/20,63.73,64.31,63.44,63.61,503439,REG
01/21/20,63.38,64.0,63.03,63.85,666950,REG
01/17/20,63.22,63.71,63.14,63.2,750489,REG
01/16/20,63.31,63.47,62.9903,63.25,605037,REG
01/15/20,63.02,63.33,62.56,63.05,785536,REG
01/14/20,62.13,62.73,61.81,62.66,986217,REG
01/13/20,61.86,62.2197,61.72,62.12,804048,REG
01/10/20,61.63,62.11,61.24,61.92,1207793,REG
01/09/20,62.0,62.1,61.22,61.55,875648,REG
01/08/20,61.8,62.51,61.66,62.175,767718,REG
01/07/20,62.4,62.41,61.27,61.68,557151,REG
01/06/20,62.43,63.01,62.17,62.57,618258,REG
01/03/20,61.61,62.49,61.39,62.41,833529,REG
01/02/20,63.47,63.47,61.53,61.68,759332,REG
12/31/19,62.53,63.11,62.41,63.09,784386,REG
12/30/19,62.31,62.64,61.83,62.4,435448,REG
12/27/19,62.08,62.51,61.93,62.46,463484,REG
12/26/19,61.93,62.7,61.67,62.0,529379,REG
12/24/19,62.12,62.14,61.64,61.87,117098,REG
12/23/19,62.68,62.75,61.79,61.94,473237,REG
12/20/19,62.82,62.87,62.225,62.65,1856269,REG
12/19/19,62.43,62.86,62.14,62.54,1019714,REG
