Date, Open, High, Low, Close, Volume,ticker
12/24/20,16.01,16.025,15.69,15.95,2588204,RF
12/23/20,15.56,16.08,15.52,15.94,5870926,RF
12/22/20,15.61,15.66,15.42,15.43,6299179,RF
12/21/20,15.37,15.72,15.16,15.54,10235730,RF
12/18/20,15.54,15.615,15.095,15.26,15145050,RF
12/17/20,15.61,15.63,15.29,15.56,10842020,RF
12/16/20,15.4,15.63,15.33,15.6,9109218,RF
12/15/20,15.29,15.41,15.08,15.38,8567616,RF
12/14/20,15.82,15.82,15.07,15.15,8948768,RF
12/11/20,15.59,15.65,15.36,15.54,8628329,RF
12/10/20,15.73,15.885,15.6,15.85,10552520,RF
12/09/20,16.08,16.11,15.72,15.87,9757816,RF
12/08/20,15.87,16.095,15.77,15.95,8927002,RF
12/07/20,16.11,16.13,15.85,15.97,7397569,RF
12/04/20,16.18,16.35,16.0,16.17,16112140,RF
12/03/20,16.04,16.14,15.795,16.03,14249680,RF
12/02/20,15.73,16.21,15.605,16.17,9168967,RF
12/01/20,15.69,16.05,15.6,15.87,8931143,RF
11/30/20,15.95,15.96,15.24,15.27,12087740,RF
11/27/20,15.75,15.95,15.5,15.62,3711064,RF
11/25/20,15.88,15.89,15.61,15.75,6104389,RF
11/24/20,15.9,16.225,15.67,16.09,12376670,RF
11/23/20,15.36,15.535,15.28,15.39,5890826,RF
11/20/20,15.3,15.319,14.98,15.11,6151842,RF
11/19/20,15.27,15.48,15.03,15.46,5775786,RF
11/18/20,15.68,15.88,15.375,15.41,7031342,RF
11/17/20,15.32,15.645,15.18,15.62,9589208,RF
11/16/20,15.57,15.79,15.37,15.61,9783820,RF
11/13/20,14.6,14.97,14.57,14.9,6050125,RF
11/12/20,14.55,14.73,14.19,14.42,8837425,RF
11/11/20,15.26,15.288,14.64,14.87,8738698,RF
11/10/20,15.39,15.45,15.0,15.23,10973000,RF
11/09/20,14.24,15.6,14.23,15.22,22576680,RF
11/06/20,13.65,13.72,12.98,13.05,10748120,RF
11/05/20,13.17,13.9775,13.17,13.68,10522920,RF
11/04/20,13.62,13.62,12.885,13.13,10892780,RF
11/03/20,14.06,14.15,13.86,14.03,8472937,RF
11/02/20,13.54,13.8,13.22,13.76,7507413,RF
10/30/20,13.15,13.35,13.0,13.3,7247895,RF
10/29/20,12.64,13.32,12.52,13.2,8177438,RF
10/28/20,12.63,12.94,12.59,12.73,9612093,RF
10/27/20,13.31,13.3164,12.9,12.9,8385536,RF
10/26/20,13.59,13.62,13.27,13.35,9455553,RF
10/23/20,13.93,14.04,13.61,13.78,9295269,RF
10/22/20,12.82,13.82,12.74,13.8,15868850,RF
10/21/20,12.95,13.1299,12.73,12.79,9093294,RF
10/20/20,12.75,13.37,12.68,12.94,16365490,RF
10/19/20,12.6,12.64,12.32,12.34,6513278,RF
10/16/20,12.54,12.62,12.265,12.47,6503785,RF
10/15/20,12.14,12.6,12.1,12.54,7103762,RF
10/14/20,12.49,12.585,12.245,12.25,7819975,RF
10/13/20,12.89,12.9,12.45,12.49,6629201,RF
10/12/20,12.78,12.98,12.715,12.95,5145375,RF
10/09/20,13.06,13.13,12.7,12.79,6694460,RF
10/08/20,12.83,13.05,12.665,13.04,10066230,RF
10/07/20,12.61,12.93,12.54,12.71,7868605,RF
10/06/20,12.77,12.995,12.32,12.39,9982567,RF
10/05/20,12.12,12.58,12.1,12.57,8103539,RF
10/02/20,11.34,12.03,11.3,11.95,8072340,RF
10/01/20,11.54,11.655,11.38,11.53,7672731,RF
09/30/20,11.47,11.705,11.35,11.53,9506965,RF
09/29/20,11.41,11.57,11.19,11.37,7784759,RF
09/28/20,11.3,11.53,11.2336,11.51,9044363,RF
09/25/20,10.66,11.05,10.6,11.0,6619139,RF
09/24/20,10.81,11.035,10.61,10.76,6390739,RF
09/23/20,11.1,11.36,10.74,10.75,7301286,RF
09/22/20,11.3,11.47,10.98,11.04,8993671,RF
09/21/20,11.52,11.745,11.18,11.31,8490557,RF
09/18/20,11.92,12.055,11.81,11.91,12367640,RF
09/17/20,11.9,12.12,11.84,12.03,8007335,RF
09/16/20,11.98,12.32,11.9,12.09,8277098,RF
09/15/20,12.12,12.14,11.755,11.98,7992796,RF
09/14/20,11.64,12.08,11.59,12.06,6420725,RF
09/11/20,11.27,11.57,11.2,11.52,6161112,RF
09/10/20,11.56,11.79,11.23,11.24,6968120,RF
09/09/20,11.48,11.55,11.33,11.46,6218951,RF
09/08/20,11.58,11.64,11.28,11.37,7351275,RF
09/04/20,11.84,11.985,11.52,11.8,6025142,RF
09/03/20,11.77,12.11,11.47,11.53,7846721,RF
09/02/20,11.57,11.84,11.5,11.79,6862838,RF
09/01/20,11.45,11.72,11.37,11.63,5897404,RF
08/31/20,11.72,11.73,11.53,11.56,7327658,RF
08/28/20,11.75,11.79,11.625,11.71,4964791,RF
08/27/20,11.4,11.76,11.37,11.7,6175631,RF
08/26/20,11.63,11.68,11.365,11.38,5936594,RF
08/25/20,11.74,11.9,11.5105,11.68,8049847,RF
08/24/20,11.09,11.54,11.0,11.54,5806287,RF
08/21/20,11.03,11.15,10.9,10.97,5334471,RF
08/20/20,11.25,11.3,11.07,11.08,5384674,RF
08/19/20,11.35,11.58,11.265,11.42,5046956,RF
08/18/20,11.67,11.67,11.33,11.37,5079649,RF
08/17/20,11.62,11.755,11.5,11.67,9336013,RF
08/14/20,11.5,11.895,11.47,11.77,5124520,RF
08/13/20,11.69,11.7353,11.545,11.62,6540515,RF
08/12/20,12.18,12.31,11.5,11.92,11645020,RF
08/11/20,11.85,12.31,11.85,11.93,10987090,RF
08/10/20,11.28,11.67,11.27,11.5,6379991,RF
08/07/20,10.71,11.27,10.6842,11.26,7677409,RF
08/06/20,10.85,10.965,10.74,10.84,6168606,RF
08/05/20,10.86,10.98,10.8034,10.93,5625835,RF
08/04/20,10.76,10.8361,10.66,10.7,6312860,RF
08/03/20,10.87,10.935,10.69,10.76,6466343,RF
07/31/20,10.7,10.86,10.5701,10.86,11041730,RF
07/30/20,10.64,10.76,10.45,10.75,5714150,RF
07/29/20,10.53,11.04,10.445,11.04,9914134,RF
07/28/20,10.54,10.67,10.49,10.54,9091337,RF
07/27/20,10.81,10.82,10.56,10.61,9275300,RF
07/24/20,11.1,11.21,10.86,10.92,6263431,RF
07/23/20,10.73,11.12,10.715,11.04,6922667,RF
07/22/20,10.68,10.89,10.64,10.8,9561909,RF
07/21/20,10.34,10.87,10.34,10.8,10968070,RF
07/20/20,10.2,10.43,10.17,10.23,8707406,RF
07/17/20,10.65,10.69,10.27,10.32,17500119,RF
07/16/20,10.59,10.99,10.495,10.8,9137097,RF
07/15/20,10.56,10.77,10.41,10.73,9050247,RF
07/14/20,10.41,10.47,10.075,10.21,10079790,RF
07/13/20,10.51,10.625,10.15,10.48,9936636,RF
07/10/20,9.83,10.31,9.8,10.29,10661180,RF
07/09/20,10.29,10.36,9.79,9.83,10371160,RF
07/08/20,10.3,10.485,10.11,10.34,9510304,RF
07/07/20,10.64,10.68,10.31,10.33,9079131,RF
07/06/20,10.85,11.09,10.59,10.8,9382822,RF
07/02/20,10.92,11.15,10.53,10.6,13439840,RF
07/01/20,11.1,11.2,10.540999999999999,10.63,12519300,RF
06/30/20,10.75,11.22,10.72,11.12,14251780,RF
06/29/20,10.88,11.07,10.69,10.86,9390123,RF
06/26/20,11.3,11.37,10.6,10.65,14589980,RF
06/25/20,11.2,11.69,11.14,11.65,10895450,RF
06/24/20,11.8,11.85,11.27,11.28,9605442,RF
06/23/20,12.36,12.475,11.99,12.01,9601015,RF
06/22/20,11.92,12.29,11.83,12.08,7722974,RF
06/19/20,12.65,12.65,11.92,12.0,51155633,RF
06/18/20,12.17,12.695,12.07,12.36,9730361,RF
06/17/20,12.66,12.74,12.3102,12.36,9980787,RF
06/16/20,12.89,12.95,12.23,12.58,11065960,RF
06/15/20,11.42,12.29,11.29,12.16,12572580,RF
06/12/20,12.15,12.15,11.39,11.9,11041610,RF
06/11/20,11.62,12.07,11.33,11.4,11101900,RF
06/10/20,13.26,13.32,12.62,12.66,11738970,RF
06/09/20,13.22,13.64,13.03,13.46,10772480,RF
06/08/20,13.78,13.98,13.49,13.84,8903507,RF
06/05/20,14.0,14.25,13.175,13.33,14606220,RF
06/04/20,12.14,12.93,11.965,12.93,14367320,RF
06/03/20,12.1,12.49,12.0,12.31,11358950,RF
06/02/20,11.71,11.945,11.5528,11.7,10844800,RF
06/01/20,11.35,11.625,11.255,11.48,8741067,RF
05/29/20,11.2,11.5,11.08,11.31,19646410,RF
05/28/20,12.16,12.22,11.45,11.5,12237290,RF
05/27/20,11.61,11.995,11.345,11.98,15820470,RF
05/26/20,10.49,11.19,10.4231,10.96,13327630,RF
05/22/20,9.98,10.14,9.76,9.95,6788202,RF
05/21/20,10.0,10.28,9.911,9.94,7991929,RF
05/20/20,9.86,10.12,9.84,10.05,9019055,RF
05/19/20,9.87,10.03,9.59,9.64,9639383,RF
05/18/20,9.69,10.11,9.62,10.03,10776490,RF
05/15/20,9.2,9.37,9.005,9.19,9178032,RF
05/14/20,8.63,9.475,8.41,9.34,16512971,RF
05/13/20,9.24,9.3,8.715,8.92,14005640,RF
05/12/20,9.91,10.035,9.32,9.32,10209880,RF
05/11/20,10.14,10.14,9.66,9.81,10962030,RF
05/08/20,10.17,10.38,10.01,10.32,7562551,RF
05/07/20,9.81,10.18,9.77,9.85,9977078,RF
05/06/20,10.12,10.2058,9.62,9.65,8734560,RF
05/05/20,10.46,10.58,9.93,9.98,8155656,RF
05/04/20,9.93,10.185,9.791,10.16,6483235,RF
05/01/20,10.39,10.43,10.035,10.17,6817546,RF
04/30/20,10.86,10.99,10.55,10.75,9886370,RF
04/29/20,11.19,11.46,11.005,11.26,11711970,RF
04/28/20,11.0,11.19,10.595,10.69,11182810,RF
04/27/20,9.9,10.58,9.7,10.48,14233290,RF
04/24/20,9.52,10.0,9.4,9.79,16855680,RF
04/23/20,9.19,9.52,9.16,9.42,12417500,RF
04/22/20,9.15,9.295,9.02,9.09,11049740,RF
04/21/20,9.03,9.29,8.78,8.88,15521960,RF
04/20/20,9.21,9.75,8.91,9.4,11453310,RF
04/17/20,9.01,9.705,8.77,9.52,16876990,RF
04/16/20,9.22,9.25,8.75,8.85,15716090,RF
04/15/20,9.49,9.65,9.26,9.29,13274990,RF
04/14/20,10.85,10.98,9.89,10.12,16539891,RF
04/13/20,11.01,11.07,10.38,10.67,11636980,RF
