Date, Open, High, Low, Close, Volume,ticker
12/24/20,94.78,94.78,92.52,92.92,219353,RJF
12/23/20,94.36,95.58,93.89,94.05,738835,RJF
12/22/20,94.28,94.33,93.42,93.74,433075,RJF
12/21/20,94.07,94.28,91.95,93.95,809489,RJF
12/18/20,94.62,94.93,93.025,93.86,1476919,RJF
12/17/20,93.41,94.84,92.42,94.77,726312,RJF
12/16/20,93.99,93.99,92.83,93.36,606742,RJF
12/15/20,92.55,93.74,90.99,93.49,982508,RJF
12/14/20,94.14,94.33,91.34,91.46,1364463,RJF
12/11/20,91.54,92.71,90.84,92.34,653905,RJF
12/10/20,91.58,92.85,91.25,92.65,1326377,RJF
12/09/20,93.14,93.2985,91.8,92.56,1070233,RJF
12/08/20,93.09,94.25,92.29,92.93,1136774,RJF
12/07/20,94.82,95.04,93.8,94.51,454107,RJF
12/04/20,95.54,96.86,95.2201,95.83,452172,RJF
12/03/20,94.34,95.18,93.69,94.35,815614,RJF
12/02/20,92.46,94.74,92.17,94.7,532972,RJF
12/01/20,93.1,93.75,91.95,92.99,754960,RJF
11/30/20,92.35,92.82,90.58,90.95,1250663,RJF
11/27/20,93.69,93.9942,92.58,92.71,171845,RJF
11/25/20,93.09,93.72,92.15,93.49,441928,RJF
11/24/20,92.06,94.04,91.6601,93.96,495919,RJF
11/23/20,89.9,90.79,89.25,90.48,744530,RJF
11/20/20,88.75,89.035,87.8,88.51,475066,RJF
11/19/20,88.06,89.64,87.19,89.2,718763,RJF
11/18/20,89.59,91.21,89.04,89.08,895252,RJF
11/17/20,87.41,89.945,85.8,89.43,762524,RJF
11/16/20,87.97,87.97,85.655,87.72,662744,RJF
11/13/20,83.7,85.91,83.605,85.25,533270,RJF
11/12/20,83.77,84.5,81.77,82.79,624217,RJF
11/11/20,86.69,86.72,84.56,84.77,1063028,RJF
11/10/20,86.17,86.3,85.1001,85.81,608250,RJF
11/09/20,84.33,87.31,83.9,85.59,1444972,RJF
11/06/20,79.89,80.33,77.18,77.51,502497,RJF
