Date, Open, High, Low, Close, Volume,ticker
12/24/20,103.16,103.5,100.5,100.92,336447,RL
12/23/20,99.61,102.36,99.44,101.96,491620,RL
12/22/20,101.85,102.0,98.645,98.84,759325,RL
12/21/20,98.83,101.94,98.33,101.33,924704,RL
12/18/20,101.0,102.52,99.795,101.21,1636236,RL
12/17/20,100.48,102.26,98.99,100.99,948941,RL
12/16/20,100.95,102.05,99.19,99.5,1066815,RL
12/15/20,99.88,100.75,97.7201,100.53,1155565,RL
12/14/20,103.29,104.76,98.74,98.9,1392379,RL
12/11/20,105.91,105.91,100.7301,101.34,1860176,RL
12/10/20,103.65,105.65,101.635,103.85,2084762,RL
12/09/20,98.52,101.945,97.975,100.83,1855531,RL
12/08/20,94.89,97.7008,94.4401,97.15,1031606,RL
12/07/20,95.55,95.99,93.8,95.49,1310817,RL
12/04/20,97.87,98.0,95.18,96.21,1573757,RL
12/03/20,89.07,98.28,89.07,96.66,3244639,RL
12/02/20,87.38,88.97,85.81,88.92,1526650,RL
12/01/20,87.77,89.69,87.17,88.62,1826258,RL
11/30/20,87.23,87.76,85.14,85.75,5634387,RL
11/27/20,88.12,88.48,86.46,87.98,932521,RL
11/25/20,87.82,88.57,85.21,88.03,1347266,RL
11/24/20,86.0,89.94,85.535,89.03,2256446,RL
11/23/20,79.13,83.59,78.445,83.34,1947276,RL
11/20/20,80.41,80.65,77.995,78.22,1288410,RL
11/19/20,81.01,82.31,79.9,80.59,1238292,RL
11/18/20,84.31,85.12,81.74,81.74,1414911,RL
11/17/20,78.47,84.365,78.15,84.1,2184021,RL
11/16/20,81.0,81.0,77.485,79.34,1932473,RL
11/13/20,74.86,77.81,74.65,77.61,1780230,RL
11/12/20,75.23,76.2,73.13,74.27,1356700,RL
11/11/20,80.96,81.26,75.54,76.21,1589065,RL
11/10/20,81.01,83.46,80.62,81.35,1921984,RL
11/09/20,77.05,83.39,75.5,81.74,3794551,RL
11/06/20,69.69,70.895,67.41,68.23,1309942,RL
11/05/20,68.93,70.235,68.35,69.93,897642,RL
11/04/20,70.43,71.43,67.83,68.71,1261133,RL
11/03/20,68.25,70.25,67.98,69.12,1274618,RL
11/02/20,67.43,69.34,66.7,67.43,1581643,RL
10/30/20,70.18,70.34,65.2,66.85,2946830,RL
10/29/20,73.98,73.98,67.5,70.58,3743222,RL
10/28/20,72.95,75.1,72.16,74.3,1929061,RL
10/27/20,76.04,77.34,74.09,74.47,1185652,RL
10/26/20,76.63,77.47,75.06,76.8,1215972,RL
10/23/20,77.26,78.01,76.66,77.39,1492721,RL
10/22/20,75.43,77.48,75.07,77.11,1070854,RL
10/21/20,73.24,75.2,72.65,75.01,755936,RL
10/20/20,75.2,76.1,73.37,73.51,792571,RL
10/19/20,74.99,75.99,74.09,74.36,758684,RL
10/16/20,76.0,76.19,74.73,74.79,919790,RL
10/15/20,71.85,75.76,71.13,75.75,1179448,RL
10/14/20,72.26,73.88,72.06,72.97,1135203,RL
10/13/20,73.21,74.1,71.32,72.25,948099,RL
10/12/20,72.96,75.22,72.62,73.64,992606,RL
10/09/20,75.0,75.18,71.535,73.89,1433493,RL
10/08/20,72.53,74.38,72.0,74.33,1321895,RL
10/07/20,70.0,72.19,70.0,71.78,1424130,RL
10/06/20,72.86,72.97,69.12,69.28,1302668,RL
10/05/20,70.88,72.58,70.85,71.8,1195783,RL
10/02/20,67.0,70.17,66.85,69.93,1570441,RL
10/01/20,68.75,69.82,67.76,69.12,1272555,RL
09/30/20,67.65,68.72,67.11,67.97,1787147,RL
09/29/20,70.06,70.06,67.3,67.34,1249889,RL
09/28/20,72.59,72.72,70.29,70.44,1271490,RL
09/25/20,71.62,72.0,70.52,71.07,1168735,RL
09/24/20,71.91,72.42,69.5,71.66,1532149,RL
09/23/20,76.41,77.12,71.8,72.01,1159884,RL
09/22/20,72.0,75.14,70.755,75.04,2107644,RL
09/21/20,73.83,74.02,70.92,71.17,1727225,RL
09/18/20,77.69,78.89,74.135,75.83,2481276,RL
09/17/20,80.37,81.39,77.92,78.76,1038455,RL
09/16/20,81.5,82.83,81.24,81.27,975983,RL
09/15/20,80.22,81.55,79.24,80.62,1529954,RL
09/14/20,76.87,80.88,76.63,80.59,1750988,RL
09/11/20,76.07,76.24,74.82,76.16,1007526,RL
09/10/20,74.09,76.5,73.78,75.51,1053683,RL
09/09/20,74.55,74.65,72.69,73.51,1069422,RL
09/08/20,73.22,76.075,72.61,75.06,1212768,RL
09/04/20,74.51,75.08,72.6907,74.05,1511690,RL
09/03/20,72.36,74.62,71.93,74.15,2189682,RL
09/02/20,69.99,71.75,69.61,71.59,1289375,RL
09/01/20,68.31,69.29,67.69,69.17,957371,RL
08/31/20,70.79,70.875,68.4,68.83,1064926,RL
08/28/20,68.63,71.28,68.35,71.19,968847,RL
08/27/20,68.1,69.75,67.7,68.24,1060787,RL
08/26/20,69.12,69.35,67.57,67.65,1167780,RL
08/25/20,70.87,70.9,68.75,69.12,986689,RL
08/24/20,67.2,70.42,66.74,70.25,824747,RL
08/21/20,67.44,67.79,66.26,67.05,765091,RL
08/20/20,67.24,68.0,66.53,67.27,788077,RL
08/19/20,67.82,69.52,67.42,67.55,766917,RL
08/18/20,70.7,70.7,68.42,68.5,1098441,RL
08/17/20,70.54,70.96,68.53,70.9,809391,RL
08/14/20,69.44,71.27,68.05,70.66,1038919,RL
08/13/20,69.99,70.37,69.09,70.13,920671,RL
08/12/20,71.1,71.48,67.93,69.81,1107154,RL
08/11/20,70.47,72.22,70.08,70.21,1581919,RL
08/10/20,66.7,69.41,66.6001,68.68,1608906,RL
08/07/20,65.05,66.39,64.08,65.96,1919961,RL
08/06/20,68.35,68.8497,64.7,64.89,2740134,RL
08/05/20,67.28,69.625,66.72,68.51,1695177,RL
08/04/20,65.43,67.25,63.9,66.68,4426157,RL
08/03/20,71.3,71.3,68.65,69.72,1202882,RL
07/31/20,70.85,71.85,69.735,71.3,1086141,RL
07/30/20,71.23,71.54,69.38,71.08,765919,RL
07/29/20,71.18,72.86,71.13,72.73,615298,RL
07/28/20,71.36,72.57,71.15,71.4,540060,RL
07/27/20,71.05,71.78,69.9,71.61,719835,RL
07/24/20,72.0,73.13,71.39,71.45,652287,RL
07/23/20,70.86,73.07,70.86,71.65,604260,RL
07/22/20,71.0,72.23,70.28,71.36,696085,RL
07/21/20,72.0,73.445,71.31,71.56,758719,RL
07/20/20,72.28,73.76,70.67,71.3,892737,RL
07/17/20,74.99,75.0,72.83,73.31,887110,RL
07/16/20,73.18,75.21,72.66,74.6,813777,RL
07/15/20,72.35,74.62,71.74,74.19,1294118,RL
07/14/20,69.0,70.64,67.82,69.96,588806,RL
07/13/20,68.86,70.785,66.55,69.68,1115635,RL
07/10/20,67.0,69.03,66.66,68.98,536841,RL
07/09/20,69.18,69.18,66.82,67.47,987307,RL
07/08/20,68.72,69.57,67.91,69.55,998328,RL
07/07/20,70.23,70.47,68.67,68.9,700204,RL
07/06/20,72.45,73.015,69.6,71.39,658090,RL
07/02/20,72.67,73.67,70.61,70.75,723389,RL
07/01/20,72.75,75.08,70.55,70.67,974777,RL
06/30/20,72.06,75.92,71.56,72.52,1163412,RL
06/29/20,68.74,72.74,68.23,72.57,1099834,RL
06/26/20,70.04,70.79,67.15,67.7,1375645,RL
06/25/20,69.94,70.54,67.95,70.32,1358400,RL
06/24/20,71.87,72.45,69.91,70.65,1323199,RL
06/23/20,74.71,75.28,72.495,73.46,1394711,RL
06/22/20,71.51,73.715,70.16,73.34,1225813,RL
06/19/20,75.46,75.85,71.06,71.39,1386845,RL
06/18/20,73.6,75.55,72.93,73.94,677816,RL
06/17/20,76.35,77.26,74.405,74.48,880732,RL
06/16/20,78.02,78.92,75.1,76.42,1136515,RL
06/15/20,71.02,74.74,70.54,73.74,1621053,RL
06/12/20,76.81,77.48,72.75,74.77,1465654,RL
06/11/20,75.8,76.44,72.82,74.03,1763739,RL
06/10/20,85.0,85.5,80.49,80.69,1263622,RL
06/09/20,88.35,88.89,85.09,85.48,1099834,RL
06/08/20,92.0,93.0,88.43,90.26,1138453,RL
06/05/20,89.16,93.11,88.9,89.57,1799044,RL
06/04/20,84.09,84.92,82.25,84.92,1141798,RL
06/03/20,80.35,85.465,80.12,84.68,1555574,RL
06/02/20,77.54,79.28,77.32,78.39,1523588,RL
06/01/20,75.1,77.925,74.79,76.71,993877,RL
05/29/20,78.84,78.84,74.26,75.51,1811078,RL
05/28/20,80.88,83.1,78.5,79.98,1578933,RL
05/27/20,82.79,87.28,80.0,80.88,3800502,RL
05/26/20,75.9,81.5,75.6,81.37,2548326,RL
05/22/20,75.21,76.21,72.24,72.84,1180632,RL
05/21/20,71.21,75.235,70.7,74.57,1451982,RL
05/20/20,70.69,71.95,69.79,71.4,1090688,RL
05/19/20,69.82,70.0,67.51,69.26,1815584,RL
05/18/20,68.57,70.56,68.24,69.93,1541504,RL
05/15/20,64.96,66.97,63.44,65.38,1265472,RL
05/14/20,63.32,68.04,62.37,65.87,1560661,RL
05/13/20,65.49,65.49,63.5902,64.69,1347412,RL
05/12/20,69.83,70.31,65.34,65.53,2047048,RL
05/11/20,71.14,71.34,68.67,69.41,1247883,RL
05/08/20,72.06,72.73,71.04,72.08,2063788,RL
05/07/20,70.95,72.82,70.17,70.23,1373551,RL
05/06/20,72.93,73.8,70.35,71.13,771257,RL
05/05/20,72.95,74.28,71.421,72.32,2000741,RL
05/04/20,70.23,75.08,69.6882,71.87,2026799,RL
05/01/20,71.86,73.11,70.26,73.09,1356388,RL
04/30/20,78.81,78.81,72.93,73.78,1874241,RL
04/29/20,81.04,83.56,80.7,80.97,1561391,RL
04/28/20,78.86,81.06,75.8833,78.45,1560041,RL
04/27/20,70.08,75.39,69.7,74.82,1050314,RL
04/24/20,69.43,70.4451,67.16,68.3,807968,RL
04/23/20,67.31,69.68,66.66,68.95,927120,RL
04/22/20,69.64,69.89,66.98,67.03,974285,RL
04/21/20,67.0,68.95,66.36,68.32,1438752,RL
04/20/20,71.01,72.36,68.89,69.58,691764,RL
04/17/20,71.53,74.98,71.19,72.68,1142228,RL
