Date, Open, High, Low, Close, Volume,ticker
12/24/20,210.23,212.93,209.71,212.42,99574,RMD
12/23/20,212.95,213.1,209.92,209.98,297824,RMD
12/22/20,213.15,214.12,210.85,211.67,322753,RMD
12/21/20,214.0,215.255,207.88,213.47,435059,RMD
12/18/20,214.15,219.28,212.42,218.45,1073896,RMD
12/17/20,211.0,213.88,210.52,213.73,402788,RMD
12/16/20,209.52,211.77,207.73,210.51,500110,RMD
12/15/20,207.8,209.2,206.37,208.65,549825,RMD
12/14/20,206.17,210.175,205.73,206.38,485320,RMD
12/11/20,207.32,207.87,203.61,204.53,583881,RMD
12/10/20,211.06,213.02,208.04,208.73,400719,RMD
12/09/20,212.53,213.26,210.44,211.77,366409,RMD
12/08/20,208.26,212.39,207.48,212.11,429761,RMD
12/07/20,209.52,211.47,208.58,209.21,290234,RMD
12/04/20,207.42,209.92,206.88,209.69,305829,RMD
12/03/20,208.36,209.25,206.75,207.4,376344,RMD
12/02/20,209.57,210.58,208.3,209.26,378786,RMD
12/01/20,210.46,212.36,209.74,211.61,559473,RMD
11/30/20,208.94,211.02,207.87,209.6,828210,RMD
11/27/20,207.24,210.25,205.68,209.64,260973,RMD
11/25/20,206.21,206.95,204.58,206.03,306885,RMD
11/24/20,210.6,211.0,204.79,206.53,580669,RMD
11/23/20,211.52,213.6,207.9,209.57,391411,RMD
11/20/20,211.63,212.095,210.2474,211.02,385551,RMD
11/19/20,211.76,213.17,210.32,211.76,319130,RMD
11/18/20,214.7,214.85,210.94,211.07,388869,RMD
11/17/20,213.51,215.17,211.51,214.15,332925,RMD
11/16/20,215.59,216.62,213.59,215.54,307115,RMD
11/13/20,213.43,214.94,212.08,214.74,265671,RMD
11/12/20,215.02,215.79,210.57,212.79,396806,RMD
11/11/20,214.56,218.25,214.14,215.83,562860,RMD
11/10/20,219.15,219.15,210.95,212.11,783997,RMD
11/09/20,219.54,224.24,218.0,220.59,1145473,RMD
11/06/20,212.03,216.06,211.085,214.19,549687,RMD
11/05/20,212.0,215.64,210.45,212.81,561975,RMD
11/04/20,203.59,212.28,203.25,209.42,675205,RMD
11/03/20,197.2,203.55,196.67,202.46,707013,RMD
11/02/20,195.16,197.4,193.19,196.8,870243,RMD
10/30/20,195.8,198.0,189.13,191.94,897569,RMD
10/29/20,180.0,181.74,177.695,179.51,581326,RMD
10/28/20,181.81,182.97,180.32,180.66,612281,RMD
10/27/20,181.99,187.59,181.01,184.85,657220,RMD
10/26/20,181.16,182.165,179.25,180.53,366044,RMD
10/23/20,182.52,183.7,181.03,183.03,304996,RMD
10/22/20,179.13,183.55,178.99,182.82,403265,RMD
10/21/20,179.79,181.33,177.93,179.13,285212,RMD
10/20/20,179.75,181.64,178.835,179.43,388408,RMD
10/19/20,181.35,183.07,178.84,179.41,425621,RMD
10/16/20,179.62,182.35,178.81,180.79,464931,RMD
10/15/20,175.97,179.66,174.84,179.6,393142,RMD
10/14/20,178.0,181.03,177.37,177.81,403923,RMD
10/13/20,177.5,179.67,176.075,177.66,387072,RMD
10/12/20,177.67,178.29,176.48,177.43,339652,RMD
10/09/20,173.5,176.72,173.27,176.12,456382,RMD
10/08/20,172.56,173.67,171.125,172.7,484117,RMD
10/07/20,169.25,171.55,168.92,170.7,427372,RMD
10/06/20,171.25,171.64,167.24099999999999,167.65,431936,RMD
10/05/20,168.22,171.145,168.11,170.81,663623,RMD
10/02/20,167.53,169.38,165.92,167.5,1132810,RMD
10/01/20,172.84,174.43,168.59,169.51,505941,RMD
09/30/20,173.05,174.83,170.6,171.43,682395,RMD
09/29/20,172.0,174.04,171.91,172.66,340804,RMD
09/28/20,171.0,174.2,169.85,172.0,572544,RMD
09/25/20,166.7,169.31,166.01,169.04,893280,RMD
09/24/20,167.8,169.9,166.49,168.14,261168,RMD
09/23/20,172.01,172.35,168.24,168.7,442441,RMD
09/22/20,171.33,172.6,169.62,172.26,411066,RMD
09/21/20,168.69,171.59,165.72099999999998,171.51,714321,RMD
09/18/20,171.745,173.27,167.71,170.01,965549,RMD
09/17/20,172.44,173.7,171.01,172.89,476100,RMD
09/16/20,176.96,177.69,173.13,174.06,590706,RMD
09/15/20,175.49,177.69,175.06,175.55,395980,RMD
