Date, Open, High, Low, Close, Volume,ticker
12/24/20,248.56,249.08,247.21,248.63,131852,ROK
12/23/20,248.41,250.89,248.03,248.03,498018,ROK
12/22/20,249.06,249.14,245.64,247.64,567963,ROK
12/21/20,244.05,250.16,243.3103,249.36,702891,ROK
12/18/20,246.91,248.4,242.705,247.95,1325309,ROK
12/17/20,246.69,247.92,244.62,247.19,500606,ROK
12/16/20,248.52,248.765,244.16,245.73,535545,ROK
12/15/20,245.71,249.44,244.24,247.22,489964,ROK
12/14/20,248.19,249.095,242.77,242.99,428188,ROK
12/11/20,245.13,249.06,244.87,246.72,578645,ROK
12/10/20,249.75,250.4,244.13,246.77,696545,ROK
12/09/20,249.12,252.25,248.435,251.28,660153,ROK
12/08/20,244.22,250.1789,244.08,249.6,493236,ROK
12/07/20,247.64,248.1421,243.12,245.13,648829,ROK
12/04/20,245.3,249.72,245.28,247.96,582894,ROK
12/03/20,245.68,250.77,244.065,245.24,644608,ROK
12/02/20,246.63,248.93,245.495,246.69,780062,ROK
12/01/20,258.0,259.83,246.81,246.96,977311,ROK
11/30/20,253.39,255.58,249.44,255.56,972908,ROK
11/27/20,257.66,259.01,255.21,255.93,243785,ROK
11/25/20,256.1,257.81,252.45,256.43,539609,ROK
11/24/20,256.12,259.25,253.545,256.81,896509,ROK
11/23/20,251.52,253.56,249.46,251.78,573330,ROK
11/20/20,250.0,251.34,246.9703,247.63,778780,ROK
11/19/20,245.5,250.64,242.55,250.14,770764,ROK
11/18/20,241.77,249.08,241.19,245.5,907555,ROK
11/17/20,241.81,243.69,239.28,241.32,663711,ROK
11/16/20,241.95,242.975,236.51,241.22,914651,ROK
11/13/20,237.54,239.94400000000002,236.73,239.78,740527,ROK
11/12/20,242.19,242.19,231.74,235.08,1253957,ROK
11/11/20,251.12,252.03,241.1,242.19,987722,ROK
11/10/20,242.12,253.91,237.02,249.05,1032410,ROK
11/09/20,264.5,267.48,254.21,254.74,928809,ROK
11/06/20,250.68,252.44,249.31,249.44,518095,ROK
11/05/20,247.6,255.7,246.34,250.3,528477,ROK
11/04/20,251.02,251.27,241.58,242.69,813889,ROK
11/03/20,249.19,254.79,246.7801,253.37,573278,ROK
11/02/20,240.07,246.27,240.07,245.39,693957,ROK
10/30/20,235.12,237.63,232.4,237.12,478601,ROK
10/29/20,234.0,238.71,231.58,235.84,487967,ROK
10/28/20,232.42,236.36,230.685,234.01,845126,ROK
10/27/20,237.5,238.69,233.72,236.88,739189,ROK
10/26/20,240.03,241.13,234.67,236.94,610115,ROK
10/23/20,241.28,243.93,240.255,243.1,562302,ROK
10/22/20,237.82,241.3,237.645,239.33,594857,ROK
10/21/20,240.54,246.11,236.65,236.82,730190,ROK
10/20/20,245.67,247.3,238.64,240.98,844097,ROK
10/19/20,248.14,250.87,243.32,244.46,406601,ROK
10/16/20,248.98,251.95,248.1,249.03,452111,ROK
10/15/20,240.77,248.48,240.77,247.45,371597,ROK
