Date, Open, High, Low, Close, Volume,ticker
12/24/20,419.84,423.67,416.275,420.12,119734,ROP
12/23/20,416.42,424.005,415.66,419.46,478196,ROP
12/22/20,418.42,419.0775,410.985,412.92,565075,ROP
12/21/20,419.25,422.73699999999997,410.36,422.38,547852,ROP
12/18/20,425.45,430.835,421.89,426.19,1038622,ROP
12/17/20,422.0,425.345,420.605,425.04,486519,ROP
12/16/20,425.1,427.305,420.48,420.85,367027,ROP
12/15/20,424.76,431.43,423.9486,425.96,475503,ROP
12/14/20,422.59,433.02,422.59,422.89,460553,ROP
12/11/20,412.83,421.22,412.83,420.45,335171,ROP
12/10/20,420.09,420.09,412.31,415.0,440388,ROP
12/09/20,418.8,421.31,413.86,419.54,388810,ROP
12/08/20,416.23,423.14,416.23,419.14,357297,ROP
12/07/20,418.37,421.19,413.44,418.98,367961,ROP
12/04/20,409.82,417.95,409.82,417.95,529803,ROP
12/03/20,416.21,418.86,408.14,409.21,609843,ROP
12/02/20,423.82,423.82,415.91,418.01,351236,ROP
12/01/20,429.67,433.09,422.21,424.0,564567,ROP
11/30/20,418.0,427.4,418.0,427.0,704389,ROP
11/27/20,420.45,421.21,416.29,418.8,257522,ROP
11/25/20,420.15,421.47,416.92,418.47,274906,ROP
11/24/20,409.89,419.85,405.93,418.53,484604,ROP
11/23/20,408.83,409.83,403.42,405.72,463700,ROP
11/20/20,409.89,411.0,403.535,405.26,679482,ROP
11/19/20,407.0,411.12,406.27,409.48,441527,ROP
11/18/20,405.27,410.39,400.44,408.37,585536,ROP
11/17/20,402.93,410.79,401.2987,405.65,584405,ROP
11/16/20,399.0,409.01,396.42,407.87,580537,ROP
11/13/20,393.3,397.68,390.1,396.39,546027,ROP
11/12/20,399.66,402.18,386.19,390.65,584399,ROP
11/11/20,403.88,406.83,399.45,401.35,545055,ROP
11/10/20,390.25,401.37,390.25,400.98,676903,ROP
11/09/20,410.91,417.25,389.84,390.21,1047583,ROP
11/06/20,385.24,391.5989,384.16,388.42,646094,ROP
11/05/20,398.41,398.41,385.62,386.0,689560,ROP
11/04/20,386.87,397.55,381.27,388.75,733617,ROP
11/03/20,385.73,390.6787,380.55,383.35,623460,ROP
11/02/20,377.72,381.92,375.53,380.94,752656,ROP
10/30/20,369.36,373.33,362.9,371.34,490539,ROP
10/29/20,366.57,375.96,366.57,370.81,936399,ROP
10/28/20,387.75,388.98,365.5,367.5,1514582,ROP
10/27/20,405.0,405.74,390.0,394.6,1415044,ROP
10/26/20,424.63,426.82,414.02,417.89,472951,ROP
10/23/20,431.06,432.74,425.16,428.6,270355,ROP
10/22/20,421.73,429.4,421.48,427.52,408582,ROP
10/21/20,422.66,426.29,421.06,421.46,361998,ROP
10/20/20,426.16,427.79,420.85,422.87,442374,ROP
10/19/20,432.17,435.31,422.09,424.9,414214,ROP
10/16/20,431.52,438.32,430.94,433.89,788750,ROP
10/15/20,424.07,431.92,424.02,430.45,556202,ROP
10/14/20,426.36,430.31,424.58,427.21,551635,ROP
10/13/20,421.56,426.35,420.13,423.76,464941,ROP
10/12/20,417.41,429.48,416.0,421.86,626728,ROP
10/09/20,406.57,417.87,405.23,414.39,419743,ROP
10/08/20,407.65,407.71,401.96,403.67,367833,ROP
10/07/20,402.12,407.8,402.12,405.0,439347,ROP
10/06/20,401.2,407.0,398.8,399.9,411111,ROP
10/05/20,399.39,401.615,397.06,401.2,307785,ROP
10/02/20,390.03,398.685,389.7333,395.72,425859,ROP
10/01/20,398.13,401.69,390.56,393.48,472727,ROP
09/30/20,403.43,404.71,391.155,395.11,669351,ROP
09/29/20,401.62,404.29,398.2,401.36,357579,ROP
09/28/20,400.52,404.17,399.41,400.6,524083,ROP
09/25/20,388.62,401.71,388.275,398.12,384567,ROP
09/24/20,384.48,393.76,380.07,391.21,378608,ROP
09/23/20,395.6,398.78,385.36,386.45,481404,ROP
09/22/20,391.62,394.855,387.625,392.73,511372,ROP
09/21/20,387.5,393.38,383.73,392.25,542833,ROP
09/18/20,397.08,399.76,390.15,391.37,753165,ROP
09/17/20,395.29,399.82,392.315,398.8,567220,ROP
09/16/20,408.09,409.79,398.77,400.43,470986,ROP
09/15/20,399.19,407.86,397.03,403.89,626137,ROP
09/14/20,403.52,406.1,395.78,396.26,587250,ROP
09/11/20,400.0,403.7,393.21,399.6,561214,ROP
09/10/20,401.58,406.21,394.47,395.8,444225,ROP
09/09/20,399.28,404.08,394.38,399.9,517117,ROP
09/08/20,401.54,406.34,390.005,393.95,1227031,ROP
09/04/20,433.58,434.015,416.8,422.53,446172,ROP
09/03/20,443.98,444.48,426.98,429.97,404316,ROP
09/02/20,436.88,445.85,434.59,443.87,518076,ROP
09/01/20,429.3,437.675,427.415,436.41,316237,ROP
08/31/20,428.15,429.435,425.37,427.19,373873,ROP
08/28/20,428.54,430.5,425.98,430.18,257279,ROP
08/27/20,433.45,433.55,427.46,428.06,361104,ROP
08/26/20,429.35,433.02,427.58,432.44,387634,ROP
08/25/20,433.82,437.255,431.27,431.27,333577,ROP
08/24/20,433.65,436.93,429.3891,432.17,301778,ROP
08/21/20,434.53,434.9,429.25,431.99,640830,ROP
08/20/20,433.2,437.2,432.0,434.8,451332,ROP
08/19/20,440.44,441.21,434.36,434.43,473751,ROP
08/18/20,443.5,444.0,437.38,439.0,529679,ROP
08/17/20,446.75,449.99,439.52,440.97,613582,ROP
08/14/20,452.3,453.72,443.53,444.95,473574,ROP
08/13/20,444.74,455.72,444.74,453.18,645396,ROP
08/12/20,436.91,449.79,436.35,446.7,418624,ROP
08/11/20,442.64,445.73,433.96,434.71,578057,ROP
08/10/20,441.36,444.06,439.01,441.32,456831,ROP
08/07/20,437.76,441.55,435.49,440.9,246163,ROP
08/06/20,434.7,437.8,431.77,436.98,258421,ROP
08/05/20,436.41,438.8,434.01,435.22,296296,ROP
08/04/20,432.04,435.33,431.2,433.41,359978,ROP
