Date, Open, High, Low, Close, Volume,ticker
12/24/20,118.29,118.29,116.84,118.02,608724,ROST
12/23/20,117.22,118.92,117.22,118.14,961826,ROST
12/22/20,116.38,117.615,115.52,116.74,1640399,ROST
12/21/20,114.16,117.91,113.98,116.79,1906324,ROST
12/18/20,116.71,118.43,116.23,117.66,6003960,ROST
12/17/20,114.27,116.87,113.38,116.69,1477964,ROST
12/16/20,112.88,115.35,112.595,113.43,1081272,ROST
12/15/20,111.66,113.49,110.249,113.09,1364803,ROST
12/14/20,113.98,114.32,110.49,110.55,1816599,ROST
12/11/20,112.06,112.95,110.46,112.82,1636342,ROST
12/10/20,112.98,114.25,112.18,113.32,1312266,ROST
12/09/20,113.63,114.69,112.45,113.8,1381810,ROST
12/08/20,112.51,113.68,111.63,113.47,1523663,ROST
12/07/20,114.44,114.95,113.06,113.6,1382373,ROST
12/04/20,113.51,115.32,113.21,115.24,1362745,ROST
12/03/20,111.24,113.45,110.94,113.06,1526053,ROST
12/02/20,110.07,111.81,109.83,111.58,1072164,ROST
12/01/20,108.63,112.0,108.0,111.54,2155386,ROST
11/30/20,108.44,108.44,106.65,107.52,5951316,ROST
11/27/20,111.8,111.92,108.69,109.54,827627,ROST
11/25/20,112.04,112.23,109.3,110.92,2301346,ROST
11/24/20,109.95,113.54,109.39,113.41,2925798,ROST
11/23/20,110.22,110.39,106.37,108.18,3852608,ROST
11/20/20,114.99,115.0,108.795,108.99,5032141,ROST
11/19/20,109.75,111.69,108.79,110.2,3665930,ROST
11/18/20,110.47,115.64,110.45,111.3,3831383,ROST
11/17/20,108.8,111.345,107.18,110.46,2260288,ROST
11/16/20,109.7,110.97,106.48,110.84,2428118,ROST
11/13/20,106.2,108.485,105.24,108.13,2586143,ROST
11/12/20,103.76,105.46,102.55,104.61,2417589,ROST
11/11/20,108.98,109.215,103.29,104.18,2482209,ROST
11/10/20,107.52,109.89,106.26,109.42,3511813,ROST
11/09/20,104.84,117.77,104.23,107.82,6490424,ROST
11/06/20,95.16,95.16,92.58,93.3,1728083,ROST
11/05/20,93.53,95.4,92.52,94.94,1841766,ROST
11/04/20,92.33,94.43,91.17,92.2,1980410,ROST
11/03/20,88.945,92.3,88.945,91.64,1824210,ROST
11/02/20,86.9,88.79,86.43,88.59,2879704,ROST
10/30/20,86.03,86.85,84.68,85.17,2634770,ROST
10/29/20,85.33,87.72,84.72,86.99,1803075,ROST
10/28/20,89.615,90.08,85.19,85.28,3082083,ROST
10/27/20,91.74,92.48,90.88,91.45,1280394,ROST
10/26/20,94.1,94.64,90.38,91.64,2339874,ROST
10/23/20,94.51,95.46,92.585,95.43,1778370,ROST
10/22/20,92.06,94.12,91.76,93.16,1917954,ROST
10/21/20,92.04,92.86,90.8,92.17,1624347,ROST
10/20/20,91.96,93.22,90.81,92.18,3316570,ROST
10/19/20,95.26,95.66,90.5,90.96,2791210,ROST
10/16/20,95.91,96.79,95.0,95.12,1666779,ROST
10/15/20,95.37,96.94,94.88,96.19,1434215,ROST
10/14/20,97.61,98.92,96.12,96.29,1105935,ROST
10/13/20,99.33,99.77,97.51,97.64,1359550,ROST
10/12/20,98.92,99.86,98.07,98.64,1690698,ROST
10/09/20,99.35,99.66,97.62,98.41,1517217,ROST
10/08/20,97.27,98.03,96.2,97.86,904891,ROST
10/07/20,95.92,97.645,95.54,97.14,1123698,ROST
10/06/20,97.41,97.5,94.215,94.64,1428136,ROST
10/05/20,96.61,97.295,95.905,97.08,1086021,ROST
10/02/20,93.0,96.72,92.23,96.22,1923480,ROST
10/01/20,94.11,96.27,93.95,94.83,1460235,ROST
09/30/20,91.55,94.63,91.12,93.32,2045684,ROST
09/29/20,91.85,92.14,90.2,91.03,1711788,ROST
09/28/20,89.79,92.6736,88.82,92.26,1499350,ROST
09/25/20,86.45,88.19,85.37,87.93,1624481,ROST
09/24/20,86.87,88.1,85.12,86.68,2016605,ROST
09/23/20,91.0,92.45,87.5,87.74,2241676,ROST
09/22/20,90.71,91.37,89.39,90.62,1427055,ROST
09/21/20,90.95,91.24,87.6282,90.42,2466759,ROST
09/18/20,93.89,94.45,91.2,92.27,2357349,ROST
09/17/20,94.01,94.92,92.22,93.88,1463668,ROST
09/16/20,94.93,97.85,94.18,96.02,1909514,ROST
09/15/20,94.21,94.5,92.79,93.92,1795635,ROST
09/14/20,91.22,94.06,90.9596,93.77,1708385,ROST
09/11/20,91.16,91.38,89.1264,90.22,2264829,ROST
09/10/20,93.31,94.5939,90.38,90.71,1858527,ROST
09/09/20,93.5,94.27,92.55,93.47,1895308,ROST
09/08/20,92.24,95.28,91.69,93.59,2803558,ROST
09/04/20,94.31,94.99,92.72,93.32,1776585,ROST
09/03/20,95.13,95.64,92.98,93.79,2332106,ROST
09/02/20,92.19,94.99,92.09,94.56,2180956,ROST
09/01/20,91.01,91.71,89.53,91.27,2416124,ROST
08/31/20,93.0,93.48,91.03,91.08,2057938,ROST
08/28/20,91.2,93.93,90.875,93.83,1781673,ROST
08/27/20,90.7,92.02,90.25,90.86,1958307,ROST
08/26/20,91.13,91.56,89.73,89.86,1679641,ROST
08/25/20,89.79,92.38,89.7,91.25,2534117,ROST
08/24/20,87.01,89.32,86.71,89.31,2982331,ROST
08/21/20,87.59899999999999,89.78,86.37,87.22,4292873,ROST
08/20/20,88.88,89.71,87.23,87.46,3703249,ROST
08/19/20,90.5,91.2,88.57,90.26,4579120,ROST
08/18/20,96.78,96.97,93.28,94.3,2933922,ROST
08/17/20,96.12,97.56,95.12,97.13,3101960,ROST
08/14/20,93.2,94.76,92.63,94.06,1838853,ROST
08/13/20,93.95,93.96,93.02,93.07,1583508,ROST
08/12/20,93.62,94.46,92.354,94.07,1780889,ROST
08/11/20,93.47,94.98,92.38,93.6,1846381,ROST
08/10/20,90.0,93.24,89.8101,92.51,2557810,ROST
08/07/20,86.95,89.44,86.37,89.44,3321353,ROST
08/06/20,88.85,88.85,86.86,86.97,3282077,ROST
08/05/20,88.84,89.6,88.23,88.68,1894353,ROST
08/04/20,87.83,88.79,87.195,88.38,2043706,ROST
08/03/20,89.2,89.71,87.4,87.88,2784179,ROST
07/31/20,88.62,89.78,87.925,89.67,3166303,ROST
07/30/20,87.63,89.3,87.06,88.95,2524021,ROST
07/29/20,86.15,88.96,86.0,88.43,2371575,ROST
07/28/20,84.94,86.54,84.76,85.88,1814829,ROST
07/27/20,85.92,86.245,84.115,85.12,2380717,ROST
07/24/20,87.67,88.1,85.95,86.16,2167670,ROST
07/23/20,88.54,88.78,86.8515,87.74,2890477,ROST
07/22/20,86.35,88.81,85.617,88.78,2587788,ROST
07/21/20,85.07,88.0,84.12,86.51,2263340,ROST
07/20/20,85.58,86.08,83.51,84.79,3074610,ROST
07/17/20,85.25,86.08,84.13,85.79,3217262,ROST
07/16/20,83.01,84.94,82.4,84.56,3207144,ROST
07/15/20,81.77,84.635,81.63,83.66,5743713,ROST
07/14/20,83.98,83.98,79.65,80.17,7567697,ROST
07/13/20,86.97,87.775,84.45,84.82,3584906,ROST
07/10/20,84.85,87.75,84.48899999999999,86.79,2767184,ROST
