Date, Open, High, Low, Close, Volume,ticker
12/24/20,46.15,46.24,45.87,46.1,252806,SEE
12/23/20,45.16,46.33,45.16,46.24,917770,SEE
12/22/20,45.02,45.31,44.77,45.17,634959,SEE
12/21/20,44.84,45.31,43.83,45.29,1153933,SEE
12/18/20,44.69,45.48,44.54,45.41,1944393,SEE
12/17/20,44.66,45.1,44.62,44.79,708568,SEE
12/16/20,44.59,44.84,44.36,44.39,486891,SEE
12/15/20,44.27,44.93,44.15,44.61,713745,SEE
12/14/20,45.0,45.24,43.68,43.7,607863,SEE
12/11/20,44.95,45.53,44.73,44.77,851841,SEE
12/10/20,45.53,45.79,45.1701,45.4,858595,SEE
12/09/20,44.9,45.99,44.9,45.88,998752,SEE
12/08/20,44.52,45.23,44.52,44.68,1108159,SEE
12/07/20,45.56,45.72,44.76,44.88,984095,SEE
12/04/20,44.92,45.96,44.92,45.94,916681,SEE
12/03/20,45.53,46.08,44.69,44.79,856757,SEE
12/02/20,45.93,45.98,45.23,45.65,967893,SEE
12/01/20,45.43,46.23,45.06,46.1,1050254,SEE
11/30/20,44.31,45.13,44.31,45.06,2433524,SEE
11/27/20,45.21,45.37,44.5,44.53,442684,SEE
11/25/20,45.52,45.87,44.72,45.22,712976,SEE
11/24/20,45.11,46.08,44.99,45.95,1406863,SEE
11/23/20,45.67,45.93,44.53,44.7,1094135,SEE
11/20/20,44.88,45.59,44.59,45.2,3522087,SEE
11/19/20,44.08,44.87,43.9,44.8,931186,SEE
11/18/20,44.69,44.9,44.14,44.17,965573,SEE
11/17/20,43.9,44.81,43.585,44.62,1201855,SEE
11/16/20,44.0,44.59,43.44,44.45,909814,SEE
11/13/20,42.47,43.4,42.44,43.09,646378,SEE
11/12/20,42.24,42.48,41.48,42.01,588264,SEE
11/11/20,43.16,43.27,42.11,42.42,1233511,SEE
11/10/20,42.87,43.615,42.455,42.9,1602432,SEE
11/09/20,43.87,44.63,42.8,42.87,1748412,SEE
11/06/20,42.48,42.7699,41.86,42.16,985089,SEE
11/05/20,41.84,42.88,41.68,42.42,810573,SEE
