Date, Open, High, Low, Close, Volume,ticker
12/24/20,727.29,735.21,726.125,733.9,108650,SHW
12/23/20,737.52,740.6,724.44,724.45,266951,SHW
12/22/20,730.0,739.99,725.97,737.07,334933,SHW
12/21/20,719.92,729.68,711.5336,729.17,350391,SHW
12/18/20,726.75,729.45,718.6,728.23,887641,SHW
12/17/20,727.09,729.31,723.57,726.25,505272,SHW
12/16/20,726.77,728.96,719.8,722.49,383169,SHW
12/15/20,723.85,726.31,717.21,722.34,319176,SHW
12/14/20,724.05,730.0,718.79,718.85,515173,SHW
12/11/20,718.56,722.55,713.33,718.61,362333,SHW
12/10/20,716.53,724.915,712.81,719.82,461091,SHW
12/09/20,721.85,728.85,713.14,720.64,563812,SHW
12/08/20,711.43,721.19,710.8,719.26,439186,SHW
12/07/20,707.54,713.215,706.51,710.08,637343,SHW
12/04/20,712.58,714.0,703.11,705.91,695671,SHW
12/03/20,715.66,719.875,706.74,708.05,454312,SHW
12/02/20,743.49,746.3299,713.98,715.65,591253,SHW
12/01/20,750.0,755.0,739.92,743.26,581077,SHW
11/30/20,733.89,748.61,732.525,747.63,881044,SHW
11/27/20,731.98,741.5,730.39,735.81,139403,SHW
11/25/20,738.78,741.98,727.72,731.25,335103,SHW
11/24/20,739.49,746.37,733.275,735.29,547861,SHW
11/23/20,727.41,736.56,726.43,734.13,348978,SHW
11/20/20,730.0,732.68,723.625,724.23,323251,SHW
11/19/20,723.61,735.43,715.97,728.73,521254,SHW
11/18/20,733.39,738.2059,723.6,723.61,487591,SHW
11/17/20,725.0,734.47,719.35,731.08,492183,SHW
11/16/20,728.12,734.32,722.48,731.7,507396,SHW
11/13/20,723.14,728.55,720.21,726.28,326706,SHW
11/12/20,724.74,728.335,712.4252,717.31,562943,SHW
11/11/20,726.31,730.435,720.54,727.48,386572,SHW
11/10/20,692.57,724.1,692.57,722.41,792894,SHW
11/09/20,745.5,758.0,690.67,690.76,1001581,SHW
11/06/20,732.88,737.2,725.66,736.1,426544,SHW
11/05/20,730.0,740.73,728.5,729.82,370247,SHW
11/04/20,710.63,729.32,710.63,723.99,470192,SHW
11/03/20,709.92,718.75,705.26,710.09,465589,SHW
11/02/20,696.86,715.44,695.0,709.3,617669,SHW
10/30/20,686.25,695.01,681.3,687.98,688350,SHW
10/29/20,677.92,695.025,674.57,692.09,617293,SHW
10/28/20,674.22,686.0,665.93,678.66,805614,SHW
10/27/20,677.16,682.31,667.7646,673.47,597171,SHW
10/26/20,677.11,679.84,664.22,670.38,487079,SHW
10/23/20,681.14,685.05,673.715,683.31,369648,SHW
10/22/20,676.24,680.63,668.97,678.0,286632,SHW
10/21/20,675.0,684.4965,673.12,674.07,511025,SHW
10/20/20,687.5,688.6656,673.6,674.93,527298,SHW
10/19/20,696.36,699.0802,679.52,681.83,346196,SHW
10/16/20,691.64,701.76,690.66,695.32,380195,SHW
10/15/20,688.34,692.8,682.99,688.0,426416,SHW
10/14/20,698.79,698.79,690.58,693.99,432518,SHW
10/13/20,702.61,706.35,695.15,697.18,434644,SHW
10/12/20,702.0,708.74,699.1945,702.38,314409,SHW
10/09/20,691.35,698.9395,690.0,698.4,452202,SHW
10/08/20,694.62,697.96,685.47,688.28,492374,SHW
10/07/20,687.74,693.66,685.31,691.8,450296,SHW
10/06/20,691.88,696.57,680.97,682.38,520876,SHW
10/05/20,693.52,701.45,686.755,689.6,646724,SHW
10/02/20,686.71,696.895,680.7669999999999,688.98,411556,SHW
