Date, Open, High, Low, Close, Volume,ticker
12/24/20,6.27,6.32,6.25,6.305,5567365,SIRI
12/23/20,6.28,6.31,6.25,6.27,18910840,SIRI
12/22/20,6.28,6.319,6.24,6.27,13506340,SIRI
12/21/20,6.25,6.33,6.17,6.31,21376400,SIRI
12/18/20,6.4,6.43,6.27,6.31,38941609,SIRI
12/17/20,6.4,6.42,6.315,6.38,18549199,SIRI
12/16/20,6.39,6.405,6.34,6.37,13773720,SIRI
12/15/20,6.35,6.41,6.3,6.39,11403400,SIRI
12/14/20,6.45,6.45,6.31,6.33,17320410,SIRI
12/11/20,6.4,6.45,6.36,6.42,19912840,SIRI
12/10/20,6.39,6.42,6.32,6.39,24764480,SIRI
12/09/20,6.67,6.725,6.38,6.41,29539631,SIRI
12/08/20,6.63,6.6776,6.51,6.61,46046441,SIRI
12/07/20,6.35,6.5655,6.33,6.52,22031100,SIRI
12/04/20,6.42,6.4863,6.33,6.34,19228990,SIRI
12/03/20,6.42,6.48,6.38,6.43,21770539,SIRI
12/02/20,6.513999999999999,6.52,6.42,6.43,17445600,SIRI
12/01/20,6.51,6.6,6.48,6.52,25415990,SIRI
11/30/20,6.53,6.54,6.4,6.49,24360840,SIRI
11/27/20,6.5,6.625,6.5,6.55,10885930,SIRI
11/25/20,6.54,6.55,6.34,6.47,25936289,SIRI
11/24/20,6.62,6.66,6.54,6.55,19259230,SIRI
11/23/20,6.44,6.6,6.43,6.56,21813131,SIRI
11/20/20,6.38,6.46,6.3603,6.42,15550530,SIRI
11/19/20,6.27,6.44,6.26,6.41,19697881,SIRI
11/18/20,6.425,6.48,6.31,6.32,20547750,SIRI
11/17/20,6.28,6.46,6.28,6.41,17475199,SIRI
11/16/20,6.34,6.39,6.3,6.37,20301180,SIRI
11/13/20,6.15,6.29,6.14,6.27,19990730,SIRI
11/12/20,6.15,6.21,6.035,6.11,21986311,SIRI
11/11/20,6.06,6.26,6.01,6.18,22700539,SIRI
11/10/20,5.97,6.135,5.96,5.99,31737270,SIRI
11/09/20,6.25,6.32,6.05,6.05,28739480,SIRI
11/06/20,6.06,6.1,6.01,6.03,21434740,SIRI
11/05/20,5.92,6.11,5.91,6.09,23957320,SIRI
11/04/20,5.88,5.94,5.79,5.89,26095699,SIRI
11/03/20,5.82,5.91,5.81,5.82,26780939,SIRI
11/02/20,5.79,5.88,5.735,5.78,21972510,SIRI
10/30/20,5.77,5.84,5.7,5.73,22300430,SIRI
10/29/20,5.68,5.88,5.665,5.83,26871020,SIRI
10/28/20,5.84,5.855,5.69,5.7,23682359,SIRI
10/27/20,5.85,5.93,5.76,5.91,20521490,SIRI
10/26/20,5.93,5.98,5.78,5.79,24029840,SIRI
10/23/20,6.0,6.04,5.9,5.98,21719311,SIRI
10/22/20,6.01,6.03,5.82,5.99,31413020,SIRI
