Date, Open, High, Low, Close, Volume,ticker
12/24/20,115.04,116.35,114.99,116.09,254266,SJM
12/23/20,115.38,116.25,114.85,115.17,487464,SJM
12/22/20,114.66,115.1791,113.93,114.73,865572,SJM
12/21/20,115.04,115.34,113.91,114.38,898880,SJM
12/18/20,115.23,115.97,114.58,115.88,1792910,SJM
12/17/20,113.97,115.47,113.73,115.32,1061923,SJM
12/16/20,114.26,115.64,113.73,113.83,1156776,SJM
12/15/20,113.3,113.9333,112.65,113.46,1291775,SJM
12/14/20,115.29,115.44,112.8,113.25,1723432,SJM
12/11/20,115.36,116.05,114.72,115.17,1050895,SJM
12/10/20,118.34,118.74,115.86,115.87,1139673,SJM
12/09/20,117.24,118.3,116.17,118.06,823661,SJM
12/08/20,116.76,118.19,116.03,117.53,1027414,SJM
12/07/20,116.79,117.54,115.75,117.06,860794,SJM
12/04/20,116.51,117.73,116.21,117.35,743441,SJM
12/03/20,114.31,116.6,114.18,116.48,1327158,SJM
12/02/20,116.35,117.1929,114.18,114.87,1045264,SJM
12/01/20,117.37,117.85,115.77,116.92,800339,SJM
11/30/20,116.3,117.22,115.11,117.2,1380783,SJM
11/27/20,118.0,118.22,115.97,116.5,402032,SJM
11/25/20,118.33,118.69,116.44,118.0,1458204,SJM
11/24/20,116.63,119.135,114.79,117.79,1561308,SJM
11/23/20,116.23,117.61,115.8,116.05,984259,SJM
11/20/20,116.64,117.27,114.22,116.23,931341,SJM
11/19/20,116.16,117.39,114.59,117.05,624730,SJM
11/18/20,118.95,118.95,115.72,115.77,693014,SJM
11/17/20,119.58,119.82,118.23,118.43,508872,SJM
11/16/20,119.5,120.18,117.95,120.11,615490,SJM
11/13/20,118.34,119.39,117.655,119.09,305797,SJM
11/12/20,118.38,118.38,116.52,117.85,624537,SJM
11/11/20,118.21,119.94,116.59,119.8,707530,SJM
11/10/20,113.48,117.67,112.3,117.57,1057222,SJM
11/09/20,117.19,117.81,112.93,113.26,977627,SJM
11/06/20,116.02,117.81,115.58,116.62,603220,SJM
11/05/20,115.6,118.385,115.4,115.8,691283,SJM
11/04/20,117.38,118.64,114.5,114.58,759892,SJM
11/03/20,117.24,118.83,116.52,116.98,911333,SJM
11/02/20,113.71,117.04,112.77,116.66,1196010,SJM
10/30/20,111.06,113.1,110.745,112.2,1301213,SJM
10/29/20,111.26,112.88,109.85,111.28,1244834,SJM
10/28/20,112.04,113.48,111.12,111.24,842692,SJM
10/27/20,115.21,115.91,113.03,113.1,748279,SJM
10/26/20,114.84,115.535,114.15,115.1,672877,SJM
10/23/20,116.16,116.58,114.88,115.54,411594,SJM
10/22/20,114.5,116.04,113.93,115.63,692266,SJM
10/21/20,113.49,114.95,112.52,114.4,1162374,SJM
10/20/20,115.81,116.22,113.9801,114.12,982754,SJM
10/19/20,117.75,118.25,115.1,115.21,649505,SJM
10/16/20,118.74,119.25,117.85,117.88,560724,SJM
10/15/20,118.62,119.29,118.01,118.86,452356,SJM
10/14/20,119.53,120.47,118.85,118.97,451067,SJM
10/13/20,119.92,120.925,119.18,120.09,460067,SJM
10/12/20,119.12,120.59,119.12,119.92,486049,SJM
10/09/20,117.39,118.75,116.62,118.68,636458,SJM
10/08/20,118.0,118.19,116.48,117.13,610820,SJM
10/07/20,117.37,118.18,116.31,117.45,617566,SJM
10/06/20,117.38,118.75,116.785,117.5,713524,SJM
10/05/20,116.32,117.68,115.47,117.38,562779,SJM
10/02/20,115.75,117.62,115.65,116.47,512813,SJM
10/01/20,115.08,116.18,113.88,116.0,710520,SJM
09/30/20,113.62,116.14,113.2,115.52,1115920,SJM
09/29/20,113.04,113.71,112.34,113.01,389592,SJM
09/28/20,112.86,114.28,112.63,113.24,713375,SJM
09/25/20,110.87,112.39,110.81,112.15,525722,SJM
09/24/20,108.55,111.34,108.15,110.87,770683,SJM
09/23/20,110.57,111.04,108.15,108.29,935216,SJM
09/22/20,110.14,111.88,109.62,109.88,1136589,SJM
09/21/20,108.87,111.15,108.1,109.79,1148407,SJM
09/18/20,109.8,110.98,109.04,109.39,971302,SJM
