Date, Open, High, Low, Close, Volume,ticker
12/24/20,21.98,21.99,21.46,21.64,3664936,SLB
12/23/20,21.5,22.3,21.45,21.92,9474538,SLB
12/22/20,21.78,21.82,21.24,21.36,17184150,SLB
12/21/20,21.41,21.9762,21.08,21.78,10778280,SLB
12/18/20,22.85,22.96,22.24,22.31,20038600,SLB
12/17/20,22.99,23.12,22.6627,22.93,8481165,SLB
12/16/20,22.92,23.07,22.4519,22.84,11062740,SLB
12/15/20,22.46,23.07,22.24,22.97,12697440,SLB
12/14/20,23.31,23.4,21.99,22.18,11809690,SLB
12/11/20,23.13,23.19,22.475,22.94,14589220,SLB
12/10/20,22.47,23.89,22.22,23.38,13977750,SLB
12/09/20,23.3,23.79,22.97,23.37,15063340,SLB
12/08/20,22.5,23.3,22.44,23.23,8064614,SLB
12/07/20,23.3,23.36,22.71,22.83,10067550,SLB
12/04/20,22.56,23.5,22.46,23.45,16201290,SLB
12/03/20,21.85,22.44,21.74,22.07,12517450,SLB
12/02/20,20.95,22.07,20.87,21.64,9741910,SLB
12/01/20,21.37,21.58,20.87,21.07,12721080,SLB
11/30/20,21.96,21.98,20.78,20.79,21516090,SLB
11/27/20,21.97,22.11,21.71,21.88,6550850,SLB
11/25/20,21.73,22.31,21.66,22.1,12188690,SLB
11/24/20,22.44,22.5,21.915,22.23,20774119,SLB
11/23/20,20.6,21.65,20.45,21.61,14799660,SLB
11/20/20,20.36,20.495,19.975,20.21,10302340,SLB
11/19/20,19.69,20.5,19.55,20.46,11924280,SLB
11/18/20,20.18,20.565,19.92,19.97,15408280,SLB
11/17/20,19.44,20.1,19.27,20.09,13972550,SLB
11/16/20,18.89,20.05,18.56,20.04,23092811,SLB
11/13/20,17.44,18.11,17.42,18.0,9326631,SLB
11/12/20,17.35,17.88,17.16,17.3,10767860,SLB
11/11/20,18.5,18.51,17.4,17.71,16402051,SLB
11/10/20,18.77,18.91,18.0,18.31,19098500,SLB
11/09/20,17.02,18.76,16.93,18.25,31835650,SLB
11/06/20,15.49,15.83,15.1382,15.22,10324220,SLB
11/05/20,15.9,16.1319,15.5,15.52,15004600,SLB
11/04/20,15.7,16.2,15.07,15.97,17689420,SLB
11/03/20,15.92,16.045,15.56,15.76,13028250,SLB
