Date, Open, High, Low, Close, Volume,ticker
12/24/20,57.08,57.37,56.1601,56.74,517483,SLG
12/23/20,56.56,57.34,56.13,56.71,1001968,SLG
12/22/20,56.2,56.49,55.55,55.95,1626442,SLG
12/21/20,56.56,56.94,55.41,55.76,2177639,SLG
12/18/20,60.04,60.185,57.77,58.11,2295497,SLG
12/17/20,60.43,60.89,59.11,60.17,1068754,SLG
12/16/20,61.0,62.0,59.85,59.93,1141656,SLG
12/15/20,58.87,61.22,57.8,60.85,2667319,SLG
12/14/20,60.77,61.58,58.05,58.35,1619699,SLG
12/11/20,61.36,62.44,60.12,61.05,1138067,SLG
12/10/20,60.84,62.82,60.81,61.95,1133486,SLG
12/09/20,62.01,62.59,60.95,62.04,1185332,SLG
12/08/20,62.11,63.4499,61.54,61.7,1468882,SLG
12/07/20,64.79,65.59,62.02,62.43,1310669,SLG
12/04/20,66.07,66.3,63.33,63.9,1296150,SLG
12/03/20,60.3,62.69,60.11,62.19,1039273,SLG
12/02/20,58.41,60.285,57.53,59.95,883774,SLG
12/01/20,59.13,60.535,57.96,58.58,1092536,SLG
11/30/20,60.2,61.02,57.71,57.9,1855864,SLG
11/27/20,60.79,61.27,59.5,60.55,478710,SLG
11/25/20,61.69,61.99,60.01,60.68,1340512,SLG
11/24/20,62.3,65.53,61.63,62.08,2420701,SLG
11/23/20,59.57,61.41,58.49,60.65,2104478,SLG
11/20/20,57.64,58.985,57.37,58.83,1235576,SLG
11/19/20,57.3,59.15,56.53,57.95,909072,SLG
11/18/20,60.53,61.16,57.2,57.22,1085213,SLG
11/17/20,56.18,61.14,55.36,60.26,2354775,SLG
11/16/20,59.09,59.8,55.23,56.7,2004758,SLG
11/13/20,53.01,55.49,52.78,54.81,1829395,SLG
11/12/20,53.99,55.58,51.62,52.13,2077781,SLG
11/11/20,56.75,56.89,54.04,55.65,2107663,SLG
11/10/20,59.49,62.33,55.12,57.13,4242726,SLG
11/09/20,53.46,61.2,52.6,60.0,8430760,SLG
11/06/20,45.45,46.24,42.94,43.82,1656155,SLG
11/05/20,45.34,46.5,45.18,45.39,998370,SLG
11/04/20,46.74,47.17,44.92,45.03,1962179,SLG
11/03/20,46.16,48.38,45.5,47.83,1631477,SLG
11/02/20,43.56,45.34,42.53,45.3,1305296,SLG
10/30/20,41.58,43.0,41.0,42.81,1626227,SLG
10/29/20,41.51,43.06,40.88,41.65,2492816,SLG
10/28/20,42.38,42.69,40.47,42.01,2818256,SLG
10/27/20,45.63,46.22,43.35,43.46,2133758,SLG
10/26/20,46.86,46.86,44.8,45.87,1428795,SLG
10/23/20,46.97,47.57,46.13,47.39,774209,SLG
10/22/20,47.03,47.46,45.33,46.72,1295264,SLG
10/21/20,46.14,46.6,45.285,46.08,1311607,SLG
10/20/20,46.3,47.35,46.15,46.47,1083179,SLG
10/19/20,47.41,47.72,45.54,45.61,1280196,SLG
10/16/20,47.14,47.78,46.2,47.3,858618,SLG
10/15/20,46.49,47.95,46.2,47.34,1054141,SLG
10/14/20,47.36,48.25,46.84,47.26,940046,SLG
10/13/20,50.06,50.69,47.56,47.59,1267164,SLG
10/12/20,51.34,51.3429,50.055,50.69,1006890,SLG
10/09/20,53.42,53.42,50.95,51.44,1096272,SLG
10/08/20,50.84,53.2,50.78,52.99,1173004,SLG
10/07/20,50.16,51.6,49.76,50.73,1192930,SLG
10/06/20,49.84,51.77,49.1901,49.92,1775335,SLG
10/05/20,50.1,50.45,48.18,49.25,1045462,SLG
10/02/20,45.51,49.55,45.51,49.36,1635105,SLG
10/01/20,46.45,47.6204,45.63,47.29,1264045,SLG
09/30/20,47.09,47.73,45.77,46.37,1230688,SLG
09/29/20,47.78,47.965,45.57,46.53,1074100,SLG
09/28/20,47.72,49.0,47.3301,48.27,933188,SLG
09/25/20,44.27,46.47,44.18,46.42,1155124,SLG
09/24/20,43.71,45.89,42.67,44.73,1305949,SLG
09/23/20,45.35,46.33,43.78,43.83,1307787,SLG
09/22/20,46.61,48.02,45.62,45.63,1829662,SLG
09/21/20,47.92,48.25,46.24100000000001,46.41,1647409,SLG
09/18/20,50.36,51.141999999999996,49.15,49.42,3504479,SLG
09/17/20,50.5,51.57,49.57,50.97,1458436,SLG
09/16/20,50.14,52.1699,49.06,51.24,1712988,SLG
09/15/20,47.37,51.2,47.37,49.9,2057932,SLG
09/14/20,45.42,47.87,45.07,47.57,1610312,SLG
09/11/20,45.0,45.15,43.37,44.75,2268700,SLG
09/10/20,47.25,47.53,44.92,45.05,1836239,SLG
09/09/20,47.39,47.64,46.48,47.33,1619245,SLG
09/08/20,48.49,49.32,46.75,47.05,1674155,SLG
09/04/20,48.96,49.74,47.965,49.19,930355,SLG
09/03/20,48.67,50.67,47.79,48.23,1527267,SLG
09/02/20,47.15,48.55,46.525,48.48,1065549,SLG
09/01/20,46.2,47.71,45.55,47.18,1068826,SLG
08/31/20,48.85,48.9,46.6,46.76,1404789,SLG
08/28/20,48.84,49.75,48.07,48.91,669795,SLG
08/27/20,47.63,49.0142,47.63,48.52,1018843,SLG
08/26/20,49.5,49.56,47.01,47.12,895430,SLG
08/25/20,50.09,50.7956,48.77,49.51,835045,SLG
08/24/20,47.13,50.43,46.98,49.84,1426273,SLG
08/21/20,47.36,47.94,46.545,47.17,918169,SLG
08/20/20,45.64,47.69,45.35,47.23,1126433,SLG
08/19/20,47.0,47.225,45.8,45.91,1081278,SLG
08/18/20,46.9,47.37,45.88,46.92,900053,SLG
08/17/20,47.05,47.55,45.95,46.88,1496262,SLG
08/14/20,47.85,48.8631,47.3,47.38,1454013,SLG
08/13/20,50.01,50.25,47.91,48.07,1253394,SLG
08/12/20,51.08,51.5,49.29,50.47,879308,SLG
08/11/20,52.01,53.49,50.19,50.52,1126829,SLG
08/10/20,49.0,51.23,48.81,51.04,1144647,SLG
08/07/20,46.78,48.64,46.2801,48.62,1016147,SLG
08/06/20,46.87,48.05,46.5,47.32,778798,SLG
08/05/20,48.24,48.44,46.8965,47.18,909190,SLG
08/04/20,45.85,48.1,45.85,47.66,1724458,SLG
08/03/20,46.27,46.27,44.82,45.91,1091855,SLG
07/31/20,47.28,47.28,45.59,46.5,1523943,SLG
07/30/20,47.27,47.45,45.66,47.31,1090668,SLG
07/29/20,48.57,48.89,46.02,48.71,1239240,SLG
07/28/20,47.04,48.8,46.42,48.22,990945,SLG
07/27/20,46.0,47.1,44.72,46.87,1330506,SLG
07/24/20,47.71,48.175,46.15,46.44,1036369,SLG
07/23/20,49.5,51.13,46.68,47.9,2129553,SLG
07/22/20,47.65,50.11,47.195,49.77,1191994,SLG
07/21/20,46.67,48.16,46.67,47.93,1317753,SLG
07/20/20,48.19,48.43,46.03,46.3,1328163,SLG
07/17/20,48.72,49.6,48.1884,48.85,629498,SLG
07/16/20,48.94,49.695,48.4,48.68,918100,SLG
07/15/20,49.72,50.45,48.75,49.64,1096801,SLG
07/14/20,48.76,49.9475,48.06,48.58,697306,SLG
07/13/20,48.74,50.09,47.58,48.87,976655,SLG
07/10/20,45.77,48.35,45.75,48.11,1248314,SLG
07/09/20,48.39,48.48,45.6,45.97,1347191,SLG
07/08/20,48.26,49.63,47.73,48.75,1812278,SLG
07/07/20,49.35,50.11,48.24,48.25,1511019,SLG
07/06/20,51.58,51.96,49.05,50.61,1520599,SLG
07/02/20,49.93,51.05,49.03,49.92,1663122,SLG
07/01/20,49.58,50.87,48.5,48.54,1275770,SLG
06/30/20,49.77,50.438,48.815,49.29,1348723,SLG
06/29/20,47.22,50.12,46.565,50.08,1579466,SLG
06/26/20,49.74,49.94,46.5,46.76,2276076,SLG
06/25/20,48.87,50.36,48.23,50.06,1436262,SLG
06/24/20,50.75,51.559,48.07,49.82,2151601,SLG
06/23/20,52.65,53.59,51.0,51.67,1858205,SLG
06/22/20,51.44,53.32,50.31,52.1,2281482,SLG
