Date, Open, High, Low, Close, Volume,ticker
12/24/20,255.0,257.4768,253.81,256.28,200213,SNPS
12/23/20,259.03,260.26,254.59,254.7,545589,SNPS
12/22/20,255.08,258.48,254.51,258.05,759240,SNPS
12/21/20,251.83,255.8,247.0,254.24,1121441,SNPS
12/18/20,250.83,255.72,248.2,255.0,1604836,SNPS
12/17/20,249.79,253.1,246.385,250.29,847991,SNPS
12/16/20,244.38,249.101,243.51,248.1,912599,SNPS
12/15/20,241.11,243.14,239.49,242.74,581605,SNPS
12/14/20,236.91,242.73,235.88,238.86,715520,SNPS
12/11/20,234.01,236.58,232.3,236.39,718608,SNPS
12/10/20,231.62,235.08,229.21,234.17,702808,SNPS
12/09/20,238.65,238.65,231.255,232.77,801700,SNPS
12/08/20,241.3,241.3,236.64,238.76,747132,SNPS
12/07/20,238.38,241.0,236.825,239.17,623006,SNPS
12/04/20,235.28,240.12,234.57,236.88,1057433,SNPS
12/03/20,225.34,237.92,222.0,234.47,2008519,SNPS
12/02/20,228.35,228.505,223.92,224.72,818870,SNPS
12/01/20,226.36,231.12,224.07,230.02,791560,SNPS
11/30/20,225.72,228.2,222.79,227.5,1071221,SNPS
11/27/20,219.83,225.79,219.33,225.42,384800,SNPS
11/25/20,216.98,220.76,216.4,217.02,701456,SNPS
11/24/20,215.55,217.16,211.2,215.49,914609,SNPS
11/23/20,218.88,220.49,213.25,216.0,708397,SNPS
11/20/20,221.6,224.25,218.07,218.51,723002,SNPS
11/19/20,218.12,223.16,216.295,221.28,819740,SNPS
11/18/20,220.27,221.0,216.16,218.19,1041888,SNPS
11/17/20,221.82,222.96,219.04,221.2,1071497,SNPS
11/16/20,224.58,226.17,220.6584,222.34,639387,SNPS
11/13/20,226.02,227.5,223.88,226.23,430017,SNPS
11/12/20,227.66,229.01,222.81,223.76,472752,SNPS
11/11/20,222.44,227.78,222.07,224.9,842841,SNPS
11/10/20,229.67,229.67,218.58,219.33,1315664,SNPS
11/09/20,243.51,246.69,233.79,233.79,983850,SNPS
11/06/20,240.88,243.66,237.75,241.78,586594,SNPS
11/05/20,239.53,241.8199,237.17,240.56,634357,SNPS
11/04/20,229.72,234.97,227.75,233.31,1006996,SNPS
11/03/20,218.93,223.47,217.38,221.74,502129,SNPS
11/02/20,215.52,218.48,212.33,215.78,765037,SNPS
10/30/20,217.1,219.41,212.21,213.86,777410,SNPS
10/29/20,218.06,221.935,217.77,219.46,500364,SNPS
10/28/20,220.07,224.92,216.1,217.82,671501,SNPS
10/27/20,222.64,225.0,221.42,222.91,536232,SNPS
10/26/20,223.9,226.25,217.85,220.63,600281,SNPS
10/23/20,226.15,226.87,222.815,226.74,645962,SNPS
10/22/20,228.41,228.41,222.215,225.17,632776,SNPS
10/21/20,225.83,229.94,225.43,227.45,658339,SNPS
10/20/20,225.95,228.605,223.56,226.4,550475,SNPS
10/19/20,226.29,230.12,223.67,224.37,442721,SNPS
10/16/20,228.61,231.0816,226.34,226.48,529686,SNPS
10/15/20,224.24,228.17,222.24,228.03,591155,SNPS
10/14/20,229.15,229.71,224.2601,226.81,604894,SNPS
10/13/20,232.74,232.74,227.89,228.18,579142,SNPS
10/12/20,225.65,231.6,223.58,228.93,854407,SNPS
10/09/20,220.99,224.5,220.86,222.82,561617,SNPS
10/08/20,221.43,221.6,218.45,219.03,373835,SNPS
10/07/20,215.71,220.39,214.78,219.53,498541,SNPS
10/06/20,215.6,218.66,213.08,214.34,689507,SNPS
10/05/20,213.12,216.66,213.0,216.64,544137,SNPS
10/02/20,212.86,216.01,210.331,212.05,751078,SNPS
10/01/20,216.37,219.69,216.01,217.09,718791,SNPS
09/30/20,211.21,216.86,210.8,213.98,696354,SNPS
09/29/20,213.12,215.4,211.8,212.32,632461,SNPS
09/28/20,210.51,212.84,209.26,212.64,699807,SNPS
09/25/20,201.27,209.27,200.06,208.5,808696,SNPS
09/24/20,196.46,202.83,196.46,201.51,850139,SNPS
09/23/20,203.61,203.83,196.82,197.86,553226,SNPS
09/22/20,203.41,205.065,198.91,204.8,752848,SNPS
09/21/20,195.9,202.18,193.55,201.98,604861,SNPS
09/18/20,202.04,203.215,194.2,197.93,1357310,SNPS
09/17/20,201.04,203.805,198.19,201.86,910522,SNPS
09/16/20,212.47,213.1952,206.715,206.86,737179,SNPS
09/15/20,208.13,211.83,205.9815,210.95,621938,SNPS
09/14/20,202.24,206.68,201.8,205.54,622149,SNPS
09/11/20,205.55,207.055,198.5201,200.24,752673,SNPS
09/10/20,205.84,209.11,202.13,203.28,715241,SNPS
09/09/20,203.23,206.805,199.16,205.33,784359,SNPS
09/08/20,202.95,206.13,198.47,198.99,1456682,SNPS
09/04/20,213.5,215.2227,202.85,208.98,1102131,SNPS
09/03/20,226.75,226.76,212.76,214.79,1150289,SNPS
09/02/20,226.66,230.12,223.23,229.36,711285,SNPS
09/01/20,221.18,226.21,220.24,225.34,679265,SNPS
08/31/20,219.17,222.03,218.355,221.3,998042,SNPS
08/28/20,217.16,219.89,216.79,219.49,626816,SNPS
08/27/20,220.47,221.0,215.31,217.17,711239,SNPS
08/26/20,216.89,221.32,216.665,219.77,704716,SNPS
08/25/20,212.71,216.21,211.77,216.17,621064,SNPS
08/24/20,214.9,216.64,210.56,213.77,730488,SNPS
08/21/20,213.61,214.45,207.29,213.1,2014151,SNPS
08/20/20,206.5,216.192,202.1,215.16,2520998,SNPS
08/19/20,200.66,201.8,197.47,198.22,833349,SNPS
08/18/20,201.42,201.61,199.3069,200.09,860843,SNPS
08/17/20,197.94,200.47,197.25,200.21,618958,SNPS
08/14/20,195.77,198.28,195.46,196.16,459111,SNPS
08/13/20,195.15,198.5,194.14,196.35,601336,SNPS
08/12/20,191.2,195.07,191.04,194.34,802155,SNPS
08/11/20,195.87,195.87,190.5,191.04,1179718,SNPS
08/10/20,197.91,198.19,194.4,195.64,745817,SNPS
08/07/20,201.35,202.22,196.14,198.79,518301,SNPS
08/06/20,201.21,202.58,198.895,202.26,465906,SNPS
08/05/20,202.44,203.705,200.755,201.56,465224,SNPS
08/04/20,202.0,202.8,199.45,201.85,560519,SNPS
08/03/20,200.74,204.11,200.02,202.8,513334,SNPS
07/31/20,200.6,200.6,194.93,199.22,985479,SNPS
07/30/20,195.43,200.105,193.9,199.34,375059,SNPS
07/29/20,196.0,199.85,196.0,198.42,609094,SNPS
07/28/20,196.65,197.87,194.365,194.9,423865,SNPS
07/27/20,194.61,198.09,194.12,197.09,549199,SNPS
07/24/20,195.82,196.275,190.92,193.37,1206479,SNPS
07/23/20,201.38,204.22,196.921,197.8,499228,SNPS
07/22/20,201.22,202.45,198.39,200.66,530407,SNPS
07/21/20,203.5,203.82,198.9,199.69,617572,SNPS
07/20/20,196.02,202.76,196.02,201.9,777749,SNPS
07/17/20,194.63,197.11,192.64,196.28,691345,SNPS
07/16/20,192.96,193.94,189.6258,193.22,745583,SNPS
07/15/20,195.51,196.7,192.34,194.35,954593,SNPS
07/14/20,192.14,195.64,188.82,195.28,978501,SNPS
07/13/20,200.0,201.79,193.62,194.15,829970,SNPS
07/10/20,203.26,204.46,196.8,198.01,1112474,SNPS
07/09/20,203.0,204.9,200.79,204.55,791308,SNPS
07/08/20,199.13,201.7699,198.94,201.48,529729,SNPS
07/07/20,199.39,201.96,197.485,197.63,736261,SNPS
07/06/20,199.63,202.98,198.775,199.39,564806,SNPS
07/02/20,198.55,199.579,196.67,197.58,650997,SNPS
07/01/20,194.74,198.09,193.195,196.9,884985,SNPS
06/30/20,188.83,195.98,188.36,195.0,1161125,SNPS
06/29/20,190.63,192.845,186.32,189.72,755936,SNPS
06/26/20,190.31,192.08,187.33,190.42,1495385,SNPS
06/25/20,191.4332,191.4332,185.6,189.69,711673,SNPS
06/24/20,192.3,193.87,187.35,189.2,1051871,SNPS
06/23/20,193.35,197.6559,192.27,192.87,1104287,SNPS
06/22/20,185.69,193.27,184.52,193.27,1008031,SNPS
06/19/20,192.38,193.36,184.4,184.45,1785196,SNPS
06/18/20,188.73,190.95,188.13,189.88,647055,SNPS
06/17/20,188.0,190.5,187.12,188.97,799214,SNPS
06/16/20,186.77,189.39,184.22,186.15,995062,SNPS
06/15/20,177.24,184.38,176.15,184.05,740619,SNPS
06/12/20,183.35,185.65,176.52,179.6,1156604,SNPS
06/11/20,189.1,189.1,179.28099999999998,179.52,1143638,SNPS
06/10/20,191.05,192.0,187.31,189.42,1113388,SNPS
06/09/20,186.91,192.38,186.18,189.62,935548,SNPS
06/08/20,180.71,187.59,179.81,186.82,1060890,SNPS
06/05/20,182.09,184.4141,179.01,182.97,1500847,SNPS
06/04/20,183.31,184.485,180.2,182.45,689449,SNPS
06/03/20,184.0,184.54,181.88,184.21,838393,SNPS
06/02/20,183.06,183.73,179.83,183.02,981952,SNPS
06/01/20,180.91,184.08,180.1,182.6,1024217,SNPS
05/29/20,175.95,181.97,175.23,180.91,1567575,SNPS
05/28/20,170.56,178.33,169.4366,174.05,1248581,SNPS
05/27/20,169.31,170.55,163.0,170.42,1190146,SNPS
05/26/20,172.08,172.7,168.33,168.53,1075409,SNPS
05/22/20,169.68,171.47,167.06,171.11,1009018,SNPS
05/21/20,167.0,169.44,164.86,168.49,1586758,SNPS
05/20/20,164.26,167.2,164.2,165.47,1221368,SNPS
05/19/20,160.67,164.34,160.525,162.02,1075506,SNPS
05/18/20,159.95,161.9,158.6,159.87,830769,SNPS
05/15/20,151.59,159.58,151.52,158.73,1562974,SNPS
05/14/20,155.17,158.0,153.67,157.83,838558,SNPS
05/13/20,158.01,160.89,153.98,156.2,779272,SNPS
05/12/20,162.68,162.85,158.51,158.565,674750,SNPS
05/11/20,158.6285,163.3028,158.34,161.58,848821,SNPS
05/08/20,160.42,161.99,158.685,160.17,723922,SNPS
05/07/20,158.0,160.065,157.28,158.94,827123,SNPS
05/06/20,155.01,157.97,154.59,156.83,660332,SNPS
