Date, Open, High, Low, Close, Volume,ticker
12/24/20,59.58,59.85,59.3,59.8,857976,SO
12/23/20,60.01,60.37,59.36,59.38,2462356,SO
12/22/20,59.93,60.05,59.62,59.72,2715340,SO
12/21/20,59.72,60.07,59.05,60.0,4059204,SO
12/18/20,61.07,61.2553,59.81,60.14,7612189,SO
12/17/20,60.81,61.44,60.75,61.07,2991571,SO
12/16/20,61.05,61.55,60.25,60.43,2670766,SO
12/15/20,60.37,61.23,59.79,60.86,3116942,SO
12/14/20,61.08,61.215,59.63,59.66,3017613,SO
12/11/20,60.27,60.62,60.185,60.42,2139914,SO
12/10/20,60.93,61.1893,60.44,60.5,3206076,SO
12/09/20,61.0,61.2731,60.47,60.77,2691422,SO
12/08/20,61.37,61.5,60.62,61.0,3677538,SO
12/07/20,61.29,62.14,61.17,61.73,4110961,SO
12/04/20,61.94,62.2,61.05,61.52,2928683,SO
12/03/20,61.66,62.21,61.375,61.88,4171361,SO
12/02/20,60.51,61.93,60.19,61.88,3892405,SO
12/01/20,60.58,61.85,60.04,60.57,5217119,SO
11/30/20,60.26,60.47,59.455,59.85,6823061,SO
11/27/20,60.79,60.8,60.22,60.65,1694845,SO
11/25/20,61.07,61.45,60.4,60.89,2849841,SO
11/24/20,60.99,61.47,60.5,61.19,3353077,SO
11/23/20,60.95,61.005,60.37,60.45,3324400,SO
11/20/20,60.98,61.47,60.64,60.88,3967402,SO
11/19/20,61.73,61.73,60.42,61.07,3393966,SO
11/18/20,62.72,63.08,61.715,61.78,3990914,SO
11/17/20,63.65,63.79,62.24,62.36,3771229,SO
11/16/20,64.8,64.93,63.69,64.12,4014372,SO
11/13/20,63.0,64.15,62.95,63.9,3655418,SO
11/12/20,63.55,64.51,62.9731,63.52,4190816,SO
11/11/20,64.24,64.58,63.73,63.92,3459902,SO
11/10/20,62.62,64.67,62.53,64.17,5515373,SO
11/09/20,62.19,64.485,61.5,62.32,6352964,SO
11/06/20,60.27,60.79,59.63,59.96,2971225,SO
11/05/20,59.93,61.38,59.93,60.17,2758637,SO
11/04/20,59.52,60.96,59.3,59.76,4099964,SO
11/03/20,59.63,60.62,59.52,59.86,3121168,SO
11/02/20,58.02,59.25,57.7784,59.01,3659545,SO
10/30/20,58.18,58.59,56.92,57.45,4145150,SO
10/29/20,57.93,59.22,57.0,58.21,3758899,SO
10/28/20,59.5,60.05,58.18,58.36,4240445,SO
10/27/20,60.77,61.1,60.21,60.21,3484257,SO
10/26/20,60.27,60.84,59.815,60.61,3949410,SO
10/23/20,60.76,61.26,60.49,60.85,4395253,SO
10/22/20,58.85,60.622,58.7,60.56,4964068,SO
10/21/20,58.22,59.17,58.16,58.87,3900557,SO
10/20/20,58.26,58.785,57.99,58.6,3384478,SO
10/19/20,58.43,59.05,58.01,58.04,3989545,SO
10/16/20,58.28,58.545,57.82,58.35,3241617,SO
10/15/20,57.61,58.21,57.38,58.02,3356750,SO
10/14/20,58.15,58.45,57.81,58.0,2596730,SO
10/13/20,58.45,58.7,57.45,58.34,3590475,SO
10/12/20,58.69,59.1901,58.44,58.86,3807098,SO
10/09/20,59.0,59.2,58.38,58.74,3921017,SO
10/08/20,58.0,58.955,57.9,58.71,3003043,SO
10/07/20,58.18,58.61,57.68,57.8,3224350,SO
