Date, Open, High, Low, Close, Volume,ticker
12/24/20,84.0,84.59,83.05,84.37,810693,SPG
12/23/20,83.34,85.25,83.21,83.65,2768557,SPG
12/22/20,85.5,85.56,82.02,83.72,4147012,SPG
12/21/20,83.95,84.5,82.25,83.65,4629060,SPG
12/18/20,88.74,89.07,84.92,85.43,6377054,SPG
12/17/20,89.19,89.23,87.49,89.03,3002043,SPG
12/16/20,88.34,90.3,88.13,88.28,3371553,SPG
12/15/20,88.44,89.76,87.221,89.74,5302251,SPG
12/14/20,90.0,90.18,86.7556,87.32,4841380,SPG
12/11/20,89.21,89.93,86.29,87.9,4907620,SPG
12/10/20,89.12,90.96,89.08,90.44,3045984,SPG
12/09/20,90.62,92.16,89.19,90.84,4596377,SPG
12/08/20,89.73,91.9488,88.5,90.11,4603112,SPG
12/07/20,93.7,93.8,89.0,89.37,6097036,SPG
12/04/20,92.24,94.3596,90.7075,93.91,5268464,SPG
12/03/20,87.89,91.7,87.29,89.63,5490001,SPG
12/02/20,83.73,87.99,82.6,87.25,4333205,SPG
12/01/20,84.65,86.29,83.89,84.99,4872837,SPG
11/30/20,85.32,86.9,82.4,82.57,6987259,SPG
11/27/20,87.96,88.6,85.53,85.55,2305940,SPG
11/25/20,88.41,88.88,86.3001,87.19,5973286,SPG
11/24/20,88.74,91.37,88.4211,88.79,9742172,SPG
11/23/20,84.75,86.3,82.3,85.41,10874790,SPG
11/20/20,80.48,81.7898,79.26,81.12,9733729,SPG
11/19/20,75.99,81.33,75.49,80.63,16282190,SPG
11/18/20,77.87,81.0408,76.6,76.61,7493306,SPG
11/17/20,77.95,81.33,76.98,78.96,6171849,SPG
11/16/20,79.95,82.42,78.85,78.96,13224920,SPG
11/13/20,71.63,75.1493,70.8,74.7,7752269,SPG
11/12/20,71.66199999999999,72.63,68.01,69.14,8150313,SPG
11/11/20,77.98,78.5,72.52,73.41,6844611,SPG
11/10/20,76.7,84.49,75.31,78.84,14440410,SPG
11/09/20,74.87,82.5,73.1,79.1,24996211,SPG
11/06/20,63.5,64.83,61.64,61.86,4872863,SPG
11/05/20,62.93,64.1,62.455,63.47,3283444,SPG
11/04/20,64.9,64.91,62.12,62.28,4431700,SPG
11/03/20,65.6,66.0,64.4,64.99,3552638,SPG
11/02/20,62.96,64.88,62.59,64.71,3666044,SPG
10/30/20,62.98,63.62,60.83,62.81,3705075,SPG
10/29/20,60.69,64.11,60.17,63.41,5851467,SPG
10/28/20,60.27,61.63,59.35,60.76,6595638,SPG
10/27/20,64.11,64.58,61.95,61.98,3795001,SPG
10/26/20,66.01,66.1,63.87,64.68,3852699,SPG
10/23/20,66.75,67.8,65.9221,66.88,3194494,SPG
10/22/20,64.01,66.54,63.9,66.35,2904606,SPG
10/21/20,64.12,65.01,63.34,64.21,3137912,SPG
10/20/20,64.89,66.08,64.43,64.46,2904864,SPG
10/19/20,65.0,65.35,63.84,63.91,3587426,SPG
10/16/20,65.53,65.7012,64.15,64.82,3941223,SPG
10/15/20,64.71,66.52,64.59,65.12,2903706,SPG
10/14/20,65.89,66.54,65.26,65.72,2769079,SPG
10/13/20,66.97,67.33,65.47,65.82,3705396,SPG
10/12/20,67.64,68.11,66.7,68.02,3040832,SPG
10/09/20,70.14,70.3457,67.51,67.72,3825443,SPG
10/08/20,70.83,71.23,69.4,70.07,3721747,SPG
10/07/20,70.32,72.16,69.8,71.03,4167237,SPG
10/06/20,69.75,72.63,69.01,69.98,6512159,SPG
10/05/20,68.71,69.33,67.42,68.76,3688176,SPG
10/02/20,64.13,68.5,64.05,68.2,5346757,SPG
10/01/20,64.84,66.56,64.25,66.53,3426154,SPG
09/30/20,64.15,66.12,63.7,64.68,4188161,SPG
09/29/20,65.33,65.34,62.9,63.99,3822458,SPG
09/28/20,65.8,66.535,64.8,65.79,3771764,SPG
09/25/20,62.0,63.93,62.0,63.58,2601536,SPG
09/24/20,62.05,64.16,59.6,62.83,5337512,SPG
09/23/20,65.58,66.8,62.72,62.89,4440638,SPG
09/22/20,65.02,67.07,64.75,65.11,6154575,SPG
09/21/20,67.07,67.22,64.3525,64.87,7010253,SPG
09/18/20,71.44,71.9,69.59,69.83,5821492,SPG
09/17/20,71.47,74.24,70.875,71.88,4973249,SPG
09/16/20,71.03,75.2,70.04,74.12,8908450,SPG
09/15/20,68.03,71.825,67.69,71.07,6836278,SPG
09/14/20,65.0,67.925,64.5253,67.8,3529138,SPG
09/11/20,66.44,66.46,63.38,64.15,5096589,SPG
09/10/20,68.59,69.825,66.0,66.19,4586158,SPG
09/09/20,69.94,70.17,67.96,68.86,4332709,SPG
09/08/20,69.46,70.75,68.79,70.05,3899297,SPG
09/04/20,69.5,72.48,68.84,70.24,6858413,SPG
09/03/20,68.5,70.98,66.87,68.0,5310080,SPG
09/02/20,66.64,68.0299,65.96,67.84,3595184,SPG
09/01/20,66.65,67.88,65.9,67.2,3491609,SPG
08/31/20,69.81,69.83,67.44,67.85,4089872,SPG
08/28/20,68.1,69.9,66.95,69.84,3676866,SPG
08/27/20,66.62,69.1,66.62,67.57,4207394,SPG
08/26/20,68.48,68.61,65.75,66.31,4363514,SPG
08/25/20,69.36,70.14,66.52,68.65,5053549,SPG
08/24/20,65.05,68.52,63.86,68.5,5515803,SPG
08/21/20,64.8,65.54,63.9,64.52,3014054,SPG
08/20/20,63.33,65.45,62.9,64.87,4220385,SPG
08/19/20,65.12,65.64,63.74,63.88,4962327,SPG
08/18/20,67.37,67.5,63.88,65.13,8189218,SPG
08/17/20,68.35,68.39,66.18,68.18,4441601,SPG
08/14/20,65.38,68.45,65.17,68.18,5334265,SPG
08/13/20,67.17,68.249,65.73,66.02,5499412,SPG
08/12/20,67.8,68.94,65.62,67.83,6876084,SPG
08/11/20,68.16,70.99,66.83,67.15,13635280,SPG
08/10/20,65.22,69.1648,63.82,65.47,18253820,SPG
08/07/20,61.18,62.54,60.51,62.19,6391315,SPG
08/06/20,62.71,62.71,61.19,61.2,4865148,SPG
08/05/20,63.87,64.58,62.27,62.5,3406670,SPG
08/04/20,61.23,63.63,61.07,62.99,4097731,SPG
08/03/20,61.21,61.79,59.91,61.03,4152661,SPG
07/31/20,63.31,63.9,61.5,62.35,5136773,SPG
07/30/20,63.5,64.6,62.6201,63.62,3311303,SPG
07/29/20,64.59,65.63,62.65,65.59,3809556,SPG
07/28/20,61.57,65.07,61.35,64.14,5328369,SPG
07/27/20,60.47,61.98,59.03,61.96,4299839,SPG
07/24/20,61.6,62.28,60.3,60.57,3115431,SPG
07/23/20,61.02,62.69,60.61,61.8,3274198,SPG
07/22/20,61.06,62.14,60.12,62.03,4059744,SPG
07/21/20,60.98,62.38,60.39,60.95,5214776,SPG
07/20/20,62.15,62.3899,60.12,60.42,5644371,SPG
07/17/20,62.79,63.5599,62.08,62.4,4937504,SPG
07/16/20,65.0,65.61,62.595,62.9,5227218,SPG
07/15/20,64.54,66.72,63.83,66.59,7163095,SPG
07/14/20,63.08,63.96,61.37,61.93,5240531,SPG
07/13/20,64.78,65.14,62.2,63.69,5124295,SPG
07/10/20,60.5,64.24,60.31,63.98,5824104,SPG
07/09/20,64.25,64.4008,59.87,61.02,9286317,SPG
07/08/20,66.0,66.7998,64.38,65.71,6884922,SPG
07/07/20,67.5,67.66,65.56,65.93,5294945,SPG
07/06/20,69.72,70.59,67.01,68.93,6075550,SPG
07/02/20,71.81,72.96,68.6798,68.81,6470594,SPG
07/01/20,69.8,72.93,69.24,69.81,7979604,SPG
06/30/20,71.36,71.5,67.57,68.38,10456540,SPG
06/29/20,62.64,68.18,61.29,68.13,9412896,SPG
06/26/20,63.84,64.69,61.45,61.9,11016460,SPG
06/25/20,63.29,66.63,63.0299,64.94,7431965,SPG
06/24/20,67.93,68.17,62.6601,65.11,10487740,SPG
06/23/20,69.39,72.1099,69.3808,70.13,6921689,SPG
06/22/20,66.35,68.84,65.09,68.55,6269637,SPG
06/19/20,72.5,72.51,67.0,67.12,13314850,SPG
06/18/20,70.01,72.45,68.58,70.96,8103255,SPG
06/17/20,75.31,75.35,71.51,71.67,8312422,SPG
06/16/20,80.95,81.29,74.5901,75.52,11006210,SPG
06/15/20,71.87,75.86,70.82,74.39,9850035,SPG
06/12/20,77.75,78.207,72.82,75.98,10647490,SPG
06/11/20,71.69,78.65,70.4,71.92,13082550,SPG
06/10/20,87.56,87.56,78.0,83.01,15585380,SPG
06/09/20,88.0,90.32,83.74,86.47,12537800,SPG
06/08/20,94.88,95.56,89.13,95.5,15401060,SPG
06/05/20,83.39,92.95700000000001,83.36,88.6,23237070,SPG
06/04/20,75.12,77.85,69.64,76.73,17516770,SPG
06/03/20,65.7,74.79,65.5,72.88,17321721,SPG
06/02/20,62.99,64.49,62.44,63.45,7797645,SPG
06/01/20,57.31,61.8,56.8625,61.6,6509014,SPG
05/29/20,57.68,59.38,56.36,57.7,8496086,SPG
05/28/20,63.65,63.79,58.86,59.75,7866607,SPG
05/27/20,62.55,63.3,59.43,63.19,9219958,SPG
05/26/20,58.0,59.52,56.9,59.25,10442140,SPG
05/22/20,56.23,56.4,53.88,54.59,5301519,SPG
05/21/20,55.56,57.31,54.6,56.0,6061111,SPG
05/20/20,58.59,59.36,54.96,55.67,7010020,SPG
05/19/20,57.26,58.92,54.16,56.87,7025048,SPG
05/18/20,54.85,57.71,54.7761,56.91,9221226,SPG
05/15/20,50.45,52.14,49.38,51.32,7579168,SPG
05/14/20,50.0,53.49,47.25,51.55,10654910,SPG
05/13/20,53.2,54.5,49.22,51.17,13982330,SPG
05/12/20,60.34,60.54,54.5,54.54,16602211,SPG
05/11/20,57.6,57.67,54.91,55.08,9361376,SPG
05/08/20,58.64,60.5,57.81,58.02,8342779,SPG
05/07/20,55.91,58.78,55.27,57.0,6760737,SPG
05/06/20,60.69,61.86,55.25,55.74,7686415,SPG
05/05/20,64.94,66.28,60.09,60.55,5189489,SPG
