Date, Open, High, Low, Close, Volume,ticker
12/24/20,72.02,72.02,70.8,71.78,665765,STT
12/23/20,70.52,72.47,70.52,71.58,2694411,STT
12/22/20,70.34,70.94,69.84,70.19,5568408,STT
12/21/20,70.7,72.27,68.8,70.34,5216356,STT
12/18/20,70.26,71.25,70.02,70.66,4201737,STT
12/17/20,71.58,71.59,70.5,70.74,3558690,STT
12/16/20,71.65,71.91,70.88,71.2,3391164,STT
12/15/20,71.82,72.49,70.59,71.79,1573240,STT
12/14/20,73.67,73.74,70.58,70.7,2215981,STT
12/11/20,70.6,75.11,69.37,72.8,5707840,STT
12/10/20,72.18,72.18,70.1,71.73,4203885,STT
12/09/20,76.52,77.31,72.28,72.76,4151487,STT
12/08/20,75.23,76.83,75.1564,75.84,1851966,STT
12/07/20,75.75,76.3544,75.08,75.96,2279049,STT
12/04/20,74.13,76.43,74.13,76.38,2130217,STT
12/03/20,74.3,74.71,73.68,73.88,2073301,STT
12/02/20,72.24,74.12,72.0,74.06,2011829,STT
12/01/20,72.1,72.95,71.17,72.26,1756003,STT
11/30/20,72.02,72.505,70.15,70.48,2624994,STT
11/27/20,72.01,72.6,71.52,71.59,590966,STT
11/25/20,72.73,72.73,71.32,72.24,1108870,STT
11/24/20,72.02,74.53,71.4,73.42,1574061,STT
11/23/20,68.72,70.7,68.44,70.56,1221061,STT
11/20/20,68.5,68.97,67.8,67.95,1324524,STT
11/19/20,69.26,69.98,68.48,69.27,1224957,STT
11/18/20,70.52,71.62,69.17,69.18,1567306,STT
11/17/20,68.45,70.58,68.23,70.56,1318322,STT
11/16/20,70.5,70.5,68.78,69.81,1934986,STT
11/13/20,67.79,69.005,67.44,68.52,1318192,STT
11/12/20,67.51,68.83,66.07,66.9,1853507,STT
11/11/20,71.08,71.42,67.82,68.48,2064820,STT
11/10/20,70.55,70.64,69.2,70.05,1845010,STT
11/09/20,67.49,71.18,67.41,70.1,3046450,STT
11/06/20,62.87,62.94,62.0,62.23,1255834,STT
11/05/20,61.0,63.84,60.95,62.83,1625423,STT
11/04/20,60.81,62.21,59.471000000000004,60.42,1920667,STT
11/03/20,61.0,62.86,60.89,62.38,1969474,STT
11/02/20,59.97,60.36,58.98,59.68,2218342,STT
10/30/20,58.56,58.98,57.415,58.9,2706094,STT
10/29/20,58.25,59.55,57.16,58.8,2409391,STT
10/28/20,60.54,61.025,58.32,58.48,2515595,STT
10/27/20,63.14,63.53,61.62,61.65,1755017,STT
10/26/20,64.44,64.44,62.475,63.51,1371134,STT
10/23/20,66.22,66.51,65.0,65.31,980972,STT
10/22/20,64.24,65.63,63.82,65.6,1696506,STT
10/21/20,64.25,65.04,63.93,64.0,1831711,STT
10/20/20,65.0,65.96,64.455,64.58,1723878,STT
10/19/20,66.75,66.92,64.17,64.35,2145788,STT
10/16/20,67.02,67.75,64.718,66.58,3625093,STT
10/15/20,65.06,67.08,65.04,66.95,2170294,STT
10/14/20,66.53,67.29,65.96,66.03,1611339,STT
10/13/20,67.19,67.35,65.77,66.09,2127842,STT
10/12/20,66.29,67.635,65.73,67.22,1729193,STT
10/09/20,66.05,67.31,65.64,66.43,2859538,STT
10/08/20,63.83,65.05,63.47,65.0,1714204,STT
10/07/20,61.46,63.72,61.46,63.41,1877697,STT
10/06/20,61.99,62.96,60.72,61.02,1587822,STT
10/05/20,60.1,61.67,60.095,61.39,1337118,STT
10/02/20,57.84,59.88,57.6,59.68,1847176,STT
10/01/20,59.76,60.06,58.05,58.75,2420058,STT
09/30/20,59.53,60.34,58.725,59.33,2789914,STT
09/29/20,60.28,60.59,59.26,59.89,1290991,STT
09/28/20,59.68,61.2,59.5,60.49,2130203,STT
09/25/20,57.02,58.61,56.75,58.5,1458649,STT
09/24/20,57.85,58.465,56.63,57.68,1279631,STT
09/23/20,59.12,59.8,57.65,57.77,1633045,STT
09/22/20,59.43,59.98,57.86,58.88,3396955,STT
09/21/20,60.51,61.37,58.785,59.92,3291407,STT
09/18/20,61.91,63.61,61.77,61.95,4285342,STT
09/17/20,62.22,63.16,62.1,62.37,3152206,STT
09/16/20,63.28,64.68,63.05,63.32,3820843,STT
09/15/20,64.7665,64.7665,62.522,63.2,1707092,STT
09/14/20,65.53,66.79,63.9,64.43,2920818,STT
09/11/20,64.13,66.21,63.87,64.91,2435308,STT
09/10/20,66.14,66.2,64.05,64.23,2635515,STT
09/09/20,66.17,66.49,65.76,65.79,3130382,STT
09/08/20,67.25,67.63,65.3998,65.55,2112695,STT
09/04/20,68.74,69.77,67.01,68.35,3194642,STT
09/03/20,70.51,71.14,66.84,67.4,2656486,STT
09/02/20,68.52,70.23,68.27,69.88,3334851,STT
09/01/20,67.72,69.04,67.31,68.58,1656196,STT
08/31/20,69.93,69.93,68.07,68.09,1415543,STT
08/28/20,69.69,70.24,68.99,70.11,1257079,STT
08/27/20,68.09,69.71,68.09,69.25,1215451,STT
08/26/20,69.0,69.04,67.91,67.98,1504272,STT
08/25/20,69.57,70.06,68.87,69.07,1456230,STT
08/24/20,67.9,69.2,67.65,68.94,1887318,STT
08/21/20,67.73,68.19,67.27,67.55,1615863,STT
08/20/20,69.33,69.44,67.73,67.93,1877070,STT
08/19/20,69.73,70.68,69.51,70.45,2026006,STT
08/18/20,68.95,69.74,68.6,69.67,1511996,STT
08/17/20,70.35,70.39,68.7971,69.21,1668728,STT
08/14/20,69.95,71.02,69.95,70.53,874105,STT
08/13/20,70.45,71.15,69.74,70.35,1718119,STT
08/12/20,71.53,71.96,69.82,71.18,1628812,STT
08/11/20,71.09,72.13,70.15,70.35,2105753,STT
08/10/20,69.72,70.0691,68.69,69.87,1825765,STT
08/07/20,66.05,69.59,66.05,69.57,2290804,STT
08/06/20,66.71,67.23,65.86,66.54,1815131,STT
08/05/20,65.42,66.89,65.3,66.74,3316331,STT
08/04/20,64.35,64.94,64.13,64.91,1356335,STT
08/03/20,64.01,64.7,63.11,64.32,1646846,STT
07/31/20,63.33,63.91,62.94,63.79,2300584,STT
07/30/20,63.09,63.51,62.165,63.5,2007403,STT
07/29/20,63.02,64.52,62.355,64.39,1532092,STT
07/28/20,62.37,63.445,62.33,63.09,2390323,STT
07/27/20,61.81,62.92,60.75,62.85,2145725,STT
07/24/20,62.56,63.3,61.76,62.35,1701824,STT
07/23/20,61.02,62.77,60.56,62.41,2136848,STT
07/22/20,61.28,61.755,60.21,61.4,1919856,STT
07/21/20,60.75,62.1,60.75,61.8,2025480,STT
07/20/20,61.33,61.69,60.02,60.36,3074333,STT
07/17/20,63.88,64.43,61.14,61.71,3480945,STT
07/16/20,64.02,65.54,63.63,64.52,1986094,STT
07/15/20,64.3,64.98,62.935,64.64,2841954,STT
07/14/20,64.62,65.17,63.34,64.99,1834182,STT
07/13/20,65.06,65.74,63.31,64.59,1860350,STT
07/10/20,61.68,64.24,61.65,64.12,1435840,STT
07/09/20,64.18,64.41,61.02,61.66,1980258,STT
07/08/20,63.4,65.23,63.19,64.95,2207487,STT
07/07/20,63.67,63.9,62.94,63.17,2246807,STT
07/06/20,64.32,65.5,64.28,64.48,1521064,STT
07/02/20,63.84,65.18,62.76,63.13,2147521,STT
07/01/20,63.65,64.04,61.36,62.13,1870454,STT
06/30/20,60.73,64.07,60.73,63.55,1983106,STT
06/29/20,61.45,62.875,61.005,61.56,2374622,STT
06/26/20,63.04,63.37,59.53,60.53,4652990,STT
06/25/20,61.35,64.55,61.14,64.16,2585430,STT
06/24/20,63.72,64.28,61.58,61.63,2810936,STT
06/23/20,65.14,65.96,64.45,64.69,1486253,STT
06/22/20,64.48,64.88,63.51,63.75,2203732,STT
06/19/20,64.58,65.4,62.46,65.4,5464253,STT
06/18/20,62.67,63.93,62.31,63.4,1608143,STT
06/17/20,64.34,64.385,62.5,63.21,1757265,STT
06/16/20,65.54,65.96,63.195,64.27,2472608,STT
06/15/20,60.53,63.22,60.09,62.65,2747723,STT
06/12/20,64.05,64.05,60.91,63.12,2754409,STT
06/11/20,62.95,64.72,61.06,61.13,3502653,STT
06/10/20,70.33,70.38,66.13,66.14,3186603,STT
06/09/20,68.9,71.57,68.25,70.48,2412341,STT
06/08/20,71.44,71.74,69.345,71.03,2724588,STT
06/05/20,72.86,74.25,70.02,70.7,3560673,STT
06/04/20,65.25,69.04,65.25,69.03,2798025,STT
06/03/20,64.64,66.1,63.83,65.9,1793185,STT
06/02/20,63.11,63.87,62.27,62.81,1822358,STT
06/01/20,61.43,62.89,61.16,62.35,1702903,STT
05/29/20,61.58,62.68,60.57,60.96,2993900,STT
05/28/20,65.0,65.0,61.875,62.46,3164119,STT
05/27/20,63.68,64.4,62.56,64.34,2997996,STT
05/26/20,57.67,61.32,57.45,60.52,3968955,STT
05/22/20,55.92,56.63,54.26,55.32,3883350,STT
05/21/20,58.04,58.87,57.84,58.09,1667121,STT
05/20/20,57.59,58.86,57.59,58.38,1909499,STT
05/19/20,57.99,58.415,56.69,56.74,1801628,STT
05/18/20,56.31,58.84,55.97,58.46,2540847,STT
05/15/20,53.84,55.09,53.39,54.41,1836365,STT
05/14/20,52.32,54.99,51.21,54.7,2484494,STT
05/13/20,56.0,56.18,53.035,53.27,2362241,STT
05/12/20,58.91,59.25,56.29,56.33,2417233,STT
05/11/20,59.24,59.77,58.66,58.76,2030947,STT
05/08/20,59.73,60.32,58.775,60.22,1521281,STT
05/07/20,57.4,59.49,57.1,58.24,1573322,STT
05/06/20,58.61,59.01,56.16,56.33,2337942,STT
05/05/20,59.38,60.035,58.05,58.08,1954266,STT
05/04/20,58.0,58.6,57.34,58.4,2613448,STT
05/01/20,61.46,61.46,58.78,59.08,1773330,STT
04/30/20,63.05,63.31,62.1,63.04,3657722,STT
04/29/20,65.01,66.09,63.93,64.46,2346481,STT
04/28/20,63.2,64.0,61.81,62.75,3102972,STT
04/27/20,58.02,61.53,57.58,61.29,2243612,STT
04/24/20,57.84,58.06,56.64,57.41,1612130,STT
04/23/20,57.6,58.66,56.83,57.05,1795348,STT
04/22/20,57.43,58.11,56.725,57.47,2000929,STT
04/21/20,56.44,57.51,54.6,55.99,3103005,STT
04/20/20,57.54,59.61,56.65,58.18,2314211,STT
04/17/20,61.96,61.99,56.69,58.49,4420905,STT
04/16/20,56.93,59.07,56.9,58.5,2459665,STT
04/15/20,57.7,58.74,56.9,57.07,2355729,STT
04/14/20,61.05,61.89,59.14,60.61,1893458,STT
04/13/20,61.0,61.21,58.34,59.44,2259672,STT
04/09/20,59.91,62.51,59.63,60.95,2773366,STT
04/08/20,56.67,59.0,56.09,58.56,2520018,STT
04/07/20,58.64,59.12,55.96,56.13,2551682,STT
04/06/20,54.86,56.02,53.58,55.55,2900540,STT
04/03/20,52.1,53.36,50.86,52.16,2013837,STT
04/02/20,50.15,52.88,50.08,52.42,2855995,STT
04/01/20,50.05,50.85,49.16,50.4,6001995,STT
03/31/20,51.25,54.09,50.92,53.27,6703119,STT
03/30/20,48.05,52.18,47.68,51.77,2922349,STT
03/27/20,47.21,50.17,46.155,48.66,3734783,STT
03/26/20,49.93,49.95,47.8,49.42,5342737,STT
03/25/20,50.0,51.71,45.19,49.38,4284777,STT
03/24/20,46.41,49.3,45.22,48.57,3145790,STT
03/23/20,46.15,46.98,42.9,43.21,3925472,STT
03/20/20,47.84,50.0,45.82,46.67,4495298,STT
03/19/20,44.38,47.64,42.53,46.63,3758800,STT
03/18/20,46.42,50.1674,42.1,45.22,5538764,STT
03/17/20,49.16,50.58,45.68,49.93,4963337,STT
03/16/20,48.6,56.0,47.72,47.72,5668082,STT
03/13/20,52.02,59.02,50.51,58.86,5751710,STT
03/12/20,50.15,52.31,47.48,48.12,5615235,STT
03/11/20,54.92,55.89,52.98,54.19,6053160,STT
03/10/20,55.62,56.73,53.0138,56.73,4454342,STT
03/09/20,54.02,55.89,52.5,52.66,4425782,STT
03/06/20,59.65,61.62,59.13,60.13,3975209,STT
03/05/20,64.02,64.02,61.57899999999999,62.4,4049823,STT
03/04/20,66.9,67.01,64.35,67.0,3730803,STT
03/03/20,68.14,69.33,65.06,65.85,5678825,STT
03/02/20,67.96,68.84,65.6,68.69,4156943,STT
02/28/20,67.01,68.33,65.42,68.11,5657281,STT
02/27/20,68.26,72.47,67.5,69.38,5523012,STT
02/26/20,71.07,71.68,69.5501,70.14,5197153,STT
