Date, Open, High, Low, Close, Volume,ticker
12/24/20,178.64,180.17,177.53,179.92,243183,SWK
12/23/20,179.03,180.3,177.21,177.9,648020,SWK
12/22/20,180.7,180.97,178.47,179.02,610906,SWK
12/21/20,178.46,181.88,177.26,181.27,766904,SWK
12/18/20,182.5,183.6637,179.11,181.52,1501174,SWK
12/17/20,182.0,183.9406,180.08,182.09,1752509,SWK
12/16/20,181.05,185.31,179.03,179.44,3141149,SWK
12/15/20,172.14,176.555,171.71,176.33,1159337,SWK
12/14/20,176.88,177.04,170.3,170.4,1189987,SWK
12/11/20,175.7,177.33,173.61,175.2,878951,SWK
12/10/20,176.83,178.75,174.41,177.64,1201708,SWK
12/09/20,178.62,179.3,176.99,178.29,820901,SWK
12/08/20,177.07,177.93,175.2895,177.22,856236,SWK
12/07/20,179.7,180.0,176.51,178.45,1407095,SWK
12/04/20,180.43,181.845,178.38,180.85,1163337,SWK
12/03/20,178.14,182.23,177.46,179.02,1406805,SWK
12/02/20,179.8,180.65,177.94,178.62,877884,SWK
12/01/20,187.64,188.63,181.9,181.92,1118442,SWK
11/30/20,186.63,187.53,182.82,184.31,1109709,SWK
11/27/20,187.1,188.93,186.775,187.71,293802,SWK
11/25/20,189.62,190.06,186.07,186.4,1185353,SWK
11/24/20,192.5,195.0,190.09,190.74,1150387,SWK
11/23/20,187.11,191.5,187.0,190.94,879560,SWK
11/20/20,186.37,187.27,185.0,185.96,861729,SWK
11/19/20,183.74,186.68,182.815,186.51,694860,SWK
11/18/20,185.58,186.795,184.2,184.27,788397,SWK
11/17/20,184.84,185.6,180.81,184.53,818557,SWK
11/16/20,184.44,186.1,182.655,186.04,737283,SWK
11/13/20,178.82,182.17,178.82,181.4,626871,SWK
11/12/20,180.21,181.47,175.95,177.72,672499,SWK
11/11/20,179.59,181.33,175.855,180.89,1343859,SWK
11/10/20,177.27,180.61,175.98,178.79,1008642,SWK
11/09/20,189.29,190.62,176.97,177.41,1719061,SWK
11/06/20,177.76,179.9,175.804,178.85,787938,SWK
11/05/20,178.0,180.8,177.51,177.83,781397,SWK
11/04/20,172.86,177.585,169.0,175.6,1356533,SWK
11/03/20,171.75,174.81,171.37,173.63,954644,SWK
11/02/20,169.67,171.67,166.72,168.71,1158040,SWK
10/30/20,164.68,166.84,162.3,166.2,1476427,SWK
10/29/20,162.5,166.49,161.8,165.34,1408756,SWK
10/28/20,163.26,166.99,162.46,162.55,1447688,SWK
10/27/20,166.5,171.56,164.01,166.31,2731332,SWK
10/26/20,175.39,175.39,171.47,172.86,1078349,SWK
10/23/20,179.8,180.94,176.19,178.01,593736,SWK
10/22/20,176.31,178.29,175.54,178.01,1159666,SWK
10/21/20,175.21,177.66,174.34,174.39,754028,SWK
10/20/20,175.58,178.02,174.01,175.7,848785,SWK
10/19/20,176.72,176.72,172.64,173.59,756788,SWK
10/16/20,177.55,178.85,176.27,176.38,952340,SWK
10/15/20,175.31,177.05,173.84,176.65,1032128,SWK
10/14/20,178.19,180.26,177.0,177.52,654867,SWK
10/13/20,176.64,179.12,174.715,177.94,1211936,SWK
10/12/20,176.56,179.5,176.56,177.97,910994,SWK
10/09/20,175.0,179.43,174.45,176.66,1682012,SWK
10/08/20,173.0,174.52,171.93,173.59,757867,SWK
10/07/20,169.68,172.325,169.215,172.0,852134,SWK
10/06/20,169.8,170.74,166.74,166.86,1075056,SWK
10/05/20,166.99,169.77,164.67,169.31,734836,SWK
10/02/20,160.03,167.46,158.92,164.81,726333,SWK
10/01/20,163.58,165.42,161.2,162.63,793118,SWK
09/30/20,162.23,165.08,161.02,162.2,884736,SWK
09/29/20,164.2,164.525,160.94,161.48,930209,SWK
09/28/20,162.53,165.4181,161.79,164.07,1142311,SWK
09/25/20,156.12,161.2574,155.95,159.93,715466,SWK
09/24/20,156.37,159.77,155.0,157.22,798893,SWK
09/23/20,157.94,160.12,156.4,156.72,985689,SWK
