Date, Open, High, Low, Close, Volume,ticker
12/24/20,150.95,151.35,149.5,151.21,480432,SWKS
12/23/20,150.09,152.94,148.745,150.74,1431439,SWKS
12/22/20,148.365,151.735,147.84,149.43,1321046,SWKS
12/21/20,145.55,148.205,145.17,147.71,1487640,SWKS
12/18/20,146.46,149.41,145.06,148.19,2823320,SWKS
12/17/20,149.0,150.29,145.4,145.53,1833573,SWKS
12/16/20,144.9277,148.4109,143.605,147.54,1961420,SWKS
12/15/20,143.17,146.4,142.96,144.68,2291715,SWKS
12/14/20,140.0,140.43,137.94,139.26,2933289,SWKS
12/11/20,143.9,144.45,138.61,139.24,3549818,SWKS
12/10/20,147.36,148.06,145.53,145.54,1749859,SWKS
12/09/20,155.0,155.04,147.455,148.29,2562491,SWKS
12/08/20,153.6,156.0,152.76,155.79,1522839,SWKS
12/07/20,151.407,154.11,150.55,153.42,2276197,SWKS
12/04/20,143.74,150.28,143.73,150.17,2174727,SWKS
12/03/20,144.23,145.35,143.05,143.71,1218073,SWKS
12/02/20,143.35,145.06,142.51,143.45,1276274,SWKS
12/01/20,142.01,145.46,141.16,144.0,2617561,SWKS
11/30/20,136.38,141.25,136.38,141.17,2734007,SWKS
11/27/20,136.884,138.77,135.97,136.16,1215741,SWKS
11/25/20,138.74,138.91,134.28,135.95,3035520,SWKS
11/24/20,138.51,139.71,135.33,138.85,2236852,SWKS
11/23/20,141.05,141.775,136.56,138.03,3070509,SWKS
11/20/20,139.25,141.76,138.39,140.39,1765380,SWKS
11/19/20,137.18,139.5,136.0,139.36,1795072,SWKS
11/18/20,141.11,141.24,137.44,137.56,2014040,SWKS
11/17/20,143.17,143.51,140.55,140.78,1474620,SWKS
11/16/20,141.0,143.735,140.665,143.41,1922741,SWKS
11/13/20,144.14,145.05,140.95,141.5,1375638,SWKS
11/12/20,143.9,144.43,140.34,141.34,1941904,SWKS
11/11/20,139.74,144.5,139.16,143.87,1982130,SWKS
11/10/20,142.87,143.99,136.86,137.24,2588309,SWKS
11/09/20,151.35,151.89,144.415,144.58,2372547,SWKS
11/06/20,148.09,148.71,143.92,146.735,2581630,SWKS
11/05/20,143.86,149.325,142.5,149.12,5281154,SWKS
11/04/20,142.092,142.62,139.15,139.53,3016140,SWKS
11/03/20,141.92,142.93,134.84,138.8,5238774,SWKS
11/02/20,143.38,144.845,139.935,142.12,2388742,SWKS
10/30/20,142.83,143.9126,139.63,141.29,1797245,SWKS
10/29/20,140.0,146.79,139.8,145.16,1459623,SWKS
10/28/20,142.35,142.94,139.09,139.79,1707411,SWKS
10/27/20,147.49,148.2,144.41,145.12,1101027,SWKS
10/26/20,148.39,148.76,144.81,147.29,1311270,SWKS
10/23/20,149.59,150.55,148.8201,149.76,819351,SWKS
10/22/20,150.91,151.5289,147.3269,149.73,903552,SWKS
10/21/20,152.62,153.5,150.31,150.39,858691,SWKS
10/20/20,152.66,153.96,151.43,152.45,954576,SWKS
10/19/20,154.51,156.98,150.38,151.14,1188913,SWKS
10/16/20,154.4,154.92,152.92,153.15,1110785,SWKS
10/15/20,150.56,153.74,149.6,153.38,965680,SWKS
10/14/20,154.78,154.83,151.81,153.31,1121195,SWKS
10/13/20,157.78,158.0,152.4,153.2,2024092,SWKS
10/12/20,156.48,158.61,155.255,157.09,2307896,SWKS
10/09/20,153.3,154.84,152.48,154.28,1897006,SWKS
