Date, Open, High, Low, Close, Volume,ticker
12/24/20,237.18,238.25,236.33,237.06,256448,SYK
12/23/20,236.78,239.0,236.31,236.33,619625,SYK
12/22/20,234.79,236.58,231.43,235.29,817292,SYK
12/21/20,235.43,236.57,230.6,234.86,936705,SYK
12/18/20,238.15,240.49,236.14,240.0,2504725,SYK
12/17/20,236.0,238.23,235.18,238.1,776434,SYK
12/16/20,233.51,236.12,231.79,235.13,794073,SYK
12/15/20,233.82,235.7958,230.56,234.06,1016908,SYK
12/14/20,233.86,236.45,230.8,230.95,1069600,SYK
12/11/20,234.0,234.77,230.26,232.2,1057057,SYK
12/10/20,235.0,237.26,233.435,235.13,875192,SYK
12/09/20,236.22,237.8,235.05,235.93,1006786,SYK
12/08/20,234.76,236.68,234.1,235.45,925863,SYK
12/07/20,237.5,239.33,235.62,236.8,705571,SYK
12/04/20,234.71,239.59,234.19,239.59,844364,SYK
12/03/20,234.27,236.37,232.9,234.78,1067538,SYK
12/02/20,230.93,234.31,229.55,234.26,787616,SYK
12/01/20,235.63,236.11,230.19,231.0,1464173,SYK
11/30/20,233.57,234.74,230.76,233.4,1671863,SYK
11/27/20,235.68,236.5999,231.81,232.81,787609,SYK
11/25/20,240.29,240.51,233.06,233.72,1900141,SYK
11/24/20,235.39,242.51,235.08,240.31,1522876,SYK
11/23/20,233.45,235.41,232.19,233.01,699337,SYK
11/20/20,232.74,234.27,231.02,232.86,1116840,SYK
11/19/20,231.0,234.01,229.44,233.57,1099580,SYK
11/18/20,231.37,234.95,230.995,231.76,855760,SYK
11/17/20,232.35,233.58,227.5,231.44,997863,SYK
11/16/20,235.15,236.03,231.755,235.78,1646560,SYK
11/13/20,226.33,232.39,226.0,231.94,938977,SYK
11/12/20,224.28,227.445,222.605,225.22,826287,SYK
11/11/20,232.46,232.46,223.83,225.24,1166079,SYK
11/10/20,232.66,233.0,227.25,230.57,1380460,SYK
11/09/20,231.35,241.53,230.64,234.35,3092790,SYK
11/06/20,210.88,215.0,208.92,213.44,1119104,SYK
11/05/20,211.12,212.2787,208.85,210.6,1113405,SYK
11/04/20,209.82,215.0,207.05,207.73,1140036,SYK
11/03/20,206.0,209.66,205.11,208.26,1044315,SYK
11/02/20,204.0,206.075,200.2475,202.78,1274399,SYK
10/30/20,209.28,212.485,196.0928,202.01,2385231,SYK
10/29/20,204.96,208.52,202.27,205.39,1065939,SYK
10/28/20,208.83,209.1,203.66,204.95,1184133,SYK
10/27/20,214.69,216.77,213.02,213.46,864566,SYK
10/26/20,218.79,218.92,212.69,214.74,1322929,SYK
10/23/20,226.0,226.41,221.065,221.9,858875,SYK
10/22/20,221.46,225.03,219.66,224.64,971071,SYK
10/21/20,221.59,222.76,219.725,220.9,607610,SYK
10/20/20,222.13,224.6,220.48,220.8,603546,SYK
10/19/20,224.2,226.0,219.73,220.89,763328,SYK
