Date, Open, High, Low, Close, Volume,ticker
12/24/20,45.6,45.6,44.89,45.47,502902,TAP
12/23/20,44.69,45.56,44.59,45.39,1126652,TAP
12/22/20,44.55,45.03,43.91,44.42,2782434,TAP
12/21/20,44.47,44.8191,43.96,44.58,1387276,TAP
12/18/20,45.78,45.82,44.805,45.51,2921981,TAP
12/17/20,46.81,46.93,45.54,45.97,1777824,TAP
12/16/20,45.69,46.805,45.69,46.27,3328492,TAP
12/15/20,46.33,46.39,45.7,46.03,1518054,TAP
12/14/20,47.89,48.27,45.9,45.92,2308452,TAP
12/11/20,47.61,48.32,47.08,47.3,1671606,TAP
12/10/20,48.03,48.54,47.825,48.21,1781358,TAP
12/09/20,48.3,48.3,47.5941,48.08,1894761,TAP
12/08/20,47.18,48.6218,47.18,47.93,2275679,TAP
12/07/20,47.36,47.97,46.9,47.66,2093617,TAP
12/04/20,46.98,47.56,46.52,47.54,1751500,TAP
12/03/20,45.52,46.74,45.42,46.67,1832291,TAP
12/02/20,46.07,46.2204,44.8,45.29,3255501,TAP
12/01/20,46.5,47.18,46.01,46.25,3326521,TAP
11/30/20,46.33,46.625,45.71,46.0,5411707,TAP
11/27/20,46.37,47.19,46.1701,46.8,2205252,TAP
11/25/20,46.82,46.98,45.76,46.5,3480437,TAP
11/24/20,44.79,47.3,44.79,47.04,3371387,TAP
11/23/20,43.9,44.23,43.39,44.13,1853755,TAP
11/20/20,43.8,44.3,43.27,43.56,1740500,TAP
11/19/20,43.41,44.37,43.25,44.04,1625709,TAP
11/18/20,45.3,45.4798,43.53,43.56,3211656,TAP
11/17/20,44.11,45.35,43.76,45.13,2400717,TAP
11/16/20,45.26,45.41,43.6201,44.92,3913426,TAP
11/13/20,42.4,44.51,42.29,44.14,2885473,TAP
11/12/20,41.87,42.57,41.4501,42.2,1907324,TAP
11/11/20,42.86,42.895,42.0,42.37,2119520,TAP
11/10/20,41.54,43.13,40.84,42.8,3365936,TAP
11/09/20,41.2,42.49,40.41,41.16,4295091,TAP
11/06/20,38.3,38.66,38.075,38.32,2122688,TAP
11/05/20,38.17,38.64,37.57,38.25,2899284,TAP
11/04/20,38.06,38.11,36.52,37.29,5643411,TAP
11/03/20,37.98,38.99,37.81,38.68,4029976,TAP
11/02/20,35.5,37.56,35.01,37.55,4932329,TAP
10/30/20,33.41,35.3,33.41,35.26,5588613,TAP
10/29/20,33.15,34.47,32.54,33.38,5140036,TAP
10/28/20,33.23,33.5,32.62,32.91,3257510,TAP
10/27/20,34.53,34.74,33.76,33.81,1961746,TAP
10/26/20,35.46,35.46,34.42,34.88,1528160,TAP
