Date, Open, High, Low, Close, Volume,ticker
12/24/20,609.07,610.7469,602.4,606.71,47705,TDG
12/23/20,598.8,616.49,598.8,611.9,167869,TDG
12/22/20,599.18,603.545,595.74,596.23,187864,TDG
12/21/20,591.52,602.485,586.67,600.71,318007,TDG
12/18/20,598.33,611.01,594.79,608.33,564538,TDG
12/17/20,604.75,606.59,594.99,598.35,289402,TDG
12/16/20,613.74,615.8325,601.2,603.53,259235,TDG
12/15/20,599.49,618.64,595.86,613.74,358515,TDG
12/14/20,607.3,607.3,595.43,595.82,294137,TDG
12/11/20,593.83,609.17,593.83,601.79,270326,TDG
12/10/20,589.16,605.97,589.16,601.01,239903,TDG
12/09/20,603.37,603.86,587.01,595.5,232344,TDG
12/08/20,596.11,609.98,595.31,602.1,214833,TDG
12/07/20,603.55,605.45,594.36,601.01,216129,TDG
12/04/20,601.0,613.26,601.0,605.67,215063,TDG
12/03/20,597.94,613.745,595.49,598.64,392304,TDG
12/02/20,590.19,599.95,585.8009999999999,594.84,317212,TDG
12/01/20,587.84,599.19,583.49,593.6,304873,TDG
11/30/20,591.0,595.36,575.465,579.19,286267,TDG
11/27/20,608.86,608.86,590.0825,591.54,123910,TDG
11/25/20,610.86,610.86,600.0,603.85,274602,TDG
11/24/20,605.26,619.32,600.26,615.41,419697,TDG
11/23/20,581.57,599.5,579.995,594.94,250603,TDG
11/20/20,590.51,596.13,571.4074,574.13,374351,TDG
11/19/20,584.03,592.37,576.6,590.65,303161,TDG
11/18/20,589.9,600.05,582.1,587.87,526785,TDG
11/17/20,567.87,584.55,565.1,577.97,376036,TDG
11/16/20,588.34,589.57,572.11,573.96,439578,TDG
11/13/20,558.74,568.69,555.51,566.78,331420,TDG
11/12/20,545.0,569.3457,533.75,556.53,546360,TDG
11/11/20,577.35,577.61,553.485,560.81,455304,TDG
11/10/20,574.61,579.79,564.51,574.38,581091,TDG
11/09/20,574.46,611.66,568.1596,568.32,1109546,TDG
11/06/20,519.29,523.85,515.355,520.46,190397,TDG
11/05/20,512.72,521.6531,512.72,519.29,217804,TDG
11/04/20,510.37,519.3,503.34,512.05,256171,TDG
11/03/20,504.64,512.45,502.8,508.56,284691,TDG
11/02/20,482.36,495.56,479.105,494.43,363751,TDG
10/30/20,473.96,482.28,467.66,477.41,363208,TDG
10/29/20,456.29,478.0,456.25,476.54,423607,TDG
10/28/20,456.81,465.84,453.76,458.14,804755,TDG
10/27/20,482.81,484.81,463.62,464.02,600199,TDG
10/26/20,496.25,497.1916,481.0,483.2,414956,TDG
10/23/20,497.84,503.89,492.66,501.97,302874,TDG
10/22/20,484.49,495.93,484.49,493.07,220276,TDG
10/21/20,491.8,493.71,480.59,482.91,307669,TDG
10/20/20,490.0,498.96,488.99,493.39,400247,TDG
10/19/20,492.33,501.71,482.8701,484.16,318625,TDG
10/16/20,495.95,497.94,487.98,491.99,474265,TDG
10/15/20,479.88,494.75,477.02,491.32,288365,TDG
10/14/20,474.53,489.55,474.53,483.73,426492,TDG
10/13/20,480.03,482.87,469.34,473.39,380251,TDG
10/12/20,486.78,488.7,482.45,486.0,283546,TDG
10/09/20,493.91,494.33,484.21,485.0,198360,TDG
10/08/20,492.09,494.01,483.195,490.97,265040,TDG
10/07/20,488.81,496.61,487.5,488.5,336511,TDG
10/06/20,493.06,503.005,480.41,480.54,437915,TDG
10/05/20,490.0,494.65,486.49,487.0,368528,TDG
10/02/20,468.56,489.06,468.56,485.58,445364,TDG
10/01/20,481.53,492.47,475.165,481.34,579939,TDG
09/30/20,489.0,494.8,471.22,475.12,694011,TDG
09/29/20,501.28,501.28,488.5,489.08,584975,TDG
09/28/20,502.34,511.44,498.36,498.6,399744,TDG
09/25/20,475.07,497.091,475.07,494.78,266579,TDG
09/24/20,476.98,487.55,467.91,479.6,271821,TDG
09/23/20,500.85,505.74,479.08,479.28,338813,TDG
09/22/20,490.58,502.64,490.58,502.03,361660,TDG
09/21/20,493.9,494.99,474.835,487.81,656362,TDG
09/18/20,514.22,521.66,505.28,505.5,1291008,TDG
09/17/20,525.13,529.2,514.41,519.01,500671,TDG
09/16/20,508.11,526.23,504.46,518.89,568167,TDG
09/15/20,507.0,511.93,504.34,507.3,294049,TDG
09/14/20,511.61,513.05,502.0,507.3,489507,TDG
09/11/20,499.61,508.49,493.03,505.75,230575,TDG
09/10/20,500.21,510.26,497.44,499.47,337107,TDG
09/09/20,502.95,505.22,489.73,500.93,341961,TDG
09/08/20,504.39,513.225,493.24,501.93,635717,TDG
09/04/20,499.41,506.99,487.8,503.32,380822,TDG
09/03/20,507.19,508.94,489.37,493.82,356328,TDG
09/02/20,503.06,507.15,496.17,505.15,269127,TDG
09/01/20,496.17,505.22,495.54,503.78,295514,TDG
08/31/20,506.0,507.5799,494.45,499.67,306948,TDG
08/28/20,500.59,507.89,498.65,506.77,394545,TDG
08/27/20,488.56,502.46,488.0371,498.32,428460,TDG
08/26/20,483.9,489.46,481.48,484.89,248365,TDG
08/25/20,490.91,493.64,483.46,486.05,315421,TDG
08/24/20,481.16,490.99,481.16,488.5,572883,TDG
08/21/20,481.69,485.17,477.86,479.28,426050,TDG
08/20/20,478.38,486.64,476.18,482.83,255215,TDG
08/19/20,486.31,489.62,482.0,482.81,553814,TDG
08/18/20,488.02,490.17,482.2,483.0,528210,TDG
08/17/20,500.0,500.0,489.31,489.97,420462,TDG
08/14/20,491.17,499.7,491.17,498.79,360466,TDG
08/13/20,492.49,499.145,492.49,495.15,430836,TDG
08/12/20,499.65,500.0,492.72,498.49,532366,TDG
