Date, Open, High, Low, Close, Volume,ticker
12/24/20,384.27,385.26,380.1,383.48,23085,TDY
12/23/20,381.43,388.03,379.96,385.8,139932,TDY
12/22/20,379.17,382.29,377.26,378.83,136063,TDY
12/21/20,376.35,380.135,370.19,378.35,250884,TDY
12/18/20,381.39,383.97,376.48,380.47,566256,TDY
12/17/20,381.92,384.32,377.57,380.93,209720,TDY
12/16/20,388.99,388.99,378.83,379.81,178985,TDY
12/15/20,383.24,387.45,381.24,387.38,222011,TDY
12/14/20,390.19,390.835,380.52,380.9,182491,TDY
12/11/20,389.96,394.605,386.145,387.51,173793,TDY
12/10/20,393.0,397.225,390.72,391.79,113312,TDY
12/09/20,394.28,397.075,392.24,394.7,140658,TDY
12/08/20,390.37,398.61,390.37,395.36,127279,TDY
12/07/20,389.28,394.82,389.22,390.74,119106,TDY
12/04/20,384.23,393.73,384.23,392.79,125662,TDY
12/03/20,384.13,390.04,382.75,383.63,116777,TDY
12/02/20,381.75,389.13,376.49,385.82,137205,TDY
12/01/20,383.73,385.36,380.15,381.65,132531,TDY
11/30/20,383.58,384.42,374.5,377.94,333166,TDY
11/27/20,387.69,388.18,382.87,386.24,56967,TDY
11/25/20,390.03,390.03,383.215,388.16,108934,TDY
11/24/20,389.38,394.06,384.755,392.33,201322,TDY
11/23/20,385.2,385.63,381.05,383.86,147194,TDY
11/20/20,390.6,390.6,380.15,382.02,167046,TDY
11/19/20,388.76,391.84,384.22,390.82,129209,TDY
11/18/20,395.61,398.68,389.545,391.87,139674,TDY
11/17/20,385.96,395.865,382.82,394.17,202589,TDY
11/16/20,388.66,393.02,381.3901,390.88,261125,TDY
11/13/20,370.55,380.62,368.0001,379.31,203231,TDY
11/12/20,363.38,367.14,356.66,366.79,167634,TDY
11/11/20,372.71,372.71,360.85400000000004,367.25,134329,TDY
11/10/20,366.23,374.61,365.37,369.72,173150,TDY
11/09/20,354.99,373.43,349.39,364.12,316503,TDY
11/06/20,336.0,342.9,333.62,336.83,107809,TDY
11/05/20,334.31,342.19,334.31,336.21,102431,TDY
11/04/20,329.06,338.36,325.6,331.82,162156,TDY
11/03/20,319.05,329.82,316.56,326.98,144361,TDY
11/02/20,314.94,317.14,309.3,313.38,231719,TDY
10/30/20,307.92,314.0,304.58,309.15,142928,TDY
10/29/20,305.24,311.63,304.185,309.36,148494,TDY
10/28/20,310.73,314.98,306.395,306.95,198659,TDY
10/27/20,324.82,326.5,315.49,315.67,182753,TDY
10/26/20,336.64,338.15,324.98,326.69,162813,TDY
10/23/20,340.18,341.32,337.31,340.46,126694,TDY
10/22/20,330.36,337.23,328.64,336.84,152622,TDY
10/21/20,340.0,344.85,327.145,328.6,302031,TDY
10/20/20,336.56,341.805,336.18,339.46,216813,TDY
10/19/20,333.8,338.92,331.53,334.3,202854,TDY
10/16/20,330.0,335.235,328.825,333.2,207630,TDY
10/15/20,317.52,328.105,317.01,327.67,160885,TDY
10/14/20,319.75,329.05,319.75,322.96,112009,TDY
10/13/20,324.67,326.08,318.67,320.02,208237,TDY
10/12/20,326.32,328.97,325.34,327.53,120523,TDY
10/09/20,328.61,328.91,324.5,325.14,110887,TDY
10/08/20,317.71,325.72,317.66,325.5,109142,TDY
10/07/20,317.23,319.86,315.3,317.87,222700,TDY
10/06/20,318.36,322.28,313.105,314.87,211612,TDY
10/05/20,313.44,317.62,313.36,315.52,131949,TDY
10/02/20,303.19,312.79,301.76,309.81,114725,TDY
10/01/20,312.66,314.8,307.22,307.75,168523,TDY
09/30/20,313.11,315.42,307.61,310.21,286636,TDY
