Date, Open, High, Low, Close, Volume,ticker
12/24/20,47.5,47.5,46.7,46.99,2276226,TFC
12/23/20,46.6,47.57,46.31,47.29,5170929,TFC
12/22/20,46.67,46.76,45.96,46.03,4527162,TFC
12/21/20,46.09,46.6243,45.44,46.32,6891052,TFC
12/18/20,46.99,47.1,45.56,45.9,10492720,TFC
12/17/20,47.11,47.285,46.3,47.1,7794709,TFC
12/16/20,46.72,47.27,46.4,47.23,7242078,TFC
12/15/20,46.27,46.94,45.72,46.72,5146307,TFC
12/14/20,47.68,47.68,45.79,45.91,6202742,TFC
12/11/20,47.14,47.31,46.692,47.01,4503116,TFC
12/10/20,47.19,48.125,47.0616,47.95,8441504,TFC
12/09/20,48.19,48.315,47.58,47.88,5539907,TFC
12/08/20,47.59,48.06,47.22,47.71,3797378,TFC
12/07/20,47.67,48.14,47.14,47.86,3857994,TFC
12/04/20,47.65,48.305,47.41,48.23,4872022,TFC
12/03/20,47.65,47.78,46.9554,47.41,4782360,TFC
12/02/20,47.14,47.72,46.83,47.56,5015891,TFC
12/01/20,47.85,48.255,47.3,47.52,6260143,TFC
11/30/20,48.18,48.49,46.36,46.42,6850338,TFC
11/27/20,48.61,49.03,48.17,48.5,2898483,TFC
11/25/20,48.38,48.8,47.64,48.51,4010252,TFC
11/24/20,48.1,49.1463,48.0,48.97,6588095,TFC
11/23/20,47.0,47.235,46.45,46.98,4683057,TFC
11/20/20,46.73,46.89,46.07,46.21,6018975,TFC
11/19/20,46.7,47.03,46.15,46.9,6360962,TFC
11/18/20,48.33,48.88,47.44,47.45,5332027,TFC
11/17/20,47.62,48.315,47.07,48.17,5144912,TFC
11/16/20,49.0,49.15,48.07,48.57,5958609,TFC
11/13/20,46.51,47.65,46.5,47.19,4788314,TFC
11/12/20,47.27,47.63,45.63,46.33,4603672,TFC
11/11/20,49.2,49.28,47.91,48.82,5777061,TFC
11/10/20,47.44,49.32,46.98,49.04,6279320,TFC
11/09/20,47.42,49.72,47.4,48.52,10476520,TFC
11/06/20,45.2,45.2,42.805,42.99,4892630,TFC
11/05/20,42.7,45.205,42.66,44.93,6606366,TFC
11/04/20,43.26,43.885,41.98,42.68,5209499,TFC
11/03/20,44.73,45.18,44.19,44.76,5812330,TFC
11/02/20,42.76,43.77,42.09,43.48,6477969,TFC
10/30/20,41.7,42.18,41.22,42.12,5415089,TFC
10/29/20,40.79,42.12,40.05,41.85,4418807,TFC
10/28/20,40.56,41.77,40.5201,41.12,7172170,TFC
10/27/20,42.78,42.9216,41.71,41.73,4024451,TFC
10/26/20,43.13,43.31,42.53,43.03,4871257,TFC
10/23/20,43.89,44.4,43.165,43.94,3534281,TFC
10/22/20,41.8,43.53,41.77,43.45,3896222,TFC
10/21/20,41.72,42.185,41.55,41.9,5700366,TFC
10/20/20,42.02,43.2,41.96,42.09,4306486,TFC
