Date, Open, High, Low, Close, Volume,ticker
12/24/20,399.32,406.81,396.1801,405.06,87503,TFX
12/23/20,399.66,402.505,397.05,397.29,113744,TFX
12/22/20,399.11,402.76,396.43,396.84,151459,TFX
12/21/20,402.48,402.48,391.38,399.02,192104,TFX
12/18/20,403.02,411.22,399.2,408.9,434925,TFX
12/17/20,398.36,404.76,395.685,402.9,196257,TFX
12/16/20,392.0,399.72,390.78,397.33,245459,TFX
12/15/20,385.58,393.74,382.34,392.68,240853,TFX
12/14/20,386.69,394.94,380.66,380.67,209310,TFX
12/11/20,381.37,384.55,378.0,383.42,241866,TFX
12/10/20,380.37,388.72,380.37,383.35,218058,TFX
12/09/20,383.65,384.9,379.08,381.37,204128,TFX
12/08/20,379.91,386.35,379.91,382.96,139140,TFX
12/07/20,386.53,387.3122,380.715,382.86,141105,TFX
12/04/20,375.94,387.41,375.94,386.97,173609,TFX
12/03/20,379.13,387.43,376.45,377.99,191196,TFX
12/02/20,379.14,384.05,376.88,380.38,260657,TFX
12/01/20,384.87,386.325,378.45,380.47,295312,TFX
11/30/20,371.95,384.7,368.985,382.75,518566,TFX
11/27/20,374.11,374.405,368.39,371.05,103689,TFX
11/25/20,379.72,381.52,372.915,373.66,211661,TFX
11/24/20,375.13,384.705,371.965,381.62,294620,TFX
11/23/20,372.76,376.02,367.025,373.14,362874,TFX
11/20/20,372.74,374.5201,367.175,370.61,226027,TFX
11/19/20,368.54,372.55,363.16,372.27,254654,TFX
11/18/20,375.18,378.415,369.745,370.17,294398,TFX
11/17/20,374.32,379.2844,371.25,375.5,381201,TFX
11/16/20,366.81,375.26,361.21,375.22,269229,TFX
11/13/20,358.04,365.61,356.33,364.4,142224,TFX
11/12/20,358.46,362.77,353.9,356.74,105708,TFX
11/11/20,370.7,371.49,360.02,362.97,224412,TFX
11/10/20,361.93,369.165,350.77,368.45,324681,TFX
11/09/20,357.93,380.63,357.91,363.96,523698,TFX
11/06/20,338.07,340.0,334.18,335.94,185502,TFX
11/05/20,335.75,346.015,334.11,337.27,253346,TFX
11/04/20,336.57,340.7685,328.5,328.75,375948,TFX
11/03/20,326.36,336.21,325.06,332.19,238671,TFX
11/02/20,326.38,334.09,312.6887,319.97,343085,TFX
10/30/20,322.0,326.125,312.33,318.23,425100,TFX
10/29/20,339.12,342.41,321.67,326.65,543434,TFX
10/28/20,341.13,346.325,334.82,335.03,284215,TFX
10/27/20,357.0,357.05,350.75,351.46,228987,TFX
10/26/20,361.38,363.06,354.63,357.36,174822,TFX
10/23/20,371.99,371.99,365.61,366.24,171673,TFX
10/22/20,359.07,369.36,357.41,368.22,179718,TFX
10/21/20,361.78,362.36,358.0,359.06,165202,TFX
10/20/20,363.19,369.15,361.295,361.8,217489,TFX
10/19/20,367.57,370.93,359.37,361.63,315049,TFX
10/16/20,363.57,369.25,361.76,365.39,200991,TFX
10/15/20,358.35,362.73,356.86,361.8,134498,TFX
10/14/20,365.97,372.62,362.08,364.5,169962,TFX
10/13/20,364.97,367.55,361.14,362.55,163869,TFX
10/12/20,367.4,370.9,360.31,367.62,152641,TFX
10/09/20,358.43,365.83,354.97,363.51,219332,TFX
10/08/20,350.0,355.23,348.79,354.34,198681,TFX
10/07/20,337.22,350.46,337.22,348.03,274212,TFX
10/06/20,339.03,342.74,335.64,336.37,181005,TFX
10/05/20,340.17,342.34,337.57,339.3,136211,TFX
10/02/20,334.61,337.87,330.42,335.9,172879,TFX
10/01/20,343.76,347.94,334.81,337.24,231435,TFX
09/30/20,336.62,344.54,336.62,340.42,167821,TFX
09/29/20,343.3,345.63,335.33,335.54,188120,TFX
09/28/20,341.93,345.95,340.16,341.89,161373,TFX
09/25/20,326.15,337.92,326.09,335.81,170955,TFX
09/24/20,326.97,331.57,324.89,329.52,319133,TFX
09/23/20,333.92,339.48,329.63,330.77,256947,TFX
09/22/20,326.69,332.89,320.335,331.83,607327,TFX
09/21/20,331.47,331.47,321.88,326.7,365715,TFX
09/18/20,345.6,350.5,337.02,337.96,458503,TFX
09/17/20,355.77,355.77,344.7425,346.58,377259,TFX
09/16/20,372.67,372.67,353.15,357.9,406730,TFX
09/15/20,374.65,377.85,369.15,369.83,293280,TFX
09/14/20,375.29,376.785,371.4398,371.88,280964,TFX
09/11/20,379.66,380.4,367.88,370.57,268729,TFX
09/10/20,390.29,391.125,377.35,378.07,212130,TFX
09/09/20,387.27,395.06,384.75,389.47,139889,TFX
09/08/20,385.0,389.77,381.55,381.94,235776,TFX
09/04/20,399.76,400.12,384.3475,389.39,144045,TFX
09/03/20,405.8,407.325,390.895,396.58,251078,TFX
09/02/20,399.26,409.27,395.89,408.18,223741,TFX
09/01/20,391.31,399.18,390.45,398.35,213255,TFX
08/31/20,383.02,395.17,383.02,392.95,221287,TFX
08/28/20,380.01,386.05,376.35,385.02,150571,TFX
08/27/20,376.29,385.14,374.67,380.28,169447,TFX
08/26/20,375.98,377.42,368.0,375.93,131835,TFX
08/25/20,373.74,378.79,369.41,377.48,247910,TFX
08/24/20,372.72,373.735,365.29,370.85,161692,TFX
08/21/20,371.08,371.77,367.01,371.63,154004,TFX
08/20/20,369.61,374.03,367.92,370.75,162377,TFX
08/19/20,376.69,376.69,371.475,371.8,110831,TFX
08/18/20,376.85,376.85,371.93,373.99,128637,TFX
08/17/20,378.66,380.59,374.53,374.73,163984,TFX
08/14/20,380.45,380.84,376.51,378.47,102552,TFX
08/13/20,374.75,383.885,374.75,382.1,115776,TFX
08/12/20,378.77,380.505,375.43,376.01,208963,TFX
08/11/20,378.5,383.5,374.675,375.26,152368,TFX
08/10/20,372.43,378.52,371.41,376.4,192880,TFX
08/07/20,370.62,376.615,369.55,373.5,136929,TFX
08/06/20,374.25,374.53,364.66,369.57,134728,TFX
08/05/20,368.89,377.17,367.36,374.25,276802,TFX
08/04/20,373.38,375.25,364.435,368.26,254828,TFX
08/03/20,373.77,376.33,370.7,373.65,180180,TFX
07/31/20,383.29,384.33,368.0,373.1,245624,TFX
07/30/20,392.95,393.0,365.85,385.17,307815,TFX
07/29/20,387.37,405.07,387.37,400.99,250619,TFX
07/28/20,386.52,387.92,382.12,384.67,221673,TFX
07/27/20,386.35,387.58,383.05,385.0,182677,TFX
07/24/20,387.87,389.25,382.31,387.66,142557,TFX
07/23/20,390.55,395.42,387.17,388.84,111192,TFX
07/22/20,385.69,390.98,383.11,389.41,157860,TFX
07/21/20,385.0,387.88,382.39,385.38,127379,TFX
07/20/20,381.86,385.76,380.43,384.8,133087,TFX
07/17/20,372.52,383.99,371.645,381.88,162901,TFX
07/16/20,373.51,374.64,366.1,369.94,100902,TFX
07/15/20,365.58,377.67,365.58,374.41,145014,TFX
07/14/20,349.29,363.0299,349.29,362.35,166307,TFX
07/13/20,358.09,362.525,349.35,350.24,247298,TFX
07/10/20,357.85,358.98,351.64,354.78,117270,TFX
07/09/20,358.57,360.59,352.15,356.96,200869,TFX
07/08/20,360.89,363.58,357.96,360.26,169530,TFX
07/07/20,364.87,367.94,360.01,360.69,188511,TFX
07/06/20,373.94,374.98,367.63,368.15,219335,TFX
07/02/20,372.05,373.72,367.5,368.15,191509,TFX
07/01/20,363.97,375.0,363.97,368.93,286998,TFX
