Date, Open, High, Low, Close, Volume,ticker
12/24/20,175.98,176.51,174.67,175.19,1941216,TGT
12/23/20,172.01,176.33,171.885,174.91,4752973,TGT
12/22/20,172.4,173.11,171.455,172.35,3104018,TGT
12/21/20,169.63,173.06,168.94,171.76,4077382,TGT
12/18/20,171.18,172.18,168.97,170.42,6715840,TGT
12/17/20,172.0,172.28,170.29,171.24,3495251,TGT
12/16/20,172.01,172.9867,170.71,171.69,2193655,TGT
12/15/20,170.65,172.78,170.65,171.41,3490127,TGT
12/14/20,172.96,172.96,170.17,170.99,4016391,TGT
12/11/20,171.5,172.75,171.07,171.71,2676541,TGT
12/10/20,173.59,174.24,172.07,172.4,2643724,TGT
12/09/20,173.35,174.92,172.41,174.07,2853776,TGT
12/08/20,172.5,173.78,171.74,172.72,2682233,TGT
12/07/20,174.27,174.95,171.41,172.91,3430836,TGT
12/04/20,174.38,175.16,173.23,175.03,2935688,TGT
12/03/20,176.47,176.47,173.78,174.92,4214583,TGT
12/02/20,178.02,178.21,175.47,176.41,3109258,TGT
12/01/20,179.81,181.17,177.1,179.05,5036483,TGT
11/30/20,178.25,180.07,176.24,179.53,8010031,TGT
11/27/20,180.81,181.11,178.95,179.77,2371901,TGT
11/25/20,177.73,180.48,177.35,179.82,3780713,TGT
11/24/20,179.76,179.8399,177.1,177.86,4689777,TGT
11/23/20,174.25,179.0156,173.59,177.56,5760551,TGT
11/20/20,172.22,174.41,171.45,172.31,6657666,TGT
11/19/20,168.71,173.44,167.9,171.37,6834937,TGT
11/18/20,165.94,172.1217,164.55,166.85,13092320,TGT
11/17/20,164.0,164.71,160.51,163.04,6299877,TGT
11/16/20,165.0,165.99,163.35,165.18,5035611,TGT
11/13/20,160.99,163.4499,160.6,162.88,2769730,TGT
11/12/20,159.67,160.99,158.64,159.53,2709061,TGT
11/11/20,159.45,162.5692,158.75,159.69,3336512,TGT
11/10/20,157.04,159.06,156.56,158.07,3577873,TGT
11/09/20,163.15,163.16,154.75,154.91,5092826,TGT
11/06/20,158.65,161.9,158.5265,161.5,3498036,TGT
11/05/20,159.74,159.87,156.54,158.63,3114899,TGT
11/04/20,157.22,159.49,155.25,156.62,3156872,TGT
11/03/20,156.32,158.71,155.433,156.73,2545379,TGT
11/02/20,154.0,155.12,152.8001,154.39,2674299,TGT
10/30/20,153.32,154.14,150.8,152.22,3694809,TGT
10/29/20,155.24,156.0899,153.373,154.25,2157971,TGT
10/28/20,154.91,157.27,154.11,155.21,2656149,TGT
10/27/20,158.07,158.88,156.68,157.03,2406066,TGT
10/26/20,158.84,159.39,156.3035,157.97,2310577,TGT
10/23/20,160.39,160.39,158.81,160.23,1817012,TGT
10/22/20,163.07,163.38,159.34,159.6,3649395,TGT
10/21/20,165.75,166.1957,162.95,163.29,3033868,TGT
10/20/20,164.95,167.42,163.816,164.87,2698956,TGT
10/19/20,166.21,166.96,163.82,164.05,2322539,TGT
10/16/20,165.91,167.25,164.358,164.92,5048946,TGT
10/15/20,161.84,165.46,161.12,165.46,1859375,TGT
10/14/20,165.98,166.16,162.6,163.97,2286154,TGT
10/13/20,164.57,166.675,164.15,165.64,2015231,TGT
10/12/20,164.3,165.49,163.62,164.57,2436329,TGT
10/09/20,162.2,164.81,162.1,163.71,2582692,TGT
10/08/20,162.6,163.32,161.39,161.86,2189233,TGT
10/07/20,160.06,161.61,159.61,160.68,2927019,TGT
10/06/20,161.47,161.98,157.61,158.41,2932595,TGT
10/05/20,159.99,162.31,159.99,161.49,2268568,TGT
10/02/20,156.97,159.99,156.16,159.1,1978717,TGT
10/01/20,158.41,160.89,158.1,158.6,3866185,TGT
09/30/20,157.45,159.15,156.5044,157.42,2806214,TGT
09/29/20,156.75,158.43,155.87,156.94,2784544,TGT
09/28/20,154.95,157.71,154.65,156.46,3627625,TGT
09/25/20,151.86,155.16,151.75,154.35,2743326,TGT
