Date, Open, High, Low, Close, Volume,ticker
12/24/20,131.17,131.2,131.15,131.16,433142,TIF
12/23/20,131.22,131.22,131.12,131.15,1117717,TIF
12/22/20,131.12,131.24,131.11,131.15,1098454,TIF
12/21/20,131.11,131.23,131.05,131.13,2045917,TIF
12/18/20,131.15,131.21,131.1,131.1,2292216,TIF
12/17/20,131.24,131.24,131.2,131.22,1203661,TIF
12/16/20,131.2,131.26,131.18,131.23,1462296,TIF
12/15/20,131.17,131.24,131.15,131.2,966069,TIF
12/14/20,131.21,131.26,131.05,131.11,1628613,TIF
12/11/20,131.25,131.27,131.17,131.22,1067799,TIF
12/10/20,131.26,131.34,131.23,131.25,1208794,TIF
12/09/20,131.3,131.3,131.18,131.28,1616728,TIF
12/08/20,131.2,131.32,131.2,131.3,2147175,TIF
12/07/20,131.33,131.33,131.21,131.27,1937781,TIF
12/04/20,131.36,131.37,131.21,131.26,2400529,TIF
12/03/20,131.22,131.39,131.21,131.39,1416281,TIF
12/02/20,131.35,131.36,131.31,131.33,1944102,TIF
12/01/20,131.27,131.38,131.27,131.35,1813104,TIF
11/30/20,131.3,131.5,131.16,131.48,7906815,TIF
11/27/20,131.6,131.791,131.6,131.72,3203143,TIF
11/25/20,131.47,131.73,131.37,131.58,2431095,TIF
11/24/20,131.54,131.58,131.48,131.51,1949553,TIF
11/23/20,131.5,131.52,131.435,131.48,1734701,TIF
11/20/20,131.49,131.53,131.42,131.43,922101,TIF
11/19/20,131.4,131.7,131.35,131.53,1438192,TIF
11/18/20,131.46,131.49,131.34,131.37,853214,TIF
11/17/20,131.4,131.5,131.375,131.46,917819,TIF
11/16/20,131.45,131.5,131.37,131.49,886993,TIF
11/13/20,131.35,131.49,131.21,131.37,1189955,TIF
11/12/20,131.39,131.39,131.29,131.33,1237145,TIF
11/11/20,131.29,131.43,131.2,131.4,1148864,TIF
11/10/20,131.18,131.37,131.15,131.17,2009210,TIF
11/09/20,131.24,131.3,131.11,131.16,2608222,TIF
11/06/20,131.2,131.217,131.125,131.15,927095,TIF
11/05/20,131.08,131.24,131.02,131.16,1001100,TIF
11/04/20,130.95,131.19,130.95,130.97,1988929,TIF
11/03/20,130.9,131.079,130.86,131.0,1777499,TIF
11/02/20,130.9,130.97,130.81,130.92,3173581,TIF
10/30/20,130.76,130.91,130.73,130.84,4452031,TIF
10/29/20,130.76,130.89,130.62,130.81,11137750,TIF
10/28/20,128.4,130.85,127.81,129.95,6735501,TIF
10/27/20,122.92,129.41,122.85,128.88,8052503,TIF
10/26/20,123.05,123.5,122.67,122.82,1784546,TIF
10/23/20,122.6,123.735,122.095,123.54,829487,TIF
10/22/20,123.09,123.58,122.51,122.65,792793,TIF
10/21/20,122.69,123.34,122.52,122.8,938565,TIF
10/20/20,122.5,122.95,122.12,122.28,499585,TIF
10/19/20,122.49,122.83,122.1,122.19,1136856,TIF
10/16/20,121.82,123.515,121.765,122.72,2025415,TIF
10/15/20,118.76,121.98,118.76,121.69,2208816,TIF
10/14/20,119.9,119.96,118.77,119.06,707018,TIF
10/13/20,118.49,119.07,118.0,118.96,895675,TIF
10/12/20,118.75,118.81,118.0178,118.68,605507,TIF
10/09/20,118.34,118.45,117.63,118.41,415541,TIF
10/08/20,117.7,118.0,117.44,117.97,414303,TIF
10/07/20,117.11,117.7,116.87,117.7,682384,TIF
10/06/20,117.33,117.45,116.52,117.0,973911,TIF
10/05/20,116.38,117.17,116.11,116.99,1492179,TIF
10/02/20,115.28,116.26,115.28,116.11,890955,TIF
10/01/20,116.2,116.31,115.75,116.03,1089597,TIF
09/30/20,116.34,116.65,115.75,115.85,1187201,TIF
09/29/20,116.75,116.8,115.59,116.44,905570,TIF
09/28/20,116.0,116.83,115.83,116.7,775752,TIF
09/25/20,115.9,116.17,115.53,115.65,784789,TIF
09/24/20,115.5,116.9,115.14,116.14,1789095,TIF
09/23/20,115.7,116.87,115.7,116.42,1586419,TIF
09/22/20,115.4,116.77,114.74,116.27,1766187,TIF
09/21/20,115.6,115.78,114.5897,115.21,1685836,TIF
09/18/20,114.65,116.99,114.65,116.26,2618268,TIF
09/17/20,115.81,116.3,114.8,115.2,1643839,TIF
09/16/20,114.49,116.15,114.05,115.86,2507117,TIF
09/15/20,113.32,114.14,112.86,114.05,1203164,TIF
09/14/20,113.5,114.035,112.77,113.19,1886873,TIF
09/11/20,114.25,114.75,113.42,113.81,2922754,TIF
09/10/20,114.06,116.0,113.44,114.36,3675102,TIF
09/09/20,109.57,115.15,108.11,113.96,11457360,TIF
09/08/20,121.82,122.66,121.33,121.81,1412083,TIF
09/04/20,122.16,122.55,121.25,121.79,1884602,TIF
09/03/20,122.63,122.77,121.46,122.17,674069,TIF
09/02/20,123.52,123.75,121.28,122.39,1043890,TIF
09/01/20,122.0,123.51,122.0,123.49,843044,TIF
08/31/20,123.73,123.8,122.04,122.5,1280786,TIF
08/28/20,123.81,124.61,123.535,123.88,967000,TIF
08/27/20,123.22,124.32,123.07,123.23,1578528,TIF
08/26/20,122.07,122.43,120.99,121.52,2176446,TIF
08/25/20,122.26,123.75,121.7,121.99,3603790,TIF
08/24/20,126.1,130.0,124.75,127.03,2566605,TIF
08/21/20,126.33,126.545,125.81,126.01,1117258,TIF
08/20/20,126.97,127.33,126.55,126.8,722946,TIF
08/19/20,126.02,127.44,126.0,127.25,938539,TIF
08/18/20,125.55,126.37,125.2,126.14,854944,TIF
08/17/20,125.0,125.43,124.81,125.42,1345280,TIF
08/14/20,124.77,125.065,124.63,125.0,728727,TIF
08/13/20,124.79,125.06,124.0,124.8,757628,TIF
08/12/20,124.92,125.33,124.6,125.0,555019,TIF
08/11/20,125.45,125.74,124.585,124.98,1314772,TIF
08/10/20,124.74,125.78,124.74,125.18,833168,TIF
08/07/20,124.92,125.1,124.615,124.82,1265425,TIF
08/06/20,125.19,125.32,124.87,125.03,768525,TIF
08/05/20,125.71,125.74,125.0,125.21,623754,TIF
08/04/20,125.95,125.95,125.07,125.52,1075097,TIF
08/03/20,124.87,125.78,124.45,125.47,999881,TIF
07/31/20,124.72,125.41,124.5,125.36,711053,TIF
07/30/20,124.69,125.2,124.5,124.65,418183,TIF
07/29/20,125.5,125.5,124.57,124.9,740960,TIF
07/28/20,125.65,125.8,124.6499,124.95,973981,TIF
07/27/20,121.59,126.035,121.4,125.0,4245518,TIF
07/24/20,121.79,121.96,120.82,121.41,1353986,TIF
07/23/20,121.75,122.085,121.07,121.61,940824,TIF
07/22/20,122.1,122.36,121.48,121.65,805524,TIF
07/21/20,121.71,122.58,121.55,122.25,612676,TIF
07/20/20,121.62,122.49,121.03,121.41,1206497,TIF
07/17/20,122.69,122.69,121.13,121.75,1184294,TIF
07/16/20,122.18,122.59,121.53,122.02,1208761,TIF
07/15/20,122.46,122.91,121.55,122.5,1217857,TIF
07/14/20,120.78,121.79,120.585,121.74,739742,TIF
07/13/20,121.54,121.85,120.63,121.17,775954,TIF
07/10/20,120.52,121.57,120.49,121.3,1475859,TIF
07/09/20,122.0,122.0,120.64,120.99,1169144,TIF
07/08/20,121.6,122.415,120.53,121.58,1031351,TIF
07/07/20,122.74,123.0,121.52,122.01,926793,TIF
07/06/20,122.8,123.16,122.22,122.91,1037600,TIF
07/02/20,122.26,122.74,121.75,122.22,853229,TIF
07/01/20,121.83,123.3,120.5,122.23,2281964,TIF
06/30/20,120.99,122.26,120.74,121.94,1877707,TIF
06/29/20,119.72,120.91,119.62,120.31,1207232,TIF
06/26/20,120.5,120.95,119.12,119.57,1887460,TIF
06/25/20,121.58,121.58,120.13,120.35,1689503,TIF
06/24/20,121.49,121.98,120.25,121.44,2795845,TIF
06/23/20,122.12,122.4,120.73,121.94,1816550,TIF
06/22/20,120.39,122.0,120.32,121.91,1424312,TIF
06/19/20,121.52,121.52,120.2,120.88,2313777,TIF
06/18/20,121.33,121.5,120.33,120.9,1291942,TIF
06/17/20,121.31,121.87,120.52,121.49,981413,TIF
06/16/20,120.95,121.47,120.15,120.76,1900159,TIF
06/15/20,118.25,120.34,118.11,120.1,2327575,TIF
06/12/20,120.23,120.5,118.21,119.12,1563273,TIF
06/11/20,120.42,121.56,119.0,119.47,3188055,TIF
06/10/20,121.62,123.38,120.82,121.05,3132628,TIF
06/09/20,124.05,125.0,123.74,124.56,3003836,TIF
06/08/20,122.35,123.5,121.51,122.18,2704852,TIF
06/05/20,124.05,124.19,120.0,121.99,8127107,TIF
06/04/20,113.27,115.22,112.5,114.53,4265862,TIF
06/03/20,117.0,117.684,112.45,114.24,8830360,TIF
06/02/20,128.67,128.75,111.27,117.03,9558415,TIF
06/01/20,127.52,128.77,127.52,128.5,1086913,TIF
05/29/20,127.66,128.38,127.35,128.13,2285059,TIF
05/28/20,127.8,128.61,127.43,127.82,3328517,TIF
05/27/20,125.74,127.58,125.57,127.54,1754304,TIF
05/26/20,125.12,126.2,125.12,125.37,2848159,TIF
05/22/20,126.79,126.88,124.87,125.07,2420833,TIF
05/21/20,125.3,126.62,123.93,126.36,5007920,TIF
05/20/20,127.99,128.06,124.96,125.69,2901906,TIF
05/19/20,127.39,128.07,127.32,127.98,1905380,TIF
05/18/20,127.81,128.15,127.21,127.66,1480074,TIF
05/15/20,126.9,127.54,126.23,127.01,2179720,TIF
05/14/20,127.21,127.68,126.5,127.28,1334117,TIF
05/13/20,127.76,128.37,127.14,127.68,1689402,TIF
05/12/20,128.6,128.6,127.64,127.64,1089681,TIF
05/11/20,128.5,128.75,128.12,128.28,2264190,TIF
05/08/20,128.38,128.82,128.17,128.56,1806372,TIF
05/07/20,128.15,128.52,127.96,128.17,1975986,TIF
05/06/20,127.6,128.12,127.0,127.9,1658457,TIF
05/05/20,126.98,127.95,126.92,127.46,888071,TIF
05/04/20,127.12,127.12,126.4,127.07,797098,TIF
05/01/20,126.78,127.35,126.45,127.06,1324258,TIF
