Date, Open, High, Low, Close, Volume,ticker
12/24/20,457.4,462.21,456.41,458.09,442077,TMO
12/23/20,467.83,469.38,458.34,458.34,1241067,TMO
12/22/20,462.36,465.39,459.5,465.2,1043995,TMO
12/21/20,462.31,466.28,454.0,462.88,1282463,TMO
12/18/20,462.74,469.15,455.41,466.68,3379626,TMO
12/17/20,458.36,464.99,458.145,464.94,1765835,TMO
12/16/20,466.34,468.47,457.58,457.79,2058623,TMO
12/15/20,469.79,473.48,465.24,470.98,1129774,TMO
12/14/20,471.41,477.44,466.035,467.13,1745737,TMO
12/11/20,468.0,471.9,465.04,471.39,1192626,TMO
12/10/20,463.05,472.999,462.0,468.74,1564342,TMO
12/09/20,477.5,477.5,458.87,461.38,2417220,TMO
12/08/20,472.89,479.55,472.89,473.98,1433818,TMO
12/07/20,473.84,478.1041,471.0,472.89,1263506,TMO
12/04/20,476.46,478.72,469.24,474.62,1649974,TMO
12/03/20,480.0,481.45,471.66,477.2,1488329,TMO
12/02/20,476.47,482.2,469.6,478.89,2003493,TMO
12/01/20,470.0,475.792,465.3,471.1,3042113,TMO
11/30/20,457.07,466.59,455.0,464.98,2557197,TMO
11/27/20,453.48,454.6,442.0,453.4,899681,TMO
11/25/20,438.48,449.685,438.18,448.45,2650279,TMO
11/24/20,444.3,445.52,435.77,439.56,2833376,TMO
11/23/20,454.5,455.92,441.76,446.03,2251549,TMO
11/20/20,452.78,457.28,449.75,451.04,1868834,TMO
11/19/20,458.93,459.705,450.05,453.1,2093539,TMO
11/18/20,479.91,481.44,451.74,454.18,3527838,TMO
11/17/20,479.1,483.9264,477.13,479.0,1546811,TMO
11/16/20,495.73,495.73,480.13,480.99,1737492,TMO
11/13/20,492.99,494.36,486.08,488.59,1160967,TMO
11/12/20,485.0,498.03,482.895,486.56,1464150,TMO
11/11/20,472.06,488.5495,469.07,484.0,1917860,TMO
11/10/20,480.37,483.98,462.0,468.59,3377210,TMO
11/09/20,521.78,523.0,484.31,484.99,4192022,TMO
11/06/20,518.58,532.5709,514.505,527.66,1367103,TMO
11/05/20,525.0,529.8699,511.75,514.76,1526079,TMO
11/04/20,500.0,518.0,499.22,510.97,2300257,TMO
11/03/20,491.02,501.73,488.89,491.5,1714271,TMO
11/02/20,478.8,489.32,477.55,480.55,1656047,TMO
10/30/20,469.06,475.47,465.5,473.12,1251895,TMO
10/29/20,479.65,479.97,471.105,471.88,1330140,TMO
10/28/20,482.35,486.23,475.73,476.71,1673269,TMO
10/27/20,485.0,490.71,484.09,489.3,1332107,TMO
10/26/20,475.07,482.62,475.0,482.43,1310888,TMO
10/23/20,481.0,483.71,473.49,480.17,1164433,TMO
10/22/20,471.69,485.0,470.11,481.99,1454628,TMO
10/21/20,475.0,478.99,462.415,468.76,2212934,TMO
10/20/20,461.27,470.38,461.17,465.26,1082874,TMO
10/19/20,468.87,471.26,458.785,461.29,1248900,TMO
10/16/20,468.2,473.84,467.5,468.59,1070263,TMO
10/15/20,461.97,466.0,458.37,464.56,936629,TMO
10/14/20,467.01,472.44,464.295,467.01,852175,TMO
10/13/20,466.89,470.865,466.01,467.53,916452,TMO
10/12/20,465.78,471.32,462.51,466.72,927214,TMO
10/09/20,457.39,465.4,455.29,464.7,1066057,TMO
10/08/20,454.76,454.76,447.17,453.54,832400,TMO
10/07/20,447.89,455.9535,447.89,452.36,1012928,TMO
10/06/20,451.86,452.0,445.2701,445.89,1198066,TMO
10/05/20,440.0,451.75,440.0,450.67,1149254,TMO
10/02/20,434.21,441.8,433.01,435.06,949058,TMO
10/01/20,445.97,452.685,436.11,438.2,1452279,TMO
09/30/20,436.6,444.8,435.07,441.52,1516372,TMO
09/29/20,430.77,436.3,430.0,434.34,911949,TMO
09/28/20,426.51,431.12,424.04,428.39,1110696,TMO
09/25/20,415.77,424.79,412.8,422.29,1112934,TMO
09/24/20,419.49,421.11,415.58,418.14,904704,TMO
09/23/20,430.77,431.76,420.2,420.76,966543,TMO
09/22/20,423.9,431.31,422.12,430.24,1168590,TMO
09/21/20,424.75,426.225,415.47,425.47,1283214,TMO
09/18/20,426.74,433.84,426.08,429.05,1737776,TMO
09/17/20,431.16,438.25,429.03,432.93,1304268,TMO
09/16/20,438.79,440.77,432.62,433.88,1842688,TMO
09/15/20,435.64,437.47,433.15,435.1,1292574,TMO
09/14/20,435.44,439.85,433.0201,434.1,1052337,TMO
09/11/20,425.6,434.0,424.99,431.13,1743241,TMO
09/10/20,423.72,429.34,417.91,419.73,1540605,TMO
09/09/20,410.58,422.47,409.89,418.32,1665948,TMO
09/08/20,407.99,408.81,401.24,405.3,1515247,TMO
09/04/20,419.63,419.97,401.065,409.98,2189348,TMO
09/03/20,438.11,438.93,414.49,419.67,1883045,TMO
09/02/20,434.5,441.96,430.12,441.06,1221647,TMO
09/01/20,432.15,435.75,430.55,433.73,1490168,TMO
08/31/20,425.49,433.45,424.915,428.98,1557655,TMO
08/28/20,420.0,424.73,415.17,424.48,1325043,TMO
08/27/20,409.3,423.82,402.67,420.53,2091976,TMO
08/26/20,421.43,427.64,420.645,425.65,945947,TMO
08/25/20,420.16,423.45,418.305,422.29,963635,TMO
08/24/20,429.55,432.38,416.45,419.76,1201069,TMO
08/21/20,422.89,429.9225,421.02,428.57,1301302,TMO
08/20/20,419.83,423.09,418.5801,422.11,928744,TMO
08/19/20,419.27,423.4,415.82,420.62,1230284,TMO
08/18/20,417.71,419.91,416.33,417.3,1037295,TMO
08/17/20,416.0,419.74,414.6,416.8,1225772,TMO
08/14/20,414.71,416.47,410.74,413.76,898106,TMO
08/13/20,412.02,417.65,412.02,416.6,1080587,TMO
08/12/20,408.9,418.04,407.24,416.17,1060457,TMO
08/11/20,409.37,410.16,401.22,407.24,1337793,TMO
08/10/20,414.11,415.21,408.27,410.16,1206128,TMO
08/07/20,414.0,416.86,411.53,414.33,1006792,TMO
08/06/20,419.01,420.21,409.01,415.73,1229980,TMO
08/05/20,416.91,420.32,415.86,419.9,919808,TMO
08/04/20,418.93,418.93,412.77,415.72,911304,TMO
08/03/20,418.25,423.7,417.2,419.09,1049424,TMO
07/31/20,409.02,414.37,407.58,413.95,1217905,TMO
07/30/20,405.31,412.7,404.44,410.56,1142877,TMO
07/29/20,410.5,414.0,408.2,409.26,1099305,TMO
07/28/20,411.62,414.92,406.6217,407.36,1107027,TMO
07/27/20,404.4,416.52,404.35,413.44,1312949,TMO
07/24/20,403.37,407.29,399.16,406.38,1323619,TMO
07/23/20,418.14,419.9396,409.11,410.48,1522466,TMO
07/22/20,409.84,420.99,406.5,410.76,2284124,TMO
07/21/20,405.43,409.69,402.085,403.09,1488244,TMO
07/20/20,397.9,405.205,397.19,402.97,1511218,TMO
07/17/20,393.82,398.5,390.7136,395.4,1206667,TMO
07/16/20,392.93,393.51,387.93,392.42,1002649,TMO
07/15/20,392.7,394.24,387.85,392.7,1137189,TMO
07/14/20,378.93,388.34,375.14,387.46,869176,TMO
07/13/20,384.66,390.405,378.47,378.93,1052886,TMO
07/10/20,388.77,391.58,381.74,382.57,983590,TMO
07/09/20,385.57,391.38,383.545,387.67,920366,TMO
07/08/20,384.54,395.0,382.53,386.63,1456625,TMO
07/07/20,381.13,385.74,379.68,380.25,1368336,TMO
07/06/20,370.26,386.57,370.01,382.27,1859206,TMO
07/02/20,362.05,369.82,362.0,365.89,1127751,TMO
07/01/20,363.76,363.76,356.995,359.77,1600204,TMO
06/30/20,350.46,363.97,349.59,362.34,1710316,TMO
06/29/20,353.44,353.44,349.04,350.8,957287,TMO
06/26/20,352.5,355.7,348.26,350.95,1656401,TMO
06/25/20,347.78,352.18,343.19,351.76,1294922,TMO
06/24/20,355.48,355.71,346.25,347.96,1892721,TMO
06/23/20,355.0,358.0,353.03,356.82,1680612,TMO
06/22/20,352.56,353.565,348.59,352.16,1138115,TMO
06/19/20,354.48,355.0,348.16,352.73,2326549,TMO
06/18/20,348.75,352.09,347.0,347.44,1129857,TMO
06/17/20,350.0,352.9773,347.25,349.85,1302555,TMO
06/16/20,346.88,348.61,341.46,347.22,1549129,TMO
06/15/20,333.85,342.81,333.85,340.82,1632069,TMO
06/12/20,342.52,345.335,330.57,339.76,1523079,TMO
06/11/20,351.96,352.5752,335.67,336.44,1647719,TMO
06/10/20,349.38,354.61,347.85,352.8,1140627,TMO
06/09/20,350.08,352.195,346.82,347.65,1672264,TMO
06/08/20,350.37,353.795,348.07,349.88,1314860,TMO
06/05/20,348.15,356.42,345.57,354.2,1712079,TMO
06/04/20,343.92,349.79,343.92,348.15,1763476,TMO
06/03/20,351.42,352.59,345.39,347.19,1209692,TMO
06/02/20,349.32,350.8,346.68,350.09,1166462,TMO
06/01/20,348.0,351.135,347.5975,349.33,845702,TMO
05/29/20,345.09,349.75,340.56,349.19,1548827,TMO
05/28/20,340.94,345.88,339.685,342.74,1290422,TMO
05/27/20,336.51,337.45,324.35,337.35,1744444,TMO
05/26/20,346.25,347.22,332.01,332.57,1647769,TMO
05/22/20,337.42,340.81,335.52,340.26,1098213,TMO
05/21/20,340.27,341.97,334.75,335.75,1175901,TMO
05/20/20,345.04,345.86,340.81,341.15,1352291,TMO
05/19/20,346.0,347.25,341.41,342.78,1201208,TMO
05/18/20,348.0,351.86,346.73,346.97,1396027,TMO
05/15/20,337.5,343.2,335.37,342.92,1614458,TMO
05/14/20,330.58,337.8,328.38,337.29,1147875,TMO
05/13/20,335.18,340.2,330.815,334.09,1791355,TMO
05/12/20,340.38,341.61,331.72,331.72,1510096,TMO
05/11/20,331.34,341.35,331.1025,340.39,1313975,TMO
05/08/20,343.86,343.86,330.36,333.01,1616078,TMO
05/07/20,339.3,342.32,335.26,339.08,1795126,TMO
05/06/20,337.53,338.99,335.09,335.15,1215560,TMO
05/05/20,331.94,339.98,328.94,336.32,1139899,TMO
05/04/20,329.16,330.9,325.33,326.72,1189020,TMO
05/01/20,330.38,334.4372,326.55,329.81,1603250,TMO
04/30/20,331.77,337.8,331.4,334.68,2215030,TMO
04/29/20,333.47,337.38,328.675,335.62,1936647,TMO
04/28/20,342.71,346.89,328.1,332.46,2361391,TMO
04/27/20,330.49,343.44,330.07,342.71,1878586,TMO
04/24/20,322.61,329.95,320.24,328.7,1987938,TMO
04/23/20,335.4,337.31,319.87,320.51,2668138,TMO
04/22/20,323.55,337.54,321.425,335.59,2322398,TMO
04/21/20,324.81,324.81,316.36,319.62,2183726,TMO
04/20/20,329.32,331.75,325.5529,327.16,1717952,TMO
04/17/20,334.22,334.32,327.11,331.58,2057230,TMO
04/16/20,328.5,330.74,324.19,328.84,1830241,TMO
04/15/20,322.62,327.15,320.72,325.83,1652321,TMO
04/14/20,321.55,327.41,319.83,326.37,1513143,TMO
04/13/20,314.38,316.88,309.18,315.32,1547948,TMO
04/09/20,307.55,318.2,305.05,317.38,2445460,TMO
04/08/20,297.65,309.08,290.52,307.15,1997894,TMO
04/07/20,312.14,317.535,296.07,296.58,2126764,TMO
04/06/20,294.61,306.73,292.16,304.0,2433900,TMO
04/03/20,282.95,287.5,278.79,282.21,1320363,TMO
04/02/20,272.04,287.99,272.03,287.55,1666616,TMO
04/01/20,276.51,282.99,270.405,275.2,1927444,TMO
03/31/20,283.81,286.33,280.31,283.6,3275090,TMO
03/30/20,278.29,286.18,276.44,284.96,1990091,TMO
03/27/20,273.63,283.17,272.1,274.34,2314642,TMO
03/26/20,274.76,285.11,270.3,283.15,2856255,TMO
03/25/20,278.01,285.75,270.13,271.68,3075797,TMO
03/24/20,263.55,284.0,261.3,282.03,2691702,TMO
03/23/20,272.24,275.0,250.21,255.3,3477225,TMO
03/20/20,277.46,285.45,268.15,278.37,3715581,TMO
03/19/20,298.02,299.98,277.73,280.84,3511440,TMO
03/18/20,284.36,303.0,280.26,302.98,4570717,TMO
03/17/20,297.98,314.16,286.58,296.31,5253498,TMO
03/16/20,271.53,293.49,265.24,279.35,3766489,TMO
03/13/20,297.65,301.1499,272.215,300.12,4534446,TMO
03/12/20,274.27,295.78,268.55,284.32,4519203,TMO
03/11/20,299.41,300.23,285.26,289.38,2566498,TMO
03/10/20,305.76,307.97,293.08,307.7,2707621,TMO
03/09/20,293.88,298.425,288.03,295.35,2520159,TMO
03/06/20,305.06,312.72,302.7301,311.17,1922841,TMO
03/05/20,318.67,323.69,310.1,312.89,2192447,TMO
03/04/20,318.54,327.89,314.83,326.64,3043491,TMO
03/03/20,315.63,324.99,307.45,310.36,3895978,TMO
03/02/20,291.03,304.96,288.86,304.96,2740989,TMO
02/28/20,288.61,295.8,284.83,290.8,3961732,TMO
02/27/20,304.0,311.70599999999996,297.01,297.08,2231952,TMO
02/26/20,308.74,318.64,308.31,309.16,1944768,TMO
02/25/20,324.78,326.985,307.37,309.63,2378334,TMO
02/24/20,324.26,326.17,320.52,323.15,2638308,TMO
02/21/20,333.91,335.6,333.1,334.94,1540092,TMO
02/20/20,340.0,341.35,333.2,336.06,1505657,TMO
02/19/20,338.09,340.2925,335.31,339.74,1189387,TMO
02/18/20,338.13,338.35,334.505,337.37,1462390,TMO
02/14/20,336.56,339.4,335.05,339.19,1467719,TMO
02/13/20,333.5,337.41,331.5,335.59,1560072,TMO
02/12/20,338.97,340.945,333.855,334.57,1948439,TMO
02/11/20,336.56,338.17,335.01,337.78,1808439,TMO
02/10/20,324.57,334.735,324.57,333.94,1781619,TMO
02/07/20,330.0,330.44,324.83099999999996,326.21,1577295,TMO
02/06/20,333.25,334.45,331.46,332.0,1636231,TMO
02/05/20,330.26,333.65,329.14,332.49,1786603,TMO
02/04/20,321.84,328.64,321.01,325.96,2019715,TMO
02/03/20,316.81,321.56,315.11,318.34,2693936,TMO
01/31/20,322.23,322.98,310.915,313.19,2623662,TMO
01/30/20,322.0,325.0,317.0,319.86,3670005,TMO
01/29/20,335.63,337.64,333.39,333.89,1434486,TMO
01/28/20,332.23,334.44,329.22,333.26,1666977,TMO
01/27/20,327.36,332.62,326.71,330.96,1236336,TMO
01/24/20,337.12,337.705,331.52,333.68,945834,TMO
01/23/20,339.52,339.89,332.87,335.38,1213797,TMO
01/22/20,337.78,342.26,337.53,340.05,922525,TMO
01/21/20,339.6,341.71,336.78,337.26,1340702,TMO
01/17/20,337.37,339.34,335.27,339.19,1100380,TMO
01/16/20,337.2,338.21,334.85,336.74,842081,TMO
01/15/20,333.0,336.89,333.0,335.2,1350594,TMO
01/14/20,330.47,335.09,328.04,332.8,1069766,TMO
