Date, Open, High, Low, Close, Volume,ticker
12/24/20,31.01,31.1784,30.37,30.85,1945346,TPR
12/23/20,30.45,30.64,29.92,30.52,4800361,TPR
12/22/20,30.03,30.45,29.535,30.17,5135435,TPR
12/21/20,27.97,29.61,27.66,29.37,4561675,TPR
12/18/20,29.6,29.715,28.67,28.86,6732155,TPR
12/17/20,29.9,30.07,29.35,29.83,2989992,TPR
12/16/20,29.98,30.95,29.3636,29.67,4444734,TPR
12/15/20,29.77,29.85,29.14,29.72,3119220,TPR
12/14/20,29.72,30.0,28.965,29.03,4336407,TPR
12/11/20,29.57,30.09,29.155,29.33,2949598,TPR
12/10/20,29.32,29.89,29.04,29.62,2652189,TPR
12/09/20,29.68,30.24,29.175,29.63,4186465,TPR
12/08/20,29.04,29.75,28.91,29.5,4265283,TPR
12/07/20,29.03,29.75,28.805,29.74,3760306,TPR
12/04/20,29.37,29.62,28.89,29.35,4775212,TPR
12/03/20,28.7,29.75,28.68,29.27,4627550,TPR
12/02/20,27.86,28.67,27.7973,28.48,4832318,TPR
12/01/20,28.84,28.96,28.1,28.36,4641813,TPR
11/30/20,28.65,28.75,27.77,28.32,6127027,TPR
11/27/20,29.49,29.6,28.81,29.0,5924951,TPR
11/25/20,29.57,29.76,29.1,29.69,3686332,TPR
11/24/20,29.79,30.35,29.3036,30.12,5439054,TPR
11/23/20,29.11,29.3,28.42,28.87,4854431,TPR
11/20/20,28.29,28.76,28.22,28.46,3861361,TPR
11/19/20,27.75,28.46,27.62,28.4,3454379,TPR
11/18/20,28.51,28.79,27.96,27.98,3705895,TPR
11/17/20,26.99,28.46,26.78,28.46,4414616,TPR
11/16/20,27.54,27.61,26.86,27.29,6107823,TPR
11/13/20,25.74,26.48,25.695,26.34,3189799,TPR
11/12/20,25.07,25.795,24.88,25.28,4883606,TPR
11/11/20,26.95,26.95,25.33,25.34,4768035,TPR
11/10/20,25.045,26.03,24.82,26.0,5772256,TPR
11/09/20,26.65,27.99,24.72,24.93,7691573,TPR
11/06/20,24.51,24.92,24.12,24.32,4304887,TPR
11/05/20,24.5,25.17,24.45,24.71,6048026,TPR
11/04/20,23.74,24.46,23.26,23.84,5372738,TPR
11/03/20,23.83,24.135,23.36,24.06,6528974,TPR
11/02/20,22.57,24.18,22.47,23.63,8939421,TPR
10/30/20,22.72,22.84,21.97,22.23,10682280,TPR
10/29/20,23.83,23.85,21.64,22.73,14134040,TPR
10/28/20,20.75,21.5,20.73,21.31,8333112,TPR
10/27/20,21.28,22.06,21.2,21.42,5594832,TPR
10/26/20,21.25,21.4,20.64,21.27,6090730,TPR
10/23/20,22.15,22.28,21.19,21.43,6410561,TPR
10/22/20,20.6,21.91,20.5649,21.85,6918446,TPR
10/21/20,20.48,20.74,20.07,20.48,6496183,TPR
10/20/20,20.2602,20.835,20.2602,20.48,5643027,TPR
10/19/20,19.6,20.69,19.55,20.06,6292786,TPR
10/16/20,19.54,19.74,19.34,19.53,4462984,TPR
10/15/20,18.84,19.6,18.63,19.54,4130509,TPR
10/14/20,19.0,19.19,18.795,19.0,2954238,TPR
10/13/20,19.08,19.22,18.715,18.92,5277396,TPR
10/12/20,18.9,19.29,18.8,19.2,5047110,TPR
10/09/20,18.97,19.28,18.62,18.82,5254063,TPR
10/08/20,18.17,18.75,18.0,18.67,6438615,TPR
10/07/20,17.27,18.015,17.27,17.87,5206347,TPR
10/06/20,17.31,17.82,16.815,16.83,7422894,TPR
10/05/20,16.39,16.98,16.39,16.97,6300789,TPR
10/02/20,15.23,16.29,15.23,16.15,4410022,TPR
10/01/20,15.71,16.19,15.65,15.9,5045842,TPR
09/30/20,15.55,15.91,15.45,15.63,5256892,TPR
09/29/20,16.51,16.52,15.48,15.5,5854501,TPR
09/28/20,16.69,16.95,16.49,16.58,5708410,TPR
09/25/20,16.06,16.48,15.88,16.36,4514937,TPR
09/24/20,16.37,16.67,15.91,16.34,5276139,TPR
09/23/20,16.79,17.56,16.58,16.59,4920540,TPR
09/22/20,16.52,16.74,16.24,16.62,4204284,TPR
09/21/20,17.3,17.3,16.42,16.51,7483610,TPR
09/18/20,17.56,17.715,17.03,17.36,11194180,TPR
09/17/20,17.86,18.0,17.275,17.6,6578604,TPR
09/16/20,17.78,18.6,17.71,18.1,10394270,TPR
09/15/20,17.59,17.59,16.71,16.84,7037137,TPR
09/14/20,16.34,17.79,16.22,17.52,13348500,TPR
09/11/20,15.914000000000001,16.505,15.71,16.15,10565360,TPR
09/10/20,14.71,15.945,14.71,15.8,9977000,TPR
09/09/20,14.86,14.94,14.33,14.58,3873091,TPR
09/08/20,14.41,15.175,14.275,15.0,5786734,TPR
09/04/20,14.94,14.95,14.1355,14.56,5284592,TPR
09/03/20,14.79,15.265,14.62,14.71,5228101,TPR
09/02/20,14.92,15.0,14.54,14.73,5499626,TPR
09/01/20,14.54,14.79,14.305,14.75,3704776,TPR
08/31/20,14.83,14.89,14.505,14.73,5364970,TPR
08/28/20,15.0,15.03,14.59,14.88,5969471,TPR
08/27/20,14.98,15.285,14.88,14.89,6034131,TPR
08/26/20,14.96,15.11,14.77,14.85,4043554,TPR
08/25/20,15.54,15.66,14.94,14.94,4589059,TPR
08/24/20,14.66,15.38,14.66,15.33,6315334,TPR
08/21/20,14.54,14.75,14.41,14.54,5557425,TPR
08/20/20,14.89,15.06,14.36,14.36,4407515,TPR
08/19/20,15.18,15.62,15.02,15.08,4931032,TPR
08/18/20,15.63,15.76,15.1024,15.33,4410673,TPR
08/17/20,15.91,15.95,15.6,15.83,5944862,TPR
08/14/20,15.55,16.065,15.255,15.93,9453897,TPR
08/13/20,16.12,16.12,15.040999999999999,15.43,7275898,TPR
08/12/20,15.7,15.82,15.01,15.6,6216896,TPR
08/11/20,15.82,16.03,15.48,15.53,7407710,TPR
08/10/20,14.77,15.48,14.75,15.43,7308617,TPR
08/07/20,14.08,14.53,13.8,14.51,5324018,TPR
08/06/20,13.71,14.22,13.535,14.03,5734683,TPR
08/05/20,13.67,14.48,13.615,13.74,8423242,TPR
08/04/20,13.23,13.46,13.145,13.28,2965418,TPR
08/03/20,13.38,13.49,12.97,13.34,3528655,TPR
07/31/20,13.29,13.44,13.05,13.36,4210410,TPR
07/30/20,13.58,13.66,13.05,13.3,3650700,TPR
07/29/20,13.64,14.385,13.58,13.87,5013795,TPR
07/28/20,13.59,13.93,13.475,13.51,4953956,TPR
07/27/20,14.34,14.35,13.4,13.65,9237942,TPR
07/24/20,13.81,13.9,13.42,13.47,5701350,TPR
07/23/20,13.68,14.07,13.475,13.87,8521651,TPR
07/22/20,13.5,13.84,13.295,13.7,6732644,TPR
07/21/20,13.21,13.9,13.07,13.65,8954343,TPR
07/20/20,13.51,13.62,12.94,13.12,3904643,TPR
07/17/20,14.08,14.15,13.63,13.66,2950497,TPR
07/16/20,13.83,14.255,13.61,14.04,3146044,TPR
07/15/20,13.52,14.06,13.39,14.02,6024539,TPR
07/14/20,12.86,13.23,12.55,12.97,3245316,TPR
07/13/20,12.7,13.25,12.442,12.9,4235738,TPR
07/10/20,12.26,12.635,12.16,12.62,3900974,TPR
07/09/20,12.82,12.9,12.24,12.34,4011800,TPR
07/08/20,13.02,13.03,12.58,13.0,4710079,TPR
07/07/20,13.0,13.16,12.63,12.65,6148127,TPR
07/06/20,13.39,13.495,12.89,13.18,7057863,TPR
07/02/20,13.23,13.62,12.92,13.01,5687994,TPR
07/01/20,13.27,13.9355,12.915,12.97,5882497,TPR
06/30/20,13.2,13.515,12.97,13.28,5027747,TPR
06/29/20,12.7,13.37,12.41,13.35,6374891,TPR
06/26/20,12.45,12.765,12.3,12.55,9181289,TPR
06/25/20,12.62,12.69,12.31,12.6,4918217,TPR
06/24/20,13.48,13.58,12.69,12.8,4421298,TPR
06/23/20,14.01,14.07,13.485,13.78,3698943,TPR
06/22/20,13.5,13.855,13.3,13.71,5504505,TPR
06/19/20,14.59,14.69,13.52,13.53,9328968,TPR
