Date, Open, High, Low, Close, Volume,ticker
12/24/20,148.87,148.87,147.23,148.28,370775,TROW
12/23/20,148.96,149.3,147.75,147.84,719775,TROW
12/22/20,148.66,149.3904,146.56,147.42,1071003,TROW
12/21/20,148.56,149.16,145.545,148.66,1012562,TROW
12/18/20,151.31,151.387,149.01,150.44,1962245,TROW
12/17/20,150.8,151.7,150.01,151.3,934091,TROW
12/16/20,149.01,151.66,149.01,150.43,1095958,TROW
12/15/20,148.9,151.05,147.87,149.86,1160059,TROW
12/14/20,151.13,152.98,147.65,147.86,1518704,TROW
12/11/20,147.92,151.77,145.74,151.49,1156772,TROW
12/10/20,149.3,151.12,147.48,149.34,1142084,TROW
12/09/20,153.31,154.05,149.555,151.57,966620,TROW
12/08/20,151.31,154.33,150.6,153.17,749346,TROW
12/07/20,151.28,153.45,150.04,151.3,1195642,TROW
12/04/20,149.31,153.24,149.01,152.53,971249,TROW
12/03/20,146.25,150.99,145.805,150.07,970645,TROW
12/02/20,144.75,146.92,144.51,146.51,1010593,TROW
12/01/20,146.03,147.09,144.389,145.5,958837,TROW
11/30/20,144.94,145.6,142.3,143.41,1142631,TROW
11/27/20,145.17,146.815,144.0,145.63,409028,TROW
11/25/20,143.11,145.565,142.16,145.04,715855,TROW
11/24/20,140.72,144.08,139.655,143.94,1082610,TROW
11/23/20,139.0,140.58,138.35,139.37,679757,TROW
11/20/20,139.29,139.6919,137.33,137.46,729530,TROW
11/19/20,136.9743,139.75,135.0001,139.53,734754,TROW
11/18/20,141.07,142.4788,139.66,139.79,718380,TROW
11/17/20,142.76,145.1,140.54,141.53,933366,TROW
11/16/20,142.43,143.93,141.0325,143.85,842398,TROW
11/13/20,138.27,140.88,137.92,140.43,649735,TROW
11/12/20,139.76,140.34,135.99,137.53,811446,TROW
11/11/20,137.06,140.89,136.89,140.46,1457282,TROW
11/10/20,137.08,137.36,133.06,136.9,1241006,TROW
11/09/20,139.74,142.21,136.15,137.03,1689834,TROW
11/06/20,139.07,139.07,133.34,133.74,885613,TROW
11/05/20,138.51,140.015,136.0,137.38,874061,TROW
11/04/20,131.87,137.58,130.94,135.81,1257857,TROW
11/03/20,131.36,133.07,130.635,132.15,1089783,TROW
11/02/20,128.77,131.34,127.76,128.97,1271888,TROW
10/30/20,129.52,132.01,124.94,126.66,1768547,TROW
10/29/20,136.51,136.51,128.77,131.44,1986807,TROW
10/28/20,139.58,141.03,136.19,137.14,1321849,TROW
10/27/20,145.67,145.68,142.23,142.3,1045930,TROW
10/26/20,146.16,146.6054,142.8,145.03,928876,TROW
10/23/20,147.83,148.17,146.14,148.1,922115,TROW
10/22/20,146.24,146.7,144.375,146.36,598814,TROW
10/21/20,146.11,148.17,145.5792,145.96,762140,TROW
10/20/20,145.93,148.45,145.93,146.74,1040743,TROW
