Date, Open, High, Low, Close, Volume,ticker
12/24/20,138.06,138.64,136.84,138.49,416790,TRV
12/23/20,137.29,138.555,136.91,137.95,1901516,TRV
12/22/20,137.54,137.9,136.26,136.48,1186613,TRV
12/21/20,139.15,139.15,136.2585,138.15,1373175,TRV
12/18/20,138.59,139.78,137.5,138.86,3347120,TRV
12/17/20,137.75,138.83,137.75,138.03,1428834,TRV
12/16/20,137.73,137.97,136.22,137.44,1253302,TRV
12/15/20,134.71,137.32,134.32,137.26,975580,TRV
12/14/20,136.19,136.78,133.67,133.99,1344707,TRV
12/11/20,134.8,136.65,133.66,134.95,1273491,TRV
12/10/20,134.48,137.54,134.4,136.71,1352869,TRV
12/09/20,134.9,135.81,134.39,134.91,1600270,TRV
12/08/20,133.07,135.8,132.75,135.26,1113499,TRV
12/07/20,134.62,135.05,133.43,133.9,970894,TRV
12/04/20,135.54,136.19,134.21,136.16,934619,TRV
12/03/20,133.75,135.62,132.43,135.09,980802,TRV
12/02/20,132.58,134.28,132.42,134.04,948356,TRV
12/01/20,132.51,134.24,131.99,133.41,1218286,TRV
11/30/20,133.16,134.0,129.57,129.65,2684264,TRV
11/27/20,135.68,135.68,133.5508,134.44,537957,TRV
11/25/20,135.56,136.5,134.03,136.02,986670,TRV
11/24/20,136.8,136.94,134.76,136.39,2098955,TRV
11/23/20,135.56,135.56,133.63,134.63,917997,TRV
11/20/20,132.95,134.8,132.68,134.55,1322395,TRV
11/19/20,133.12,134.18,131.46,133.87,1118795,TRV
11/18/20,135.44,137.28,134.26,134.37,1333166,TRV
11/17/20,136.08,136.18,134.08,135.04,1217997,TRV
11/16/20,137.8,138.98,134.98,136.29,1163462,TRV
11/13/20,133.77,135.09,132.63,134.63,1135028,TRV
11/12/20,133.98,133.98,131.19,132.4,1290254,TRV
11/11/20,136.09,136.605,133.855,134.96,966305,TRV
11/10/20,135.28,136.82,134.1,136.36,1591089,TRV
11/09/20,138.45,138.47,134.13,134.28,2734294,TRV
11/06/20,127.84,129.08,126.57,127.0,1044186,TRV
11/05/20,124.03,128.55,123.635,127.51,1363004,TRV
11/04/20,122.7,127.11,122.51,123.4,2424056,TRV
11/03/20,125.5,127.51,125.11,126.34,1546196,TRV
11/02/20,123.07,124.305,120.42,123.92,1765749,TRV
10/30/20,121.67,122.79,118.85,120.71,2630284,TRV
10/29/20,121.04,123.74,118.92,122.46,2595814,TRV
10/28/20,117.18,122.32,116.71,121.5,2899762,TRV
10/27/20,121.02,122.45,119.03,119.09,1159015,TRV
10/26/20,123.85,124.015,120.51,121.54,1331803,TRV
10/23/20,127.43,127.55,123.82,125.97,1375888,TRV
10/22/20,123.32,126.86,122.875,126.14,2266987,TRV
10/21/20,118.5,125.18,118.12,125.0,2965247,TRV
10/20/20,115.58,118.45,114.2,118.11,2300827,TRV
10/19/20,113.51,114.37,111.69,111.84,1191535,TRV
10/16/20,112.79,114.26,111.69,113.32,1641111,TRV
10/15/20,110.58,113.06,109.62,112.64,1238862,TRV
10/14/20,112.76,114.46,112.0,112.03,1070115,TRV
10/13/20,115.51,116.17,112.32,112.89,1230222,TRV
10/12/20,114.35,116.92,114.055,116.54,1370834,TRV
10/09/20,116.44,116.98,115.23,115.83,903823,TRV
10/08/20,114.85,116.95,114.35,115.62,734362,TRV
10/07/20,112.08,114.34,112.08,113.8,1387999,TRV
10/06/20,112.55,113.31,110.79,111.53,1491809,TRV
10/05/20,110.55,112.03,109.55,111.91,1296338,TRV
10/02/20,106.69,109.49,106.46,108.58,1220255,TRV
10/01/20,108.18,109.0,106.26,107.81,1323588,TRV
09/30/20,107.81,109.13,107.22,108.19,1595813,TRV
09/29/20,109.97,110.25,106.55,107.44,1306457,TRV
09/28/20,109.73,111.9,109.3,110.22,1555854,TRV
09/25/20,106.56,108.32,105.96,108.11,1714060,TRV
09/24/20,107.96,109.425,105.67,107.82,1746258,TRV
09/23/20,109.23,110.38,107.45,107.49,2883502,TRV
09/22/20,109.11,111.45,108.26,109.25,1385066,TRV
09/21/20,109.24,110.38,107.2,109.45,1884072,TRV
09/18/20,112.0,113.19,111.34,111.61,2294668,TRV
09/17/20,112.41,113.42,111.06,112.6,1196917,TRV
09/16/20,112.35,114.95,112.11,113.17,1048858,TRV
09/15/20,114.47,114.68,112.06,112.15,1041991,TRV
09/14/20,114.17,115.23,113.76,114.46,977298,TRV
09/11/20,112.52,114.07,111.65,113.4,1040132,TRV
09/10/20,113.73,114.95,111.77,111.8,950213,TRV
09/09/20,114.21,115.4,112.93,113.63,957586,TRV
09/08/20,116.31,116.44,112.66,113.74,1686804,TRV
