Date, Open, High, Low, Close, Volume,ticker
12/24/20,147.02,148.0,146.21,146.88,369145,TSCO
12/23/20,149.8,150.33,145.96,146.9,835908,TSCO
12/22/20,148.49,150.69,147.98,149.77,1299021,TSCO
12/21/20,145.25,149.335,143.76,148.67,1166871,TSCO
12/18/20,146.66,147.69,145.32,147.08,2318105,TSCO
12/17/20,144.76,146.18,143.805,145.51,1861516,TSCO
12/16/20,141.15,144.82,141.15,144.23,1111651,TSCO
12/15/20,141.06,142.91,140.17,141.13,1035072,TSCO
12/14/20,139.45,141.615,138.88,140.53,1332278,TSCO
12/11/20,135.31,139.03,135.18,138.66,1158511,TSCO
12/10/20,135.38,136.72,133.6,135.95,750171,TSCO
12/09/20,136.0,137.38,134.125,135.58,881028,TSCO
12/08/20,136.99,137.61,135.05,136.56,983608,TSCO
12/07/20,134.66,137.76,134.13,137.22,1424055,TSCO
12/04/20,135.63,136.09,133.68,134.38,1053258,TSCO
12/03/20,136.25,137.185,133.61,134.8,1052646,TSCO
12/02/20,139.67,139.95,136.66,136.77,1006031,TSCO
12/01/20,140.85,143.63,138.67,139.67,1349328,TSCO
11/30/20,138.85,141.37,137.53,140.81,2894785,TSCO
11/27/20,134.99,139.57,134.34,139.37,1116622,TSCO
11/25/20,133.89,134.58,132.16,133.9,1231081,TSCO
11/24/20,135.13,135.75,133.0982,134.02,1695392,TSCO
11/23/20,130.25,134.92,130.23,133.88,1913374,TSCO
11/20/20,130.05,131.4,128.42,129.7,1324526,TSCO
11/19/20,128.46,131.785,128.0,131.25,1248223,TSCO
11/18/20,132.0,132.56,128.1,128.42,1486081,TSCO
11/17/20,132.08,134.2087,131.12,131.68,1459434,TSCO
11/16/20,131.97,133.14,130.98,132.82,1918239,TSCO
11/13/20,131.5,133.07,130.19,131.98,1002636,TSCO
11/12/20,132.91,133.59,129.02,130.81,1141396,TSCO
11/11/20,131.7,133.83,131.42,133.04,954274,TSCO
11/10/20,128.21,130.351,127.7801,129.83,1971988,TSCO
11/09/20,135.45,136.99,129.58,129.6,2225985,TSCO
11/06/20,138.9,140.86,137.17,140.45,847982,TSCO
11/05/20,136.92,140.29,136.31,138.98,1270125,TSCO
11/04/20,137.55,138.45,135.36,135.83,1508530,TSCO
11/03/20,135.0,137.36,134.542,135.99,1250460,TSCO
11/02/20,134.6,135.815,131.5433,133.4,1321130,TSCO
10/30/20,132.65,133.61,131.0,133.21,1393758,TSCO
10/29/20,132.56,134.14,130.93,133.02,1265593,TSCO
10/28/20,132.4,135.88,131.23,132.56,1281046,TSCO
10/27/20,136.61,137.6377,134.11,134.16,1345639,TSCO
10/26/20,138.91,139.75,134.14,135.85,1638492,TSCO
10/23/20,137.68,140.28,136.27,139.82,1948454,TSCO
10/22/20,142.09,142.32,136.1026,137.02,4413914,TSCO
10/21/20,150.18,151.23,148.53,149.12,1243017,TSCO
10/20/20,151.63,152.49,148.81,149.7,1159683,TSCO
10/19/20,154.25,155.0,150.63,150.98,1222492,TSCO
10/16/20,152.41,154.22,151.58,153.09,2280532,TSCO
10/15/20,150.9,153.8299,150.45,152.1,1150429,TSCO
10/14/20,153.12,157.07,150.79,151.89,1471608,TSCO
10/13/20,150.4,153.38,150.4,152.92,1131325,TSCO
10/12/20,151.5,152.9,150.22,150.94,1406469,TSCO
10/09/20,150.09,152.19,148.6619,149.93,900460,TSCO
10/08/20,146.13,149.6999,145.2,149.22,1024873,TSCO
10/07/20,142.22,147.395,142.22,145.79,1294459,TSCO
10/06/20,144.31,144.97,141.11,141.77,991187,TSCO
10/05/20,141.5,144.52,141.18,144.4,973542,TSCO
10/02/20,140.63,142.335,140.12,140.62,925209,TSCO
10/01/20,143.71,144.81,141.52,142.05,1385854,TSCO
09/30/20,141.63,144.83,141.08,143.34,1551665,TSCO
09/29/20,141.9,142.915,140.82,140.98,950637,TSCO
09/28/20,140.6,142.03,139.43,142.02,964870,TSCO
09/25/20,138.37,139.57,136.72,139.21,1702808,TSCO
09/24/20,139.01,140.59,138.01,138.26,828227,TSCO
09/23/20,141.68,143.55,139.28,139.93,1105043,TSCO
09/22/20,137.92,141.75,136.85,141.61,1063803,TSCO
09/21/20,137.5,139.45,136.57,137.555,1079789,TSCO
09/18/20,138.48,140.44,136.57,138.11,1535107,TSCO
09/17/20,136.53,139.2012,136.0084,138.15,840746,TSCO
09/16/20,141.34,141.55,137.98,138.25,918470,TSCO
09/15/20,138.86,141.45,138.69,140.88,1050603,TSCO
09/14/20,138.91,140.23,138.13,138.14,950147,TSCO
09/11/20,138.46,140.1,137.12,137.65,849893,TSCO
09/10/20,141.58,142.77,137.47,137.8,1129193,TSCO
09/09/20,138.56,142.105,138.29,141.58,1077237,TSCO
09/08/20,139.87,141.51,136.01,136.76,1594099,TSCO
09/04/20,145.6,146.5,140.72,142.08,1365130,TSCO
09/03/20,147.62,148.44,143.63,145.58,1537932,TSCO
09/02/20,149.39,150.67,147.07,149.6,1176066,TSCO
09/01/20,148.6,151.775,148.29,149.02,1408570,TSCO
08/31/20,147.0,149.18,145.32,148.83,2248312,TSCO
08/28/20,150.75,151.235,146.53,146.91,1441804,TSCO
08/27/20,154.68,155.559,149.5,151.02,1355088,TSCO
08/26/20,153.17,154.88,152.06,154.63,1111345,TSCO
08/25/20,153.78,153.99,152.04,153.27,1579239,TSCO
08/24/20,154.68,154.7,151.9,153.52,970425,TSCO
08/21/20,152.64,155.175,152.0,153.28,1438489,TSCO
08/20/20,152.88,154.48,151.89,152.33,1124510,TSCO
08/19/20,153.01,154.29,152.42,153.92,982764,TSCO
08/18/20,154.37,155.25,151.2,153.02,891378,TSCO
08/17/20,148.94,153.67,148.7655,153.58,1050154,TSCO
08/14/20,148.21,150.18,147.655,148.6,759952,TSCO
08/13/20,148.59,150.08,147.75,148.71,980265,TSCO
08/12/20,146.0,149.19,144.78,149.08,1548137,TSCO
08/11/20,148.01,148.3,143.8,145.11,1175731,TSCO
08/10/20,148.32,148.37,146.21,147.15,735406,TSCO
08/07/20,147.84,149.88,147.64,148.1,992328,TSCO
08/06/20,147.73,148.76,146.2,148.14,1036411,TSCO
08/05/20,148.42,148.82,145.51,147.23,1024105,TSCO
08/04/20,146.78,148.68,146.0035,148.23,1094339,TSCO
08/03/20,143.75,148.21,143.405,147.42,1911383,TSCO
07/31/20,144.7,144.7,140.82,142.74,1466315,TSCO
07/30/20,144.01,145.06,142.8,143.42,875656,TSCO
07/29/20,143.93,146.5,143.715,145.46,1496169,TSCO
07/28/20,142.75,144.53,141.8,143.07,1320087,TSCO
07/27/20,147.85,147.93,142.5,143.0,1618474,TSCO
07/24/20,143.36,146.74,141.9105,146.53,1662795,TSCO
07/23/20,152.64,154.48,144.255,146.0,3307572,TSCO
07/22/20,144.45,146.39,144.02,145.95,1683607,TSCO
07/21/20,144.12,144.96,140.0512,144.02,1769034,TSCO
07/20/20,142.0,145.67,141.14,144.69,1374478,TSCO
07/17/20,143.55,143.69,140.22,140.77,1325592,TSCO
07/16/20,139.09,142.58,139.09,142.15,1538295,TSCO
07/15/20,141.49,141.85,138.36,139.2,1411893,TSCO
07/14/20,135.58,139.735,134.57,139.66,921139,TSCO
07/13/20,139.29,141.0,135.2,135.58,858054,TSCO
07/10/20,137.7,138.65,136.0,138.42,651532,TSCO
07/09/20,136.5,138.06,135.16,137.7,976631,TSCO
07/08/20,134.15,135.7,132.955,135.61,734555,TSCO
07/07/20,133.18,135.425,132.9,134.23,823557,TSCO
07/06/20,134.26,134.5,132.92,133.76,588527,TSCO
07/02/20,134.3,134.9,131.8901,132.45,721218,TSCO
07/01/20,132.16,133.46,130.69,132.68,905059,TSCO
06/30/20,132.43,132.7941,130.41,131.79,978966,TSCO
06/29/20,130.0,132.695,129.45,131.61,1071988,TSCO
06/26/20,130.99,132.35,129.02,129.98,1646783,TSCO
06/25/20,131.44,131.44,128.6109,130.82,831250,TSCO
06/24/20,126.7,131.7,126.7,131.34,1704654,TSCO
06/23/20,130.21,131.89,129.02,129.255,1795091,TSCO
06/22/20,126.74,130.79,126.23,130.1,1233743,TSCO
06/19/20,127.57,128.38,123.84,127.67,2536013,TSCO
06/18/20,125.0,126.09,124.23,125.64,1146070,TSCO
06/17/20,124.66,125.9499,124.0,124.8,1201277,TSCO
06/16/20,122.9,123.98,120.96,123.84,1211665,TSCO
06/15/20,116.67,122.04,116.13,121.47,1266560,TSCO
06/12/20,120.25,121.83,117.14,118.45,937038,TSCO
06/11/20,120.26,123.32,118.61,119.21,1482247,TSCO
06/10/20,123.39,124.11,120.6,121.29,792047,TSCO
06/09/20,122.0,123.03399999999999,121.26,122.44,987555,TSCO
06/08/20,120.29,122.24,119.49,122.24,1417596,TSCO
06/05/20,123.99,124.2,120.845,122.13,1556143,TSCO
06/04/20,122.75,124.14,120.8,122.38,1601166,TSCO
06/03/20,124.0,124.01,121.2,122.87,1426307,TSCO
06/02/20,121.29,123.92,121.09,123.76,1291123,TSCO
06/01/20,122.05,124.43,122.05,122.66,1563909,TSCO
05/29/20,118.9,122.52,118.3293,122.02,2553837,TSCO
05/28/20,120.65,121.75,118.25,118.98,2259776,TSCO
05/27/20,115.8,120.34,112.6806,119.76,4115957,TSCO
05/26/20,113.16,113.36,110.9,111.21,1477168,TSCO
05/22/20,109.65,112.04,108.95,111.85,1383690,TSCO
05/21/20,108.32,109.4099,107.6012,108.95,1120135,TSCO
05/20/20,109.69,110.66,107.01,107.79,1556383,TSCO
05/19/20,109.2,111.57,107.29,109.06,1552082,TSCO
05/18/20,112.95,113.89,109.29,109.76,1746251,TSCO
05/15/20,107.11,111.98,106.76,111.72,3365943,TSCO
05/14/20,105.76,106.99,104.9,106.83,1156053,TSCO
05/13/20,107.39,108.42,104.95,106.5,1563238,TSCO
05/12/20,109.82,110.1,107.69,107.73,992558,TSCO
05/11/20,107.19,109.79,106.31,109.08,1259648,TSCO
05/08/20,106.54,107.82,105.48,107.21,933149,TSCO
05/07/20,106.06,107.46,104.98,105.17,1145000,TSCO
05/06/20,106.11,106.23,104.81,105.05,996600,TSCO
05/05/20,103.7,105.44,103.3572,105.1,1956262,TSCO
05/04/20,102.14,103.49,101.6,102.44,889894,TSCO
05/01/20,99.64,102.47,99.54,102.09,1055887,TSCO
04/30/20,100.0,102.0,99.04,101.43,1393170,TSCO
04/29/20,102.99,104.0771,100.95,101.12,1766566,TSCO
04/28/20,104.76,105.0,102.74,102.94,1775276,TSCO
04/27/20,103.18,105.0,101.4,103.09,2162034,TSCO
04/24/20,97.0,102.01,96.06,101.98,3173429,TSCO
04/23/20,95.4,97.26,93.11,95.08,2375032,TSCO
04/22/20,94.11,96.4,92.63,95.43,2055459,TSCO
04/21/20,91.44,94.44,91.42,93.13,1511891,TSCO
04/20/20,91.42,94.36,90.44,93.43,1581756,TSCO
04/17/20,93.12,93.99,90.41,92.72,1311245,TSCO
04/16/20,91.96,92.1259,89.66,91.2,1355447,TSCO
04/15/20,88.8,91.95,88.3,90.74,1341057,TSCO
04/14/20,89.58,93.56,89.44,92.96,1361112,TSCO
04/13/20,88.16,89.89,86.43,89.67,1417516,TSCO
