Date, Open, High, Low, Close, Volume,ticker
12/24/20,160.72,161.85,160.48,161.64,1044396,TXN
12/23/20,162.2,163.23,160.81,160.98,2012454,TXN
12/22/20,162.19,163.46,162.06,162.52,2645599,TXN
12/21/20,161.55,162.8,159.56,162.43,3077337,TXN
12/18/20,163.37,164.61,162.1,164.07,7072582,TXN
12/17/20,162.91,163.01,161.41,162.69,5253382,TXN
12/16/20,162.94,163.36,160.92,162.12,3148110,TXN
12/15/20,162.02,162.73,161.21,162.38,5732166,TXN
12/14/20,161.45,162.75,159.99,160.12,5994265,TXN
12/11/20,160.61,161.95,159.63,160.61,4145765,TXN
12/10/20,162.16,162.87,160.78,162.0,5597283,TXN
12/09/20,164.8,166.47,161.96,162.76,5594021,TXN
12/08/20,166.3,167.24,165.0,166.68,3259883,TXN
12/07/20,166.37,166.45,165.235,166.29,4645586,TXN
12/04/20,163.01,166.6,162.52,166.52,3741574,TXN
12/03/20,163.16,164.56,161.6,161.98,4778646,TXN
12/02/20,162.79,163.575,161.82,162.72,4212255,TXN
12/01/20,162.63,164.33,161.63,163.49,4894413,TXN
11/30/20,159.23,161.51,157.72,161.25,4845192,TXN
11/27/20,159.38,160.29,158.78,158.99,3084389,TXN
11/25/20,159.55,160.02,157.26,157.6,3543903,TXN
11/24/20,158.62,159.46,156.69,159.35,4962833,TXN
11/23/20,156.898,158.71,155.14,157.42,2803289,TXN
11/20/20,157.32,158.75,156.55,156.82,3012972,TXN
11/19/20,153.12,157.43,152.71,157.27,2465531,TXN
11/18/20,155.74,156.34,153.41,153.55,2998439,TXN
11/17/20,157.39,158.31,155.18,155.5,3526734,TXN
11/16/20,157.266,159.385,156.62,158.31,3456499,TXN
11/13/20,156.64,157.98,155.16,156.65,2439811,TXN
11/12/20,156.02,156.93,153.66,154.5,2607087,TXN
11/11/20,154.935,155.94,153.64,155.7,3497169,TXN
11/10/20,155.38,156.35,151.02,151.49,5697945,TXN
11/09/20,162.0,164.63,156.06,156.22,5308637,TXN
11/06/20,156.046,158.21,154.94,157.74,4217915,TXN
11/05/20,154.84,156.3,154.15,155.56,4638073,TXN
11/04/20,150.8,153.5,148.44,152.03,5015699,TXN
11/03/20,146.86,148.59,146.66,147.3,3588577,TXN
11/02/20,146.46,146.9,144.22,145.6,3756552,TXN
10/30/20,145.0,145.95,142.53,144.59,5427118,TXN
10/29/20,141.69,147.31,141.33,146.19,5600383,TXN
10/28/20,144.7,145.86,141.76,143.0,7413559,TXN
10/27/20,147.63,148.33,146.5493,147.12,4102600,TXN
10/26/20,148.2,148.5,144.22,145.95,4290788,TXN
10/23/20,148.42,150.0,148.32,149.96,3509434,TXN
10/22/20,146.82,148.88,145.83,148.22,3167621,TXN
10/21/20,149.1,149.46,144.6602,146.13,6700591,TXN
10/20/20,151.79,152.24,149.685,150.83,3919125,TXN
10/19/20,153.28,154.92,150.26,150.76,4225352,TXN
10/16/20,153.97,154.92,152.73,153.12,4600667,TXN
10/15/20,151.82,153.05,150.86,152.55,2936219,TXN
10/14/20,154.5,154.73,152.18,152.77,3267533,TXN
10/13/20,155.11,155.88,153.68,154.49,3524030,TXN
10/12/20,152.58,155.76,151.83,154.9,5147837,TXN
10/09/20,150.08,151.52,148.85,150.91,4209933,TXN
10/08/20,146.83,148.31,146.56,148.06,2323727,TXN
10/07/20,145.34,147.29,144.81,146.75,2845594,TXN
10/06/20,143.85,147.14,142.97,143.85,3418781,TXN
10/05/20,142.29,144.23,141.57,144.08,3052841,TXN
10/02/20,142.08,143.93,140.84,141.09,3928603,TXN
10/01/20,145.44,147.22,143.99,144.91,4431150,TXN
09/30/20,141.16,144.2501,140.515,142.79,5599558,TXN
09/29/20,142.29,143.0532,141.2,141.5,2747432,TXN
09/28/20,140.22,142.0,139.72,141.94,3454334,TXN
09/25/20,135.95,139.1,134.75,138.32,3036028,TXN
09/24/20,134.12,138.32,134.12,136.69,2910981,TXN
09/23/20,139.09,139.09,134.72,135.16,5766588,TXN
09/22/20,137.78,138.82,135.63,138.65,3213217,TXN
09/21/20,135.87,137.12,134.32,136.98,6035987,TXN
09/18/20,141.14,141.8,137.0,138.66,7025924,TXN
09/17/20,136.42,140.53,135.9166,140.4,5646089,TXN
09/16/20,142.09,142.13,139.61,139.68,3591759,TXN
09/15/20,139.79,141.82,139.36,140.64,2718779,TXN
09/14/20,138.319,139.11,137.63,138.53,3120599,TXN
09/11/20,138.22,139.0,135.25,136.37,3524401,TXN
09/10/20,139.42,141.25,136.22,137.19,3985960,TXN
09/09/20,138.21,140.85,137.19,139.68,5418553,TXN
09/08/20,136.2,138.71,135.75,136.04,5893677,TXN
09/04/20,140.85,142.52,137.71,140.47,5251718,TXN
09/03/20,147.0,147.44,140.56,141.67,5866361,TXN
09/02/20,146.45,148.37,145.49,147.64,4579461,TXN
09/01/20,143.0,145.06,142.04,144.96,3564400,TXN
08/31/20,142.65,143.27,141.82,142.15,4344554,TXN
08/28/20,141.51,143.59,141.1,143.49,2884765,TXN
08/27/20,143.06,143.23,140.52,141.49,2801034,TXN
08/26/20,141.32,142.69,141.12,142.45,2974138,TXN
08/25/20,141.58,142.215,140.98,141.66,2840696,TXN
08/24/20,140.86,141.81,139.9196,141.02,2841274,TXN
08/21/20,138.12,140.49,137.19,140.33,4382515,TXN
08/20/20,137.31,139.13,136.62,138.57,2761194,TXN
08/19/20,139.67,140.88,138.03,138.48,3803285,TXN
08/18/20,138.96,139.455,138.2,139.31,2760749,TXN
08/17/20,137.86,139.24,137.63,138.28,2380521,TXN
08/14/20,137.73,138.31,137.0,137.35,2062933,TXN
08/13/20,138.11,138.6,136.95,137.15,2945103,TXN
08/12/20,137.47,139.1399,136.65,138.64,3073749,TXN
08/11/20,136.81,138.83,135.65,136.04,5383829,TXN
08/10/20,133.22,135.81,132.47,135.41,5526700,TXN
08/07/20,133.74,134.11,132.47,133.56,2856748,TXN
08/06/20,132.59,133.82,132.03,133.74,2961770,TXN
08/05/20,130.5,132.79,130.48,132.7,4370266,TXN
08/04/20,129.04,132.33,128.71,132.23,5361540,TXN
08/03/20,128.15,129.5,127.68,129.32,4311843,TXN
07/31/20,128.35,128.6,125.43,127.55,8044132,TXN
07/30/20,128.45,129.87,127.74,128.89,4146867,TXN
07/29/20,130.93,132.3,130.59,131.64,2818329,TXN
07/28/20,130.9,131.81,129.72,130.13,3545276,TXN
07/27/20,130.35,132.33,130.04,132.12,3874495,TXN
07/24/20,129.75,131.97,128.11,129.63,5077126,TXN
07/23/20,133.0,133.15,128.32,129.04,7793548,TXN
07/22/20,134.6,135.18,130.49,132.53,10911870,TXN
07/21/20,137.088,137.65,135.26,135.48,7748874,TXN
07/20/20,134.2,137.0,133.19,136.58,4623121,TXN
07/17/20,133.51,135.0,132.25,133.89,4666239,TXN
07/16/20,130.85,132.69,130.51,132.18,3337688,TXN
07/15/20,131.43,132.45,130.09,132.15,3625137,TXN
07/14/20,127.79,132.23,126.71,131.89,4247456,TXN
07/13/20,132.0,133.59,128.49,128.82,4861922,TXN
07/10/20,130.22,131.235,128.96,130.53,2659255,TXN
07/09/20,128.79,131.99,126.9,130.43,4977357,TXN
07/08/20,129.67,129.74,127.69,129.26,3583752,TXN
07/07/20,128.73,129.47,128.25,128.6,3778525,TXN
07/06/20,127.51,130.53,126.2,129.53,4957024,TXN
07/02/20,126.39,127.17,125.02,125.81,4798950,TXN
07/01/20,126.6,126.86,124.67,124.8,4021990,TXN
06/30/20,124.4,127.7,124.35,126.97,5572367,TXN
06/29/20,123.85,124.95,122.42,124.77,3540060,TXN
06/26/20,124.63,124.8908,122.3965,123.37,9870946,TXN
06/25/20,124.0,125.34,122.35,125.06,2617173,TXN
06/24/20,125.29,126.8,123.13,123.99,4747121,TXN
06/23/20,126.63,128.095,126.0,126.62,4679048,TXN
06/22/20,124.77,125.46,123.11,125.23,3677664,TXN
06/19/20,128.06,128.24,123.97,124.885,10376890,TXN
06/18/20,125.73,126.63,125.09,125.98,3062581,TXN
06/17/20,127.06,127.865,125.79,126.22,2934184,TXN
06/16/20,128.27,129.13,124.475,126.11,3529595,TXN
06/15/20,121.57,124.53,120.8,124.23,5152867,TXN
06/12/20,127.266,127.74,122.4,123.97,5950875,TXN
06/11/20,129.05,129.2208,124.33,124.61,6014011,TXN
06/10/20,132.45,132.79,130.99,131.4,4005725,TXN
06/09/20,131.35,132.91,130.15,132.12,4449968,TXN
06/08/20,130.66,133.285,129.63,132.86,5602583,TXN
06/05/20,130.96,135.68,130.55,131.44,7788781,TXN
06/04/20,126.38,129.0,126.29,128.58,5052550,TXN
06/03/20,126.67,128.47,125.64,127.21,7650633,TXN
06/02/20,118.6,122.93,117.84,122.67,7277681,TXN
06/01/20,117.77,118.4,116.83,117.86,2842695,TXN
05/29/20,116.81,119.26,115.66,118.74,5953578,TXN
05/28/20,117.76,118.69,115.51,115.87,3798358,TXN
05/27/20,116.43,117.97,115.54,117.82,4079439,TXN
05/26/20,115.81,117.61,115.51,115.73,4822042,TXN
05/22/20,113.53,113.87,112.32,113.43,3061595,TXN
05/21/20,116.44,117.33,113.38,113.46,4381862,TXN
05/20/20,115.14,118.83,114.64,117.48,4961617,TXN
05/19/20,114.02,115.34,112.53,112.68,4595070,TXN
05/18/20,111.18299999999999,115.15,110.26,114.42,6527364,TXN
05/15/20,106.54,108.37,105.45,108.24,7237711,TXN
05/14/20,109.0,110.44,106.42,110.35,4396124,TXN
05/13/20,112.92,112.92,107.38,109.07,4653232,TXN
05/12/20,115.14,115.87,111.34,111.69,3547084,TXN
05/11/20,113.41,115.77,113.41,114.88,2723621,TXN
05/08/20,113.96,115.54,112.75,115.0,4331296,TXN
05/07/20,113.89,114.93,112.62,113.65,3610293,TXN
05/06/20,112.4,113.85,111.98,112.42,3701441,TXN
05/05/20,111.5,113.19,110.8,111.54,5242554,TXN
05/04/20,108.92,110.66,107.84,110.5,4987070,TXN
05/01/20,112.38,113.25,109.45,109.71,5839885,TXN
04/30/20,117.54,117.99,115.19,116.07,5781032,TXN
04/29/20,115.93,119.68,115.87,119.4,4936870,TXN
04/28/20,118.12,119.805,114.07,114.24,5762275,TXN
04/27/20,114.0,116.24,113.02,115.78,4728247,TXN
