Date, Open, High, Low, Close, Volume,ticker
12/24/20,431.72,434.87,430.64,434.26,369154,TYL
12/23/20,440.72,440.79,432.3,432.99,193258,TYL
12/22/20,435.51,439.1912,433.495,438.52,352213,TYL
12/21/20,442.99,446.77,431.14,433.99,532049,TYL
12/18/20,455.28,457.21,444.67,448.81,696115,TYL
12/17/20,464.74,466.21,451.3,455.28,406742,TYL
12/16/20,452.34,462.45,450.0,461.86,410584,TYL
12/15/20,448.24,452.39,446.23,452.34,230304,TYL
12/14/20,450.62,451.83,443.93,446.49,261821,TYL
12/11/20,448.22,452.76,444.45,450.8,284399,TYL
12/10/20,442.6,450.47,437.995,449.59,207383,TYL
12/09/20,444.46,447.22,438.56,444.7,480703,TYL
12/08/20,434.76,447.68,434.76,447.44,257169,TYL
12/07/20,422.82,436.8781,422.82,436.75,323703,TYL
12/04/20,416.92,425.135,415.955,420.44,142736,TYL
12/03/20,417.23,423.74,416.555,417.53,145444,TYL
12/02/20,428.29,429.68,414.365,418.17,242353,TYL
12/01/20,427.0,435.26,422.52,432.12,393917,TYL
11/30/20,424.66,428.18,421.17,427.6,249347,TYL
11/27/20,419.15,426.31,416.16,426.11,78532,TYL
11/25/20,413.39,415.83,409.72,414.89,145079,TYL
11/24/20,413.52,413.96,409.22,410.85,146261,TYL
11/23/20,415.99,418.215,411.97,413.52,120383,TYL
11/20/20,414.0,417.56,411.07,414.47,251172,TYL
11/19/20,408.11,416.31,405.195,414.38,113570,TYL
11/18/20,413.18,413.57,406.97,408.94,153035,TYL
11/17/20,413.06,415.805,410.2,413.67,152250,TYL
11/16/20,412.28,417.29,410.985,414.12,118581,TYL
11/13/20,417.54,418.3,411.12,416.15,124453,TYL
11/12/20,425.0,426.92,411.14,414.18,187269,TYL
11/11/20,419.11,426.53,418.49,422.91,217227,TYL
11/10/20,415.69,420.42,404.92,414.94,269779,TYL
11/09/20,416.75,429.91,409.27,420.42,378971,TYL
11/06/20,408.85,417.425,408.85,414.45,405279,TYL
11/05/20,415.0,428.85,408.565,409.9,591883,TYL
11/04/20,403.72,411.915,397.29,405.98,280110,TYL
11/03/20,390.23,397.3,390.23,395.26,188250,TYL
11/02/20,385.32,395.005,383.11,387.44,311727,TYL
10/30/20,385.99,387.37,377.405,384.38,209060,TYL
10/29/20,385.12,391.475,384.54,388.67,147004,TYL
10/28/20,393.52,393.52,384.03,386.31,211332,TYL
10/27/20,400.92,403.66,396.09,397.06,147254,TYL
10/26/20,403.35,404.95,395.47,398.94,196901,TYL
10/23/20,399.98,404.77,396.6,404.4,128815,TYL
10/22/20,396.63,400.66,389.96,399.01,327340,TYL
10/21/20,397.98,401.36,393.99,396.88,156616,TYL
10/20/20,396.26,400.9,392.625,396.25,140423,TYL
10/19/20,400.0,404.23,392.93,394.14,178367,TYL
10/16/20,399.57,402.03,396.95,398.52,104218,TYL
10/15/20,388.58,397.95,387.45,396.7,147318,TYL
10/14/20,395.05,396.27,389.58,393.51,137542,TYL
10/13/20,394.98,399.26,391.06,393.01,199761,TYL
10/12/20,392.93,395.97,388.29,394.75,212551,TYL
10/09/20,380.0,390.2,378.04,389.28,319998,TYL
10/08/20,378.42,379.275,373.01,378.43,142255,TYL
10/07/20,366.23,376.03,362.73,375.76,229753,TYL
10/06/20,355.31,369.78,355.19,363.94,210801,TYL
10/05/20,351.76,357.53,349.23,357.17,176369,TYL
10/02/20,352.37,354.44,346.45,350.72,195402,TYL
10/01/20,352.57,358.435,349.34,357.26,209912,TYL
09/30/20,348.37,352.5,344.6,348.56,345402,TYL
09/29/20,347.8,348.79,345.65,346.52,173218,TYL
09/28/20,346.29,350.79,340.84,346.69,246288,TYL
09/25/20,334.41,345.94,332.2,345.46,197576,TYL
09/24/20,337.11,341.57,331.14,334.24,185255,TYL
09/23/20,341.84,344.23,337.38,338.8,248218,TYL
09/22/20,338.8,344.42,330.75,344.03,404396,TYL
09/21/20,330.17,333.63,324.665,328.96,229078,TYL
09/18/20,334.24,338.19,328.87,332.51,757780,TYL
09/17/20,326.41,333.68,324.09,333.68,281082,TYL
09/16/20,337.12,339.27,330.75,331.08,191395,TYL
09/15/20,331.81,337.735,329.71,336.13,304586,TYL
09/14/20,329.25,334.72,326.98,330.05,193687,TYL
09/11/20,328.8,331.21,319.58,325.33,252024,TYL
09/10/20,332.95,334.635,325.01,326.4,238165,TYL
09/09/20,332.04,333.0,327.33,329.63,269154,TYL
09/08/20,322.56,329.8,320.66,325.41,301286,TYL
09/04/20,336.44,338.78,322.0,329.81,276369,TYL
09/03/20,344.15,348.805,335.42,340.33,426048,TYL
09/02/20,350.0,351.88,342.06,349.78,232186,TYL
09/01/20,345.69,349.95,340.67,347.62,262665,TYL
08/31/20,339.58,346.33,337.14,345.31,346889,TYL
08/28/20,341.24,343.48,331.98,337.63,271271,TYL
08/27/20,346.43,346.43,338.32,340.38,206661,TYL
08/26/20,342.68,346.9,342.28,343.83,216952,TYL
08/25/20,340.0,343.67,338.84,342.23,188539,TYL
08/24/20,343.58,344.84,334.59,340.02,266099,TYL
08/21/20,341.05,344.4,338.3,339.91,725058,TYL
08/20/20,337.79,343.5,336.4,339.5,202088,TYL
08/19/20,341.74,343.9,336.87,338.18,177997,TYL
08/18/20,342.19,344.5238,338.93,340.04,216326,TYL
08/17/20,337.2,341.98,336.86,340.81,187126,TYL
08/14/20,340.03,342.87,334.74,335.57,192139,TYL
08/13/20,329.7,339.48,329.7,338.3,278254,TYL
08/12/20,328.11,334.81,328.11,328.76,266875,TYL
08/11/20,335.42,336.52,325.13,326.94,498203,TYL
08/10/20,356.78,356.78,335.99,336.37,416359,TYL
08/07/20,363.23,364.3,351.5,356.88,208481,TYL
08/06/20,366.28,368.93,362.71,364.11,217981,TYL
08/05/20,366.13,371.05,364.64,365.59,208060,TYL
08/04/20,363.14,366.14,358.39,365.94,218913,TYL
08/03/20,358.0,366.72,352.13,363.97,270612,TYL
07/31/20,354.12,357.25,346.89,357.25,265068,TYL
07/30/20,345.85,355.41,339.3,350.04,361323,TYL
07/29/20,347.66,352.175,345.015,350.77,392903,TYL
07/28/20,352.91,356.16,346.21,347.26,252879,TYL
07/27/20,360.67,361.9,356.175,359.09,168864,TYL
07/24/20,361.18,361.18,352.56,357.19,266435,TYL
07/23/20,367.47,374.98,362.32,363.46,198519,TYL
07/22/20,370.17,370.55,363.3,367.86,171067,TYL
07/21/20,372.41,372.41,365.8,369.0,161363,TYL
07/20/20,358.39,371.74,358.39,370.4,249588,TYL
07/17/20,353.67,356.04,348.8,355.8,132993,TYL
07/16/20,351.35,352.85,346.86,351.32,161038,TYL
07/15/20,351.35,354.64,346.92,351.22,195302,TYL
07/14/20,342.6,349.67,341.33,347.57,333150,TYL
07/13/20,361.28,361.84,343.04,344.97,392751,TYL
07/10/20,361.45,362.07,354.24,359.73,241423,TYL
07/09/20,358.6,363.005,354.67,361.29,281093,TYL
07/08/20,354.7,358.985,353.18,355.04,296307,TYL
07/07/20,352.47,356.68,347.79,352.52,320975,TYL
07/06/20,359.74,360.12,350.4,352.47,362545,TYL
07/02/20,351.49,357.34,350.39,355.22,350822,TYL
07/01/20,347.92,351.39,345.48,350.32,322895,TYL
06/30/20,339.11,348.13,337.84,346.88,337340,TYL
06/29/20,339.95,341.82,332.38,339.86,317120,TYL
06/26/20,340.32,345.22,335.88,340.79,800814,TYL
06/25/20,338.48,341.53,332.88,340.32,360723,TYL
06/24/20,333.66,340.38,328.02,338.47,516624,TYL
06/23/20,339.71,340.885,332.925,334.47,603187,TYL
06/22/20,333.56,342.865,332.67,338.3,609118,TYL
06/19/20,344.42,349.36,330.38,333.21,7591029,TYL
06/18/20,341.22,351.03,337.0,342.55,687729,TYL
06/17/20,344.37,347.48,337.15,339.05,709107,TYL
06/16/20,350.0,355.155,341.535,342.8,393288,TYL
06/15/20,337.04,342.72,332.42,341.08,629146,TYL
06/12/20,360.0,364.26,337.85,342.71,486482,TYL
06/11/20,360.25,363.14,351.74,351.9,228497,TYL
06/10/20,359.32,366.81,357.87,363.83,304553,TYL
06/09/20,360.87,360.87,354.74,355.61,265410,TYL
06/08/20,354.99,359.64,353.09,358.17,281564,TYL
06/05/20,367.58,372.93,355.19,358.43,521028,TYL
06/04/20,375.31,378.88,368.26,371.58,293855,TYL
06/03/20,381.62,382.92,374.19,378.15,287757,TYL
06/02/20,379.0,382.66,368.545,382.66,319289,TYL
06/01/20,373.34,379.5,372.7248,375.85,392151,TYL
05/29/20,372.35,379.93,369.35,375.31,1698980,TYL
05/28/20,365.66,379.56,365.66,370.45,526941,TYL
05/27/20,350.92,365.23,343.0,365.0,529438,TYL
05/26/20,363.97,364.79,350.91,352.78,322019,TYL
05/22/20,355.35,361.14,353.255,360.05,231422,TYL
05/21/20,359.18,360.295,350.4795,354.43,350808,TYL
05/20/20,356.76,368.98,356.13,361.63,363561,TYL
05/19/20,353.22,357.38,352.555,352.85,298906,TYL
05/18/20,356.13,366.27,351.76,352.08,340350,TYL
05/15/20,332.98,354.93,332.5,354.75,538985,TYL
05/14/20,329.33,334.5,326.355,334.04,220167,TYL
