Date, Open, High, Low, Close, Volume,ticker
12/24/20,17.42,17.43,16.9,17.41,3020348,UAA
12/23/20,16.87,17.47,16.86,17.36,4838584,UAA
12/22/20,17.4,17.41,16.865,16.88,4583542,UAA
12/21/20,17.05,17.45,16.98,17.35,4649517,UAA
12/18/20,17.3,17.54,17.2001,17.37,5770979,UAA
12/17/20,17.48,17.575,17.31,17.42,3653229,UAA
12/16/20,17.68,17.85,17.25,17.46,3503191,UAA
12/15/20,17.34,17.69,17.28,17.67,4969367,UAA
12/14/20,17.43,17.49,17.085,17.14,3639453,UAA
12/11/20,17.41,17.68,17.11,17.17,4007798,UAA
12/10/20,17.39,17.6,17.13,17.6,3913525,UAA
12/09/20,17.44,17.94,17.3,17.57,7243684,UAA
12/08/20,16.89,17.62,16.82,17.24,6261013,UAA
12/07/20,16.73,17.08,16.55,17.06,4324205,UAA
12/04/20,17.02,17.16,16.7,16.83,4249862,UAA
12/03/20,16.35,17.16,16.3,17.0,6263097,UAA
12/02/20,16.45,16.615,16.23,16.32,6701482,UAA
12/01/20,16.78,16.91,16.215,16.54,13308000,UAA
11/30/20,16.7,16.76,16.33,16.57,4781673,UAA
11/27/20,16.94,17.02,16.64,16.68,2524450,UAA
11/25/20,16.82,16.95,16.33,16.86,4630451,UAA
11/24/20,16.83,17.145,16.6012,17.01,6180784,UAA
11/23/20,16.91,16.98,16.405,16.54,6149501,UAA
11/20/20,16.67,16.89,16.48,16.73,6643944,UAA
11/19/20,16.15,16.72,16.06,16.69,4459564,UAA
11/18/20,16.34,16.78,16.235,16.27,6423326,UAA
11/17/20,15.76,16.16,15.43,16.1,6168159,UAA
11/16/20,15.41,15.795,15.205,15.76,7395501,UAA
11/13/20,14.5,14.98,14.43,14.89,4157910,UAA
11/12/20,14.37,14.61,14.05,14.33,6016694,UAA
11/11/20,15.13,15.13,14.355,14.51,8678283,UAA
11/10/20,15.37,15.61,14.9,15.06,9725153,UAA
11/09/20,15.82,16.2,15.37,15.37,9357531,UAA
11/06/20,14.92,15.25,14.57,14.81,5842122,UAA
11/05/20,14.46,15.05,14.45,14.97,8328680,UAA
11/04/20,14.37,14.71,14.08,14.4,6009339,UAA
11/03/20,14.76,14.84,14.435,14.77,6601938,UAA
11/02/20,14.14,14.7734,14.01,14.46,8594553,UAA
10/30/20,15.21,15.39,13.52,13.84,21996529,UAA
10/29/20,13.3,13.99,13.16,13.79,15083010,UAA
10/28/20,13.27,13.51,13.12,13.31,6512108,UAA
10/27/20,13.87,13.97,13.56,13.67,7279462,UAA
10/26/20,14.54,14.54,13.695,13.93,9384476,UAA
10/23/20,14.42,14.67,13.855,14.66,7714297,UAA
10/22/20,14.05,14.205,13.88,14.18,6301728,UAA
10/21/20,13.6,14.04,13.54,13.94,9057112,UAA
10/20/20,13.37,13.945,13.31,13.47,8807035,UAA
10/19/20,12.93,13.4674,12.84,13.26,5984315,UAA
10/16/20,13.02,13.21,12.7,13.0,7309146,UAA
10/15/20,12.29,12.95,12.26,12.92,7798119,UAA
10/14/20,12.75,13.045,12.52,12.54,4183164,UAA
10/13/20,12.65,13.02,12.51,12.82,7108597,UAA
10/12/20,12.59,12.74,12.445,12.73,5060983,UAA
10/09/20,12.66,12.708,12.29,12.55,5409446,UAA
10/08/20,12.25,12.65,12.22,12.6,6377841,UAA
10/07/20,11.88,12.23,11.85,12.17,3982889,UAA
10/06/20,12.2,12.295,11.64,11.69,4555315,UAA
10/05/20,12.25,12.31,12.07,12.16,4230830,UAA
10/02/20,11.49,12.1,11.43,12.06,4764496,UAA
10/01/20,11.37,11.935,11.34,11.86,7503739,UAA
09/30/20,11.17,11.47,11.13,11.23,4808427,UAA
09/29/20,11.37,11.37,10.89,11.08,4985966,UAA
09/28/20,11.37,11.53,11.25,11.43,5783013,UAA
09/25/20,10.91,11.3,10.9,11.16,6573517,UAA
09/24/20,11.3,11.32,10.75,11.01,8635170,UAA
09/23/20,11.33,11.985,11.28,11.43,14312380,UAA
09/22/20,10.67,10.97,10.51,10.92,6674549,UAA
09/21/20,11.19,11.25,10.57,10.69,6536900,UAA
09/18/20,11.95,11.97,11.3701,11.52,9509717,UAA
09/17/20,12.02,12.27,11.775,11.97,10406590,UAA
09/16/20,11.68,12.42,11.66,12.23,9282671,UAA
09/15/20,11.79,11.82,11.49,11.66,9094113,UAA
