Date, Open, High, Low, Close, Volume,ticker
12/24/20,44.4,44.4165,43.01,43.26,7230607,UAL
12/23/20,43.1,44.69,43.08,44.11,15284730,UAL
12/22/20,44.65,44.79,42.43,42.97,16602730,UAL
12/21/20,43.35,44.42,42.63,44.055,21879090,UAL
12/18/20,45.75,45.95,44.56,44.74,16333230,UAL
12/17/20,46.3,46.4,45.46,45.88,13785020,UAL
12/16/20,46.5,46.91,45.55,46.0,17369551,UAL
12/15/20,47.195,47.56,45.8,47.46,16836301,UAL
12/14/20,49.604,49.65,46.7,46.72,15745000,UAL
12/11/20,49.15,49.89,47.64,48.36,14770640,UAL
12/10/20,46.74,49.71,46.6,49.64,19020500,UAL
12/09/20,49.84,50.0899,46.73,48.02,23325080,UAL
12/08/20,49.02,50.4,48.7201,49.04,17797910,UAL
12/07/20,49.28,50.3544,48.71,49.2,22364650,UAL
12/04/20,50.49,51.31,48.77,49.24,26300631,UAL
12/03/20,47.67,50.97,47.66,49.91,32545230,UAL
12/02/20,45.1,46.73,44.52,46.73,17745670,UAL
12/01/20,45.83,46.5698,45.23,45.32,18860211,UAL
11/30/20,46.465,46.5,44.2,45.05,23401471,UAL
11/27/20,46.2,46.76,45.14,45.3,14103890,UAL
11/25/20,44.49,45.91,43.65,45.64,24250770,UAL
11/24/20,42.708,45.0,42.45,44.96,29934570,UAL
11/23/20,40.175,41.18,40.048,40.93,21730000,UAL
11/20/20,40.71,40.97,39.67,39.9,15604680,UAL
11/19/20,41.0,41.44,40.19,40.94,18556311,UAL
11/18/20,41.49,42.89,41.05,41.05,22481990,UAL
11/17/20,40.0,41.1,39.575,40.6,19661439,UAL
11/16/20,42.18,42.78,40.0501,41.0,28722699,UAL
11/13/20,37.24,39.1,37.08,38.99,20034689,UAL
11/12/20,37.45,38.71,36.56,36.85,23543721,UAL
11/11/20,40.07,40.159,38.1901,38.51,20044090,UAL
11/10/20,40.45,41.63,39.48,40.05,26596641,UAL
11/09/20,41.9,44.06,39.13,41.32,60942633,UAL
11/06/20,34.9,35.15,34.2,34.68,13194120,UAL
11/05/20,33.699,35.46,33.57,35.35,16192110,UAL
11/04/20,34.0,34.25,32.96,33.34,14812280,UAL
11/03/20,34.32,34.68,33.76,34.02,16309030,UAL
11/02/20,34.08,34.1,32.95,33.78,13901030,UAL
10/30/20,33.15,34.02,32.83,33.86,18795301,UAL
10/29/20,32.63,33.75,32.43,33.57,17257400,UAL
10/28/20,33.11,33.66,32.16,32.6,21822930,UAL
10/27/20,35.11,35.65,34.15,34.17,17594211,UAL
10/26/20,37.37,37.4,34.67,35.34,25924490,UAL
10/23/20,37.1,38.1,36.52,38.01,20690270,UAL
10/22/20,35.9,37.45,35.65,37.24,24747750,UAL
10/21/20,35.91,36.14,35.21,35.54,16092670,UAL
10/20/20,36.16,36.59,35.2,36.06,22578070,UAL
10/19/20,34.45,36.55,34.44,35.5,33094430,UAL
10/16/20,34.305,34.58,33.815,34.16,16210040,UAL
10/15/20,35.18,35.38,33.639,34.25,23651961,UAL
10/14/20,35.26,36.33,35.17,35.61,15064440,UAL
10/13/20,35.67,35.95,35.215,35.26,17302990,UAL
10/12/20,36.7,36.99,36.26,36.38,20202570,UAL
10/09/20,37.054,37.8,36.27,37.12,25311770,UAL
10/08/20,37.16,37.69,35.85,37.0,28333471,UAL
10/07/20,36.51,37.22,35.88,36.38,27677311,UAL
10/06/20,36.73,37.09,34.84,34.88,28719029,UAL
10/05/20,36.43,36.5798,35.4201,36.2,18046420,UAL
10/02/20,33.36,36.77,33.27,36.01,35080992,UAL
10/01/20,35.23,35.49,34.5665,35.18,18972221,UAL
09/30/20,34.95,36.22,34.54,34.75,29441350,UAL
09/29/20,35.55,35.61,34.24,34.51,25029770,UAL
09/28/20,35.32,36.9,34.6622,35.94,34828070,UAL
09/25/20,32.56,34.27,32.49,34.2,21461109,UAL
09/24/20,32.785,33.4,31.22,32.74,24638811,UAL
09/23/20,34.28,35.05,33.05,33.08,21576930,UAL
09/22/20,34.15,34.65,33.56,34.07,16700551,UAL
09/21/20,35.4,35.47,33.18,33.79,29900930,UAL
09/18/20,38.16,38.34,36.68,36.97,32772789,UAL
09/17/20,37.69,39.28,37.14,38.355,31339680,UAL
09/16/20,36.9,38.9,36.3601,38.3,33301840,UAL
09/15/20,36.84,37.88,36.38,36.8,21378240,UAL
09/14/20,36.3,36.88,35.84,36.74,18939881,UAL
09/11/20,36.63,36.8,35.48,36.07,19198711,UAL
09/10/20,36.35,37.33,36.18,36.45,24905320,UAL
09/09/20,36.9,37.0803,35.59,36.03,25407619,UAL
09/08/20,37.3,38.48,36.48,37.28,33207121,UAL
09/04/20,38.15,38.7415,36.46,38.21,33121590,UAL
