Date, Open, High, Low, Close, Volume,ticker
12/24/20,37.14,37.37,36.85,37.32,326620,UDR
12/23/20,37.6,37.95,37.0,37.03,1257649,UDR
12/22/20,37.08,37.44,36.69,37.37,1135699,UDR
12/21/20,36.37,37.13,36.11,36.94,2167318,UDR
12/18/20,38.3,38.435,36.675,37.01,5491814,UDR
12/17/20,38.18,38.41,37.69,38.39,1698166,UDR
12/16/20,38.56,38.79,37.87,37.99,2250969,UDR
12/15/20,37.74,38.4,37.13,38.39,2039050,UDR
12/14/20,38.66,38.86,37.51,37.59,1391828,UDR
12/11/20,38.05,38.43,37.82,38.14,1673228,UDR
12/10/20,39.24,39.72,38.32,38.33,2662864,UDR
12/09/20,40.1,40.47,39.31,39.62,3112767,UDR
12/08/20,40.22,40.81,40.175,40.18,1717324,UDR
12/07/20,40.69,41.07,40.29,40.61,2711404,UDR
12/04/20,40.3,40.86,40.13,40.68,1790410,UDR
12/03/20,39.4,40.28,39.21,40.0,1460645,UDR
12/02/20,38.74,40.025,38.6,39.38,2147188,UDR
12/01/20,39.17,39.44,38.535,38.63,2007995,UDR
11/30/20,39.18,39.41,38.23,38.47,7764116,UDR
11/27/20,39.76,39.76,38.615,39.22,879261,UDR
11/25/20,40.02,40.07,39.335,39.76,2189033,UDR
11/24/20,40.37,40.6,39.94,40.14,2087677,UDR
11/23/20,39.61,40.03,39.21,39.67,2266450,UDR
11/20/20,39.05,39.38,38.64,39.23,1812094,UDR
11/19/20,38.23,38.87,37.69,38.8,1998847,UDR
11/18/20,40.31,40.44,38.61,38.62,1942189,UDR
11/17/20,39.79,40.48,39.41,40.28,1376308,UDR
11/16/20,40.28,40.64,39.3,40.27,2107766,UDR
11/13/20,38.32,39.01,38.29,38.87,1745949,UDR
11/12/20,38.39,38.68,37.46,38.12,1752105,UDR
11/11/20,39.93,40.225,38.4,38.68,2679620,UDR
11/10/20,38.3,40.34,38.24,39.92,4248229,UDR
11/09/20,36.67,41.295,36.64,38.15,3542339,UDR
11/06/20,33.79,34.5,33.4,33.52,1673822,UDR
11/05/20,34.34,34.52,33.83,33.85,2788181,UDR
11/04/20,34.42,34.67,33.59,34.23,3472090,UDR
11/03/20,33.09,34.81,33.06,34.57,2955102,UDR
11/02/20,31.6,32.83,31.35,32.79,2944023,UDR
10/30/20,29.7,31.55,29.7,31.24,3768226,UDR
10/29/20,29.6,30.51,29.34,29.92,3451701,UDR
10/28/20,30.41,30.71,29.44,29.6,3155233,UDR
10/27/20,31.86,32.28,31.08,31.09,2081981,UDR
10/26/20,32.5,32.655,31.65,31.95,1949041,UDR
10/23/20,33.05,33.26,32.66,32.79,1222988,UDR
10/22/20,32.44,32.865,32.32,32.78,1660523,UDR
10/21/20,32.32,32.645,32.07,32.42,1517061,UDR
10/20/20,32.47,32.66,32.18,32.32,1493256,UDR
10/19/20,33.13,33.22,32.13,32.14,2180788,UDR
10/16/20,33.65,33.74,33.01,33.01,2053221,UDR
10/15/20,33.58,34.24,33.52,33.81,1182664,UDR
10/14/20,34.4,34.5,33.76,33.86,1300069,UDR
10/13/20,35.04,35.49,34.24,34.42,1715641,UDR
10/12/20,35.43,35.59,34.92,35.54,1928363,UDR
10/09/20,35.97,35.97,35.23,35.47,1325296,UDR
10/08/20,35.01,35.79,34.89,35.74,2689476,UDR
10/07/20,35.17,35.51,34.63,35.21,2699317,UDR
10/06/20,35.28,35.67,34.78,35.06,2076075,UDR
10/05/20,34.97,35.13,34.195,35.11,2060945,UDR
10/02/20,33.34,34.9,32.86,34.74,2583687,UDR
10/01/20,32.61,33.81,32.56,33.8,2846481,UDR
09/30/20,32.61,32.845,32.18,32.61,3112233,UDR
09/29/20,32.86,33.05,32.13,32.32,1434892,UDR
09/28/20,33.01,33.38,32.585,33.0,1576194,UDR
09/25/20,31.77,32.43,31.62,32.41,2399744,UDR
09/24/20,31.87,32.2699,31.615,31.84,2192471,UDR
09/23/20,32.88,33.18,31.96,32.0,2137679,UDR
09/22/20,32.19,33.1,32.162,32.85,2247757,UDR
09/21/20,33.33,33.46,32.01,32.15,2959377,UDR
09/18/20,34.52,34.75,33.86,33.9,3526057,UDR
09/17/20,34.77,35.12,34.47,34.76,2004547,UDR
09/16/20,34.94,35.37,34.73,34.96,1811947,UDR
09/15/20,35.0,35.39,34.655,34.8,1779858,UDR
09/14/20,33.9,35.43,33.9,35.19,2750013,UDR
09/11/20,34.08,34.225,33.45,33.66,2490928,UDR
09/10/20,34.57,34.75,33.89,34.2,2459899,UDR
09/09/20,34.72,35.16,34.15,34.45,1896556,UDR
09/08/20,35.15,35.385,34.2,34.62,2105107,UDR
09/04/20,35.28,35.74,34.62,35.31,2098835,UDR
09/03/20,35.55,36.07,34.96,35.14,2948592,UDR
09/02/20,34.55,35.21,34.24,35.17,2377242,UDR
09/01/20,34.56,34.71,34.16,34.6,1740380,UDR
08/31/20,34.94,34.94,34.44,34.81,1944915,UDR
08/28/20,35.0,35.11,34.38,35.09,1292735,UDR
08/27/20,34.0,35.09,33.75,34.93,1763879,UDR
08/26/20,34.52,34.55,33.65,33.79,1398850,UDR
08/25/20,34.53,34.8,34.15,34.62,1255331,UDR
08/24/20,34.08,34.53,33.5,34.53,1227713,UDR
08/21/20,34.52,34.62,33.63,34.08,1362861,UDR
08/20/20,34.03,34.73,33.95,34.4,1002606,UDR
08/19/20,35.18,35.4,33.87,34.18,1857840,UDR
08/18/20,35.28,35.28,34.51,35.18,1336165,UDR
08/17/20,35.01,35.18,34.66,35.05,1666469,UDR
08/14/20,34.64,35.4795,34.52,35.02,2593573,UDR
08/13/20,35.68,36.01,34.59,34.71,1816972,UDR
08/12/20,35.97,36.06,35.54,35.89,902712,UDR
08/11/20,36.33,36.51,35.6018,35.79,1400815,UDR
08/10/20,35.94,36.26,35.64,35.97,754351,UDR
08/07/20,35.28,35.89,35.19,35.89,892466,UDR
08/06/20,35.24,35.74,34.99,35.49,911502,UDR
08/05/20,35.4,35.63,34.99,35.52,1215248,UDR
08/04/20,34.79,35.48,34.585,35.18,1374695,UDR
08/03/20,35.73,35.77,34.94,35.12,1530604,UDR
07/31/20,35.93,36.26,35.285,36.2,1639008,UDR
07/30/20,34.77,36.17,34.69,36.1,2204052,UDR
07/29/20,35.97,36.22,35.0,35.25,2848112,UDR
07/28/20,35.22,36.215,35.0,35.88,1530514,UDR
07/27/20,35.02,35.33,34.48,35.3,1849280,UDR
07/24/20,35.78,35.87,35.25,35.49,1529152,UDR
07/23/20,36.27,36.63,35.27,35.65,1635629,UDR
07/22/20,35.29,36.51,35.21,36.47,1474431,UDR
07/21/20,35.84,36.22,35.46,35.52,1413020,UDR
07/20/20,36.25,36.38,35.47,35.76,1756429,UDR
07/17/20,36.66,36.78,36.31,36.48,1450281,UDR
07/16/20,36.87,37.18,36.42,36.76,1365711,UDR
07/15/20,37.03,37.46,36.81,37.1,2133096,UDR
07/14/20,36.14,36.75,35.81,36.59,1353011,UDR
07/13/20,36.44,36.7,35.9,36.16,1702832,UDR
07/10/20,35.93,36.5641,35.81,36.18,887960,UDR
07/09/20,36.0,36.29,35.48,35.98,1129023,UDR
07/08/20,36.91,37.475,36.405,36.53,1921456,UDR
07/07/20,37.63,37.82,36.86,36.9,1430293,UDR
07/06/20,39.52,39.52,38.04,38.13,1172877,UDR
07/02/20,39.55,39.82,38.485,38.57,1207646,UDR
07/01/20,37.41,38.95,37.21,38.89,1677971,UDR
06/30/20,36.89,37.52,36.74,37.38,2067789,UDR
06/29/20,36.78,36.93,36.095,36.79,1319249,UDR
06/26/20,36.58,36.82,35.94,36.39,2688664,UDR
06/25/20,36.13,36.8,35.86,36.79,1230204,UDR
06/24/20,36.93,37.5,36.0,36.39,2595946,UDR
06/23/20,38.13,38.17,37.33,37.46,1844795,UDR
06/22/20,37.66,37.95,36.87,37.75,1572326,UDR
06/19/20,38.31,38.51,37.75,37.76,7406445,UDR
06/18/20,38.09,38.45,37.73,37.93,2057000,UDR
06/17/20,40.33,40.66,38.49,38.5,1482849,UDR
06/16/20,40.26,40.82,39.51,40.1,2387350,UDR
06/15/20,37.74,39.16,37.57,38.83,1783234,UDR
06/12/20,39.41,39.41,37.96,39.09,2991409,UDR
06/11/20,38.45,39.12,37.665,37.8,2226083,UDR
06/10/20,41.23,41.5,40.09,40.31,1515245,UDR
06/09/20,41.73,42.15,41.19,41.69,1546613,UDR
06/08/20,42.28,42.9819,41.89,42.77,2248453,UDR
06/05/20,40.27,41.86,40.21,41.7,2512656,UDR
06/04/20,38.97,39.29,38.035,38.74,1641368,UDR
06/03/20,38.11,39.355,37.99,39.19,1928367,UDR
06/02/20,38.08,38.24,37.535,37.66,1828517,UDR
06/01/20,36.89,38.06,36.845,37.76,1948396,UDR
05/29/20,37.99,38.32,36.78,36.98,5447486,UDR
05/28/20,38.72,38.72,37.8,38.45,2052805,UDR
05/27/20,39.3,39.53,37.66,38.3,1888615,UDR
05/26/20,37.68,38.57,37.285,38.25,1530090,UDR
05/22/20,35.85,36.31,35.62,36.28,1242247,UDR
05/21/20,36.05,36.9,35.84,35.87,1812410,UDR
05/20/20,36.43,36.47,35.62,36.28,1721744,UDR
05/19/20,36.81,37.01,35.83,35.89,2547332,UDR
05/18/20,36.24,37.35,36.24,36.89,2504202,UDR
05/15/20,34.51,34.97,33.53,34.76,5970707,UDR
05/14/20,34.53,34.99,33.36,34.9,2251335,UDR
05/13/20,35.8,35.9,34.95,35.18,2204299,UDR
05/12/20,37.92,37.97,35.82,36.13,3158649,UDR
05/11/20,37.94,38.45,36.83,37.78,2929110,UDR
05/08/20,38.51,39.04,37.7332,38.34,1695864,UDR
05/07/20,36.7,38.6222,36.39,37.84,2494248,UDR
05/06/20,36.7,37.08,36.04,36.05,2256534,UDR
05/05/20,37.0,37.23,36.555,36.6,1705630,UDR
05/04/20,35.54,36.57,35.0,36.54,1926322,UDR
05/01/20,36.57,36.79,35.84,36.1,1612900,UDR
04/30/20,37.46,37.8447,36.61,37.47,2246775,UDR
04/29/20,38.6,38.86,37.3,38.11,1676498,UDR
04/28/20,38.53,39.2299,37.67,37.76,1861601,UDR
04/27/20,36.78,37.8,36.54,37.62,1543677,UDR
04/24/20,36.42,36.64,35.57,36.29,1909086,UDR
04/23/20,36.69,36.9428,35.76,36.2,1930904,UDR
04/22/20,36.13,37.04,35.55,36.66,1930999,UDR
04/21/20,35.4,36.27,35.29,35.58,2845070,UDR
04/20/20,37.01,38.34,36.36,36.37,2534348,UDR
04/17/20,37.58,39.14,37.52,38.94,2744722,UDR
04/16/20,37.19,37.42,36.01,36.63,2520692,UDR
04/15/20,38.21,38.635,36.74,37.0,2494840,UDR
04/14/20,39.48,40.04,38.645,39.36,2366473,UDR
04/13/20,40.62,40.89,38.48,38.56,1864296,UDR
04/09/20,39.0,41.88,39.0,41.12,3005049,UDR
04/08/20,35.75,39.04,35.36,38.66,2813894,UDR
04/07/20,36.7,37.38,35.6,35.75,3175129,UDR
04/06/20,33.27,35.54,33.26,35.34,2832050,UDR
04/03/20,31.55,32.79,31.3174,31.62,1863185,UDR
04/02/20,32.3,34.005,31.09,31.95,2190213,UDR
04/01/20,34.62,35.21,31.935,32.98,2544027,UDR
03/31/20,37.22,37.86,35.19,36.54,4383175,UDR
03/30/20,38.33,38.5999,35.97,37.72,3025839,UDR
03/27/20,34.62,38.96,34.42,37.94,2046156,UDR
03/26/20,32.74,35.92,32.37,35.78,2268529,UDR
03/25/20,30.7,34.68,30.36,32.89,2905525,UDR
03/24/20,31.21,32.23,29.75,30.91,3173257,UDR
03/23/20,31.96,32.0,29.2,30.04,2820710,UDR
03/20/20,33.85,34.56,31.46,32.03,3615245,UDR
03/19/20,35.23,37.11,33.55,33.76,2658339,UDR
03/18/20,36.49,38.94,34.33,35.53,3404624,UDR
03/17/20,37.79,39.94,36.21,38.84,3165243,UDR
03/16/20,41.48,41.48,36.58,36.82,3233785,UDR
03/13/20,42.87,44.76,41.2,44.66,3449914,UDR
03/12/20,41.85,44.88,40.35,41.27,4448061,UDR
03/11/20,45.85,46.04,44.13,44.52,3916786,UDR
03/10/20,46.4,46.99,44.62,46.98,3232195,UDR
03/09/20,46.5,47.05,45.33,45.58,3710146,UDR
03/06/20,47.58,48.45,46.46,48.31,1929404,UDR
03/05/20,48.61,49.16,48.14,48.74,1439030,UDR
03/04/20,48.07,49.46,48.07,49.35,2033211,UDR
03/03/20,47.32,48.51,46.71,47.37,2682340,UDR
03/02/20,45.33,47.22,45.16,47.08,2408867,UDR
02/28/20,46.2,46.2,44.02,44.98,3679581,UDR
02/27/20,48.87,49.29,46.95,47.01,3211623,UDR
02/26/20,49.59,50.145,49.25,49.28,2807562,UDR
02/25/20,50.59,50.77,49.38,49.49,2645022,UDR
02/24/20,50.54,51.25,50.46,50.52,1563547,UDR
02/21/20,50.67,51.02,50.6,50.93,2318310,UDR
02/20/20,50.2,50.8,50.02,50.73,1907173,UDR
02/19/20,50.37,50.48,50.11,50.18,1056873,UDR
02/18/20,50.43,50.56,49.9242,50.43,1769314,UDR
02/14/20,49.76,50.33,49.69,50.32,2099585,UDR
02/13/20,49.21,49.76,49.21,49.61,2366403,UDR
02/12/20,49.48,49.48,48.78,49.29,2394387,UDR
02/11/20,49.51,49.805,49.28,49.46,1556092,UDR
02/10/20,49.07,49.42,48.97,49.4,1154057,UDR
02/07/20,48.78,48.94,48.62,48.83,770142,UDR
02/06/20,48.52,48.88,48.4,48.63,800933,UDR
02/05/20,48.48,48.8,48.23,48.45,909035,UDR
02/04/20,48.15,48.77,47.97,48.48,1092564,UDR
02/03/20,48.13,48.52,48.02,48.06,1724196,UDR
01/31/20,48.16,48.37,47.81,47.91,1534993,UDR
01/30/20,47.82,48.25,47.56,48.18,937847,UDR
01/29/20,48.37,48.43,47.81,47.88,1312468,UDR
01/28/20,48.05,48.4,47.85,48.2,1198327,UDR
01/27/20,48.0,48.42,47.92,48.05,1248908,UDR
01/24/20,48.27,48.35,47.975,48.18,988555,UDR
01/23/20,47.76,48.2,47.6,48.18,987021,UDR
01/22/20,48.1,48.34,47.7,47.79,1780717,UDR
01/21/20,47.58,48.03,47.53,48.0,1223782,UDR
01/17/20,47.17,47.635,47.05,47.45,2270224,UDR
01/16/20,46.88,47.33,46.7298,47.33,1057520,UDR
01/15/20,46.66,46.89,46.42,46.87,1288836,UDR
01/14/20,46.47,46.47,46.015,46.43,1916800,UDR
01/13/20,45.98,46.61,45.96,46.59,1717004,UDR
01/10/20,45.78,46.12,45.58,46.05,1791017,UDR
01/09/20,45.47,45.745,45.42,45.66,1303941,UDR
01/08/20,45.98,46.07,45.75,45.88,1783738,UDR
01/07/20,46.15,46.24,45.6,45.82,1236221,UDR
01/06/20,46.45,46.59,46.24,46.39,1276805,UDR
01/03/20,45.95,46.575,45.81,46.49,1434480,UDR
01/02/20,46.72,46.86,45.76,46.12,1544344,UDR
12/31/19,46.34,46.7,46.22,46.7,1627024,UDR
12/30/19,46.19,46.375,46.01,46.33,1289577,UDR
12/27/19,46.29,46.35,46.06,46.34,751208,UDR
12/26/19,46.13,46.28,45.9,46.2,761393,UDR
12/24/19,45.98,46.21,45.8,46.05,491189,UDR
12/23/19,46.57,46.57,45.785,45.86,952432,UDR
12/20/19,46.02,46.5,45.88,46.32,3816832,UDR
12/19/19,45.8,46.2,45.78,46.18,1352720,UDR
12/18/19,45.64,46.02,45.4,45.89,1687421,UDR
12/17/19,46.55,46.96,45.57,45.71,2171179,UDR
12/16/19,46.32,46.385,45.6,46.32,1690848,UDR
12/13/19,46.51,46.73,45.88,46.26,2093390,UDR
12/12/19,47.0,47.16,46.06,46.38,1900601,UDR
12/11/19,47.79,47.86,46.69,46.81,1325321,UDR
12/10/19,47.86,48.0,47.435,47.73,1205589,UDR
12/09/19,47.92,48.035,47.59,47.85,1426297,UDR
12/06/19,47.82,48.14,47.65,47.89,1645967,UDR
12/05/19,47.37,47.815,47.24,47.81,1223964,UDR
12/04/19,46.97,47.69,46.93,47.48,1354155,UDR
12/03/19,46.85,47.25,46.85,47.12,1626208,UDR
12/02/19,47.96,48.03,46.75,46.78,1952367,UDR
11/29/19,48.21,48.41,47.96,48.05,747624,UDR
11/27/19,47.94,48.04,47.72,48.03,1412180,UDR
11/26/19,47.46,48.06,47.46,47.96,3108590,UDR
11/25/19,47.74,47.95,47.36,47.54,1196871,UDR
11/22/19,47.94,48.21,47.34,47.57,1298317,UDR
11/21/19,48.6,48.7,47.85,47.85,1249145,UDR
11/20/19,48.91,49.145,48.65,48.78,1384708,UDR
11/19/19,48.75,49.11,48.59,48.88,1103533,UDR
11/18/19,48.55,49.06,48.5092,48.69,915081,UDR
11/15/19,48.15,48.46,47.97,48.44,1976980,UDR
11/14/19,47.85,48.175,47.74,48.05,1495414,UDR
11/13/19,47.15,47.78,47.15,47.69,1453022,UDR
11/12/19,47.56,47.87,46.95,47.03,1255395,UDR
11/11/19,47.44,47.63,47.16,47.51,859088,UDR
11/08/19,47.45,47.785,47.34,47.37,941960,UDR
