Date, Open, High, Low, Close, Volume,ticker
12/24/20,336.44,341.41,336.44,340.79,1360598,UNH
12/23/20,336.49,341.6499,336.03,337.59,2348234,UNH
12/22/20,335.16,336.98,333.47,335.01,2069883,UNH
12/21/20,332.07,336.95,329.4,336.08,2893022,UNH
12/18/20,342.52,342.61,334.0,338.38,8743007,UNH
12/17/20,339.81,342.6,337.305,341.67,2525662,UNH
12/16/20,336.83,341.66,334.26,339.34,2365672,UNH
12/15/20,339.14,341.01,337.04,339.67,2616862,UNH
12/14/20,340.03,343.23,335.86,336.13,2478953,UNH
12/11/20,338.13,338.88,334.33,337.07,3071737,UNH
12/10/20,345.16,345.46,339.2601,339.65,2896940,UNH
12/09/20,348.89,349.41,341.61,344.41,2600442,UNH
12/08/20,344.75,349.9,344.08,347.86,2471262,UNH
12/07/20,348.72,349.89,345.2206,347.86,2999382,UNH
12/04/20,346.0,351.47,345.75,349.89,3255426,UNH
12/03/20,347.9,352.77,346.49,348.68,4169186,UNH
12/02/20,341.77,351.83,341.5,347.56,2864281,UNH
12/01/20,344.77,354.1,339.93,341.19,3817785,UNH
11/30/20,335.11,337.94,330.29,336.34,5265707,UNH
11/27/20,333.53,338.9,331.835,337.94,1558621,UNH
11/25/20,338.82,338.82,329.14,333.19,3145335,UNH
11/24/20,336.18,340.0,334.425,336.01,3759980,UNH
11/23/20,335.55,336.259,331.59,335.06,2538118,UNH
11/20/20,335.0,337.6599,331.71,334.7,3702637,UNH
11/19/20,342.29,343.07,334.33,337.0,3935570,UNH
11/18/20,353.43,354.05,343.09,344.51,2722477,UNH
11/17/20,352.39,353.36,347.5,352.1,2557624,UNH
11/16/20,358.95,359.58,351.01,356.82,2790381,UNH
11/13/20,356.86,357.94,352.79,355.67,2442331,UNH
11/12/20,351.4,360.52,349.75,354.41,2908228,UNH
11/11/20,356.16,356.81,349.405,351.7,2048494,UNH
11/10/20,349.49,355.9,348.17,353.69,3733236,UNH
11/09/20,366.31,367.95,348.98,350.0,4635344,UNH
11/06/20,350.36,352.0,344.57,347.46,2994932,UNH
11/05/20,358.07,360.98,349.68,354.4,4786472,UNH
11/04/20,345.23,360.44,341.14099999999996,354.56,10344920,UNH
11/03/20,317.47,326.44,315.015,321.35,4043876,UNH
11/02/20,312.64,312.64,307.36,312.1,4519209,UNH
10/30/20,303.23,307.17,299.6,305.14,3557355,UNH
10/29/20,306.59,309.475,301.46,303.68,3279189,UNH
10/28/20,313.33,317.81,307.44,308.0,3301655,UNH
10/27/20,323.06,323.495,319.43,320.51,2427684,UNH
10/26/20,326.32,327.75,318.535,323.06,2408460,UNH
10/23/20,329.16,335.65,328.13,330.6,2349525,UNH
10/22/20,322.32,328.06,322.25,325.73,2100739,UNH
10/21/20,323.41,326.49,322.18,322.79,2139034,UNH
10/20/20,326.62,328.62,323.28,323.41,1988669,UNH
10/19/20,328.54,330.78,322.06,324.22,2482339,UNH
10/16/20,325.46,332.35,324.73,329.9,3293344,UNH
10/15/20,318.85,326.97,316.33,324.57,3172686,UNH
10/14/20,322.07,330.57,320.2,321.85,4455722,UNH
10/13/20,328.5,333.7,327.71,331.42,2713530,UNH
10/12/20,329.12,333.5619,329.01,329.97,2424163,UNH
10/09/20,324.66,328.17,323.92,327.84,2028946,UNH
10/08/20,323.43,325.35,320.99,322.41,2056700,UNH
10/07/20,315.82,324.74,315.82,323.17,2596552,UNH
10/06/20,318.95,320.3,313.49,314.45,2434408,UNH
10/05/20,315.07,318.42,313.12,318.15,1638618,UNH
10/02/20,312.1,317.39,308.36,311.98,2338048,UNH
10/01/20,312.91,315.17,309.15,313.07,2731236,UNH
09/30/20,304.02,314.52,303.99,311.77,3497316,UNH
09/29/20,303.67,305.5,300.68,304.15,1797818,UNH
09/28/20,306.39,310.01,302.83,303.23,2575710,UNH
09/25/20,291.25,303.27,291.22,302.5,2455819,UNH
09/24/20,292.19,294.93,289.64,292.66,2869110,UNH
09/23/20,295.0,296.1,291.825,292.14,3710122,UNH
09/22/20,298.44,300.62,292.92,294.26,3163604,UNH
09/21/20,300.47,300.53,291.66,299.19,4124741,UNH
09/18/20,305.01,310.39,303.77,308.02,3795806,UNH
09/17/20,304.5,307.38,302.11,304.98,2394205,UNH
09/16/20,309.07,312.2499,306.2,306.52,3438228,UNH
09/15/20,310.05,311.46,306.05,307.23,1468486,UNH
09/14/20,303.01,311.12,303.01,308.57,1795515,UNH
09/11/20,305.07,306.46,297.29,301.48,3086088,UNH
09/10/20,312.73,314.44,303.72,304.6,2421619,UNH
09/09/20,309.68,315.315,308.4167,312.02,2195680,UNH
09/08/20,311.03,311.46,303.83,307.25,2594530,UNH
09/04/20,316.48,317.8272,306.63,312.0,2901147,UNH
09/03/20,322.0,323.82,313.73,316.23,3872533,UNH
09/02/20,312.56,321.28,312.56,320.24,2846460,UNH
09/01/20,310.16,314.72,310.0,312.83,2487188,UNH
08/31/20,314.89,319.56,312.54,312.55,4341556,UNH
08/28/20,312.34,315.82,308.97,314.37,2883586,UNH
08/27/20,310.41,314.775,305.49,311.67,2321100,UNH
08/26/20,310.98,311.36,303.61,308.82,3178972,UNH
08/25/20,312.2,312.36,307.8,312.22,1879520,UNH
08/24/20,316.81,316.9,306.49,308.84,2922446,UNH
08/21/20,311.28,315.2809,310.09,314.14,2488477,UNH
