Date, Open, High, Low, Close, Volume,ticker
12/24/20,21.96,22.01,21.59,21.92,546691,UNM
12/23/20,21.59,22.13,21.5574,21.92,1362643,UNM
12/22/20,21.45,21.765,21.3,21.32,2542008,UNM
12/21/20,21.48,21.5,20.78,21.36,3184359,UNM
12/18/20,22.01,22.19,21.28,21.63,6858585,UNM
12/17/20,23.24,23.99,21.98,22.13,3219685,UNM
12/16/20,22.8,22.85,22.195,22.27,2694991,UNM
12/15/20,22.68,22.845,22.22,22.74,2904712,UNM
12/14/20,23.82,23.82,22.44,22.46,3875729,UNM
12/11/20,23.32,23.5,23.015,23.27,1939828,UNM
12/10/20,23.22,23.87,23.13,23.81,1580404,UNM
12/09/20,23.86,24.03,23.47,23.65,1565162,UNM
12/08/20,23.41,23.895,23.23,23.57,1717322,UNM
12/07/20,24.0,24.02,23.47,23.7,1664106,UNM
12/04/20,23.84,24.33,23.67,24.26,3098253,UNM
12/03/20,22.79,23.495,22.72,23.41,2301126,UNM
12/02/20,22.29,22.905,22.25,22.81,2429076,UNM
12/01/20,22.99,23.07,22.47,22.49,2459316,UNM
11/30/20,22.86,23.2,22.195,22.23,2098899,UNM
11/27/20,23.47,23.5,23.08,23.14,765141,UNM
11/25/20,23.31,23.415,22.8898,23.18,1361376,UNM
11/24/20,23.0,23.825,22.7321,23.72,2392228,UNM
11/23/20,21.88,22.415,21.73,22.4,2184096,UNM
11/20/20,21.27,21.54,21.09,21.41,2995050,UNM
11/19/20,21.16,21.47,20.85,21.44,2062459,UNM
11/18/20,21.5,22.26,21.395,21.4,2894505,UNM
11/17/20,21.01,21.45,20.54,21.4,1801299,UNM
11/16/20,21.82,21.88,21.155,21.44,2157417,UNM
11/13/20,20.3,20.985,20.15,20.88,1886568,UNM
11/12/20,20.75,20.75,19.41,19.96,3026456,UNM
11/11/20,21.57,21.57,20.64,21.09,2278666,UNM
11/10/20,21.21,21.53,20.93,21.49,4039149,UNM
11/09/20,19.94,21.23,19.94,20.73,6866190,UNM
11/06/20,19.01,19.15,17.955,18.13,2696973,UNM
11/05/20,18.23,19.25,18.23,18.88,2203651,UNM
11/04/20,18.85,18.87,18.05,18.09,3192869,UNM
11/03/20,18.97,19.58,18.79,19.46,4230375,UNM
11/02/20,18.11,18.555,17.58,18.51,3584146,UNM
10/30/20,16.98,17.69,16.95,17.66,3730845,UNM
10/29/20,16.15,17.105,15.93,17.04,3011842,UNM
10/28/20,17.8,17.845,16.465,16.57,5891859,UNM
10/27/20,19.17,19.17,18.25,18.25,2572344,UNM
10/26/20,19.71,19.76,18.975,19.24,2048519,UNM
10/23/20,19.85,20.22,19.68,20.02,2293790,UNM
10/22/20,18.72,19.685,18.58,19.64,1972716,UNM
10/21/20,18.64,19.0,18.465,18.77,2499844,UNM
10/20/20,18.76,19.02,18.63,18.68,2115319,UNM
10/19/20,18.69,18.86,18.42,18.45,1846740,UNM
10/16/20,18.85,18.96,18.48,18.65,1567365,UNM
10/15/20,18.25,18.84,18.12,18.81,1429901,UNM
10/14/20,18.45,18.87,18.444000000000003,18.51,1517728,UNM
10/13/20,19.05,19.05,18.42,18.54,1659050,UNM
10/12/20,18.83,19.2,18.75,19.11,1454673,UNM
10/09/20,19.15,19.19,18.69,18.73,1837787,UNM
10/08/20,19.13,19.255,18.785,19.0,1809837,UNM
10/07/20,18.5,19.08,18.5,18.9,1876177,UNM
10/06/20,18.73,19.2,18.1171,18.21,3054205,UNM
10/05/20,18.0,18.55,17.965,18.46,2448833,UNM
10/02/20,16.63,17.795,16.6,17.68,2303705,UNM
10/01/20,17.01,17.15,16.66,17.0,1826227,UNM
09/30/20,16.78,17.0,16.61,16.83,2341618,UNM
09/29/20,17.07,17.11,16.47,16.69,1665943,UNM
09/28/20,16.9,17.4,16.75,17.08,1764310,UNM
09/25/20,16.05,16.53,16.05,16.45,1462650,UNM
09/24/20,16.32,16.57,15.79,16.23,1969560,UNM
