Date, Open, High, Low, Close, Volume,ticker
12/24/20,173.01,173.35,171.47,172.19,1006079,UPS
12/23/20,174.38,175.94,172.62,172.64,2553799,UPS
12/22/20,172.33,175.25,172.015,174.56,2493082,UPS
12/21/20,172.44,174.44,171.03,172.59,3180024,UPS
12/18/20,173.05,175.49,171.1401,175.18,8581322,UPS
12/17/20,170.74,175.315,170.035,174.49,4386859,UPS
12/16/20,167.4,171.66,167.4,170.13,3421582,UPS
12/15/20,167.1,168.39,166.14,167.17,2556870,UPS
12/14/20,171.78,171.78,166.59,166.62,3388743,UPS
12/11/20,165.5,169.02,165.35,168.4,4777504,UPS
12/10/20,167.045,167.4619,163.63,164.24,4708609,UPS
12/09/20,167.54,169.85,167.01,169.18,3327293,UPS
12/08/20,167.55,168.24,165.92,166.39,3884981,UPS
12/07/20,168.13,168.29,166.1,167.47,3117161,UPS
12/04/20,168.07,168.6,166.34,167.25,2766200,UPS
12/03/20,169.12,170.2305,167.42,167.83,2844187,UPS
12/02/20,167.92,168.96,166.5,168.83,3853274,UPS
12/01/20,173.51,174.2,167.9,167.96,5377352,UPS
11/30/20,169.57,171.23,168.11,171.07,4708599,UPS
11/27/20,170.96,171.43,167.89,168.89,2216615,UPS
11/25/20,172.11,172.99,169.38,170.5,3497671,UPS
11/24/20,167.96,173.11,167.57,172.69,5373851,UPS
11/23/20,165.5,166.73,163.91,166.6,3775654,UPS
11/20/20,166.33,166.8,163.71,163.76,3989544,UPS
11/19/20,168.0,168.0,165.7,166.48,3143621,UPS
11/18/20,168.95,171.57,168.45,168.45,3393490,UPS
11/17/20,168.625,169.4,165.5,168.88,3627752,UPS
11/16/20,163.16,168.484,161.25,168.44,4406315,UPS
11/13/20,164.2,165.1,163.16,163.67,2630393,UPS
11/12/20,165.34,165.5,161.66899999999998,163.11,4071276,UPS
11/11/20,166.365,168.22,165.18,166.64,3240174,UPS
11/10/20,163.73,165.26,161.03,164.73,3329764,UPS
11/09/20,164.1,167.525,158.71,163.22,9452960,UPS
11/06/20,164.08,168.3,163.075,167.68,2960047,UPS
11/05/20,165.6,165.85,162.21,163.56,3998274,UPS
11/04/20,163.73,165.335,160.56,162.58,3529953,UPS
11/03/20,161.25,164.65,160.35,163.48,3142210,UPS
11/02/20,158.88,161.19,156.97,159.55,3924001,UPS
10/30/20,160.01,160.46,155.25,157.11,5243449,UPS
10/29/20,158.07,164.02,157.735,161.36,5849634,UPS
10/28/20,163.16,163.87,155.6,155.78,11120920,UPS
10/27/20,170.89,171.67,168.6074,170.84,5753906,UPS
10/26/20,170.92,170.92,166.18,168.0,4053863,UPS
10/23/20,172.42,173.75,171.31,171.9,2763083,UPS
10/22/20,174.36,174.7194,171.6501,172.99,3898222,UPS
10/21/20,176.43,178.01,172.65,172.73,4428714,UPS
10/20/20,173.14,177.35,172.36,174.88,2788272,UPS
10/19/20,174.76,176.2,171.11,172.1,2884617,UPS
10/16/20,175.07,176.19,174.26,174.44,3446613,UPS
10/15/20,172.67,174.06,172.01,174.04,3062297,UPS
10/14/20,175.715,175.96,173.8,174.38,3161742,UPS
10/13/20,175.5,177.15,174.89,175.33,3018028,UPS
10/12/20,174.86,176.8,174.2101,176.54,2273966,UPS
10/09/20,174.51,175.38,172.86,174.69,2861052,UPS
10/08/20,175.55,175.9755,173.45,174.21,2797510,UPS
10/07/20,170.61,175.44,170.305,174.99,3846993,UPS
10/06/20,169.28,172.05,168.72,169.35,3671394,UPS
10/05/20,168.16,169.96,167.44,169.16,2738995,UPS
10/02/20,166.66,168.5,165.75,166.96,4482652,UPS
10/01/20,169.04,170.8,166.88,167.65,4934140,UPS
09/30/20,169.29,169.67,165.5,166.63,5426716,UPS
09/29/20,168.81,170.465,167.115,168.5,3138099,UPS
09/28/20,169.91,171.98,168.49,168.9,4338375,UPS
09/25/20,159.27,167.0,159.27,166.12,4399307,UPS
09/24/20,161.12,162.57,157.991,160.41,2975055,UPS
09/23/20,162.5,165.76,161.34,161.55,3842426,UPS
09/22/20,160.34,162.14,159.5723,161.89,3051924,UPS
09/21/20,161.42,162.95,157.38,161.06,3894369,UPS
09/18/20,160.14,163.75,159.42,159.66,7274026,UPS
09/17/20,157.04,160.2675,156.965,159.75,3002230,UPS
09/16/20,166.8,167.36,159.53,159.87,5737965,UPS
09/15/20,160.58,161.77,158.37,161.53,3238544,UPS
