Date, Open, High, Low, Close, Volume,ticker
12/24/20,46.68,46.73,46.015,46.49,1980912,USB
12/23/20,45.96,46.96,45.84,46.73,6693032,USB
12/22/20,45.6,46.02,45.24,45.59,8471872,USB
12/21/20,45.08,45.5,44.21,45.33,10715670,USB
12/18/20,45.19,45.39,44.47,44.86,14374990,USB
12/17/20,45.54,45.54,44.8,45.28,6017971,USB
12/16/20,45.24,45.485,45.0,45.35,5711646,USB
12/15/20,45.13,45.27,44.495,45.19,5789136,USB
12/14/20,46.5,46.74,44.7,44.81,5518057,USB
12/11/20,45.57,45.965,45.315,45.84,5266856,USB
12/10/20,45.54,46.265,45.3509,46.12,7318317,USB
12/09/20,45.38,46.15,45.24,45.85,9415185,USB
12/08/20,44.25,45.02,44.15,44.98,5289499,USB
12/07/20,44.87,45.035,44.39,44.8,7054543,USB
12/04/20,45.39,45.63,45.04,45.37,6634859,USB
12/03/20,44.76,45.35,44.44,44.97,6191968,USB
12/02/20,44.19,44.83,43.96,44.68,5822747,USB
12/01/20,44.31,44.56,44.005,44.25,6850729,USB
11/30/20,44.29,44.58,43.07,43.21,14916410,USB
11/27/20,44.7,44.74,44.05,44.21,2871804,USB
11/25/20,44.9,44.9,44.37,44.68,5407766,USB
11/24/20,44.04,45.43,43.9175,45.4,8720631,USB
11/23/20,43.27,43.37,42.82,43.09,5943917,USB
11/20/20,43.05,43.17,42.415,42.66,5242592,USB
11/19/20,42.98,43.305,42.34,43.24,7476325,USB
11/18/20,44.27,44.76,43.22,43.26,7324809,USB
11/17/20,43.59,44.335,43.24,44.03,7384540,USB
11/16/20,44.66,45.04,43.795,44.28,7642145,USB
11/13/20,43.25,43.59,43.02,43.31,5968933,USB
11/12/20,42.96,43.195,42.13,42.81,8024988,USB
11/11/20,44.03,44.15,42.81,43.75,7680522,USB
11/10/20,44.49,44.49,43.225,44.14,8062444,USB
11/09/20,42.97,44.99,42.49,44.16,16088530,USB
11/06/20,40.82,40.93,38.903,39.17,6210337,USB
11/05/20,38.96,40.65,38.96,40.46,5535927,USB
11/04/20,39.68,40.28,38.465,39.0,7494660,USB
11/03/20,40.54,41.09,40.4,40.82,6210427,USB
11/02/20,39.45,40.12,38.77,39.74,5915733,USB
10/30/20,37.99,38.96,37.76,38.95,6210539,USB
10/29/20,37.14,38.33,36.57,38.07,6634561,USB
10/28/20,37.68,38.0283,37.18,37.3,8437824,USB
10/27/20,39.63,39.73,38.39,38.41,6944263,USB
10/26/20,40.18,40.27,39.38,39.96,6300088,USB
10/23/20,40.88,41.03,40.07,40.66,5760719,USB
10/22/20,38.77,40.55,38.77,40.48,6366090,USB
10/21/20,39.01,39.36,38.78,38.82,4911853,USB
10/20/20,39.31,39.83,39.15,39.21,5666337,USB
10/19/20,39.35,39.7,38.86,38.97,6117212,USB
10/16/20,39.25,39.695,38.625,39.14,5679047,USB
10/15/20,38.2,39.35,38.06,39.14,6010781,USB
10/14/20,38.44,39.51,38.22,38.25,7761923,USB
10/13/20,39.5,39.69,38.32,38.42,6460027,USB
10/12/20,39.03,39.97,38.79,39.75,7249502,USB
10/09/20,39.7,39.76,38.58,39.17,6504718,USB
10/08/20,39.0,39.66,38.79,39.5,6988379,USB
10/07/20,38.05,39.06,37.99,38.79,7673027,USB
10/06/20,38.15,38.795,37.27,37.42,6061122,USB
10/05/20,37.32,37.915,37.11,37.73,5471888,USB
10/02/20,35.37,36.95,35.25,36.77,5406160,USB
10/01/20,36.03,36.09,35.4392,36.0,4618108,USB
09/30/20,35.45,36.17,35.34,35.85,9457479,USB
09/29/20,35.5,35.58,34.72,35.3,5202791,USB
09/28/20,35.88,36.4645,35.67,36.1,5622980,USB
09/25/20,34.4,35.225,34.21,35.16,4565813,USB
09/24/20,34.68,35.32,34.17,34.73,6961608,USB
09/23/20,35.81,36.23,34.49,34.5,6665786,USB
09/22/20,36.26,36.4,35.32,35.59,7230540,USB
09/21/20,36.68,37.179,35.62,36.16,8109093,USB
09/18/20,37.55,38.045,37.39,37.62,7800060,USB
09/17/20,37.68,38.15,37.45,37.89,6422635,USB
09/16/20,37.32,38.72,37.17,38.16,5697366,USB
09/15/20,37.89,38.08,37.11,37.32,7353460,USB
09/14/20,37.02,38.24,36.93,37.87,5797340,USB
09/11/20,35.8,36.75,35.65,36.68,6330342,USB
09/10/20,36.74,37.18,35.74,35.78,7381976,USB
09/09/20,37.01,37.08,36.431999999999995,36.53,5718943,USB
09/08/20,37.61,37.95,36.43,36.72,9781708,USB
09/04/20,38.32,38.75,37.54,38.31,8407141,USB
09/03/20,37.97,38.94,37.27,37.46,9892636,USB
09/02/20,36.64,37.77,36.51,37.61,8346377,USB
09/01/20,36.16,36.8967,35.95,36.69,5984403,USB
08/31/20,36.97,37.06,36.24,36.4,6037318,USB
08/28/20,37.35,37.35,36.67,37.2,4666612,USB
08/27/20,36.22,37.28,36.19,36.94,5601040,USB
08/26/20,36.47,36.68,36.19,36.22,4649005,USB
08/25/20,37.12,37.405,36.4,36.61,4890760,USB
08/24/20,35.4,36.76,35.325,36.75,5276270,USB
08/21/20,35.6,35.726,35.03,35.21,5999992,USB
08/20/20,35.74,35.94,35.35,35.61,4373523,USB
08/19/20,36.34,36.9,36.04,36.16,4218660,USB
08/18/20,36.9,37.03,36.27,36.33,4335488,USB
08/17/20,37.57,37.62,36.845,36.93,5522686,USB
08/14/20,37.01,37.96,36.86,37.78,3971953,USB
08/13/20,37.45,37.8,37.07,37.37,4084767,USB
08/12/20,39.11,39.16,37.395,37.81,4865092,USB
08/11/20,38.44,39.345,38.06,38.27,7526971,USB
08/10/20,37.73,37.99,37.24,37.47,7739729,USB
08/07/20,36.36,37.47,36.1,37.46,7818928,USB
08/06/20,36.64,37.15,36.54,36.79,3227174,USB
08/05/20,36.5,36.95,36.48,36.86,4588608,USB
08/04/20,36.63,36.75,36.155,36.23,4098944,USB
08/03/20,36.79,37.09,36.37,36.8,4683668,USB
07/31/20,36.65,36.87,36.0826,36.84,7707372,USB
07/30/20,36.66,37.04,36.02,36.91,6202331,USB
07/29/20,36.27,37.83,36.01,37.71,6527713,USB
07/28/20,35.99,36.51,35.92,36.32,7658925,USB
07/27/20,36.6,36.62,35.59,36.16,6452291,USB
07/24/20,36.91,37.4799,36.78,36.92,7385792,USB
07/23/20,36.09,36.905,36.0,36.77,5988336,USB
07/22/20,36.41,36.78,36.02,36.26,6305860,USB
07/21/20,35.82,36.97,35.77,36.6,9232169,USB
07/20/20,35.84,36.125,35.49,35.57,7234117,USB
07/17/20,37.52,37.57,36.01,36.03,9155839,USB
07/16/20,37.17,38.47,37.02,37.56,6105564,USB
07/15/20,38.17,38.36,37.11,37.64,7798580,USB
07/14/20,36.54,37.08,35.7401,36.29,7961472,USB
07/13/20,36.75,37.27,35.85,36.83,6708025,USB
07/10/20,34.42,36.49,34.25,36.44,8974925,USB
07/09/20,35.31,35.53,34.01,34.22,6103657,USB
07/08/20,35.53,35.93,34.885,35.51,5969923,USB
07/07/20,36.33,36.36,35.465,35.58,6683791,USB
