Date, Open, High, Low, Close, Volume,ticker
12/24/20,174.73,175.0,174.7,174.77,133114,VAR
12/23/20,174.6,174.88,174.55,174.73,447295,VAR
12/22/20,174.41,174.6,174.29,174.52,910415,VAR
12/21/20,174.53,174.66,174.22,174.61,678972,VAR
12/18/20,174.64,174.85,174.325,174.8,981620,VAR
12/17/20,174.52,174.81,174.32,174.41,663556,VAR
12/16/20,174.74,174.75,174.38,174.48,922128,VAR
12/15/20,174.47,174.96,174.19,174.83,729130,VAR
12/14/20,174.66,175.05,174.0206,174.13,1049119,VAR
12/11/20,174.84,174.9,174.5,174.58,668084,VAR
12/10/20,174.75,175.22,174.47,174.88,657451,VAR
12/09/20,174.61,174.69,174.43,174.64,388081,VAR
12/08/20,174.39,174.69,174.36,174.61,598960,VAR
12/07/20,174.39,174.68,174.17,174.68,783378,VAR
12/04/20,174.36,174.68,174.27,174.66,587290,VAR
12/03/20,174.25,174.48,174.21,174.41,547723,VAR
12/02/20,174.25,174.45,174.25,174.26,472535,VAR
12/01/20,174.09,174.5,174.02,174.19,1344983,VAR
11/30/20,174.13,174.22,173.77,173.98,1359755,VAR
11/27/20,174.12,174.17,173.9,173.9,557184,VAR
11/25/20,174.1,174.23,174.06,174.11,854403,VAR
11/24/20,174.25,174.27,174.0,174.12,1729388,VAR
11/23/20,173.66,173.67,173.46,173.5,630744,VAR
11/20/20,173.65,173.655,173.33,173.51,746745,VAR
11/19/20,173.4,173.72,173.4,173.68,581478,VAR
11/18/20,173.62,173.69,173.18,173.26,1046922,VAR
11/17/20,173.75,173.75,173.51,173.62,744144,VAR
11/16/20,173.98,173.98,173.55,173.7,631156,VAR
11/13/20,173.51,173.86,173.485,173.84,991453,VAR
11/12/20,173.55,173.67,173.42,173.5,803453,VAR
11/11/20,173.31,173.67,173.3,173.43,934773,VAR
11/10/20,173.26,173.55,173.17,173.3,1026981,VAR
11/09/20,174.31,174.6,172.93,172.98,1139234,VAR
11/06/20,173.5,173.9,173.33,173.72,668437,VAR
11/05/20,173.5,174.04,173.38,173.38,545319,VAR
