Date, Open, High, Low, Close, Volume,ticker
12/24/20,84.6,84.6,83.23,83.9,546852,VFC
12/23/20,83.62,84.86,83.125,84.27,1707837,VFC
12/22/20,84.95,84.95,82.6221,82.88,2943084,VFC
12/21/20,83.78,85.62,83.633,84.93,2266559,VFC
12/18/20,86.58,86.69,84.54,84.88,5399250,VFC
12/17/20,87.13,87.55,85.92,86.55,1830693,VFC
12/16/20,87.14,87.49799999999999,86.06,86.37,2200096,VFC
12/15/20,86.88,87.473,85.85,87.25,2803463,VFC
12/14/20,87.47,87.6,85.69,85.75,1918922,VFC
12/11/20,86.48,87.33,85.5986,86.66,2088207,VFC
12/10/20,87.85,88.65,86.37,86.9,1679320,VFC
12/09/20,89.39,89.59,87.74,88.13,2326898,VFC
12/08/20,87.85,89.64,87.41,89.26,2164061,VFC
12/07/20,88.24,88.86,87.14,88.3,1348076,VFC
12/04/20,86.94,89.19,86.42,89.15,1702532,VFC
12/03/20,85.28,87.53,85.0,86.22,1632192,VFC
12/02/20,84.43,85.97,83.725,85.48,1243866,VFC
12/01/20,84.98,85.45,83.905,84.81,1615717,VFC
11/30/20,85.0,85.155,82.89,83.4,5198857,VFC
11/27/20,88.07,88.07,85.18,85.72,1041110,VFC
11/25/20,87.5,87.88,86.39,87.57,1330639,VFC
11/24/20,87.95,89.26,87.14,88.75,2913520,VFC
11/23/20,85.68,86.9,84.94,86.55,1546923,VFC
11/20/20,85.0,85.59,84.28,84.87,2173219,VFC
11/19/20,84.25,85.54,82.67,84.96,2185054,VFC
11/18/20,85.26,86.91,84.82,85.56,3996671,VFC
11/17/20,81.92,85.83,81.2,85.11,2525147,VFC
11/16/20,81.73,82.33,80.26,82.28,2457527,VFC
11/13/20,76.89,79.57,76.89,79.51,2128237,VFC
11/12/20,76.42,77.01,75.1649,76.16,1618278,VFC
11/11/20,77.99,78.04,76.13,76.99,3267890,VFC
11/10/20,77.75,78.179,76.63,77.53,3051831,VFC
11/09/20,78.22,83.48,77.53,77.81,4586482,VFC
11/06/20,71.12,71.64,69.86,70.01,1597881,VFC
11/05/20,70.24,71.7,70.24,71.44,1940950,VFC
11/04/20,70.98,71.12,69.51,69.58,1817936,VFC
11/03/20,69.67,71.3,69.24,70.75,1239583,VFC
11/02/20,68.64,69.91,67.62,68.77,1804395,VFC
10/30/20,68.61,68.88,66.26,67.2,3192899,VFC
10/29/20,68.17,69.27,67.63,68.86,2050773,VFC
10/28/20,71.1,71.625,68.21,68.39,2568883,VFC
10/27/20,73.85,73.94,71.82,72.38,1834787,VFC
10/26/20,73.78,73.99,72.63,73.75,1891062,VFC
10/23/20,74.68,75.11,73.32,74.83,1534839,VFC
10/22/20,73.09,74.15,72.26,73.96,2940386,VFC
10/21/20,72.68,73.83,72.2,72.75,2440150,VFC
10/20/20,72.35,73.61,72.12,72.37,3003379,VFC
10/19/20,74.5,75.91,72.21,72.54,3307837,VFC
10/16/20,78.0,79.0,74.18,75.82,4039638,VFC
10/15/20,75.55,78.19,75.29,77.74,2033534,VFC
10/14/20,76.11,77.16,75.38,75.74,2228363,VFC
10/13/20,77.14,77.86,76.24,76.82,1554486,VFC
10/12/20,77.96,78.47,77.35,77.87,1841995,VFC
10/09/20,77.66,78.06,76.42,77.61,2134744,VFC
10/08/20,77.54,78.46,77.05,78.33,1349071,VFC
10/07/20,75.82,77.13,75.82,76.96,1843513,VFC
10/06/20,75.0,77.38,74.53,74.66,2146480,VFC
10/05/20,73.44,75.04,73.29,74.91,1651469,VFC
10/02/20,69.73,72.82,69.69,72.53,1261675,VFC
10/01/20,70.82,71.83,70.435,71.58,1741987,VFC
09/30/20,70.56,71.29,69.65,70.25,1979624,VFC
09/29/20,70.88,71.1,68.85,69.66,1886683,VFC
09/28/20,71.81,72.39,71.05,71.19,1269426,VFC
09/25/20,69.19,70.98,68.705,70.54,1736593,VFC
09/24/20,68.56,70.28,66.95,69.37,2442918,VFC
09/23/20,70.65,72.515,68.88,69.07,2696395,VFC
09/22/20,69.01,69.99,68.15,69.28,2028640,VFC
09/21/20,70.85,71.12,68.23,68.69,2207051,VFC
09/18/20,73.81,74.57,71.97,72.13,5273734,VFC
09/17/20,75.61,76.81,74.08,74.59,2672595,VFC
09/16/20,75.0,77.3,74.58,76.44,2769206,VFC
09/15/20,75.61,76.24,73.63,74.79,3607199,VFC
09/14/20,70.94,73.58,70.35,73.21,2422418,VFC
09/11/20,69.18,70.705,67.89,70.03,2377706,VFC
09/10/20,68.65,69.6696,67.87,68.39,2004350,VFC
09/09/20,67.76,69.21,66.71,68.0,2503361,VFC
09/08/20,67.45,69.48,67.19,68.38,2446537,VFC
09/04/20,69.35,69.81,67.69,68.22,1988545,VFC
09/03/20,68.73,70.5615,68.17,68.54,3054290,VFC
09/02/20,67.31,68.66,66.65,68.41,2013188,VFC
09/01/20,65.25,66.93,65.05,66.56,1799480,VFC
08/31/20,67.88,67.95,65.13,65.75,2527115,VFC
08/28/20,66.84,68.21,65.78,67.94,3013403,VFC
08/27/20,64.63,67.01,64.54,66.62,2785173,VFC
08/26/20,64.18,64.87,63.62,64.06,1822235,VFC
08/25/20,66.5,66.5,64.34,64.44,1905464,VFC
08/24/20,61.84,66.03,61.84,65.98,2334435,VFC
08/21/20,60.99,61.78,60.56,61.66,1547751,VFC
08/20/20,60.71,61.4,60.48,61.0,1444250,VFC
08/19/20,62.04,62.83,61.16,61.4,1483953,VFC
08/18/20,62.85,62.97,61.28,62.04,2311805,VFC
08/17/20,64.05,64.145,62.593999999999994,63.12,1216243,VFC
08/14/20,63.39,64.76,62.88,64.24,1533969,VFC
08/13/20,63.25,64.25,62.94,63.83,1031319,VFC
08/12/20,65.31,65.3285,62.83,63.72,1233251,VFC
08/11/20,65.39,66.58,64.24,64.46,2263167,VFC
08/10/20,61.3,64.525,61.3,64.01,2048543,VFC
08/07/20,59.85,61.295,58.915,61.28,1674399,VFC
08/06/20,60.99,61.5,59.9,59.98,2456939,VFC
08/05/20,59.81,62.17,59.78,61.94,1863180,VFC
08/04/20,59.36,59.995,58.95,59.48,2117780,VFC
08/03/20,60.33,60.33,57.59,59.81,2450825,VFC
07/31/20,59.1,62.03,58.08,60.36,4157078,VFC
07/30/20,60.95,61.105,60.0,60.5,1908453,VFC
07/29/20,60.85,62.22,60.67,61.91,1124639,VFC
07/28/20,60.37,61.49,60.37,60.81,1263874,VFC
07/27/20,59.6,60.89,59.34,60.82,1471039,VFC
07/24/20,60.81,61.14,59.7,59.9,1604962,VFC
07/23/20,59.47,61.08,59.47,60.14,1608001,VFC
07/22/20,59.45,60.21,59.06,59.69,1571498,VFC
07/21/20,58.52,60.315,58.02,59.67,2407381,VFC
07/20/20,59.16,59.98,57.91,57.93,2361561,VFC
07/17/20,62.46,62.46,59.7,59.72,1919999,VFC
07/16/20,62.05,63.6,61.85,62.32,1897770,VFC
07/15/20,61.62,62.74,61.41,62.66,1978620,VFC
07/14/20,59.81,61.16,59.53,60.24,1507143,VFC
07/13/20,61.33,61.42,59.32,60.05,1965947,VFC
07/10/20,58.56,60.76,58.35,60.74,1776661,VFC
07/09/20,60.43,60.48,58.1818,58.27,2774575,VFC
07/08/20,59.84,60.69,59.05,60.68,2173371,VFC
07/07/20,62.0,62.11,59.67,59.83,1979320,VFC
07/06/20,62.76,63.41,61.7,62.99,1805664,VFC
07/02/20,62.06,63.21,61.42,61.58,1833156,VFC
07/01/20,61.21,62.33,60.43,60.6,2279821,VFC
06/30/20,59.92,61.11,59.1,60.94,2651190,VFC
06/29/20,57.72,60.7,57.51,60.36,3108619,VFC
06/26/20,59.62,59.62,56.7,57.14,8854050,VFC
06/25/20,58.5,60.0799,58.35,59.81,2121343,VFC
06/24/20,61.52,61.91,58.69,59.03,2400844,VFC
06/23/20,63.83,64.07,62.3,62.69,1955327,VFC
06/22/20,62.54,63.1,61.48,62.6,2189839,VFC
06/19/20,64.89,65.02,62.195,63.29,7130968,VFC
06/18/20,63.01,64.79,62.72,63.5,2287152,VFC
06/17/20,66.14,66.29,63.52,63.61,3108878,VFC
06/16/20,66.37,66.76,64.165,65.97,4208595,VFC
06/15/20,59.18,63.44,58.46,63.12,4267419,VFC
06/12/20,61.76,62.035,58.595,61.25,3658017,VFC
06/11/20,60.8,61.19,59.51,59.8,3287551,VFC
06/10/20,63.85,65.17,62.745,63.58,2876149,VFC
06/09/20,66.43,66.43,64.1,64.45,2466095,VFC
06/08/20,69.09,69.75,66.92,68.07,3609781,VFC
06/05/20,68.71,71.25,67.92,68.31,3576812,VFC
06/04/20,63.6,64.73,62.83,64.09,3260617,VFC
06/03/20,60.46,64.21,60.14,64.0,5531932,VFC
06/02/20,58.75,59.58,58.46,59.35,7396787,VFC
06/01/20,56.18,58.5,55.85,58.07,2922716,VFC
05/29/20,57.84,58.215,55.52,56.1,4086793,VFC
05/28/20,62.68,62.95,58.66,58.79,3062620,VFC
05/27/20,61.39,63.3,61.05,62.18,2800455,VFC
05/26/20,57.91,60.51,57.77,59.82,3060101,VFC
05/22/20,56.53,56.74,54.46,55.64,2076755,VFC
05/21/20,55.7,56.82,55.21,56.29,3369508,VFC
05/20/20,55.79,56.69,55.67,55.98,2515820,VFC
05/19/20,56.58,56.75,54.7101,54.84,3632869,VFC
05/18/20,55.07,57.31,54.77,56.45,3027203,VFC
05/15/20,52.91,54.56,51.47,51.96,6502469,VFC
05/14/20,51.96,55.52,50.72,55.44,3805676,VFC
05/13/20,55.2,55.38,52.1,52.76,3217430,VFC
05/12/20,57.61,57.96,55.5,55.79,1939735,VFC
05/11/20,57.47,58.04,56.04,57.3,1742878,VFC
05/08/20,58.44,59.21,58.09,58.23,2020104,VFC
05/07/20,56.71,58.7,56.7,57.28,2587095,VFC
05/06/20,55.75,56.355,54.83,56.02,2938592,VFC
05/05/20,56.64,57.175,55.51,55.66,2314919,VFC
05/04/20,54.48,55.91,54.0428,55.72,3507789,VFC
05/01/20,56.56,56.69,55.02,55.43,2242035,VFC
04/30/20,59.35,59.82,57.72,58.1,4254010,VFC
04/29/20,61.5,63.24,59.98,60.28,2819675,VFC
04/28/20,59.27,61.175,58.71,59.5,2726350,VFC
04/27/20,55.43,58.16,55.03,57.71,2592462,VFC
04/24/20,54.86,55.47,54.105,54.57,2573854,VFC
04/23/20,54.09,55.52,53.795,54.35,1656836,VFC
04/22/20,54.4,55.13,53.85,54.27,1885527,VFC
04/21/20,53.5,54.66,52.5,53.34,3697890,VFC
04/20/20,56.35,57.56,55.52,55.83,1700134,VFC
04/17/20,57.05,58.99,56.96,57.5,3372250,VFC
04/16/20,55.94,56.0614,53.75,54.85,2114218,VFC
04/15/20,57.62,57.78,55.68,55.85,1715973,VFC
04/14/20,58.9,59.97,58.51,59.57,2148447,VFC
