Date, Open, High, Low, Close, Volume,ticker
12/24/20,35.74,36.03,35.45,35.99,4720522,VIAC
12/23/20,34.92,36.44,34.91,35.95,12458670,VIAC
12/22/20,34.88,35.05,34.12,34.89,8807676,VIAC
12/21/20,34.58,34.8916,34.13,34.85,14495790,VIAC
12/18/20,35.48,35.7956,34.865,35.26,12922210,VIAC
12/17/20,36.03,36.28,35.39,36.2,10649710,VIAC
12/16/20,35.17,36.42,34.91,35.89,20991820,VIAC
12/15/20,34.93,35.415,34.45,35.14,8888488,VIAC
12/14/20,35.85,35.91,34.365,34.67,20752289,VIAC
12/11/20,35.46,35.82,34.91,35.6,9883611,VIAC
12/10/20,35.933,36.605,35.57,35.87,12962490,VIAC
12/09/20,36.48,36.665,36.0567,36.44,11809590,VIAC
12/08/20,36.8,37.3224,36.46,36.65,10698010,VIAC
12/07/20,36.64,36.87,36.08,36.82,7706917,VIAC
12/04/20,36.66,37.0,36.24,36.95,8736506,VIAC
12/03/20,36.59,37.0156,36.25,36.585,10173320,VIAC
12/02/20,36.19,36.56,35.59,36.37,9386516,VIAC
12/01/20,35.5,37.24,35.37,36.36,18438480,VIAC
11/30/20,34.84,35.41,34.82,35.28,18542990,VIAC
11/27/20,34.79,35.28,34.7,35.065,3903853,VIAC
11/25/20,34.48,34.89,33.5,34.82,12094980,VIAC
11/24/20,34.549,34.92,34.14,34.51,12527030,VIAC
11/23/20,34.25,35.48,34.2,34.62,14833820,VIAC
11/20/20,33.41,34.0982,33.13,33.99,16974850,VIAC
11/19/20,32.4,33.58,32.24,33.43,9218588,VIAC
11/18/20,32.5,33.245,32.09,32.7,8265182,VIAC
11/17/20,31.6,32.8918,30.99,32.29,9860853,VIAC
11/16/20,30.77,32.53,30.62,31.9,21017109,VIAC
11/13/20,29.4,30.48,29.38,30.2,7895824,VIAC
11/12/20,30.0,30.0,29.12,29.25,8086204,VIAC
11/11/20,29.764,30.345,29.59,30.2,9281712,VIAC
11/10/20,29.16,30.075,28.855,30.07,8927487,VIAC
11/09/20,30.85,31.15,28.78,29.05,17020189,VIAC
11/06/20,30.75,30.98,28.85,29.3,26843631,VIAC
11/05/20,30.01,31.345,30.01,31.29,11691650,VIAC
11/04/20,29.96,30.28,29.31,29.77,8869735,VIAC
11/03/20,30.0,30.48,29.69,30.13,12412780,VIAC
11/02/20,28.8,29.655,28.36,29.6,11088860,VIAC
10/30/20,27.8,28.59,27.660999999999998,28.57,12166090,VIAC
10/29/20,27.66,28.3,27.5201,28.13,7449696,VIAC
10/28/20,27.5,28.165,27.4,27.8,12407000,VIAC
10/27/20,28.56,28.64,28.06,28.21,8316670,VIAC
10/26/20,28.64,28.94,28.29,28.75,7403447,VIAC
10/23/20,29.3,29.5,28.7,29.28,5877810,VIAC
