Date, Open, High, Low, Close, Volume,ticker
12/24/20,55.54,55.75,54.56,55.68,1351987,VLO
12/23/20,54.25,55.965,54.1,55.79,3282777,VLO
12/22/20,53.64,54.74,53.55,53.7,4596511,VLO
12/21/20,52.45,55.05,51.9,54.05,5343936,VLO
12/18/20,56.01,56.32,54.34,54.77,10658540,VLO
12/17/20,57.37,57.45,55.8,56.34,4719476,VLO
12/16/20,57.03,57.87,56.3,56.92,5016218,VLO
12/15/20,57.17,58.33,56.17,57.48,3526944,VLO
12/14/20,59.92,60.05,56.24,56.39,4008373,VLO
12/11/20,60.58,60.58,58.28,59.03,3768659,VLO
12/10/20,58.22,61.47,58.21,59.87,3878233,VLO
12/09/20,60.0,61.32,57.72,58.8,4383272,VLO
12/08/20,58.5,60.09,58.3512,58.98,4539925,VLO
12/07/20,60.66,60.87,59.0701,59.46,4659971,VLO
12/04/20,59.17,61.67,59.06,61.27,5207097,VLO
12/03/20,58.21,59.16,57.07,57.91,4011300,VLO
12/02/20,53.69,58.16,53.55,58.07,5275998,VLO
12/01/20,54.9,55.81,54.27,54.4,4157184,VLO
11/30/20,55.7,56.39,53.71,53.77,5482242,VLO
11/27/20,55.93,57.2,55.8,56.62,1754959,VLO
11/25/20,57.42,57.79,56.36,56.43,4372376,VLO
11/24/20,58.13,59.92,56.79,58.49,8713532,VLO
11/23/20,51.8,56.17,51.6,56.09,7371501,VLO
11/20/20,51.16,51.86,50.37,50.82,3001076,VLO
11/19/20,49.85,51.45,49.4,51.21,4768384,VLO
11/18/20,54.57,54.7,51.24,51.25,5562745,VLO
11/17/20,52.92,54.2891,51.98,54.15,5972240,VLO
11/16/20,56.0,56.0,52.46,55.67,9029300,VLO
11/13/20,47.86,51.39,47.8,50.92,5719899,VLO
11/12/20,48.73,49.99,46.96,47.28,5757321,VLO
11/11/20,50.21,50.83,49.07,49.79,6325274,VLO
11/10/20,51.0,51.06,48.0,49.96,8816628,VLO
11/09/20,44.91,50.91,44.9,50.08,19211580,VLO
11/06/20,39.45,39.9,37.975,38.17,4378749,VLO
11/05/20,39.07,40.27,38.9,39.53,4695021,VLO
11/04/20,39.5,40.1066,37.88,38.97,4643624,VLO
11/03/20,40.58,40.69,38.9627,39.48,4003299,VLO
11/02/20,39.35,40.2999,38.45,39.9,4660187,VLO
10/30/20,37.21,38.65,36.91,38.61,6550829,VLO
10/29/20,35.79,37.73,35.44,37.53,5068706,VLO
10/28/20,37.1,37.67,35.99,36.19,6338213,VLO
10/27/20,39.12,39.45,38.22,38.26,4886818,VLO
10/26/20,41.22,41.3,39.21,39.54,4902007,VLO
10/23/20,41.68,43.42,40.99,41.97,6217208,VLO
10/22/20,40.17,41.393,38.4201,41.28,6565773,VLO
10/21/20,40.27,41.54,39.75,40.54,5592143,VLO
10/20/20,39.75,41.13,39.69,40.7,4120614,VLO
10/19/20,40.42,40.46,39.15,39.29,5086760,VLO
10/16/20,41.57,41.645,40.16,40.22,5520339,VLO
10/15/20,40.9,41.72,39.78,41.56,5678644,VLO
10/14/20,41.46,42.6236,41.45,41.71,3693700,VLO
10/13/20,42.66,42.89,41.4,41.43,3890866,VLO
10/12/20,43.26,43.49,42.22,43.09,3733438,VLO
10/09/20,44.76,44.885,43.15,43.64,5618101,VLO
10/08/20,42.64,44.38,42.26,44.36,3251411,VLO
10/07/20,42.5,42.86,41.86,42.35,4239591,VLO
10/06/20,43.87,44.32,42.09,42.33,4450119,VLO
10/05/20,41.45,43.12,41.25,43.07,5107919,VLO
10/02/20,39.24,41.24,38.87,40.73,6992108,VLO
10/01/20,41.62,42.0,39.72,40.28,10606690,VLO
09/30/20,43.57,44.4,42.93,43.32,4757086,VLO
09/29/20,44.91,44.99,43.105,43.41,4385173,VLO
09/28/20,44.82,45.57,44.63,44.82,3248037,VLO
09/25/20,43.92,44.19,43.02,43.92,4687198,VLO
09/24/20,44.06,45.55,42.93,44.58,3818130,VLO
09/23/20,47.44,47.45,44.47,44.51,4627472,VLO
09/22/20,47.25,47.95,47.0,47.42,4799553,VLO
09/21/20,47.18,47.9,46.3,47.36,6162489,VLO
09/18/20,48.54,49.1,47.78,48.71,8200354,VLO
09/17/20,48.05,49.03,47.84,49.0,6633587,VLO
09/16/20,47.06,50.04,46.57,49.1,6197488,VLO
09/15/20,47.7,48.17,46.54,46.56,3568431,VLO
09/14/20,46.66,48.08,46.54,47.51,5927719,VLO
09/11/20,45.59,46.78,45.1375,46.39,3969594,VLO
09/10/20,47.87,48.06,45.38,45.63,4870767,VLO
09/09/20,49.18,49.47,47.34,47.75,4490576,VLO
09/08/20,50.5,51.0,48.68,48.73,4513369,VLO
09/04/20,52.76,53.12,50.66,51.22,3700480,VLO
09/03/20,52.99,54.48,51.66,52.33,3624178,VLO
09/02/20,52.6,53.38,51.9,52.91,3959523,VLO
09/01/20,52.28,53.403,51.59,52.47,3200374,VLO
08/31/20,55.11,55.25,52.53,52.59,4486595,VLO
08/28/20,53.64,55.02,53.64,54.89,3805722,VLO
08/27/20,53.83,53.945,52.3327,53.44,3453860,VLO
08/26/20,54.15,54.66,53.26,53.7,4065177,VLO
08/25/20,55.15,55.81,53.7,54.25,3380918,VLO
08/24/20,53.07,55.18,52.78,54.99,3226423,VLO
08/21/20,52.56,53.23,52.04,52.62,2936814,VLO
08/20/20,53.68,53.95,51.9802,52.7,3796056,VLO
08/19/20,54.32,54.9799,53.66,54.26,3031141,VLO
08/18/20,55.25,55.78,54.62,54.74,2567465,VLO
08/17/20,54.36,56.18,54.1683,55.6,4335857,VLO
08/14/20,52.85,54.52,52.65,54.46,3693695,VLO
08/13/20,54.32,54.94,53.1,53.19,3411036,VLO
08/12/20,54.65,55.15,53.5,55.12,3139896,VLO
08/11/20,55.03,55.73,53.45,53.65,4711004,VLO
08/10/20,53.0,53.77,52.39,53.55,5663272,VLO
08/07/20,51.22,52.865,50.73,52.66,3310242,VLO
08/06/20,51.36,52.98,51.1,51.48,3924551,VLO
08/05/20,54.28,54.38,51.29,51.62,5294349,VLO
08/04/20,53.69,53.93,51.93,53.02,5702931,VLO
08/03/20,55.23,55.66,53.58,53.91,5397759,VLO
07/31/20,55.54,56.46,55.07,56.23,5122999,VLO
07/30/20,56.43,57.3689,54.4011,56.33,6257320,VLO
07/29/20,57.6,59.76,57.14,59.69,4510891,VLO
07/28/20,57.62,58.54,56.52,56.89,3645603,VLO
07/27/20,57.8,58.14,56.81,58.03,2678438,VLO
07/24/20,57.72,58.75,57.46,57.98,2978553,VLO
07/23/20,56.47,57.81,56.39,57.67,3576137,VLO
07/22/20,56.56,57.94,56.02,57.07,2741095,VLO
07/21/20,55.3,57.94,55.02,57.58,4051316,VLO
07/20/20,55.34,56.14,54.26,54.33,2329211,VLO
07/17/20,56.98,57.92,55.323,55.47,3094520,VLO
07/16/20,56.65,57.84,55.76,56.58,2530939,VLO
07/15/20,56.24,57.446999999999996,55.49,57.23,3941374,VLO
07/14/20,52.7,54.51,52.36,54.4,4671105,VLO
07/13/20,54.17,54.54,52.51,53.23,4305504,VLO
07/10/20,50.22,53.66,50.16,53.65,5180723,VLO
07/09/20,52.79,52.82,49.8699,50.22,6920887,VLO
07/08/20,52.79,54.13,52.12,52.98,5539661,VLO
07/07/20,55.5,55.5299,53.01,53.12,6069872,VLO
07/06/20,57.5,57.8,55.15,56.47,3595922,VLO
07/02/20,57.59,58.28,56.15,56.34,3834589,VLO
07/01/20,59.2,60.3,56.373999999999995,56.44,3172213,VLO
06/30/20,56.34,59.1,55.77,58.82,5122887,VLO
06/29/20,56.7,58.19,56.06,56.95,3637291,VLO
06/26/20,57.05,57.28,55.66,56.32,4852324,VLO
06/25/20,57.25,58.45,56.585,57.28,4887040,VLO
06/24/20,61.36,61.58,57.29,58.02,5688110,VLO
06/23/20,63.4,63.75,62.5,62.65,2628462,VLO
06/22/20,62.43,63.0,61.46,62.66,3137993,VLO
06/19/20,66.02,66.86,63.02,63.16,9539856,VLO
06/18/20,61.7,65.35,61.34,64.63,3817787,VLO
06/17/20,65.84,65.84,62.3,62.32,4649795,VLO
06/16/20,66.69,67.77,64.41,66.16,4047735,VLO
06/15/20,60.87,63.97,59.56,63.59,4973847,VLO
06/12/20,63.89,64.65,61.665,63.79,3575200,VLO
06/11/20,64.55,66.52,60.275,60.68,6214042,VLO
06/10/20,71.62,72.35,68.68,69.05,4571153,VLO
06/09/20,73.15,73.69,71.03,71.27,4902357,VLO
06/08/20,76.0,77.11,74.225,75.62,4397300,VLO
06/05/20,73.09,75.75,73.06,74.64,5700919,VLO
06/04/20,69.62,70.59,69.16,70.05,3391685,VLO
06/03/20,69.25,70.93,68.65,70.54,4963083,VLO
