Date, Open, High, Low, Close, Volume,ticker
12/24/20,142.94,143.37,141.72,143.22,185933,VMC
12/23/20,143.19,143.87,141.24,142.71,644696,VMC
12/22/20,144.99,146.08,142.6,143.27,641373,VMC
12/21/20,141.42,146.78,140.74,144.54,1051415,VMC
12/18/20,140.0,145.87,139.09,145.22,2209608,VMC
12/17/20,138.25,139.8,137.73,139.54,763369,VMC
12/16/20,138.98,139.43,136.215,137.69,934407,VMC
12/15/20,136.31,137.92,134.53,137.44,1040380,VMC
12/14/20,139.5,140.0,135.32,135.44,675755,VMC
12/11/20,137.98,139.48,137.23,138.88,599519,VMC
12/10/20,140.85,141.11,137.36,137.76,1448408,VMC
12/09/20,144.09,144.09,140.54,141.75,904481,VMC
12/08/20,144.04,146.59,144.04,144.45,455741,VMC
12/07/20,145.19,146.41,144.39,146.08,527703,VMC
12/04/20,144.43,146.72,144.1,146.44,612800,VMC
12/03/20,140.42,145.77,138.76,144.57,1164924,VMC
12/02/20,142.54,144.08,140.61,140.84,541011,VMC
12/01/20,141.6,145.24,141.215,143.35,906070,VMC
11/30/20,141.9,142.06,137.88,139.65,811189,VMC
11/27/20,144.0,144.79,140.52,142.33,298031,VMC
11/25/20,143.87,144.86,140.865,144.02,685601,VMC
11/24/20,141.08,145.54,140.1,144.93,961051,VMC
11/23/20,140.51,141.82,137.98,138.85,766915,VMC
11/20/20,139.05,139.87,135.51,139.39,728930,VMC
11/19/20,140.02,142.26,138.39,140.11,541285,VMC
11/18/20,141.1,142.69,139.29,140.81,589415,VMC
11/17/20,140.25,141.44,138.795,140.54,549703,VMC
11/16/20,141.06,143.64,138.0,141.47,690005,VMC
11/13/20,140.43,142.48,137.07,137.98,900531,VMC
11/12/20,141.44,141.44,137.21,139.04,857130,VMC
11/11/20,140.61,142.48,137.56,141.64,844478,VMC
11/10/20,137.25,145.05,136.955,140.02,1536522,VMC
11/09/20,143.58,144.44,133.35,135.68,2262435,VMC
11/06/20,135.34,141.85,132.85,134.69,1138487,VMC
11/05/20,133.0,141.0,132.06,137.47,1926343,VMC
11/04/20,140.61,142.85,131.3606,136.36,3240551,VMC
11/03/20,150.39,151.42,148.16,150.16,1009319,VMC
11/02/20,146.47,149.7,145.99,149.44,1217954,VMC
10/30/20,142.18,145.9,141.37,144.84,834191,VMC
10/29/20,137.75,145.94,137.1,143.5,1047615,VMC
10/28/20,139.08,139.42,136.34,137.48,941976,VMC
10/27/20,141.44,142.9,140.6285,142.1,565706,VMC
10/26/20,143.28,144.07,140.01,141.09,806855,VMC
10/23/20,146.31,146.57,143.87,145.41,727085,VMC
