Date, Open, High, Low, Close, Volume,ticker
12/24/20,36.51,36.7,35.7,36.15,604152,VNO
12/23/20,35.58,36.62,35.45,36.47,1226668,VNO
12/22/20,36.27,36.32,35.02,35.41,2519272,VNO
12/21/20,35.93,36.4,35.47,36.18,2206377,VNO
12/18/20,38.31,38.31,36.15,36.71,4150477,VNO
12/17/20,38.5,38.61,37.91,38.38,4543807,VNO
12/16/20,39.21,39.39,37.86,38.21,2205526,VNO
12/15/20,38.3,38.9,37.78,38.78,2682860,VNO
12/14/20,39.22,39.58,37.975,38.08,2671184,VNO
12/11/20,39.27,39.52,38.43,38.8,1279450,VNO
12/10/20,39.09,40.29,39.09,39.71,1994330,VNO
12/09/20,40.17,40.35,39.1,39.68,1724221,VNO
12/08/20,40.14,40.85,39.85,40.03,1488540,VNO
12/07/20,41.4,41.6,40.31,40.58,2449605,VNO
12/04/20,41.0,41.64,40.4,41.63,1908632,VNO
12/03/20,39.82,40.6,39.28,40.29,1752703,VNO
12/02/20,39.05,39.98,38.63,39.72,1674106,VNO
12/01/20,39.61,40.29,38.93,39.3,2142109,VNO
11/30/20,40.32,40.705,38.86,38.91,4178209,VNO
11/27/20,40.77,41.08,39.9,40.33,749734,VNO
11/25/20,41.49,41.83,40.01,40.62,2195204,VNO
11/24/20,41.9,43.35,41.66,41.84,3981900,VNO
11/23/20,40.54,41.72,40.16,41.02,4042751,VNO
11/20/20,39.74,40.38,39.05,39.93,4232968,VNO
11/19/20,39.45,40.16,38.73,39.84,3452742,VNO
11/18/20,41.84,41.92,39.78,39.79,2020123,VNO
11/17/20,39.31,42.15,38.695,41.49,4083672,VNO
11/16/20,40.5,41.16,39.21,39.93,4742297,VNO
11/13/20,36.42,38.53,36.36,38.51,2714545,VNO
11/12/20,36.89,37.57,35.3,36.03,2476164,VNO
11/11/20,38.69,39.02,37.035,37.47,2915919,VNO
11/10/20,38.74,39.79,37.7403,39.02,5186017,VNO
11/09/20,37.71,41.27,37.0935,38.69,7716319,VNO
11/06/20,31.67,32.26,30.26,30.37,2448694,VNO
11/05/20,31.89,32.56,31.56,31.85,2570746,VNO
11/04/20,34.05,34.41,31.63,31.64,2420338,VNO
11/03/20,32.91,34.42,32.3101,34.03,2495494,VNO
11/02/20,31.3,32.54,30.56,32.5,2974235,VNO
10/30/20,30.1,30.81,29.79,30.73,3439510,VNO
10/29/20,30.31,31.3,29.86,30.2,3710535,VNO
10/28/20,31.33,31.46,30.33,30.37,4052007,VNO
10/27/20,32.96,33.25,31.99,32.22,1942264,VNO
10/26/20,33.49,33.745,32.72,33.15,1640262,VNO
10/23/20,33.95,34.3,33.68,34.07,1016334,VNO
10/22/20,32.22,33.73,32.07,33.7,2343982,VNO
10/21/20,32.57,32.69,31.69,32.14,1548877,VNO
10/20/20,33.13,33.49,32.78,32.83,1680474,VNO
10/19/20,33.29,33.708,32.57,32.59,2583625,VNO
10/16/20,34.1,34.38,33.12,34.01,1454756,VNO
10/15/20,33.54,34.52,33.37,34.16,1320280,VNO
10/14/20,33.78,34.37,33.75,33.98,1404627,VNO
10/13/20,35.09,35.09,33.76,33.99,1565952,VNO
10/12/20,35.5,35.7,34.99,35.5,1486542,VNO
10/09/20,36.95,37.183,35.28,35.52,1117659,VNO
10/08/20,35.93,36.68,35.67,36.67,1087758,VNO
10/07/20,35.39,36.06,35.22,35.67,1212120,VNO
10/06/20,35.92,36.36,35.03,35.26,1739566,VNO
10/05/20,36.0,36.42,34.9,35.57,1315918,VNO
10/02/20,33.6,35.91,33.34,35.71,1364039,VNO
10/01/20,33.87,34.66,33.46,34.65,1221442,VNO
09/30/20,34.18,34.85,33.24,33.71,1654015,VNO
09/29/20,34.36,34.73,32.97,33.8,1271589,VNO
09/28/20,34.48,35.1,33.84,34.76,1221722,VNO
09/25/20,32.35,33.54,32.13,33.45,1423168,VNO
09/24/20,32.01,33.28,31.36,32.58,2139696,VNO
09/23/20,33.45,33.95,32.07,32.24,1597725,VNO
09/22/20,33.3,34.51,33.3,33.49,2195427,VNO
09/21/20,34.39,34.43,32.95,33.33,2508834,VNO
09/18/20,37.11,37.155,35.4,35.44,3593453,VNO
09/17/20,37.3,37.86,36.59,37.38,1656764,VNO
09/16/20,36.34,38.17,35.91,37.81,1860111,VNO
09/15/20,35.41,37.43,35.325,36.12,2504610,VNO
09/14/20,34.0,35.41,33.97,35.28,1763268,VNO
09/11/20,33.72,33.91,32.74,33.62,2285489,VNO
09/10/20,34.56,34.98,33.65,33.7,1672304,VNO
09/09/20,35.89,35.98,34.46,34.7,1831813,VNO
09/08/20,36.46,36.5475,35.33,35.54,1267626,VNO
09/04/20,36.27,37.38,35.865,36.78,1346269,VNO
09/03/20,35.91,37.54,35.61,36.25,2911984,VNO
09/02/20,35.0,36.0135,34.9,35.73,2610864,VNO
09/01/20,35.71,35.74,34.95,35.07,2302750,VNO
08/31/20,37.23,37.23,35.69,35.83,1628786,VNO
08/28/20,37.0,37.51,36.41,37.16,1553149,VNO
08/27/20,36.03,37.16,35.91,36.88,1348972,VNO
08/26/20,37.05,37.05,35.36,35.76,1222144,VNO
08/25/20,36.97,37.52,36.57,37.12,1507599,VNO
08/24/20,35.3,37.05,34.9,36.97,1466378,VNO
08/21/20,34.78,35.48,34.64,35.46,2105004,VNO
08/20/20,34.06,35.17,33.85,34.72,1618129,VNO
08/19/20,34.73,35.07,34.18,34.21,1772187,VNO
08/18/20,35.08,35.24,34.255,34.68,1484716,VNO
08/17/20,35.61,35.61,34.58,35.18,1772642,VNO
08/14/20,35.25,36.2081,35.19,35.58,1641217,VNO
08/13/20,36.48,36.81,35.34,35.38,1859970,VNO
08/12/20,37.41,37.53,36.11,36.81,1008294,VNO
08/11/20,37.78,38.4,36.84,37.06,1500033,VNO
08/10/20,35.79,37.81,35.79,37.18,2065937,VNO
08/07/20,34.9,35.57,34.55,35.55,2108228,VNO
08/06/20,34.89,35.99,34.76,35.75,1877784,VNO
08/05/20,36.07,36.47,34.88,35.21,1790711,VNO
08/04/20,34.6,37.0468,34.43,36.03,3235099,VNO
08/03/20,34.37,34.385,32.84,34.02,2414430,VNO
07/31/20,35.07,35.07,33.85,34.52,3944711,VNO
07/30/20,35.6,35.71,34.38,35.24,1700777,VNO
07/29/20,36.54,36.66,34.71,36.23,1548466,VNO
07/28/20,34.73,36.64,34.58,36.21,1984238,VNO
07/27/20,34.72,34.78,33.88,34.76,2339134,VNO
07/24/20,35.6,36.09,34.74,35.01,1387865,VNO
07/23/20,36.0,36.29,35.07,35.67,1472115,VNO
07/22/20,35.26,36.825,34.81,36.25,1839261,VNO
07/21/20,35.41,36.34,35.02,35.46,1508990,VNO
07/20/20,36.17,36.525,34.57,35.0,1894425,VNO
07/17/20,37.1,37.39,36.44,36.59,1161633,VNO
07/16/20,37.94,38.13,36.9125,37.07,1762301,VNO
07/15/20,37.53,38.21,36.995,38.15,1843592,VNO
07/14/20,36.6,37.74,36.36,36.67,1913773,VNO
07/13/20,36.27,37.57,35.49,36.8,2069201,VNO
07/10/20,34.74,36.14,34.74,36.0,1513348,VNO
07/09/20,35.64,35.78,34.3,34.92,1845212,VNO
07/08/20,35.8,36.33,35.32,35.86,2982602,VNO
07/07/20,37.09,37.09,35.79,35.81,1486706,VNO
07/06/20,39.22,39.38,37.19,37.69,2116204,VNO
07/02/20,39.74,39.98,37.98,38.12,1059003,VNO
07/01/20,38.3,39.48,38.15,38.63,1001341,VNO
06/30/20,38.44,38.83,37.59,38.21,1654552,VNO
06/29/20,37.15,38.59,36.25,38.58,1600238,VNO
06/26/20,37.49,37.99,36.37,36.64,2691429,VNO
06/25/20,37.15,38.18,37.07,37.91,2245625,VNO
06/24/20,38.44,38.44,36.37,37.78,2825932,VNO
06/23/20,39.69,39.72,38.44,39.15,2272412,VNO
06/22/20,38.91,39.47,38.31,39.16,2225531,VNO
06/19/20,40.71,40.72,38.63,39.15,4168779,VNO
06/18/20,39.41,40.3,39.01,40.04,1391751,VNO
06/17/20,41.59,41.72,39.88,39.96,1439206,VNO
06/16/20,42.45,42.54,40.5,41.41,2807652,VNO
06/15/20,38.32,40.45,38.15,40.2,2706339,VNO
06/12/20,41.01,41.32,38.4,40.17,1921239,VNO
06/11/20,39.55,40.71,38.52,38.86,3173235,VNO
06/10/20,44.81,44.81,41.49,42.29,3106678,VNO
06/09/20,44.5,45.26,43.52,45.1,2428011,VNO
06/08/20,45.14,45.96,44.85,45.94,4258162,VNO
06/05/20,44.22,44.66,43.265,43.76,6423329,VNO
06/04/20,41.09,41.61,40.02,41.31,4316618,VNO
06/03/20,40.35,42.36,40.35,41.3,3359034,VNO
06/02/20,39.01,40.06,38.73,39.51,2143047,VNO
06/01/20,36.16,38.75,36.02,38.13,2483779,VNO
05/29/20,37.31,37.53,36.06,36.21,4058873,VNO
05/28/20,39.05,39.34,37.59,37.9,2075449,VNO
05/27/20,39.21,39.95,38.275,39.5,3084377,VNO
05/26/20,35.79,38.21,35.79,37.68,2871402,VNO
05/22/20,35.77,36.27,33.97,34.15,2521987,VNO
05/21/20,36.35,37.18,35.52,35.75,4018567,VNO
05/20/20,38.06,38.085,36.42,36.64,3967506,VNO
05/19/20,37.63,38.55,36.81,37.46,2165396,VNO
05/18/20,37.14,39.02,37.14,37.87,2943860,VNO
05/15/20,34.96,35.52,33.65,35.32,7019055,VNO
05/14/20,32.0,35.1,30.82,35.01,5996742,VNO
05/13/20,35.01,35.14,32.06,32.3,4502777,VNO
05/12/20,36.81,37.25,35.45,35.53,3244351,VNO
05/11/20,38.83,38.9,36.68,36.74,2819051,VNO
05/08/20,38.03,39.45,37.84,39.41,2922933,VNO
05/07/20,36.42,38.18,36.42,37.69,2492317,VNO
05/06/20,37.08,38.11,35.96,35.97,3575465,VNO
05/05/20,40.55,41.57,38.76,38.85,3528383,VNO
05/04/20,41.01,41.35,39.64,39.92,2792726,VNO
05/01/20,42.52,42.98,41.72,42.0,2148004,VNO
04/30/20,43.24,44.505,42.7,43.82,2472222,VNO
04/29/20,43.11,45.2,42.405,44.29,2788830,VNO
04/28/20,41.45,42.41,41.08,41.56,2118236,VNO
04/27/20,38.26,40.308,37.855,40.09,1874313,VNO
04/24/20,37.86,38.1,36.705,37.77,2085538,VNO
04/23/20,37.42,38.08,37.08,37.48,1887517,VNO
04/22/20,36.84,37.54,36.18,37.21,2639777,VNO
04/21/20,36.76,38.1,36.0,36.07,3006982,VNO
04/20/20,40.98,41.05,37.81,38.15,3469088,VNO
04/17/20,41.49,42.5,40.88,42.05,2783285,VNO
04/16/20,42.54,42.97,40.3,40.3,3365932,VNO
04/15/20,42.28,43.16,41.6,42.44,1708513,VNO
04/14/20,42.83,44.6,42.83,44.21,1888796,VNO
04/13/20,43.09,43.56,41.14,42.09,1607167,VNO
04/09/20,41.43,44.63,41.17,43.48,2965637,VNO
04/08/20,37.73,40.8,36.99,40.48,3078574,VNO
04/07/20,35.59,38.18,35.0,37.3,4484100,VNO
04/06/20,34.06,34.33,32.76,33.6,3270770,VNO
04/03/20,31.0,32.6432,30.625,31.89,3226390,VNO
04/02/20,32.52,33.68,30.31,31.36,3714497,VNO
04/01/20,34.19,35.2,32.44,33.66,3344462,VNO
03/31/20,37.21,37.55,35.24,36.21,3675713,VNO
03/30/20,37.69,37.865,35.565,37.6,2471711,VNO
03/27/20,35.58,38.6,34.7,37.7,2785724,VNO
03/26/20,35.21,37.29,33.89,37.04,2902418,VNO
03/25/20,34.44,37.0,31.59,34.55,3583903,VNO
03/24/20,32.6,34.71,31.87,33.9,3124104,VNO
03/23/20,29.58,31.0816,27.64,30.61,3718414,VNO
03/20/20,33.38,34.44,29.06,29.66,4808737,VNO
03/19/20,30.1,35.0,30.07,32.9,3408532,VNO
03/18/20,32.97,33.38,28.53,31.09,3679313,VNO
03/17/20,34.37,36.12,33.5,35.33,3749894,VNO
03/16/20,41.0,41.27,33.31,33.48,3193454,VNO
03/13/20,45.25,45.41,40.49,44.23,3626137,VNO
03/12/20,44.18,45.4,42.1001,42.66,2529797,VNO
03/11/20,48.96,49.28,46.84,47.45,2388510,VNO
03/10/20,48.35,50.43,46.42,50.41,1842769,VNO
03/09/20,49.4,49.47,47.01,47.03,2126803,VNO
03/06/20,51.69,52.53,51.06,52.35,1998160,VNO
03/05/20,54.87,54.94,52.65,53.03,1581778,VNO
03/04/20,55.36,56.11,54.75,55.96,1790524,VNO
03/03/20,55.43,56.82,54.11,54.54,2418868,VNO
03/02/20,53.94,55.59,53.28,55.58,2037757,VNO
02/28/20,53.38,54.26,51.72,53.58,3690460,VNO
02/27/20,56.51,56.98,54.43,54.43,2189843,VNO
02/26/20,59.17,59.44,57.45,57.5,1649900,VNO
02/25/20,62.59,62.59,58.63,58.91,2248454,VNO
02/24/20,63.21,63.42,61.63,62.37,2208535,VNO
02/21/20,64.16,64.28,63.36,63.85,1609257,VNO
02/20/20,63.78,64.43,62.29,64.28,2317466,VNO
02/19/20,68.14,68.5,63.9481,64.38,2738795,VNO
02/18/20,67.89,67.98,67.165,67.78,1049145,VNO
02/14/20,67.79,67.89,67.39,67.89,657748,VNO
02/13/20,67.11,67.85,67.11,67.7,899613,VNO
02/12/20,67.25,67.75,67.02,67.36,901083,VNO
02/11/20,66.43,67.16,66.43,67.14,1013776,VNO
02/10/20,66.55,66.63,66.05,66.22,1187402,VNO
02/07/20,66.71,66.71,66.255,66.34,1163313,VNO
02/06/20,66.84,66.98,66.25,66.69,1376013,VNO
02/05/20,66.36,66.955,66.12,66.48,893733,VNO
02/04/20,65.51,66.52,65.51,66.14,810905,VNO
02/03/20,66.01,66.53,65.18,65.26,1571397,VNO
01/31/20,66.4,66.55,65.39,65.77,3490663,VNO
01/30/20,66.27,66.68,66.04,66.38,1012516,VNO
01/29/20,66.61,66.915,66.39,66.51,1352044,VNO
01/28/20,66.26,66.9224,66.2,66.4,1415663,VNO
01/27/20,66.82,67.08,65.99,66.17,2237875,VNO
01/24/20,68.06,68.06,66.91,67.31,1252588,VNO
01/23/20,67.5,68.675,67.4067,68.61,769102,VNO
01/22/20,67.9,68.23,67.5238,67.62,789527,VNO
01/21/20,67.21,67.97,67.05,67.78,1126615,VNO
01/17/20,67.3,67.65,67.05,67.2,886749,VNO
01/16/20,67.1,67.34,66.87,67.27,1006096,VNO
01/15/20,67.11,67.51,66.78,67.02,1110832,VNO
01/14/20,66.87,67.04,66.27,66.93,1030803,VNO
01/13/20,66.53,67.28,66.435,67.01,1009214,VNO
01/10/20,66.27,66.52,66.03,66.43,619304,VNO
01/09/20,65.92,66.13,65.62,66.11,672719,VNO
01/08/20,66.17,66.35,65.62,65.92,960066,VNO
01/07/20,66.66,66.78,65.9,66.06,804222,VNO
01/06/20,65.81,66.99,65.74,66.87,891152,VNO
01/03/20,65.08,66.09,64.79,66.01,1110713,VNO
01/02/20,66.72,66.9,65.19,65.5,1757485,VNO
12/31/19,65.45,66.55,65.35,66.5,1279029,VNO
12/30/19,65.89,65.915,65.21,65.64,827392,VNO
12/27/19,66.04,66.18,65.435,65.89,985189,VNO
12/26/19,67.16,67.95,67.16,67.91,705757,VNO
12/24/19,67.08,67.535,67.03,67.21,357830,VNO
12/23/19,67.3,67.37,66.74,67.01,883718,VNO
12/20/19,67.46,67.84,66.88,66.91,2477609,VNO
12/19/19,66.19,67.41,66.04,67.27,2323883,VNO
12/18/19,65.26,66.66,64.99,66.2,1682253,VNO
12/17/19,65.78,65.83,64.78,65.0,1020737,VNO
12/16/19,65.54,65.7,64.6,65.39,890850,VNO
12/13/19,65.31,65.51,64.545,65.27,990296,VNO
12/12/19,65.46,65.92,64.41,65.04,1078141,VNO
12/11/19,66.94,66.95,65.37,65.61,1458065,VNO
12/10/19,66.0,66.73,65.9516,66.65,1678918,VNO
12/09/19,65.62,66.28,65.33,65.95,858902,VNO
12/06/19,64.61,66.0325,64.61,65.56,1688058,VNO
12/05/19,64.48,64.48,64.03,64.45,691718,VNO
12/04/19,64.14,65.07,63.97,64.55,955035,VNO
12/03/19,63.19,64.33,62.97,64.23,1005155,VNO
12/02/19,64.51,64.61,63.35,63.37,901110,VNO
11/29/19,64.48,64.99,64.33,64.57,489035,VNO
11/27/19,64.37,64.57,64.15,64.47,779043,VNO
11/26/19,63.79,64.42,63.53,64.38,1361203,VNO
11/25/19,63.33,63.96,63.18,63.57,918080,VNO
11/22/19,63.3,63.45,62.5,63.09,752188,VNO
11/21/19,63.73,63.73,62.71,63.22,939048,VNO
11/20/19,64.31,64.44,63.57,63.96,853488,VNO
11/19/19,65.19,65.24,64.17,64.53,737855,VNO
11/18/19,65.48,65.53,64.94,65.09,815209,VNO
11/15/19,65.59,65.89,65.24,65.39,986260,VNO
11/14/19,65.0,65.39,64.8,65.37,1200218,VNO
11/13/19,64.72,65.22,64.41,64.87,848441,VNO
11/12/19,65.56,66.17,64.59,64.68,847578,VNO
11/11/19,65.58,66.01,65.2,65.7,570862,VNO
11/08/19,64.87,66.0,64.84,65.77,869881,VNO
11/07/19,65.16,65.36,64.7,64.95,1475041,VNO
11/06/19,65.42,65.99,64.93,65.26,698898,VNO
11/05/19,65.56,65.74,65.13,65.36,1097944,VNO
11/04/19,64.82,65.9,64.82,65.77,778747,VNO
11/01/19,65.05,65.32,64.03,64.97,976718,VNO
10/31/19,66.65,66.65,65.415,65.63,1238895,VNO
10/30/19,65.15,66.82,64.99,66.71,1096072,VNO
10/29/19,63.79,65.49,63.74,65.15,1495710,VNO
10/28/19,64.33,64.45,63.38,64.04,1127824,VNO
10/25/19,64.5,64.86,64.23,64.28,998735,VNO
10/24/19,64.93,64.97,64.33,64.52,804450,VNO
10/23/19,63.72,64.71,63.24,64.71,800932,VNO
10/22/19,63.45,63.805,62.74,63.65,630217,VNO
10/21/19,62.48,63.39,62.45,63.38,733795,VNO
10/18/19,62.55,62.62,61.99,62.42,705886,VNO
10/17/19,62.91,63.0,62.04,62.64,818158,VNO
10/16/19,63.35,63.67,62.72,62.95,968882,VNO
10/15/19,62.23,63.53,62.07,63.46,1637729,VNO
10/14/19,62.64,62.64,61.78,62.19,428156,VNO
10/11/19,62.37,63.24,62.24,62.64,686959,VNO
10/10/19,62.52,62.69,62.08,62.19,710040,VNO
10/09/19,63.23,63.24,62.41,62.46,562860,VNO
10/08/19,63.39,63.52,62.81,62.81,908836,VNO
10/07/19,63.79,64.19,63.55,63.58,1025453,VNO
10/04/19,63.59,64.05,63.3,64.04,1278407,VNO
10/03/19,62.8,63.5,62.36,63.43,1495750,VNO
10/02/19,62.49,63.0,62.33,62.75,1273991,VNO
10/01/19,63.8,63.88,62.33,62.76,1009109,VNO
09/30/19,64.07,64.51,63.41,63.67,2086389,VNO
09/27/19,63.94,64.06,63.21,64.06,1374867,VNO
09/26/19,63.63,63.87,63.26,63.69,1137389,VNO
09/25/19,62.27,63.51,62.27,63.35,998718,VNO
09/24/19,63.09,63.24,61.71,62.17,1287764,VNO
09/23/19,62.21,63.12,62.05,62.85,1104223,VNO
09/20/19,62.55,63.37,62.34,62.62,4935773,VNO
09/19/19,63.25,63.25,62.63,62.78,2267263,VNO
09/18/19,63.47,63.47,62.48,62.92,896996,VNO
09/17/19,64.0,64.0,63.22,63.33,1080368,VNO
09/16/19,63.43,63.95,62.92,63.91,1231535,VNO
09/13/19,64.31,64.82,62.985,63.47,1309634,VNO
09/12/19,64.48,64.69,63.105,64.13,1665587,VNO
