Date, Open, High, Low, Close, Volume,ticker
12/24/20,200.3,201.78,199.951,201.23,145038,VRSK
12/23/20,202.73,203.095,199.9,199.97,357470,VRSK
12/22/20,201.53,202.7176,200.81,201.93,582401,VRSK
12/21/20,201.69,203.34,198.27,202.77,585097,VRSK
12/18/20,201.77,204.97,201.03,204.47,1558074,VRSK
12/17/20,197.61,201.26,197.39,201.24,729072,VRSK
12/16/20,197.26,198.03,195.26,195.88,824183,VRSK
12/15/20,196.02,198.68,194.45,196.14,556569,VRSK
12/14/20,194.14,197.73,194.03,194.77,495592,VRSK
12/11/20,192.21,194.21,191.33,193.99,369543,VRSK
12/10/20,193.24,193.64,191.465,192.2,484301,VRSK
12/09/20,194.83,196.52,191.47,193.45,581520,VRSK
12/08/20,194.25,195.89,193.71,194.93,456686,VRSK
12/07/20,195.22,196.08,194.03,194.45,517339,VRSK
12/04/20,194.65,196.2,194.11,195.68,569448,VRSK
12/03/20,195.5,198.04,193.5,193.85,623373,VRSK
12/02/20,199.68,201.08,195.31,195.99,972891,VRSK
12/01/20,202.05,202.995,199.38,200.14,1127886,VRSK
11/30/20,197.77,201.15,196.34,198.31,1175380,VRSK
11/27/20,197.99,198.76,195.01,198.23,350932,VRSK
11/25/20,195.64,197.76,194.3,195.62,762703,VRSK
11/24/20,197.88,199.43,194.47,194.48,983015,VRSK
11/23/20,203.92,204.3,197.82,198.12,827274,VRSK
11/20/20,204.02,206.34,203.43,204.37,572964,VRSK
11/19/20,203.9,206.83,201.71,205.72,650765,VRSK
11/18/20,205.58,206.05,203.67,203.9,392993,VRSK
11/17/20,204.08,206.26,203.305,205.28,474463,VRSK
11/16/20,204.35,205.79,203.49,205.25,475407,VRSK
11/13/20,200.36,203.95,200.36,203.7,751532,VRSK
11/12/20,199.42,200.96,197.6,199.18,345255,VRSK
11/11/20,196.75,200.37,194.0879,199.83,518694,VRSK
11/10/20,193.74,196.76,192.77,195.1,578518,VRSK
11/09/20,204.63,206.43,195.965,196.31,816128,VRSK
11/06/20,196.46,198.33,195.165,197.35,459432,VRSK
11/05/20,200.31,204.85,192.24,194.41,879650,VRSK
11/04/20,191.49,197.56,189.56,196.39,1202182,VRSK
11/03/20,184.35,189.13,184.35,187.95,607144,VRSK
11/02/20,180.51,183.68,180.51,182.15,697578,VRSK
10/30/20,178.21,179.81,175.44,177.97,886295,VRSK
10/29/20,174.8166,181.43,174.8166,179.22,619894,VRSK
10/28/20,182.39,183.69,178.91,179.49,567308,VRSK
10/27/20,186.17,187.3,184.7,185.15,579246,VRSK
10/26/20,187.49,188.26,184.095,185.49,457427,VRSK
10/23/20,189.24,190.925,187.33,189.25,376945,VRSK
10/22/20,189.82,190.18,187.95,188.88,364901,VRSK
10/21/20,189.23,191.4,188.6608,189.18,510206,VRSK
10/20/20,189.57,192.45,188.39,190.36,438068,VRSK
10/19/20,192.17,194.21,187.57,188.5,430915,VRSK
10/16/20,192.56,194.96,191.23,192.47,367842,VRSK
10/15/20,189.76,192.53,189.2,192.02,338130,VRSK
10/14/20,193.49,195.02,191.17,191.76,570593,VRSK
10/13/20,193.57,195.1,190.795,193.65,599207,VRSK
10/12/20,189.59,193.69,188.79,192.75,923732,VRSK
10/09/20,185.94,188.03,184.88,187.18,561806,VRSK
10/08/20,184.42,185.225,182.3,184.9,401183,VRSK
10/07/20,181.71,183.22,180.81,183.03,562352,VRSK
10/06/20,181.58,183.02,179.5,179.79,507855,VRSK
10/05/20,183.08,183.565,180.52,181.79,352356,VRSK
10/02/20,182.64,184.74,180.725,182.1,600988,VRSK
10/01/20,185.73,188.73,184.925,185.64,808430,VRSK
09/30/20,184.7,186.7,183.185,185.31,1001936,VRSK
09/29/20,185.02,188.03,184.36,184.38,952347,VRSK
09/28/20,183.33,185.11,182.96,184.52,623668,VRSK
09/25/20,176.96,181.73,175.76,181.34,515631,VRSK
09/24/20,176.17,178.78,175.37,177.23,400434,VRSK
09/23/20,181.09,181.09,176.56,177.08,477208,VRSK
09/22/20,179.52,180.76,178.06,180.39,554542,VRSK
09/21/20,180.14,180.37,176.39,178.68,682048,VRSK
09/18/20,183.28,185.05,180.07,181.58,1187022,VRSK
09/17/20,184.85,186.06,182.01,184.79,738627,VRSK
09/16/20,189.48,189.77,186.58,186.79,521667,VRSK
