Date, Open, High, Low, Close, Volume,ticker
12/24/20,215.23,215.23,213.13,214.59,139897,VRSN
12/23/20,215.93,217.35,213.98,214.01,288325,VRSN
12/22/20,214.83,216.785,213.3,216.34,433979,VRSN
12/21/20,215.2,216.49,210.53,214.89,522358,VRSN
12/18/20,218.97,219.53,216.51,217.82,1595986,VRSN
12/17/20,216.57,218.43,215.83,217.93,607923,VRSN
12/16/20,214.14,216.11,212.95,215.48,516074,VRSN
12/15/20,213.72,214.21,211.88,213.51,462533,VRSN
12/14/20,209.75,214.83,209.07,212.11,724394,VRSN
12/11/20,206.62,210.14,205.2,209.99,610516,VRSN
12/10/20,204.06,208.63,202.05,207.75,460525,VRSN
12/09/20,210.85,210.85,203.64,204.41,653345,VRSN
12/08/20,206.02,207.73,203.94,206.92,751063,VRSN
12/07/20,203.36,205.9,203.36,205.26,961157,VRSN
12/04/20,201.32,204.54,200.87,203.99,554695,VRSN
12/03/20,199.59,202.19,198.935,200.81,1022694,VRSN
12/02/20,200.45,202.14,199.72,200.24,535481,VRSN
12/01/20,201.0,202.14,199.63,200.75,464573,VRSN
11/30/20,199.73,201.07,196.58,200.72,1024491,VRSN
11/27/20,199.24,200.9,197.58,200.52,661430,VRSN
11/25/20,198.51,199.75,197.5,198.72,741222,VRSN
11/24/20,196.5,197.93,194.045,197.46,655187,VRSN
11/23/20,197.3,197.49,194.18,196.57,965844,VRSN
11/20/20,196.4,198.67,195.12,196.44,573186,VRSN
11/19/20,193.68,198.55,191.74,197.44,532733,VRSN
11/18/20,194.51,195.94,193.06,194.26,583236,VRSN
11/17/20,194.1,196.43,193.68,194.51,381960,VRSN
11/16/20,197.77,198.6,194.11,194.88,593481,VRSN
11/13/20,199.67,200.95,197.03,198.51,419392,VRSN
11/12/20,202.69,203.705,197.59,198.97,417131,VRSN
11/11/20,201.59,204.75,200.57,201.9,583649,VRSN
11/10/20,200.0,201.5,196.63,199.98,861292,VRSN
11/09/20,207.5,211.84,203.42,203.46,728593,VRSN
11/06/20,208.63,208.63,205.43,206.67,505224,VRSN
11/05/20,207.23,209.11,205.8,208.32,684400,VRSN
11/04/20,197.87,204.12,197.13,203.39,740998,VRSN
11/03/20,191.52,194.66,190.275,191.51,599497,VRSN
11/02/20,193.26,193.67,187.825,189.2,567732,VRSN
10/30/20,189.85,192.135,189.37,190.7,565020,VRSN
10/29/20,188.35,193.83,188.35,191.59,624949,VRSN
10/28/20,195.81,196.865,188.67,189.83,892875,VRSN
10/27/20,200.13,201.61,198.16,199.06,723174,VRSN
10/26/20,198.73,199.83,197.15,198.58,1000992,VRSN
10/23/20,203.71,203.77,197.12,200.8,1533591,VRSN
10/22/20,206.02,209.035,203.75,207.86,650537,VRSN
10/21/20,204.46,206.76,203.75,205.56,512552,VRSN
10/20/20,204.06,206.27,203.0,203.96,387065,VRSN
10/19/20,207.47,208.61,202.53,203.17,395398,VRSN
10/16/20,208.56,210.75,207.19,207.34,351463,VRSN
10/15/20,209.47,210.685,206.365,208.6,436516,VRSN
10/14/20,215.69,217.635,211.43,212.14,464686,VRSN
10/13/20,214.88,218.02,214.08,216.0,512087,VRSN
10/12/20,212.22,216.24,210.53,214.15,503751,VRSN
10/09/20,207.03,210.07,206.72,209.56,396301,VRSN
10/08/20,204.45,206.43,204.18,205.47,325591,VRSN
10/07/20,202.28,204.65,201.23,203.82,380362,VRSN
10/06/20,203.3,206.41,201.17,202.09,587723,VRSN
10/05/20,202.42,204.045,201.05,203.45,438252,VRSN
10/02/20,203.45,205.03,200.85,202.16,419249,VRSN
10/01/20,206.52,208.19,205.92,207.22,425788,VRSN
09/30/20,205.03,207.36,203.6,204.85,638539,VRSN
09/29/20,200.63,206.2,200.63,204.91,526579,VRSN
09/28/20,208.33,208.33,202.71,204.72,601629,VRSN
09/25/20,202.67,206.53,200.56,205.58,423111,VRSN
09/24/20,199.79,204.42,198.96,202.01,526620,VRSN
09/23/20,205.33,206.26,199.47,200.14,754934,VRSN
09/22/20,204.19,205.85,201.44,205.29,680529,VRSN
09/21/20,202.74,203.86,200.01,202.89,1036031,VRSN
09/18/20,204.15,206.59,202.88,204.68,1597297,VRSN
09/17/20,199.19,203.55,198.47,203.49,892817,VRSN
09/16/20,205.74,207.52,202.76,202.99,649419,VRSN
09/15/20,203.62,204.99,201.9,204.33,847682,VRSN
09/14/20,200.58,203.2457,200.23,202.0,686960,VRSN
09/11/20,198.0,200.75,195.1,198.13,713859,VRSN
09/10/20,200.19,200.86,195.0,198.0,830984,VRSN
09/09/20,199.23,201.69,195.65,200.33,624035,VRSN
09/08/20,199.09,199.5,194.95,196.81,925296,VRSN
09/04/20,207.43,209.18,200.73,203.54,978548,VRSN
09/03/20,220.08,220.13,205.96,207.78,1200233,VRSN
09/02/20,217.0,220.505,217.0,219.7,782436,VRSN
09/01/20,215.37,215.94,213.03,215.78,647841,VRSN
08/31/20,209.35,215.72,209.11,214.8,865707,VRSN
08/28/20,207.89,208.555,206.13,208.14,386568,VRSN
08/27/20,209.97,209.97,207.13,207.87,396700,VRSN
08/26/20,206.84,209.38,205.945,208.51,634646,VRSN
08/25/20,205.89,207.9853,205.42,205.7,515196,VRSN
08/24/20,205.93,208.0,205.67,207.3,467756,VRSN
