Date, Open, High, Low, Close, Volume,ticker
12/24/20,237.17,237.5,233.48,234.46,451669,VRTX
12/23/20,235.4,238.57,234.08,235.84,1013122,VRTX
12/22/20,235.01,235.795,232.35,234.9,1128635,VRTX
12/21/20,233.02,235.58,228.8,234.55,1567185,VRTX
12/18/20,238.54,239.71,234.47,236.72,2929448,VRTX
12/17/20,233.0,237.35,232.32,236.92,1992842,VRTX
12/16/20,229.66,232.75,228.55,232.11,1708917,VRTX
12/15/20,229.7,230.6,226.0,228.81,1189846,VRTX
12/14/20,226.79,233.47,226.425,228.13,2220204,VRTX
12/11/20,224.1,224.5593,220.93,224.17,1476048,VRTX
12/10/20,224.81,224.89,221.7,224.04,1462606,VRTX
12/09/20,230.0,231.0,221.31,224.38,1992308,VRTX
12/08/20,228.808,230.2,225.4,229.83,1329922,VRTX
12/07/20,231.0,231.42,225.12,227.06,1219745,VRTX
12/04/20,227.3,230.21,225.59,228.32,948938,VRTX
12/03/20,226.0,229.05,224.71,226.87,1291766,VRTX
12/02/20,230.3,232.45,226.32,226.7,1864363,VRTX
12/01/20,227.47,230.56,226.02,230.3,1762018,VRTX
11/30/20,231.0,232.17,224.3,227.75,4585577,VRTX
11/27/20,219.61,226.72,219.61,226.71,1052834,VRTX
11/25/20,217.87,220.54,215.84,218.1,2033279,VRTX
11/24/20,215.53,219.47,215.13,216.5,2179767,VRTX
11/23/20,216.78,218.29,214.14,217.87,1852049,VRTX
11/20/20,212.351,217.23,210.04,215.21,2239270,VRTX
11/19/20,216.42,218.141,211.395,211.97,2604055,VRTX
11/18/20,222.71,223.77,216.34,216.35,2500645,VRTX
11/17/20,222.72,223.43,218.23,222.96,1750676,VRTX
11/16/20,225.99,227.355,221.79,224.27,1706781,VRTX
11/13/20,222.28,227.2683,219.64,225.52,1695453,VRTX
11/12/20,217.05,221.315,216.9,218.31,2144061,VRTX
11/11/20,217.12,218.8,213.65,216.72,1647432,VRTX
11/10/20,223.77,224.74,215.06,215.35,1917814,VRTX
11/09/20,224.41,229.08,221.5,222.85,2478342,VRTX
11/06/20,219.12,221.72,216.36,220.28,1707943,VRTX
11/05/20,220.08,220.92,216.2209,219.48,2347518,VRTX
11/04/20,218.27,223.7683,214.22,215.09,3778577,VRTX
11/03/20,208.92,214.88,208.0,211.14,1892048,VRTX
11/02/20,211.14,211.44799999999998,202.565,207.42,1877706,VRTX
10/30/20,205.93,211.64,203.51,208.36,2829604,VRTX
10/29/20,209.01,210.375,205.0,207.01,1931045,VRTX
10/28/20,212.0,214.24,208.25,208.34,2221370,VRTX
10/27/20,208.35,213.58,206.7889,212.19,2756330,VRTX
10/26/20,209.75,210.54,204.845,207.15,2087483,VRTX
10/23/20,212.19,213.51,209.07,211.58,1715758,VRTX
10/22/20,210.37,214.74,208.23,210.08,2380567,VRTX
10/21/20,215.885,217.93,209.16,211.38,2775667,VRTX
10/20/20,222.0,222.62,214.48,214.54,2924795,VRTX
10/19/20,219.078,225.97,217.25,220.51,3789629,VRTX
10/16/20,217.79,225.0,217.19,218.08,5957623,VRTX
10/15/20,227.55,232.46,213.1701,215.28,17492971,VRTX
10/14/20,275.19,275.75,269.789,271.46,1046518,VRTX
10/13/20,275.88,280.99,274.48,276.09,1087986,VRTX
10/12/20,273.14,277.33,269.575,274.6,1331313,VRTX
