Date, Open, High, Low, Close, Volume,ticker
12/24/20,49.21,49.54,48.85,49.19,529358,VTR
12/23/20,49.58,49.96,48.62,48.99,1411835,VTR
12/22/20,48.98,49.615,48.7,49.24,2458946,VTR
12/21/20,49.84,50.15,48.69,48.83,2686141,VTR
12/18/20,51.11,51.92,50.2076,50.83,5378805,VTR
12/17/20,51.0,51.56,50.32,51.49,2782662,VTR
12/16/20,49.99,50.8,49.54,50.74,1835567,VTR
12/15/20,48.29,49.98,47.47,49.95,2086367,VTR
12/14/20,49.27,49.44,47.8,47.84,2330254,VTR
12/11/20,48.75,49.41,48.26,49.05,2059740,VTR
12/10/20,49.25,49.91,48.6,48.83,2017265,VTR
12/09/20,49.06,49.76,48.37,49.53,1547829,VTR
12/08/20,49.08,49.76,48.78,49.11,2101343,VTR
12/07/20,49.14,49.74,48.47,49.09,1744299,VTR
12/04/20,49.15,49.61,48.84,49.46,1893118,VTR
12/03/20,47.53,49.34,47.24,48.82,1715760,VTR
12/02/20,47.75,48.0,47.17,47.68,1572490,VTR
12/01/20,48.52,49.07,47.8878,48.02,1683502,VTR
11/30/20,48.94,49.28,47.81,47.91,2980104,VTR
11/27/20,49.34,49.42,47.64,47.9,874621,VTR
11/25/20,50.02,50.195,49.12,49.23,1513249,VTR
11/24/20,49.61,50.87,49.37,50.34,1502221,VTR
11/23/20,48.82,49.8,48.55,48.79,3203018,VTR
11/20/20,48.51,48.775,47.8,48.72,2098423,VTR
11/19/20,48.0,48.76,47.04,48.62,3048783,VTR
11/18/20,50.62,50.81,48.2,48.21,3280582,VTR
11/17/20,50.04,51.07,49.0,50.49,2178497,VTR
11/16/20,52.22,52.7,50.2,51.0,2627384,VTR
11/13/20,48.12,50.26,47.99,50.1,2979307,VTR
11/12/20,48.17,48.42,46.64,47.75,3387413,VTR
11/11/20,48.25,48.54,46.91,48.43,3189889,VTR
11/10/20,47.23,49.35,47.11,48.39,5187002,VTR
11/09/20,43.49,52.5,42.83,46.85,9126209,VTR
11/06/20,41.43,42.4,39.26,39.64,2557903,VTR
11/05/20,42.03,42.15,41.04,41.12,2762778,VTR
11/04/20,42.94,42.95,41.55,41.67,2917775,VTR
11/03/20,41.58,43.33,41.415,42.98,2649327,VTR
11/02/20,39.82,40.99,39.355,40.97,2270245,VTR
10/30/20,39.77,40.22,38.83,39.47,2123119,VTR
10/29/20,38.57,40.24,37.83,39.9,2717729,VTR
10/28/20,39.0,39.77,38.75,38.84,2065732,VTR
10/27/20,40.98,41.36,39.95,39.95,1885951,VTR
10/26/20,41.91,41.91,40.315,40.96,2475839,VTR
10/23/20,43.2,43.79,42.17,42.24,1911391,VTR
10/22/20,41.38,42.99,41.15,42.86,2040510,VTR
10/21/20,41.32,41.6,40.71,41.15,2811099,VTR
10/20/20,41.66,42.26,41.43,41.67,2114564,VTR
10/19/20,42.92,42.92,41.07,41.27,2397806,VTR
10/16/20,43.18,43.81,42.16,42.7,3635801,VTR
10/15/20,43.54,44.95,43.08,43.56,2884563,VTR
10/14/20,43.78,44.21,43.28,43.96,2155996,VTR
10/13/20,43.61,43.93,42.4,43.76,2734010,VTR
10/12/20,44.67,44.7,43.85,44.23,1160139,VTR
10/09/20,45.44,45.45,44.16,44.67,2190265,VTR
10/08/20,44.29,45.06,43.99,45.05,1857527,VTR
10/07/20,44.62,44.71,43.52,43.98,2311131,VTR
10/06/20,44.42,45.11,43.64,44.33,2555714,VTR
10/05/20,44.91,45.43,43.46,44.11,1886270,VTR
10/02/20,42.88,45.01,42.63,44.61,2921758,VTR
10/01/20,42.13,43.55,41.89,43.49,2202912,VTR
09/30/20,42.58,43.425,41.48,41.96,2488091,VTR
09/29/20,42.48,42.72,41.44,42.58,1523845,VTR
09/28/20,42.74,43.11,42.4,42.88,2947295,VTR
09/25/20,40.34,41.935,40.27,41.67,2255328,VTR
09/24/20,39.6,41.37,39.14,40.66,2140065,VTR
09/23/20,41.42,41.83,39.5,39.58,2478698,VTR
09/22/20,40.99,42.29,40.89,41.69,3714410,VTR
09/21/20,41.67,42.3,40.56,40.84,4835971,VTR
09/18/20,43.8,44.26,42.95,43.11,5524537,VTR
09/17/20,44.96,45.685,43.83,44.1,3789184,VTR
09/16/20,45.73,46.445,44.94,45.33,3137541,VTR
09/15/20,45.36,46.49,45.28,45.33,2901075,VTR
09/14/20,44.31,45.64,44.19,45.48,3030393,VTR
09/11/20,43.81,44.05,43.05,43.81,1929303,VTR
09/10/20,44.09,44.85,43.59,43.62,2545603,VTR
